timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
22407.0000,-0.1274,0.9595,0.4067,1.5259,-1.2817,-1.1597
22408.0000,-0.1255,0.9624,0.4048,1.5869,-2.0142,-0.9766
22409.0000,-0.1123,0.9702,0.4067,1.5259,-2.2583,-0.7324
22410.0000,-0.1074,0.9761,0.4097,1.3428,-1.8921,-0.7935
22411.0000,-0.1030,0.9756,0.4097,1.0376,-1.5259,-0.9155
22412.0000,-0.0996,0.9683,0.4028,0.4272,-0.7935,-0.6714
22413.0000,-0.1045,0.9595,0.4028,0.1221,-0.4883,-0.3052
22414.0000,-0.1104,0.9507,0.3979,0.2441,-0.1221,0.0610
22415.0000,-0.1118,0.9438,0.3975,0.6714,-0.3662,0.7324
22416.0000,-0.1104,0.9443,0.3975,0.7324,-0.4883,0.9155
22417.0000,-0.1045,0.9502,0.3999,0.7324,-0.6104,0.9766
22418.0000,-0.0981,0.9575,0.3999,0.7935,-0.4272,1.2207
22419.0000,-0.0986,0.9595,0.4014,0.5493,-0.0610,1.3428
22420.0000,-0.0972,0.9590,0.3984,0.1831,0.1831,1.0986
22421.0000,-0.1035,0.9595,0.3994,-0.1221,0.4883,0.9766
22422.0000,-0.1074,0.9556,0.4009,-0.3662,0.4883,0.7324
22423.0000,-0.1128,0.9565,0.3984,-0.3052,0.3662,0.4272
22424.0000,-0.1055,0.9648,0.4009,-0.3662,0.0610,-0.2441
22425.0000,-0.0928,0.9727,0.4043,-0.7935,0.1221,-0.7324
22426.0000,-0.0825,0.9727,0.4058,-1.4648,0.5493,-1.0376
22427.0000,-0.0635,0.9653,0.4062,-2.1362,2.0142,-0.9766
22428.0000,-0.0449,0.9590,0.4072,-2.3193,3.6621,-0.6104
22429.0000,-0.0264,0.9614,0.4077,-2.3193,6.1646,0.1831
22430.0000,-0.0039,0.9683,0.4116,-2.4414,10.4980,1.1597
22431.0000,0.0068,0.9673,0.4155,-2.9907,14.5264,2.0752
22432.0000,0.0229,0.9814,0.4141,-3.6621,18.9209,3.2349
22433.0000,0.0586,0.9893,0.4229,-4.8828,25.9399,5.2490
22434.0000,0.0889,0.9775,0.4248,-5.9204,32.4707,7.1411
22435.0000,0.1162,0.9565,0.4155,-6.7139,40.1001,9.5215
22436.0000,0.1431,0.9390,0.4106,-6.2866,51.8188,13.2446
