timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
13905.0000,-0.1367,0.9487,0.4092,-1.7090,3.6011,1.5869
13906.0000,-0.1318,0.9468,0.4126,-1.8311,3.1128,1.7090
13907.0000,-0.1265,0.9463,0.4126,-1.7090,2.8076,1.4648
13908.0000,-0.1274,0.9443,0.4097,-1.4648,2.6855,1.5869
13909.0000,-0.1313,0.9453,0.4111,-1.2817,2.3804,1.4648
13910.0000,-0.1323,0.9458,0.4126,-1.2207,1.5869,1.4648
13911.0000,-0.1348,0.9443,0.4121,-1.1597,0.9766,1.4038
13912.0000,-0.1279,0.9448,0.4150,-0.9155,0.4883,0.9766
13913.0000,-0.1162,0.9507,0.4175,-0.7935,0.0610,0.4883
13914.0000,-0.1084,0.9512,0.4219,-0.7935,0.2441,0.1221
13915.0000,-0.1045,0.9492,0.4175,-0.7324,0.6104,-0.3052
13916.0000,-0.1079,0.9463,0.4170,-0.4272,1.1597,-0.7935
13917.0000,-0.1118,0.9468,0.4175,-0.1831,1.6479,-0.8545
13918.0000,-0.1138,0.9468,0.4141,-0.1221,1.7090,-0.8545
13919.0000,-0.1187,0.9473,0.4136,0.2441,1.8921,-0.8545
13920.0000,-0.1240,0.9482,0.4141,0.4883,1.9531,-0.7935
13921.0000,-0.1274,0.9517,0.4087,0.4883,1.7700,-0.4883
13922.0000,-0.1230,0.9624,0.4131,0.2441,1.2207,-0.1831
13923.0000,-0.1079,0.9688,0.4160,-0.1221,1.1597,0.1221
13924.0000,-0.0879,0.9663,0.4189,-0.8545,1.6479,0.8545
13925.0000,-0.0557,0.9536,0.4136,-1.7700,3.6621,2.3804
13926.0000,-0.0439,0.9453,0.4155,-1.8311,6.2256,3.5400
13927.0000,-0.0571,0.9375,0.4087,-1.5259,9.0942,4.6997
13928.0000,-0.0830,0.9365,0.4014,-0.7935,11.9019,5.8594
13929.0000,-0.0957,0.9458,0.4087,-0.1221,13.0005,6.2256
13930.0000,-0.0884,0.9619,0.4126,0.1221,13.7939,6.4087
13931.0000,-0.0649,0.9873,0.4185,-0.6104,15.8081,6.5918
13932.0000,-0.0420,0.9917,0.4185,-1.8311,18.1885,7.2632
13933.0000,-0.0293,0.9839,0.4160,-3.1738,21.3623,8.4839
13934.0000,-0.0283,0.9604,0.4106,-4.2114,26.1841,10.4370
13935.0000,-0.0366,0.9487,0.4028,-4.2114,29.5410,11.9629
13936.0000,-0.0498,0.9385,0.3999,-3.7231,32.5317,13.1836
13937.0000,-0.0586,0.9370,0.3955,-2.9297,35.8887,14.2822
