timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
37066.0000,-0.0293,0.9648,0.3896,-0.3662,-1.7700,-0.9766
37067.0000,-0.0444,0.9614,0.3872,-0.0610,-1.5259,-0.6104
37068.0000,-0.0547,0.9639,0.3892,0.1831,-1.8311,-0.5493
37069.0000,-0.0605,0.9712,0.3862,0.2441,-2.6245,-0.6714
37070.0000,-0.0552,0.9800,0.3931,0.1831,-3.4790,-1.2817
37071.0000,-0.0498,0.9814,0.3911,-0.1221,-3.9062,-1.8921
37072.0000,-0.0449,0.9795,0.3926,-0.4272,-4.0894,-2.3193
37073.0000,-0.0479,0.9731,0.3892,-0.7935,-4.4556,-2.6855
37074.0000,-0.0479,0.9707,0.3901,-0.7935,-4.6997,-2.7466
37075.0000,-0.0454,0.9712,0.3931,-0.7324,-5.1880,-2.8076
37076.0000,-0.0317,0.9829,0.3975,-1.1597,-5.1880,-2.3804
37077.0000,-0.0156,0.9888,0.4028,-2.1362,-4.6387,-1.7700
37078.0000,-0.0010,0.9829,0.4062,-3.1128,-3.4180,-0.7324
37079.0000,0.0000,0.9404,0.4014,-3.3569,-1.2207,1.3428
37080.0000,-0.0200,0.9019,0.3921,-2.2583,0.3052,2.4414
37081.0000,-0.0640,0.8818,0.3813,0.6104,0.6104,2.7466
37082.0000,-0.1118,0.9165,0.3813,4.9438,-1.6479,2.3804
37083.0000,-0.1021,0.9712,0.3906,6.3477,-4.7607,1.4648
37084.0000,-0.0679,1.0093,0.3940,5.9814,-7.0190,0.4272
37085.0000,-0.0303,1.0303,0.3960,3.4790,-8.1177,-0.7935
37086.0000,-0.0259,1.0283,0.3911,1.4648,-7.9956,-1.4648
37087.0000,-0.0459,1.0044,0.3833,-0.3662,-8.0566,-1.8921
37088.0000,-0.1108,0.9521,0.3682,-1.4648,-9.7046,-2.6855
37089.0000,-0.1807,0.9160,0.3501,-0.5493,-13.0005,-3.3569
37090.0000,-0.3042,0.9053,0.3267,2.4414,-21.3623,-4.4556
37091.0000,-0.3994,0.9482,0.3291,4.9438,-31.4941,-5.6152
37092.0000,-0.4736,1.0107,0.3320,5.6152,-45.5933,-6.8970
37093.0000,-0.4712,1.0894,0.3252,2.6245,-69.2139,-9.3994
37094.0000,-0.3760,1.1089,0.3252,-1.4038,-86.0596,-12.5122
37095.0000,-0.2739,1.0825,0.3174,-5.3101,-98.2666,-16.9678
37096.0000,-0.2246,1.0234,0.2871,-8.6060,-109.0088,-22.7661
37097.0000,-0.2812,0.9873,0.2686,-9.0942,-116.8823,-26.4893
37098.0000,-0.3477,0.9717,0.2603,-7.9956,-127.6245,-30.4565
37099.0000,-0.3711,0.9805,0.2520,-6.0425,-145.6299,-36.2549
