timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
31413.0000,-0.1104,0.9736,0.3721,-1.4038,6.1035,-0.9155
31414.0000,-0.1113,0.9712,0.3691,-1.8921,4.1504,-1.2817
31415.0000,-0.1094,0.9761,0.3716,-1.8921,2.7466,-1.7700
31416.0000,-0.1064,0.9780,0.3774,-1.7700,1.5259,-2.0752
31417.0000,-0.1021,0.9741,0.3784,-2.1362,-0.0610,-2.5024
31418.0000,-0.0957,0.9673,0.3740,-2.2583,-0.9155,-2.7466
31419.0000,-0.0903,0.9624,0.3765,-1.8921,-1.7090,-3.1128
31420.0000,-0.0845,0.9673,0.3789,-1.4648,-2.3193,-3.2959
31421.0000,-0.0830,0.9678,0.3818,-1.4648,-2.6245,-3.2959
31422.0000,-0.0796,0.9648,0.3794,-1.4038,-2.8687,-3.2349
31423.0000,-0.0776,0.9624,0.3804,-1.2817,-2.9907,-2.9907
31424.0000,-0.0767,0.9629,0.3818,-1.3428,-2.9297,-2.9297
31425.0000,-0.0801,0.9648,0.3813,-1.2817,-2.9297,-3.0518
31426.0000,-0.0776,0.9624,0.3779,-1.0986,-2.8687,-2.7466
31427.0000,-0.0771,0.9609,0.3794,-0.9766,-2.9907,-2.8687
31428.0000,-0.0767,0.9609,0.3799,-0.7935,-3.0518,-2.8076
31429.0000,-0.0762,0.9717,0.3779,-0.7935,-3.1128,-2.8076
31430.0000,-0.0728,0.9756,0.3813,-1.0376,-3.1738,-2.7466
31431.0000,-0.0688,0.9717,0.3804,-1.5869,-2.8076,-2.6245
31432.0000,-0.0801,0.9663,0.3804,-1.5869,-2.5635,-2.3193
31433.0000,-0.0981,0.9634,0.3765,-1.5259,-2.7466,-2.3193
31434.0000,-0.1172,0.9629,0.3750,-1.2207,-4.2114,-2.5024
31435.0000,-0.1265,0.9648,0.3740,-1.0376,-5.7373,-2.5635
31436.0000,-0.1270,0.9663,0.3730,-0.9155,-7.7515,-3.2349
31437.0000,-0.1196,0.9692,0.3760,-0.7324,-10.1318,-3.9062
31438.0000,-0.1187,0.9741,0.3750,-0.6714,-11.7188,-4.2725
31439.0000,-0.1162,0.9800,0.3804,-0.7324,-13.3057,-5.0659
31440.0000,-0.1123,0.9805,0.3804,-1.1597,-15.0146,-6.1035
31441.0000,-0.1050,0.9771,0.3804,-1.4038,-16.0522,-6.6528
31442.0000,-0.1016,0.9780,0.3794,-1.7090,-16.8457,-7.0801
31443.0000,-0.1011,0.9771,0.3818,-1.8921,-17.9443,-7.5073
31444.0000,-0.1025,0.9707,0.3818,-2.2583,-18.9209,-7.5684
31445.0000,-0.1089,0.9624,0.3784,-2.3193,-19.8975,-7.5073
31446.0000,-0.1328,0.9526,0.3687,-2.2583,-21.8506,-7.4463
31447.0000,-0.1533,0.9546,0.3643,-1.7700,-24.1089,-7.3242
31448.0000,-0.1709,0.9604,0.3652,-1.2817,-27.3438,-7.3853
31449.0000,-0.1802,0.9727,0.3701,-1.0986,-32.5928,-8.0566
