timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
50284.0000,0.1807,0.9531,0.4229,0.4272,0.9766,0.7324
50285.0000,0.1797,0.9531,0.4272,0.3052,1.0376,0.4272
50286.0000,0.1787,0.9551,0.4297,0.1831,1.1597,0.0610
50287.0000,0.1768,0.9487,0.4238,0.1221,1.1597,-0.3052
50288.0000,0.1689,0.9473,0.4272,0.3662,1.0986,-1.0376
50289.0000,0.1636,0.9473,0.4287,0.9155,0.6714,-1.8921
50290.0000,0.1646,0.9521,0.4277,1.0376,0.2441,-2.3193
50291.0000,0.1660,0.9531,0.4248,0.9766,-0.1831,-2.5024
50292.0000,0.1694,0.9517,0.4248,0.7935,-0.2441,-2.4414
50293.0000,0.1694,0.9536,0.4194,0.8545,-0.3052,-2.3193
50294.0000,0.1660,0.9492,0.4194,0.9766,-0.3662,-1.9531
50295.0000,0.1655,0.9561,0.4214,1.0376,-0.7324,-1.7700
50296.0000,0.1719,0.9629,0.4229,1.0376,-0.8545,-1.6479
50297.0000,0.1758,0.9619,0.4243,0.3662,-0.7324,-1.2207
50298.0000,0.1797,0.9565,0.4233,-0.3662,-0.4272,-0.9155
50299.0000,0.1831,0.9634,0.4272,-0.3662,-0.0610,-0.6714
50300.0000,0.1826,0.9648,0.4302,-0.6104,0.3662,-0.7935
50301.0000,0.1782,0.9565,0.4258,-1.2817,0.9766,-0.9766
50302.0000,0.1748,0.9482,0.4238,-1.1597,1.2207,-1.2207
50303.0000,0.1694,0.9443,0.4233,-0.4883,1.2207,-1.2207
50304.0000,0.1641,0.9482,0.4253,0.0610,1.0986,-1.0986
50305.0000,0.1592,0.9492,0.4263,0.1221,0.7324,-0.9766
50306.0000,0.1611,0.9517,0.4258,0.1831,0.3662,-0.6714
50307.0000,0.1646,0.9609,0.4248,0.2441,0.0610,-0.3662
50308.0000,0.1631,0.9624,0.4268,0.0000,0.0610,0.0000
50309.0000,0.1626,0.9575,0.4233,-0.4272,-0.0610,0.2441
50310.0000,0.1636,0.9551,0.4219,-0.4883,-0.4272,0.6714
50311.0000,0.1675,0.9570,0.4229,-0.5493,-0.4883,0.8545
50312.0000,0.1699,0.9546,0.4243,-0.6714,-0.5493,1.0376
50313.0000,0.1763,0.9526,0.4263,-0.8545,-0.2441,1.0986
50314.0000,0.1738,0.9463,0.4263,-0.9155,0.0610,1.2817
50315.0000,0.1709,0.9458,0.4268,-0.9155,0.2441,1.4648
50316.0000,0.1694,0.9482,0.4287,-0.4272,0.1831,1.4648
