timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
56716.0000,-0.1406,0.9360,0.4189,-4.1504,20.6909,-47.9736
56717.0000,-0.1436,0.9443,0.4224,-4.2114,19.0430,-45.1660
56718.0000,-0.1357,0.9463,0.4321,-4.5776,17.0288,-41.0767
56719.0000,-0.1323,0.9521,0.4336,-4.8218,15.6250,-37.8418
56720.0000,-0.1348,0.9438,0.4414,-5.0049,15.5029,-35.6445
56721.0000,-0.1597,0.9360,0.4414,-5.1270,15.1367,-33.4473
56722.0000,-0.1792,0.9248,0.4453,-5.1880,15.0146,-31.9214
56723.0000,-0.1997,0.9277,0.4424,-4.6387,14.7705,-30.8838
56724.0000,-0.2231,0.9307,0.4419,-4.2725,11.5967,-28.4424
56725.0000,-0.2124,0.9292,0.4487,-4.2114,9.0942,-26.6724
56726.0000,-0.1997,0.9355,0.4448,-4.2114,7.3242,-24.6582
56727.0000,-0.1689,0.9321,0.4502,-4.3335,6.3477,-21.2402
56728.0000,-0.1499,0.9331,0.4502,-4.5166,6.4697,-18.4937
56729.0000,-0.1406,0.9253,0.4478,-4.7607,7.5073,-15.8691
56730.0000,-0.1553,0.9116,0.4458,-4.3945,9.2773,-12.8784
56731.0000,-0.1709,0.9053,0.4458,-3.6621,10.0708,-11.2915
56732.0000,-0.1860,0.9126,0.4482,-2.8687,10.1318,-10.0098
56733.0000,-0.1890,0.9243,0.4556,-2.1362,9.5215,-9.0942
56734.0000,-0.1914,0.9321,0.4531,-1.8921,9.0942,-9.0332
56735.0000,-0.1826,0.9365,0.4546,-1.8921,8.8501,-9.0332
56736.0000,-0.1724,0.9346,0.4526,-2.3193,8.8501,-9.0942
56737.0000,-0.1733,0.9272,0.4473,-2.5635,8.9722,-8.9111
56738.0000,-0.1821,0.9229,0.4473,-2.8076,9.1553,-8.4839
56739.0000,-0.1958,0.9243,0.4443,-2.4414,8.9722,-8.1177
56740.0000,-0.2104,0.9219,0.4404,-2.3804,8.4839,-7.8125
56741.0000,-0.2246,0.9146,0.4453,-2.3804,7.6904,-7.5684
56742.0000,-0.2373,0.9180,0.4443,-1.8921,5.7983,-6.8359
56743.0000,-0.2290,0.9258,0.4492,-1.7700,4.0894,-5.8594
56744.0000,-0.2246,0.9331,0.4502,-1.9531,2.9907,-5.0049
56745.0000,-0.2100,0.9229,0.4570,-2.3193,1.2817,-3.9673
56746.0000,-0.1938,0.9204,0.4517,-2.2583,1.2207,-3.4180
56747.0000,-0.1890,0.9155,0.4482,-1.9531,1.6479,-2.7466
56748.0000,-0.2007,0.9185,0.4517,-1.1597,2.1973,-2.0142
56749.0000,-0.2114,0.9175,0.4517,-0.8545,2.0142,-1.7090
56750.0000,-0.2153,0.9194,0.4517,-0.6714,1.4038,-1.5869
56751.0000,-0.1992,0.9165,0.4517,-0.3052,0.3052,-1.3428
56752.0000,-0.1812,0.9180,0.4526,0.0610,0.1831,-0.6714
56753.0000,-0.1743,0.9194,0.4531,0.1831,0.7935,0.1831
56754.0000,-0.1914,0.9185,0.4526,0.4883,1.9531,1.5259
56755.0000,-0.2031,0.9185,0.4497,0.5493,2.1362,2.4414
56756.0000,-0.2144,0.9189,0.4468,0.8545,1.7090,3.1128
56757.0000,-0.2158,0.9224,0.4448,1.1597,0.8545,3.6011
56758.0000,-0.2124,0.9248,0.4429,1.2817,-0.0610,3.7231
56759.0000,-0.2070,0.9282,0.4434,1.4038,-0.7935,3.9673
56760.0000,-0.1914,0.9307,0.4473,1.4648,-1.5869,4.6387
56761.0000,-0.1729,0.9326,0.4497,1.3428,-1.7090,5.1270
56762.0000,-0.1587,0.9355,0.4487,1.0986,-1.0376,5.6152
56763.0000,-0.1538,0.9302,0.4463,0.8545,0.7324,6.6528
56764.0000,-0.1665,0.9194,0.4429,0.9155,1.7090,7.3242
56765.0000,-0.1895,0.9111,0.4351,1.1597,2.1362,7.8125
56766.0000,-0.2114,0.9087,0.4331,2.1973,1.0986,8.3008
56767.0000,-0.2168,0.9160,0.4326,2.8687,-0.4272,8.5449
56768.0000,-0.2070,0.9194,0.4355,3.1128,-2.1362,9.1553
56769.0000,-0.1948,0.9302,0.4453,3.2959,-3.7231,10.2539
56770.0000,-0.1899,0.9272,0.4419,3.5400,-4.3335,11.8408
56771.0000,-0.1948,0.9263,0.4414,3.5400,-4.9438,15.1978
56772.0000,-0.2012,0.9292,0.4331,3.8452,-6.0425,22.0947
56773.0000,-0.2100,0.9331,0.4258,3.8452,-7.1411,28.9307
56774.0000,-0.2295,0.9312,0.4219,3.6621,-8.6060,35.9497
56775.0000,-0.2651,0.9048,0.4121,3.4790,-11.7798,46.1426
56776.0000,-0.3013,0.8711,0.4087,3.6621,-15.4419,56.1523
56777.0000,-0.3477,0.8540,0.4116,5.4321,-22.0337,76.1719
56778.0000,-0.3765,0.8779,0.4185,6.8359,-28.8086,96.4355
56779.0000,-0.3794,0.9307,0.4360,7.5073,-36.0718,118.9575
56780.0000,-0.3306,0.9878,0.4434,6.0425,-44.9219,143.6768
56781.0000,-0.2715,0.9922,0.4370,3.8452,-48.6450,152.1606
56782.0000,-0.2314,0.9561,0.4121,1.4038,-50.2319,152.7710
56783.0000,-0.1787,0.8662,0.3901,0.3662,-52.2461,148.4985
56784.0000,-0.1519,0.8018,0.3647,1.5259,-54.9316,150.0244
56785.0000,-0.1094,0.7778,0.3540,3.3569,-59.5703,158.9966
56786.0000,-0.0059,0.8262,0.3730,5.4321,-67.3828,178.0396
56787.0000,0.0757,0.8979,0.3979,5.8594,-71.5942,191.3452
56788.0000,0.1826,0.9658,0.4204,4.0894,-73.2422,198.2422
56789.0000,0.2402,1.0078,0.4341,0.0000,-68.1152,193.2373
56790.0000,0.2471,0.9932,0.4219,-3.2349,-63.2935,179.9927
56791.0000,0.2515,0.9414,0.4106,-5.9814,-59.6313,162.1094
56792.0000,0.2681,0.8301,0.3921,-7.0801,-57.9834,139.7705
56793.0000,0.2690,0.7334,0.3735,-6.5308,-57.8003,130.7373
56794.0000,0.3076,0.6714,0.3506,-5.3101,-61.4014,131.1035
56795.0000,0.4561,0.6753,0.3486,-1.3428,-67.4438,141.9678
