timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
61287.0000,-0.1748,0.9297,0.4395,0.0610,-0.2441,0.2441
61288.0000,-0.1816,0.9238,0.4351,0.1221,-0.2441,-0.5493
61289.0000,-0.1851,0.9243,0.4355,0.5493,-0.3662,-1.1597
61290.0000,-0.1865,0.9302,0.4365,0.8545,-0.5493,-1.8311
61291.0000,-0.1860,0.9316,0.4380,0.7935,-0.6104,-1.9531
61292.0000,-0.1860,0.9336,0.4385,0.8545,-0.7324,-1.7700
61293.0000,-0.1851,0.9341,0.4375,0.7324,-0.9155,-1.2207
61294.0000,-0.1821,0.9375,0.4346,0.6104,-0.7935,-0.0610
61295.0000,-0.1812,0.9429,0.4385,0.4883,-0.6714,0.7324
61296.0000,-0.1787,0.9355,0.4365,0.1831,-0.6104,1.4648
61297.0000,-0.1768,0.9297,0.4326,-0.1831,-0.3662,2.3193
61298.0000,-0.1772,0.9219,0.4302,0.0000,-0.1221,2.6245
61299.0000,-0.1777,0.9224,0.4268,0.4272,0.1221,2.6855
61300.0000,-0.1802,0.9307,0.4282,0.9766,0.1831,2.5024
61301.0000,-0.1768,0.9390,0.4336,0.9766,-0.0610,2.4414
61302.0000,-0.1768,0.9409,0.4312,0.9155,-0.1221,2.2583
61303.0000,-0.1792,0.9453,0.4302,0.6714,-0.1221,2.1362
61304.0000,-0.1816,0.9463,0.4346,0.6104,-0.2441,1.9531
61305.0000,-0.1807,0.9434,0.4331,0.1221,-0.6714,2.0142
61306.0000,-0.1768,0.9336,0.4292,-0.0610,-0.9155,2.3193
61307.0000,-0.1763,0.9277,0.4297,0.0000,-1.0376,2.5635
61308.0000,-0.1753,0.9277,0.4287,0.1221,-1.0376,2.9297
61309.0000,-0.1772,0.9282,0.4302,0.3052,-1.2207,2.9907
61310.0000,-0.1709,0.9302,0.4292,0.3052,-1.0376,2.9907
61311.0000,-0.1670,0.9331,0.4316,0.2441,-0.8545,2.8076
61312.0000,-0.1631,0.9287,0.4297,0.1831,-0.4272,2.5635
61313.0000,-0.1704,0.9277,0.4277,0.4272,-0.0610,2.4414
61314.0000,-0.1826,0.9224,0.4297,0.5493,0.1831,2.2583
61315.0000,-0.2085,0.9043,0.4253,0.9766,-0.4883,4.4556
61316.0000,-0.2275,0.8970,0.4258,1.7090,-1.9531,8.2397
61317.0000,-0.2456,0.8901,0.4302,2.7466,-4.0283,14.7095
61318.0000,-0.2632,0.8872,0.4194,4.3335,-7.4463,26.4282
61319.0000,-0.2856,0.8813,0.4253,5.2490,-10.7422,37.2925
61320.0000,-0.3086,0.8774,0.4199,6.3477,-14.7095,50.2930
61321.0000,-0.3359,0.8960,0.4189,7.3853,-21.1792,70.9839
61322.0000,-0.3418,0.9297,0.4253,8.0566,-26.3062,87.2803
61323.0000,-0.3325,0.9595,0.4136,7.8125,-31.3721,101.5625
61324.0000,-0.3330,0.9409,0.4121,5.9204,-37.6587,117.7368
61325.0000,-0.3315,0.9058,0.3960,4.8218,-42.9688,130.7983
61326.0000,-0.3066,0.8721,0.3745,3.9062,-49.6216,146.1182
61327.0000,-0.2241,0.8535,0.3892,4.3945,-58.8989,167.7246
61328.0000,-0.1382,0.8545,0.4097,5.3711,-63.6597,181.5796
61329.0000,-0.0786,0.8560,0.4019,5.4321,-65.2466,193.1152
61330.0000,-0.0142,0.8608,0.4038,4.9438,-65.2466,206.5430
61331.0000,0.0220,0.8638,0.3989,4.3945,-64.8193,214.8438
61332.0000,0.0547,0.8599,0.3848,3.9062,-64.9414,220.8252
61333.0000,0.1113,0.8618,0.3789,3.4180,-65.8569,224.5483
61334.0000,0.1631,0.8784,0.3750,3.2959,-65.7349,223.0835
61335.0000,0.2085,0.8896,0.3862,3.0518,-65.6128,217.4683
61336.0000,0.2944,0.8833,0.4043,2.0142,-64.8193,206.5430
61337.0000,0.3428,0.8647,0.4121,1.4648,-62.1338,196.1670
61338.0000,0.3711,0.8384,0.4053,1.0376,-58.5938,185.6689
61339.0000,0.3892,0.8315,0.3774,0.5493,-54.4434,175.9033
61340.0000,0.4360,0.8662,0.3774,0.6104,-53.3447,170.4712
61341.0000,0.4932,0.8901,0.3916,0.1831,-52.1240,163.1470
61342.0000,0.5127,0.8755,0.4023,-1.7700,-48.1567,148.9258
61343.0000,0.4893,0.8301,0.3994,-3.1128,-46.0815,136.8408
61344.0000,0.4922,0.7788,0.3950,-3.1738,-46.1426,124.7559
61345.0000,0.5342,0.7114,0.3730,-1.3428,-49.4385,111.3281
61346.0000,0.5942,0.6733,0.3545,0.6714,-52.3071,104.2480
61347.0000,0.6792,0.6646,0.3320,3.1128,-55.4199,99.8535
61348.0000,0.8218,0.6895,0.3164,5.5542,-57.1289,94.7876
61349.0000,0.9214,0.7275,0.3140,6.4087,-54.9927,89.9048
61350.0000,1.0044,0.7573,0.3130,6.1035,-49.6826,82.7637
61351.0000,1.0566,0.7744,0.3149,4.6387,-39.9780,69.6411
61352.0000,1.0684,0.7729,0.3086,3.4180,-31.7993,59.2041
61353.0000,1.0649,0.7671,0.3027,2.1973,-24.7192,48.3398
61354.0000,1.0503,0.7642,0.2949,0.7935,-16.3574,33.9966
61355.0000,1.0215,0.7559,0.2910,-0.3662,-10.6812,23.3765
61356.0000,0.9751,0.7466,0.2881,-1.6479,-5.3711,12.8784
61357.0000,0.8931,0.7393,0.2905,-3.2349,-1.2817,0.5493
61358.0000,0.8579,0.7432,0.3101,-4.3335,-0.1221,-6.7749
61359.0000,0.8472,0.7393,0.3213,-5.9814,0.4883,-13.2446
61360.0000,0.8379,0.7148,0.3325,-7.8125,2.6855,-21.0571
61361.0000,0.8213,0.6875,0.3340,-8.0566,5.1270,-25.8789
61362.0000,0.7988,0.6602,0.3276,-7.0190,7.7515,-29.1138
61363.0000,0.7505,0.6377,0.3145,-4.5166,10.3149,-30.3955
61364.0000,0.7095,0.6455,0.3125,-1.9531,11.1694,-29.4800
61365.0000,0.6675,0.6733,0.3130,0.2441,10.7422,-27.6489
61366.0000,0.6304,0.7246,0.3237,1.9531,9.0942,-26.2451
61367.0000,0.6245,0.7617,0.3369,2.0752,7.4463,-26.2451
61368.0000,0.6348,0.7900,0.3418,1.5869,5.7983,-26.7944
61369.0000,0.6616,0.8179,0.3472,0.5493,4.5166,-28.3813
61370.0000,0.6802,0.8315,0.3403,-0.5493,4.6997,-30.7617
61371.0000,0.6924,0.8467,0.3389,-1.8311,5.1270,-34.6069
61372.0000,0.7056,0.8716,0.3477,-3.6621,6.7139,-42.9688
61373.0000,0.7109,0.8887,0.3560,-5.1270,8.3618,-52.2461
61374.0000,0.7178,0.8965,0.3623,-6.9580,10.3760,-62.8052
61375.0000,0.7271,0.8892,0.3657,-9.6436,13.2446,-77.8198
61376.0000,0.7349,0.8818,0.3701,-11.3525,15.2588,-88.6230
61377.0000,0.7422,0.8784,0.3667,-13.1226,17.3340,-99.1821
61378.0000,0.7466,0.8696,0.3613,-15.6250,20.9961,-111.9995
61379.0000,0.7471,0.8599,0.3550,-17.5781,24.2920,-120.6055
61380.0000,0.7393,0.8457,0.3506,-19.3481,27.7100,-128.0518
61381.0000,0.7090,0.8149,0.3550,-20.8130,32.3486,-136.1084
61382.0000,0.6753,0.8008,0.3535,-20.5688,35.2783,-140.5640
61383.0000,0.6567,0.7832,0.3579,-19.7144,38.0859,-144.4092
61384.0000,0.6304,0.7861,0.3672,-18.9209,40.9546,-147.2778
61385.0000,0.5986,0.7910,0.3745,-18.0054,44.4946,-149.9634
61386.0000,0.5386,0.7905,0.3770,-17.2119,49.0723,-152.4048
61387.0000,0.4878,0.7891,0.3779,-16.5405,51.2695,-152.4048
61388.0000,0.4517,0.8008,0.3745,-15.9912,51.6968,-150.0854
61389.0000,0.4243,0.8247,0.3823,-15.6250,52.3071,-145.2637
61390.0000,0.4023,0.8477,0.3906,-15.5029,53.1616,-141.8457
61391.0000,0.3633,0.8662,0.3975,-15.5029,54.2603,-138.7329
61392.0000,0.3164,0.8975,0.4067,-15.5640,55.7861,-135.1929
61393.0000,0.2861,0.9048,0.4121,-16.0522,56.6406,-133.3008
61394.0000,0.2549,0.9033,0.4185,-16.6626,57.3730,-131.7139
61395.0000,0.2202,0.9033,0.4224,-17.3340,58.2275,-129.6387
