timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
51820.0000,-0.0776,0.9609,0.4067,-0.6104,0.3052,-1.0376
51821.0000,-0.0786,0.9609,0.4053,-0.4272,0.1831,-1.0376
51822.0000,-0.0767,0.9585,0.4082,-0.3662,0.1221,-0.8545
51823.0000,-0.0781,0.9609,0.4048,-0.2441,0.1221,-0.5493
51824.0000,-0.0771,0.9575,0.4033,-0.1221,0.1831,-0.4883
51825.0000,-0.0791,0.9536,0.4038,-0.2441,0.1831,-0.3662
51826.0000,-0.0869,0.9512,0.4004,0.1221,0.2441,0.2441
51827.0000,-0.0942,0.9531,0.3979,0.2441,-0.3052,1.4648
51828.0000,-0.1006,0.9595,0.3960,0.4272,-0.9766,2.7466
51829.0000,-0.0981,0.9663,0.3970,0.2441,-1.6479,4.1504
51830.0000,-0.0967,0.9688,0.4009,0.0610,-2.5635,5.7373
51831.0000,-0.0908,0.9697,0.4004,-0.2441,-3.1738,6.4697
51832.0000,-0.0806,0.9775,0.4038,-0.5493,-3.4180,6.9580
51833.0000,-0.0693,0.9790,0.4067,-1.3428,-3.4180,6.5918
51834.0000,-0.0649,0.9766,0.4077,-1.8311,-3.1128,6.3477
51835.0000,-0.0645,0.9717,0.4072,-2.1973,-2.7466,5.7983
51836.0000,-0.0649,0.9663,0.4077,-2.3804,-2.4414,4.8828
51837.0000,-0.0620,0.9624,0.4077,-2.5635,-2.3804,4.3335
51838.0000,-0.0591,0.9546,0.4062,-2.5635,-2.1973,4.0283
51839.0000,-0.0586,0.9482,0.4136,-2.3193,-1.9531,4.6387
51840.0000,-0.0630,0.9482,0.4160,-1.7700,-1.7700,5.9204
51841.0000,-0.0713,0.9517,0.4165,-1.4038,-1.8311,7.1411
51842.0000,-0.0757,0.9565,0.4160,-1.1597,-2.1362,8.1177
51843.0000,-0.0728,0.9570,0.4131,-0.8545,-2.5635,8.9111
51844.0000,-0.0679,0.9585,0.4146,-0.7935,-2.8076,9.5825
51845.0000,-0.0649,0.9595,0.4160,-0.6714,-2.9297,9.8267
51846.0000,-0.0723,0.9561,0.4126,-0.5493,-3.2349,10.0098
51847.0000,-0.0771,0.9546,0.4082,-0.3662,-3.6621,10.4980
51848.0000,-0.0757,0.9590,0.4165,-0.3052,-4.6997,12.0850
51849.0000,-0.0718,0.9575,0.4087,-0.6714,-5.6152,14.1602
51850.0000,-0.0654,0.9614,0.4082,-1.0986,-6.5918,16.2964
51851.0000,-0.0625,0.9717,0.4160,-1.4038,-7.7515,18.5547
51852.0000,-0.0620,0.9771,0.4185,-1.6479,-8.4839,19.6533
51853.0000,-0.0581,0.9688,0.4155,-2.0142,-9.3384,20.0806
51854.0000,-0.0435,0.9570,0.4141,-2.0752,-10.1318,19.7144
51855.0000,-0.0400,0.9546,0.4141,-1.4648,-10.4370,19.4702
51856.0000,-0.0347,0.9546,0.4155,-0.8545,-10.6201,19.4092
51857.0000,-0.0273,0.9570,0.4170,-0.5493,-11.1694,19.8364
51858.0000,-0.0156,0.9595,0.4185,-0.5493,-11.4136,20.2637
51859.0000,-0.0063,0.9644,0.4155,-0.4883,-11.2915,20.8130
51860.0000,0.0029,0.9678,0.4170,-0.6714,-10.8032,21.3623
51861.0000,0.0078,0.9644,0.4160,-0.9155,-10.4370,21.5454
51862.0000,0.0137,0.9526,0.4106,-0.9155,-10.0708,21.6064
51863.0000,0.0093,0.9443,0.4106,-0.7324,-9.7656,22.1558
51864.0000,0.0093,0.9419,0.4106,-0.2441,-10.0708,23.0103
51865.0000,0.0122,0.9458,0.4126,0.3052,-10.2539,23.9868
51866.0000,0.0254,0.9565,0.4155,0.5493,-10.6812,25.4517
51867.0000,0.0312,0.9653,0.4150,0.6714,-10.6812,25.9399
51868.0000,0.0396,0.9692,0.4185,0.7324,-10.3760,25.4517
51869.0000,0.0488,0.9712,0.4160,0.3052,-10.0098,24.4751
51870.0000,0.0522,0.9692,0.4150,0.1831,-9.4604,23.3765
51871.0000,0.0522,0.9609,0.4087,-0.0610,-9.0942,22.7661
51872.0000,0.0532,0.9614,0.4111,0.0000,-9.0942,23.1323
51873.0000,0.0610,0.9663,0.4111,0.1831,-9.3994,23.9258
51874.0000,0.0698,0.9727,0.4131,0.0610,-9.2773,24.5972
51875.0000,0.0747,0.9756,0.4146,-0.0610,-8.9111,24.9023
51876.0000,0.0786,0.9707,0.4126,-0.3052,-8.5449,24.7803
51877.0000,0.0801,0.9697,0.4087,-0.6104,-8.1787,24.1089
51878.0000,0.0796,0.9653,0.4131,-0.6714,-7.9346,23.4985
51879.0000,0.0752,0.9517,0.4097,-0.8545,-7.9956,23.6816
51880.0000,0.0640,0.9409,0.4072,-0.9155,-8.5449,25.2686
51881.0000,0.0610,0.9375,0.4062,-0.2441,-10.0098,29.1748
51882.0000,0.0664,0.9453,0.4082,0.5493,-11.0474,31.5552
51883.0000,0.0703,0.9546,0.4121,1.1597,-12.0850,33.3862
51884.0000,0.0815,0.9629,0.4126,1.2207,-13.1226,34.2407
51885.0000,0.0952,0.9658,0.4092,1.1597,-13.6719,34.0576
51886.0000,0.1040,0.9590,0.4072,0.9766,-14.0991,33.6914
51887.0000,0.1152,0.9517,0.4038,0.6104,-14.8926,34.5459
51888.0000,0.1226,0.9478,0.4058,0.6714,-15.6860,36.4990
51889.0000,0.1401,0.9526,0.4097,0.7935,-16.4185,39.1235
51890.0000,0.1616,0.9629,0.4126,0.9155,-16.7236,41.8091
51891.0000,0.1743,0.9668,0.4121,0.4883,-16.1743,42.7246
51892.0000,0.1807,0.9624,0.4131,0.0000,-15.1367,41.8701
51893.0000,0.1841,0.9604,0.4092,-0.1221,-14.4043,40.3442
51894.0000,0.1855,0.9458,0.4043,-0.3662,-13.9771,38.5132
51895.0000,0.1763,0.9111,0.3950,-0.1221,-14.2212,37.7197
51896.0000,0.1768,0.8945,0.3916,0.5493,-15.5029,39.9170
51897.0000,0.1914,0.8970,0.3960,1.9531,-17.2729,43.0298
51898.0000,0.2202,0.9224,0.4087,3.3569,-18.8599,46.4478
51899.0000,0.2339,0.9390,0.4160,3.8452,-18.9819,47.0581
51900.0000,0.2427,0.9521,0.4141,3.7231,-18.3716,45.9595
51901.0000,0.2642,0.9482,0.4097,3.2349,-17.2119,43.7012
51902.0000,0.2700,0.9272,0.4028,3.0518,-16.1133,42.3584
51903.0000,0.2681,0.9023,0.3970,3.6621,-15.3809,42.5415
51904.0000,0.2788,0.8931,0.3911,5.0659,-15.5029,45.4712
51905.0000,0.2988,0.9087,0.3940,6.1646,-15.8081,48.2178
51906.0000,0.3130,0.9341,0.4038,6.7749,-15.4419,49.9268
51907.0000,0.3169,0.9585,0.4033,6.4697,-13.7939,49.3774
51908.0000,0.3125,0.9644,0.4019,5.7983,-12.3901,46.9971
