timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
188394.0000,-0.0356,0.9600,0.4258,-0.0610,0.1831,1.4038
188395.0000,-0.0332,0.9614,0.4268,0.0000,0.0610,1.2207
188396.0000,-0.0312,0.9600,0.4248,0.0000,0.0000,1.0986
188397.0000,-0.0322,0.9639,0.4233,-0.2441,0.0610,1.1597
188398.0000,-0.0308,0.9614,0.4238,-0.3662,0.1831,1.5259
188399.0000,-0.0273,0.9619,0.4268,-0.4883,0.0000,1.5869
188400.0000,-0.0264,0.9595,0.4258,-0.6104,0.1221,1.7700
188401.0000,-0.0264,0.9570,0.4253,-0.3662,0.2441,1.7700
188402.0000,-0.0259,0.9551,0.4253,-0.2441,0.3662,1.6479
188403.0000,-0.0259,0.9561,0.4243,-0.1831,0.3662,1.5869
188404.0000,-0.0234,0.9570,0.4253,0.0610,0.4272,1.0986
188405.0000,-0.0229,0.9551,0.4238,-0.0610,0.4883,0.4883
188406.0000,-0.0249,0.9575,0.4243,-0.1221,0.4272,0.1831
188407.0000,-0.0298,0.9546,0.4268,-0.0610,0.4272,-0.1831
188408.0000,-0.0332,0.9551,0.4214,0.0000,0.2441,-0.2441
188409.0000,-0.0337,0.9600,0.4253,0.0000,0.0610,-0.1221
188410.0000,-0.0259,0.9678,0.4287,-0.1221,-0.0610,0.1221
188411.0000,-0.0229,0.9634,0.4253,-0.6714,0.0610,0.6714
188412.0000,-0.0229,0.9551,0.4243,-1.0986,0.1831,1.0376
188413.0000,-0.0200,0.9604,0.4297,-0.7935,0.3052,1.3428
188414.0000,-0.0190,0.9629,0.4321,-0.7324,0.5493,1.2817
188415.0000,-0.0195,0.9609,0.4272,-1.0376,0.6714,0.9766
188416.0000,-0.0181,0.9546,0.4292,-0.6714,1.0986,0.3662
188417.0000,-0.0239,0.9517,0.4268,-0.1221,1.4038,-0.1831
188418.0000,-0.0264,0.9609,0.4287,0.1831,1.4038,-0.7935
188419.0000,-0.0278,0.9600,0.4263,0.2441,1.2207,-1.2817
188420.0000,-0.0264,0.9604,0.4229,0.1831,1.2207,-1.2817
188421.0000,-0.0278,0.9624,0.4243,0.0610,1.0376,-1.1597
188422.0000,-0.0327,0.9619,0.4253,-0.1831,0.9766,-1.0986
188423.0000,-0.0337,0.9575,0.4243,-0.3662,0.6714,-1.0986
188424.0000,-0.0337,0.9536,0.4253,-0.3662,0.3052,-1.2817
188425.0000,-0.0298,0.9512,0.4219,-0.2441,0.0000,-1.5259
188426.0000,-0.0239,0.9526,0.4238,-0.0610,-0.1221,-1.9531
188427.0000,-0.0225,0.9551,0.4253,0.0610,-0.0610,-2.4414
188428.0000,-0.0161,0.9595,0.4268,0.0000,0.3052,-3.2959
188429.0000,-0.0151,0.9614,0.4282,0.0000,0.5493,-3.6621
188430.0000,-0.0137,0.9614,0.4307,-0.1221,0.7324,-3.9673
188431.0000,-0.0146,0.9565,0.4302,-0.3052,1.3428,-4.5776
188432.0000,-0.0254,0.9541,0.4277,-0.2441,1.5869,-5.1270
188433.0000,-0.0317,0.9561,0.4272,-0.0610,1.7700,-5.4932
188434.0000,-0.0337,0.9561,0.4326,0.0610,1.5869,-6.1646
188435.0000,-0.0356,0.9561,0.4312,0.1831,1.4648,-6.7139
188436.0000,-0.0347,0.9536,0.4302,0.2441,1.5869,-7.1411
188437.0000,-0.0347,0.9521,0.4326,0.6104,1.4648,-8.1177
188438.0000,-0.0327,0.9526,0.4316,0.7935,1.5869,-8.9722
188439.0000,-0.0312,0.9487,0.4326,1.0986,1.7090,-10.0098
188440.0000,-0.0332,0.9492,0.4336,1.6479,1.7700,-11.5356
188441.0000,-0.0308,0.9473,0.4312,1.8921,1.8921,-12.7563
188442.0000,-0.0264,0.9521,0.4390,2.1362,2.0752,-14.4653
188443.0000,-0.0210,0.9536,0.4404,2.5024,2.1973,-16.8457
188444.0000,-0.0166,0.9482,0.4360,2.4414,2.2583,-18.7988
188445.0000,-0.0142,0.9390,0.4346,2.5024,2.4414,-21.0571
188446.0000,-0.0049,0.9233,0.4287,3.2349,2.6245,-23.9258
188447.0000,0.0059,0.9185,0.4282,4.0283,3.1738,-26.1230
188448.0000,0.0098,0.9146,0.4243,4.9438,3.9673,-28.3813
188449.0000,0.0093,0.9194,0.4175,5.8594,5.1880,-31.1890
188450.0000,0.0122,0.9243,0.4189,6.2256,6.1646,-32.8369
188451.0000,0.0088,0.9321,0.4126,5.9204,7.6294,-33.9966
188452.0000,-0.0176,0.9497,0.4150,5.2490,10.2539,-35.0342
188453.0000,-0.0396,0.9521,0.4180,4.5166,11.8408,-35.2173
188454.0000,-0.0542,0.9434,0.4131,3.6011,13.0615,-34.7900
188455.0000,-0.0659,0.9365,0.4019,2.8687,13.9771,-32.6538
188456.0000,-0.0703,0.9287,0.4023,2.6855,14.5874,-30.2124
188457.0000,-0.0781,0.9253,0.4004,2.6245,15.2588,-27.4658
188458.0000,-0.0923,0.9268,0.3994,2.8076,16.0522,-23.5596
188459.0000,-0.0991,0.9351,0.4009,2.8687,16.6626,-21.0571
188460.0000,-0.1157,0.9502,0.4028,2.9907,17.8223,-18.7988
188461.0000,-0.1621,0.9697,0.4043,3.1738,19.7754,-17.2119
188462.0000,-0.2031,0.9810,0.4028,3.3569,20.7520,-16.1743
188463.0000,-0.2373,0.9912,0.4023,3.4180,20.7520,-15.0146
188464.0000,-0.2515,0.9966,0.4004,3.3569,19.4092,-12.5122
188465.0000,-0.2588,1.0029,0.4009,1.9531,17.7612,-9.5215
188466.0000,-0.2510,1.0034,0.3857,3.6011,16.8457,-5.4321
188467.0000,-0.2686,1.0073,0.3799,1.3428,15.0146,0.1221
188468.0000,-0.2798,1.0317,0.3794,1.3428,13.7329,5.1880
188469.0000,-0.2920,1.0562,0.3867,0.0000,12.3901,11.0474
188470.0000,-0.2886,1.0732,0.3911,-2.6855,10.1318,19.5312
188471.0000,-0.2695,1.0640,0.3892,-4.9438,8.7891,25.8789
188472.0000,-0.2485,1.0298,0.3872,-8.3008,7.6904,33.2642
188473.0000,-0.2397,1.0034,0.3848,-9.3384,6.7749,37.5977
188474.0000,-0.2261,0.9863,0.3872,-9.5825,5.6763,40.5273
