timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
174730.0000,-0.0459,0.9678,0.3896,-0.3052,0.3052,0.5493
174731.0000,-0.0503,0.9663,0.3940,-0.1831,0.1221,0.7324
174732.0000,-0.0493,0.9678,0.3911,-0.1831,0.2441,0.7935
174733.0000,-0.0459,0.9688,0.3921,-0.2441,0.0610,0.6714
174734.0000,-0.0449,0.9673,0.3931,-0.1221,0.0610,0.7324
174735.0000,-0.0444,0.9678,0.3926,-0.3052,0.0000,0.4272
174736.0000,-0.0444,0.9688,0.3906,-0.1831,0.0000,0.3662
174737.0000,-0.0405,0.9639,0.3931,-0.1221,-0.1221,-0.1221
174738.0000,-0.0420,0.9653,0.3931,-0.1221,-0.2441,-0.3052
174739.0000,-0.0415,0.9639,0.3931,0.0000,-0.1831,-0.4272
174740.0000,-0.0396,0.9653,0.3901,0.0610,-0.1831,-0.6714
174741.0000,-0.0425,0.9644,0.3945,0.0610,-0.1221,-0.6104
174742.0000,-0.0425,0.9634,0.3926,0.2441,-0.2441,-0.4883
174743.0000,-0.0420,0.9663,0.3916,0.2441,-0.1221,-0.5493
174744.0000,-0.0410,0.9688,0.3911,0.2441,0.0000,-0.7324
174745.0000,-0.0391,0.9707,0.3896,0.1831,0.0610,-1.0376
174746.0000,-0.0415,0.9678,0.3921,0.1831,0.0610,-1.4648
174747.0000,-0.0444,0.9673,0.3892,0.2441,0.0000,-1.7090
174748.0000,-0.0425,0.9673,0.3916,0.1221,0.0000,-2.1973
174749.0000,-0.0439,0.9692,0.3887,0.0610,0.0000,-2.2583
174750.0000,-0.0474,0.9663,0.3906,0.0000,-0.1221,-2.1973
174751.0000,-0.0469,0.9678,0.3896,-0.0610,-0.3662,-1.8311
174752.0000,-0.0459,0.9634,0.3921,0.0610,-0.4883,-1.1597
174753.0000,-0.0474,0.9609,0.3872,0.0000,-0.5493,-0.9155
174754.0000,-0.0464,0.9658,0.3896,0.1831,-0.5493,-0.7324
174755.0000,-0.0420,0.9741,0.3921,0.5493,-0.6104,-0.6714
174756.0000,-0.0366,0.9707,0.3892,-0.0610,-0.4272,-0.4883
174757.0000,-0.0352,0.9658,0.3882,-0.3662,-0.2441,-0.4272
174758.0000,-0.0337,0.9692,0.3906,-0.1831,0.0610,-0.4272
174759.0000,-0.0386,0.9697,0.3916,-0.0610,0.1221,-0.7324
174760.0000,-0.0376,0.9658,0.3911,-0.0610,0.0610,-0.9766
174761.0000,-0.0376,0.9639,0.3916,0.0000,0.1831,-1.3428
174762.0000,-0.0347,0.9683,0.3896,0.2441,0.4883,-1.7700
174763.0000,-0.0381,0.9683,0.3911,0.6104,0.6104,-1.8921
174764.0000,-0.0391,0.9712,0.3931,0.6714,0.6714,-2.2583
174765.0000,-0.0405,0.9727,0.3926,0.1831,0.7324,-2.0752
174766.0000,-0.0405,0.9707,0.3892,0.0000,0.8545,-2.0752
174767.0000,-0.0430,0.9673,0.3867,-0.1221,0.9155,-2.3804
174768.0000,-0.0415,0.9678,0.3862,-0.2441,0.6714,-2.7466
174769.0000,-0.0459,0.9634,0.3867,-0.3052,0.4883,-3.2959
174770.0000,-0.0430,0.9609,0.3882,-0.1831,0.1221,-4.2725
174771.0000,-0.0371,0.9624,0.3887,-0.1831,0.0610,-4.8218
174772.0000,-0.0322,0.9619,0.3892,-0.1221,0.0000,-5.7983
174773.0000,-0.0200,0.9707,0.3945,-0.3052,0.3662,-7.4463
174774.0000,-0.0098,0.9780,0.3970,-0.7324,0.7935,-9.3994
174775.0000,-0.0015,0.9834,0.3979,-1.4038,1.7700,-12.0239
