timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
119303.0000,-0.1245,0.9595,0.3916,1.4038,-8.7891,-1.4648
119304.0000,-0.1250,0.9609,0.3887,1.1597,-8.3008,-1.3428
119305.0000,-0.1216,0.9600,0.3896,0.7935,-7.6904,-1.0986
119306.0000,-0.1177,0.9585,0.3887,0.5493,-6.9580,-0.9155
119307.0000,-0.1187,0.9575,0.3911,0.3662,-6.2256,-0.6104
119308.0000,-0.1230,0.9551,0.3877,0.3052,-5.7373,-0.3662
119309.0000,-0.1274,0.9561,0.3892,0.3662,-5.1880,-0.1831
119310.0000,-0.1294,0.9575,0.3896,0.4272,-4.8218,-0.3052
119311.0000,-0.1260,0.9585,0.3921,0.3052,-4.5166,-0.5493
119312.0000,-0.1221,0.9614,0.3931,0.3052,-4.0894,-0.5493
119313.0000,-0.1201,0.9604,0.3940,0.0610,-3.5400,-0.6714
119314.0000,-0.1191,0.9580,0.3906,-0.1221,-2.9297,-0.4883
119315.0000,-0.1216,0.9546,0.3936,-0.3662,-2.2583,-0.6104
119316.0000,-0.1191,0.9526,0.3945,-0.3662,-1.8921,-0.5493
119317.0000,-0.1196,0.9517,0.3926,-0.3662,-1.2817,-0.3662
119318.0000,-0.1240,0.9487,0.3896,-0.2441,-0.6104,-0.4883
119319.0000,-0.1270,0.9497,0.3916,0.0000,-0.3052,-0.3662
119320.0000,-0.1294,0.9487,0.3940,0.0610,-0.1221,-0.5493
119321.0000,-0.1323,0.9497,0.3926,0.1831,-0.0610,-0.6104
119322.0000,-0.1328,0.9497,0.3926,0.2441,0.0000,-0.9766
119323.0000,-0.1392,0.9536,0.3931,0.4883,-0.2441,-0.9155
119324.0000,-0.1382,0.9570,0.3916,0.4883,-0.3662,-0.9766
119325.0000,-0.1392,0.9590,0.3926,0.1221,-0.6104,-1.2207
119326.0000,-0.1372,0.9565,0.3950,-0.2441,-0.7935,-1.4648
119327.0000,-0.1362,0.9561,0.3936,-0.2441,-0.8545,-1.6479
119328.0000,-0.1372,0.9546,0.3931,-0.2441,-0.7935,-1.6479
119329.0000,-0.1367,0.9551,0.3892,-0.3052,-0.8545,-1.6479
119330.0000,-0.1299,0.9575,0.3950,-0.4272,-0.7324,-1.7700
119331.0000,-0.1143,0.9590,0.3999,-0.5493,-0.3662,-1.3428
119332.0000,-0.0757,0.9614,0.4082,-1.2207,1.3428,-0.4883
119333.0000,-0.0400,0.9604,0.4092,-1.5869,3.9673,0.9155
119334.0000,-0.0044,0.9575,0.4111,-1.8311,7.8735,2.6245
119335.0000,0.0220,0.9438,0.4009,-2.1362,15.1367,5.3711
119336.0000,0.0298,0.9434,0.4053,-2.0752,21.4233,7.5684
119337.0000,0.0371,0.9512,0.4092,-1.7700,27.9541,9.4604
119338.0000,0.0645,0.9497,0.4058,-1.8921,36.8652,12.2070
119339.0000,0.0942,0.9473,0.4033,-2.3193,44.3726,14.8315
119340.0000,0.1245,0.9575,0.4028,-2.4414,52.9175,17.6392
119341.0000,0.1660,0.9790,0.3960,-2.7466,66.2231,22.0337
119342.0000,0.1943,0.9888,0.3887,-3.5400,77.4536,25.8789
119343.0000,0.2129,0.9722,0.3647,-4.5776,89.7827,29.7241
119344.0000,0.1743,0.9189,0.3311,-4.4556,106.3843,34.3018
119345.0000,0.1206,0.8945,0.3164,-1.5259,117.1875,37.7197
119346.0000,0.0864,0.8994,0.3179,1.2817,125.1221,40.1001
119347.0000,0.1147,0.9229,0.3140,4.6387,134.8877,43.0908
119348.0000,0.1475,0.9326,0.3022,5.6763,143.6768,45.2881
119349.0000,0.1636,0.9468,0.2847,6.3477,153.3813,47.9126
119350.0000,0.1660,0.9922,0.2524,7.0801,166.8091,51.5747
119351.0000,0.1484,1.0200,0.2207,6.8970,176.7578,53.5889
119352.0000,0.0894,1.0283,0.1860,5.1270,185.5469,55.3589
119353.0000,-0.0181,1.0044,0.1528,3.4180,192.4438,56.3965
119354.0000,-0.0605,0.9888,0.1377,4.4556,194.0918,57.1289
119355.0000,-0.0767,1.0220,0.1309,7.0801,194.7021,57.3730
119356.0000,-0.0728,1.0728,0.1377,4.6387,194.0308,57.8613
119357.0000,-0.0435,1.1025,0.1357,2.5024,194.7632,58.8379
119358.0000,-0.0327,1.1167,0.1177,-0.9766,195.9229,60.1807
119359.0000,-0.0352,1.1123,0.0967,-4.5166,198.5474,62.1948
119360.0000,-0.1025,1.0918,0.0815,-6.7139,199.7070,62.6221
119361.0000,-0.1924,1.0718,0.0752,-7.5684,197.7539,61.9507
119362.0000,-0.3042,1.0640,0.0806,-7.6294,189.6973,58.7769
119363.0000,-0.3677,1.0771,0.0938,-7.4463,179.5044,55.4199
119364.0000,-0.4023,1.0991,0.1118,-8.1177,167.4194,51.2085
119365.0000,-0.4351,1.1143,0.1343,-10.2539,149.9023,45.3491
119366.0000,-0.4468,1.0986,0.1533,-12.5732,135.9863,40.2832
119367.0000,-0.4741,1.0688,0.1689,-13.9160,122.0093,33.9966
119368.0000,-0.5083,1.0557,0.1943,-14.9536,102.1729,24.6582
119369.0000,-0.5225,1.0645,0.2129,-16.0522,86.6089,17.3950
119370.0000,-0.4946,1.0684,0.2383,-17.6392,70.2515,11.3525
119371.0000,-0.4282,1.0303,0.2573,-20.1416,51.6357,4.8218
119372.0000,-0.3911,0.9863,0.2661,-20.6299,39.7339,1.6479
119373.0000,-0.3706,0.9507,0.2793,-19.7144,29.2358,-0.6104
119374.0000,-0.3340,0.9238,0.2983,-17.0898,16.4185,-2.5635
119375.0000,-0.3154,0.9214,0.3076,-14.0991,7.9956,-3.5400
119376.0000,-0.2827,0.9141,0.3198,-12.1460,0.5493,-4.3945
119377.0000,-0.2515,0.9141,0.3296,-8.5449,-7.6904,-5.4321
119378.0000,-0.2388,0.9170,0.3267,-6.2256,-12.4512,-5.8594
119379.0000,-0.2441,0.9253,0.3257,-3.7231,-16.9678,-6.9580
119380.0000,-0.2915,0.9443,0.3159,-1.0376,-23.6816,-9.0332
119381.0000,-0.3335,0.9692,0.3076,0.6714,-30.7617,-10.9253
119382.0000,-0.3599,0.9937,0.3018,1.3428,-39.2456,-13.4277
119383.0000,-0.3784,1.0225,0.2959,1.0986,-51.6968,-17.3950
119384.0000,-0.3926,1.0332,0.2891,0.0610,-61.5845,-20.8130
119385.0000,-0.4019,1.0352,0.2856,-1.0376,-72.0215,-24.5972
119386.0000,-0.4106,1.0298,0.2754,-2.6245,-86.4258,-30.0293
119387.0000,-0.4067,1.0234,0.2642,-3.3569,-97.3511,-34.1187
119388.0000,-0.4087,1.0210,0.2529,-3.6011,-108.2764,-38.3301
119389.0000,-0.4141,1.0327,0.2397,-3.2959,-122.9858,-44.0063
119390.0000,-0.4248,1.0415,0.2251,-3.2959,-134.8877,-48.2178
119391.0000,-0.4321,1.0459,0.2085,-3.5400,-147.2778,-52.3071
119392.0000,-0.4331,1.0479,0.1875,-4.0283,-164.7339,-57.7393
119393.0000,-0.4287,1.0400,0.1738,-4.4556,-177.6123,-61.8286
119394.0000,-0.4106,1.0376,0.1631,-4.9438,-190.1245,-65.7349
119395.0000,-0.3452,1.0371,0.1494,-5.6763,-205.1392,-69.9463
119396.0000,-0.2686,1.0405,0.1470,-6.7139,-213.8062,-71.8994
119397.0000,-0.1958,1.0425,0.1523,-7.5684,-219.6045,-72.9980
119398.0000,-0.1172,1.0273,0.1592,-8.3618,-223.3276,-72.7539
119399.0000,-0.0801,1.0107,0.1626,-8.7891,-223.8770,-72.3877
119400.0000,-0.0625,0.9893,0.1680,-8.3618,-223.1445,-71.7773
119401.0000,-0.0659,0.9668,0.1787,-6.5918,-221.4355,-71.2891
119402.0000,-0.0771,0.9585,0.1875,-4.6997,-220.7031,-70.8618
119403.0000,-0.0815,0.9673,0.1982,-2.6245,-220.3979,-70.3125
119404.0000,-0.0679,0.9824,0.2207,-1.4648,-220.0317,-70.5566
119405.0000,-0.0332,1.0005,0.2397,-1.2817,-219.0552,-70.8618
119406.0000,0.0122,1.0137,0.2578,-1.5259,-216.6138,-71.0449
119407.0000,0.0786,1.0005,0.2891,-2.9907,-210.3882,-70.0684
119408.0000,0.1382,0.9907,0.3091,-3.9062,-203.7354,-68.0542
119409.0000,0.2012,0.9697,0.3335,-4.8218,-195.0684,-64.1479
119410.0000,0.2778,0.9170,0.3633,-5.0049,-179.8706,-56.4575
119411.0000,0.2954,0.8799,0.3813,-3.7231,-165.7715,-49.9268
119412.0000,0.2578,0.8594,0.3926,-0.8545,-151.0010,-43.5181
119413.0000,0.1768,0.8804,0.4189,2.9297,-134.0942,-36.8042
119414.0000,0.1357,0.9111,0.4380,5.1270,-123.8403,-33.9355
119415.0000,0.1226,0.9233,0.4507,6.0425,-114.9292,-32.1045
119416.0000,0.1392,0.9233,0.4580,6.1646,-102.7222,-30.5786
119417.0000,0.1558,0.9204,0.4697,6.7749,-92.9565,-29.1748
119418.0000,0.1470,0.9150,0.4722,7.4463,-82.6416,-27.2217
119419.0000,0.0850,0.9072,0.4722,8.6670,-70.6177,-23.8647
119420.0000,0.0146,0.9106,0.4707,10.0708,-64.0869,-21.4844
119421.0000,-0.0679,0.9199,0.4727,11.5356,-59.6924,-19.1650
119422.0000,-0.0986,0.9365,0.4722,12.3291,-58.7769,-18.1885
119423.0000,-0.1084,0.9526,0.4692,12.5732,-58.9600,-17.6392
119424.0000,-0.0737,0.9561,0.4702,11.6577,-59.1431,-17.2729
119425.0000,-0.0503,0.9404,0.4595,10.7422,-57.5562,-17.0288
119426.0000,-0.0469,0.9297,0.4580,10.4370,-55.4199,-16.4795
119427.0000,-0.0547,0.9297,0.4595,11.2915,-52.4292,-15.4419
119428.0000,-0.0620,0.9351,0.4526,11.7188,-51.0254,-14.8926
119429.0000,-0.0576,0.9385,0.4526,11.5967,-49.6826,-14.2212
119430.0000,-0.0684,0.9473,0.4482,10.7422,-48.0957,-13.2446
119431.0000,-0.0864,0.9526,0.4536,10.1318,-47.1802,-12.4512
119432.0000,-0.1060,0.9634,0.4507,9.6436,-47.1191,-11.8408
119433.0000,-0.1113,0.9858,0.4565,8.4229,-48.2178,-11.5356
119434.0000,-0.0889,1.0010,0.4580,6.8970,-49.0112,-11.8408
119435.0000,-0.0420,1.0000,0.4639,4.9438,-48.3398,-12.2681
119436.0000,0.0171,0.9775,0.4668,2.1362,-44.5557,-12.3291
119437.0000,0.0400,0.9595,0.4668,0.8545,-40.2222,-11.7188
