timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
123365.0000,-0.1143,0.9521,0.3911,2.1362,1.2817,-3.1738
123366.0000,-0.1206,0.9536,0.3872,2.3804,1.3428,-2.5635
123367.0000,-0.1226,0.9570,0.3843,2.5024,1.4648,-2.3193
123368.0000,-0.1250,0.9585,0.3877,2.6245,1.4648,-2.0142
123369.0000,-0.1265,0.9614,0.3833,2.6245,1.2817,-1.7700
123370.0000,-0.1250,0.9639,0.3833,2.7466,1.1597,-1.5869
123371.0000,-0.1240,0.9634,0.3804,2.6855,0.9155,-1.3428
123372.0000,-0.1230,0.9658,0.3818,2.6245,0.8545,-1.2207
123373.0000,-0.1235,0.9658,0.3818,2.5024,1.0986,-1.0376
123374.0000,-0.1201,0.9639,0.3799,2.3193,0.9766,-1.0986
123375.0000,-0.1206,0.9634,0.3784,2.1362,1.0376,-0.9155
123376.0000,-0.1191,0.9619,0.3784,1.9531,0.9766,-0.8545
123377.0000,-0.1182,0.9639,0.3774,1.8311,1.0986,-0.4883
123378.0000,-0.1221,0.9648,0.3809,1.7700,1.0986,-0.3052
123379.0000,-0.1274,0.9648,0.3760,1.5259,0.9155,-0.0610
123380.0000,-0.1260,0.9629,0.3774,1.4038,0.5493,-0.1221
123381.0000,-0.1270,0.9644,0.3789,1.2817,0.2441,-0.1831
123382.0000,-0.1255,0.9673,0.3813,1.0986,0.0000,-0.2441
123383.0000,-0.1230,0.9673,0.3774,0.8545,-0.1831,-0.3662
123384.0000,-0.1201,0.9639,0.3760,0.4883,-0.1831,-0.3052
123385.0000,-0.1216,0.9648,0.3789,0.4883,-0.1221,-0.4883
123386.0000,-0.1206,0.9639,0.3804,0.3052,-0.1831,-0.4883
123387.0000,-0.1221,0.9590,0.3784,0.1831,-0.1831,-0.3662
123388.0000,-0.1240,0.9595,0.3765,0.1221,-0.3052,-0.3662
123389.0000,-0.1226,0.9619,0.3784,0.3052,-0.4272,-0.3662
123390.0000,-0.1230,0.9629,0.3789,0.3052,-0.5493,-0.3662
123391.0000,-0.1221,0.9673,0.3799,0.2441,-0.8545,-0.4272
123392.0000,-0.1162,0.9639,0.3770,0.0610,-0.8545,-0.4272
123393.0000,-0.1172,0.9575,0.3755,-0.0610,-0.9155,-0.4883
123394.0000,-0.1172,0.9629,0.3770,0.1831,-0.9766,-0.5493
123395.0000,-0.1118,0.9663,0.3813,0.1221,-0.8545,-0.7935
123396.0000,-0.1050,0.9595,0.3774,-0.4883,-0.6714,-0.5493
123397.0000,-0.1040,0.9565,0.3804,-0.4272,-0.5493,-0.3052
123398.0000,-0.1025,0.9624,0.3838,-0.1221,-0.1831,-0.1831
123399.0000,-0.1050,0.9624,0.3813,-0.2441,0.2441,-0.3662
123400.0000,-0.1050,0.9570,0.3799,-0.4883,0.3662,-0.4272
123401.0000,-0.0957,0.9536,0.3779,-0.1831,0.7935,-0.7324
123402.0000,-0.0791,0.9639,0.3848,0.4883,2.1362,-0.9766
123403.0000,-0.0703,0.9683,0.3857,0.4272,3.4790,-0.9766
123404.0000,-0.0649,0.9639,0.3799,0.1221,5.1880,-0.5493
123405.0000,-0.0503,0.9692,0.3823,0.0610,7.8735,0.0000
123406.0000,-0.0269,0.9761,0.3887,-0.3052,10.3760,0.9766
123407.0000,0.0078,0.9814,0.3940,-1.1597,13.9771,2.2583
123408.0000,0.0693,0.9858,0.3950,-2.4414,21.0571,4.9438
123409.0000,0.1201,0.9854,0.3936,-3.7231,28.3203,7.7515
123410.0000,0.1626,0.9717,0.3813,-4.8828,37.5366,11.1084
123411.0000,0.1782,0.9624,0.3667,-5.3101,52.3071,15.4419
123412.0000,0.1421,0.9609,0.3594,-5.2490,63.3545,18.4937
123413.0000,0.1143,0.9707,0.3564,-5.0049,72.3267,21.2402
123414.0000,0.1392,0.9902,0.3604,-5.8594,82.7637,24.8413
123415.0000,0.1685,1.0083,0.3540,-7.5684,91.7358,27.7100
123416.0000,0.2153,1.0078,0.3408,-8.6060,102.2949,31.3110
123417.0000,0.2402,1.0020,0.3188,-10.4370,118.6523,35.9497
123418.0000,0.2236,1.0083,0.2969,-11.0474,131.2866,39.3677
123419.0000,0.1870,1.0229,0.2773,-12.2070,142.5171,42.1753
123420.0000,0.1519,1.0293,0.2603,-14.1602,155.0293,45.2881
123421.0000,0.1528,1.0303,0.2437,-15.8081,163.8184,47.3022
123422.0000,0.1636,1.0269,0.2192,-17.6392,175.6592,50.2930
123423.0000,0.1641,1.0327,0.2012,-19.8364,184.5703,52.6733
123424.0000,0.1519,1.0010,0.1860,-21.9116,193.2373,55.0537
123425.0000,0.1035,0.9741,0.1553,-19.5312,204.3457,57.8003
123426.0000,0.0679,0.9824,0.1411,-16.2354,210.8765,59.5703
123427.0000,0.0244,1.0161,0.1255,-15.1978,215.5762,60.3027
123428.0000,-0.0347,1.0288,0.1201,-15.9302,219.4824,60.1196
123429.0000,-0.0898,1.0078,0.1074,-14.8315,220.4590,59.2041
123430.0000,-0.1270,0.9868,0.1079,-14.9536,219.2383,58.1665
123431.0000,-0.1646,0.9873,0.1060,-13.3667,215.5151,56.8848
123432.0000,-0.1890,0.9966,0.1191,-12.2070,211.9141,55.9082
123433.0000,-0.2124,1.0024,0.1245,-11.1084,207.3975,55.2979
123434.0000,-0.2520,1.0146,0.1309,-9.9487,200.3784,54.3823
123435.0000,-0.2935,1.0132,0.1338,-8.7280,193.6035,53.4668
123436.0000,-0.3521,1.0107,0.1362,-7.3242,185.4248,51.6357
123437.0000,-0.4351,1.0171,0.1484,-5.6152,171.2036,48.2788
123438.0000,-0.4902,1.0371,0.1597,-4.8828,157.8369,44.9829
123439.0000,-0.5332,1.0571,0.1753,-4.7607,142.2729,40.8936
123440.0000,-0.5723,1.0737,0.1978,-5.6152,119.9341,35.2173
123441.0000,-0.5845,1.0718,0.2188,-7.0801,102.8442,30.0903
123442.0000,-0.5923,1.0645,0.2402,-8.7891,85.3271,24.3530
123443.0000,-0.5874,1.0508,0.2549,-10.3149,62.1338,16.6016
123444.0000,-0.5674,1.0469,0.2739,-11.5356,45.0439,10.8032
123445.0000,-0.5342,1.0410,0.2905,-13.0005,29.1138,5.0049
123446.0000,-0.5024,1.0171,0.3022,-14.0381,10.0708,-2.5635
123447.0000,-0.4858,0.9922,0.3008,-14.2212,-3.1128,-8.3008
123448.0000,-0.4727,0.9619,0.3057,-13.3667,-15.7471,-13.5498
123449.0000,-0.4668,0.9424,0.3071,-10.9863,-32.1655,-20.0195
123450.0000,-0.4731,0.9409,0.3096,-8.9111,-44.5557,-24.1699
123451.0000,-0.4912,0.9521,0.3071,-6.7139,-57.3730,-27.7710
123452.0000,-0.5244,0.9580,0.2954,-4.6387,-75.7446,-31.9824
123453.0000,-0.5366,0.9702,0.2930,-3.1738,-90.6372,-35.4614
123454.0000,-0.5342,0.9922,0.2861,-1.7700,-105.7129,-39.1846
123455.0000,-0.5107,1.0176,0.2734,-0.7935,-125.3052,-45.0439
123456.0000,-0.4912,1.0186,0.2559,-1.0376,-139.3433,-49.5605
123457.0000,-0.4810,1.0112,0.2363,-0.9766,-152.9541,-53.9551
123458.0000,-0.4814,1.0068,0.2168,0.1221,-170.5933,-59.8145
123459.0000,-0.4800,1.0083,0.1982,1.0376,-184.3262,-64.7583
123460.0000,-0.4707,1.0166,0.1807,1.9531,-197.8149,-69.7021
123461.0000,-0.4238,1.0186,0.1660,2.4414,-215.0879,-75.7446
123462.0000,-0.3774,1.0195,0.1558,2.6855,-226.3184,-79.5898
123463.0000,-0.3271,1.0151,0.1470,2.8687,-236.0840,-82.3364
123464.0000,-0.2544,1.0073,0.1421,3.2349,-246.3379,-84.6558
123465.0000,-0.1992,0.9971,0.1445,3.6621,-251.9531,-85.7544
123466.0000,-0.1562,0.9844,0.1367,4.5166,-255.3711,-86.3647
123467.0000,-0.1318,0.9644,0.1401,6.7139,-257.9956,-86.9751
123468.0000,-0.1309,0.9639,0.1377,8.7280,-259.4604,-86.9751
123469.0000,-0.1279,0.9668,0.1426,10.9863,-260.9863,-86.8530
123470.0000,-0.1118,0.9829,0.1494,13.7329,-262.9395,-86.4258
123471.0000,-0.0942,0.9966,0.1611,14.1602,-264.0381,-85.9985
123472.0000,-0.0762,0.9990,0.1704,14.6484,-264.4043,-85.6934
123473.0000,-0.0435,0.9976,0.1860,15.4419,-263.9160,-85.6323
123474.0000,0.0010,0.9971,0.1934,16.2354,-262.2070,-85.6323
123475.0000,0.0371,0.9893,0.2031,16.5405,-258.8501,-84.8389
123476.0000,0.0645,0.9795,0.2202,16.4795,-252.5024,-83.1909
123477.0000,0.0684,0.9707,0.2295,16.5405,-247.0093,-81.2988
123478.0000,0.0728,0.9697,0.2417,17.5171,-241.3940,-79.1626
123479.0000,0.0830,0.9722,0.2593,18.1274,-233.2764,-77.0264
123480.0000,0.1025,0.9888,0.2700,18.8599,-226.1353,-75.5005
123481.0000,0.1284,1.0195,0.2900,18.4937,-218.0176,-74.2188
123482.0000,0.1709,1.0400,0.3213,15.8691,-205.5664,-71.7773
123483.0000,0.2041,1.0327,0.3413,13.1226,-195.0073,-68.6035
123484.0000,0.2310,1.0151,0.3623,10.6812,-182.9834,-64.3311
123485.0000,0.2534,0.9878,0.3926,8.6060,-165.7715,-57.8003
123486.0000,0.2573,0.9644,0.4121,8.0566,-151.9165,-52.3682
123487.0000,0.2715,0.9492,0.4302,8.3008,-137.8784,-46.9360
123488.0000,0.2915,0.9326,0.4702,8.9111,-118.3472,-39.3066
