timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
116087.0000,-0.1372,0.9604,0.3828,-0.2441,1.2817,-0.6104
116088.0000,-0.1401,0.9580,0.3804,-0.2441,1.2207,-0.6104
116089.0000,-0.1401,0.9575,0.3765,-0.4272,1.0986,-0.7935
116090.0000,-0.1431,0.9570,0.3774,-0.4272,0.8545,-0.8545
116091.0000,-0.1479,0.9585,0.3774,-0.3662,0.6104,-0.6714
116092.0000,-0.1499,0.9619,0.3755,-0.2441,0.0000,-0.4883
116093.0000,-0.1514,0.9639,0.3770,-0.4272,-0.5493,-0.4272
116094.0000,-0.1475,0.9653,0.3813,-0.5493,-0.9155,-0.5493
116095.0000,-0.1411,0.9639,0.3804,-0.9155,-1.2207,-0.4272
116096.0000,-0.1362,0.9658,0.3804,-1.2207,-1.3428,-0.3662
116097.0000,-0.1304,0.9639,0.3809,-1.5869,-1.1597,0.0610
116098.0000,-0.1294,0.9565,0.3770,-1.7090,-0.9155,0.4272
116099.0000,-0.1294,0.9561,0.3779,-1.5869,-0.6714,0.6104
116100.0000,-0.1299,0.9619,0.3809,-1.4038,-0.4883,0.6104
116101.0000,-0.1245,0.9624,0.3804,-1.7700,0.0000,0.2441
116102.0000,-0.1123,0.9580,0.3779,-2.1362,0.3662,0.5493
116103.0000,-0.1099,0.9546,0.3857,-2.0142,0.9766,0.7935
116104.0000,-0.1133,0.9595,0.3892,-1.9531,2.0752,0.8545
116105.0000,-0.1211,0.9590,0.3857,-2.0142,2.5024,0.7935
116106.0000,-0.1191,0.9551,0.3813,-2.0752,2.9297,0.6104
116107.0000,-0.1147,0.9517,0.3838,-1.7090,3.6011,0.4883
116108.0000,-0.1113,0.9565,0.3872,-1.2817,4.2725,0.4272
116109.0000,-0.1016,0.9624,0.3887,-1.2817,5.0659,0.4883
116110.0000,-0.0811,0.9629,0.3950,-1.6479,6.6528,0.9766
116111.0000,-0.0571,0.9600,0.3950,-2.0752,8.7280,1.8921
116112.0000,-0.0288,0.9546,0.3955,-2.3804,11.6577,3.0518
116113.0000,-0.0127,0.9458,0.3906,-2.2583,17.1509,4.7607
116114.0000,-0.0239,0.9419,0.3862,-1.8311,21.6675,5.6763
116115.0000,-0.0493,0.9438,0.3818,-1.3428,25.6958,6.5308
116116.0000,-0.0713,0.9580,0.3799,-0.7324,29.4189,7.1411
116117.0000,-0.0723,0.9688,0.3774,-0.7935,31.6162,7.5073
116118.0000,-0.0630,0.9780,0.3774,-1.2817,33.8745,7.6904
116119.0000,-0.0498,0.9854,0.3818,-2.5635,37.5366,8.4839
116120.0000,-0.0420,0.9790,0.3779,-3.4180,40.4663,9.3994
116121.0000,-0.0410,0.9736,0.3726,-4.3945,44.8608,10.6201
116122.0000,-0.0479,0.9692,0.3701,-4.7607,48.0957,11.5356
116123.0000,-0.0498,0.9614,0.3691,-4.5166,51.3306,12.5732
116124.0000,-0.0630,0.9565,0.3633,-4.6387,54.9927,13.2446
116125.0000,-0.0640,0.9595,0.3647,-4.2114,57.4341,13.6719
116126.0000,-0.0532,0.9609,0.3628,-4.3945,59.9365,14.1602
116127.0000,-0.0308,0.9653,0.3643,-4.7607,64.0869,15.3198
