timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
126032.0000,-0.0493,0.9546,0.3970,1.7090,0.7324,-3.0518
126033.0000,-0.0537,0.9653,0.4043,1.8921,0.7935,-1.8921
126034.0000,-0.0479,0.9722,0.4082,1.7090,1.0376,-1.6479
126035.0000,-0.0449,0.9712,0.4043,1.1597,1.5259,-1.0986
126036.0000,-0.0425,0.9697,0.4067,0.6714,2.0752,-0.3662
126037.0000,-0.0449,0.9741,0.4121,0.4883,2.6855,0.1221
126038.0000,-0.0474,0.9727,0.4131,0.1831,3.0518,0.3662
126039.0000,-0.0488,0.9624,0.4106,-0.3052,3.2349,0.6714
126040.0000,-0.0513,0.9546,0.4097,-0.1221,3.4790,0.7324
126041.0000,-0.0537,0.9541,0.4067,0.2441,3.7842,0.6714
126042.0000,-0.0552,0.9551,0.4077,0.6104,3.7842,0.4883
126043.0000,-0.0562,0.9536,0.4072,0.6714,3.7842,0.4883
126044.0000,-0.0571,0.9551,0.4053,0.7324,3.7842,0.4272
126045.0000,-0.0620,0.9634,0.4053,0.8545,3.6621,0.1221
126046.0000,-0.0649,0.9663,0.4053,0.7324,3.4790,-0.2441
126047.0000,-0.0659,0.9678,0.4062,0.1831,3.3569,-0.4272
126048.0000,-0.0601,0.9644,0.4028,-0.3052,2.8687,-0.9155
126049.0000,-0.0586,0.9624,0.4092,-0.4883,2.6855,-1.3428
126050.0000,-0.0581,0.9634,0.4067,-0.6104,2.6855,-1.4648
126051.0000,-0.0518,0.9634,0.4072,-0.9155,2.8687,-1.7700
126052.0000,-0.0488,0.9634,0.4102,-1.2207,2.8687,-2.0142
126053.0000,-0.0464,0.9629,0.4106,-1.4038,3.0518,-2.1362
126054.0000,-0.0542,0.9575,0.4131,-1.7090,3.5400,-2.1362
126055.0000,-0.0674,0.9482,0.4106,-1.5869,3.6621,-2.0752
126056.0000,-0.0845,0.9404,0.4087,-1.0986,3.1128,-2.0752
126057.0000,-0.1108,0.9370,0.4082,-0.0610,1.5259,-2.3193
126058.0000,-0.1230,0.9419,0.4077,0.9766,-0.3052,-2.5635
126059.0000,-0.1367,0.9502,0.4097,1.7700,-2.6855,-3.1128
126060.0000,-0.1504,0.9590,0.4082,2.3193,-6.5918,-3.7231
126061.0000,-0.1592,0.9644,0.4043,2.5024,-9.7656,-4.0283
126062.0000,-0.1748,0.9673,0.3979,2.4414,-13.5498,-4.5166
126063.0000,-0.2119,0.9683,0.3931,2.4414,-19.5923,-5.6152
126064.0000,-0.2441,0.9727,0.3877,2.0752,-25.1465,-6.9580
126065.0000,-0.2593,0.9819,0.3901,1.6479,-32.1655,-8.3008
126066.0000,-0.2539,0.9819,0.3940,1.0376,-42.2974,-10.4980
126067.0000,-0.2314,0.9766,0.3887,0.3662,-49.5605,-12.0239
126068.0000,-0.2036,0.9702,0.3848,-0.2441,-55.9692,-13.0005
126069.0000,-0.2012,0.9604,0.3755,-0.5493,-63.0493,-14.4653
126070.0000,-0.2261,0.9565,0.3701,-0.1831,-68.9697,-15.0757
126071.0000,-0.2529,0.9639,0.3657,0.0000,-76.1108,-16.1133
126072.0000,-0.2739,0.9849,0.3687,0.0000,-87.0361,-17.9443
126073.0000,-0.2622,0.9971,0.3711,-0.7324,-95.7642,-20.0806
126074.0000,-0.2090,0.9971,0.3691,-1.8921,-103.6377,-22.6440
126075.0000,-0.1328,0.9746,0.3755,-3.2349,-110.3516,-25.6348
126076.0000,-0.0947,0.9556,0.3755,-3.6011,-113.0981,-27.2827
126077.0000,-0.0962,0.9409,0.3740,-3.2959,-115.0513,-28.1372
126078.0000,-0.1094,0.9414,0.3706,-1.9531,-118.3472,-29.3579
126079.0000,-0.1235,0.9526,0.3745,-0.9766,-121.3379,-30.6396
126080.0000,-0.1206,0.9727,0.3799,-0.6104,-124.8169,-31.6162
126081.0000,-0.0747,0.9863,0.3828,-1.3428,-128.8452,-32.4707
126082.0000,-0.0356,0.9775,0.3833,-2.6855,-130.2490,-32.7759
126083.0000,-0.0142,0.9692,0.3853,-3.6011,-130.6152,-32.3486
126084.0000,0.0063,0.9521,0.3877,-4.0283,-129.6997,-31.7993
126085.0000,0.0098,0.9419,0.3862,-3.4180,-128.4790,-31.3721
126086.0000,0.0176,0.9375,0.3882,-2.5635,-127.1973,-31.3721
126087.0000,0.0317,0.9385,0.3955,-1.2817,-125.0610,-31.1279
126088.0000,0.0435,0.9336,0.4033,-0.3052,-123.1079,-30.4565
126089.0000,0.0547,0.9253,0.4097,0.6714,-120.7275,-29.6631
126090.0000,0.0601,0.9219,0.4141,1.9531,-117.0654,-28.8086
126091.0000,0.0640,0.9287,0.4175,3.1128,-114.4409,-28.0151
126092.0000,0.0811,0.9434,0.4238,4.2114,-111.5723,-26.9165
126093.0000,0.1035,0.9575,0.4292,4.8828,-106.6895,-25.6348
126094.0000,0.1128,0.9570,0.4297,4.6997,-102.6001,-24.1089
126095.0000,0.1094,0.9448,0.4258,4.5166,-98.2666,-22.3389
126096.0000,0.0845,0.9307,0.4287,4.7607,-92.5903,-20.5078
126097.0000,0.0615,0.9263,0.4316,5.6763,-89.3555,-19.6533
126098.0000,0.0410,0.9277,0.4302,6.9580,-87.0361,-19.4702
126099.0000,0.0400,0.9375,0.4316,8.3618,-85.2051,-19.8364
126100.0000,0.0586,0.9453,0.4341,9.1553,-83.8623,-20.0806
126101.0000,0.0835,0.9531,0.4365,9.0942,-81.7871,-20.6909
126102.0000,0.1074,0.9487,0.4351,9.3384,-77.6367,-20.9351
126103.0000,0.1074,0.9409,0.4312,9.5215,-73.7915,-21.2402
126104.0000,0.0938,0.9326,0.4355,9.9487,-70.2515,-21.3623
126105.0000,0.0752,0.9297,0.4297,11.0474,-66.5283,-21.5454
126106.0000,0.0640,0.9341,0.4307,11.8408,-64.4531,-21.7285
126107.0000,0.0566,0.9438,0.4316,12.6343,-62.8052,-22.3999
126108.0000,0.0615,0.9658,0.4336,13.1226,-60.7300,-23.8647
126109.0000,0.0811,0.9785,0.4341,13.0005,-58.7769,-24.9634
126110.0000,0.0981,0.9824,0.4346,12.5732,-55.8472,-25.6348
126111.0000,0.1074,0.9854,0.4336,11.6577,-50.5981,-25.6958
126112.0000,0.0996,0.9800,0.4316,10.9863,-46.3257,-24.6582
126113.0000,0.0825,0.9712,0.4263,10.6201,-42.4194,-23.0713
126114.0000,0.0576,0.9624,0.4243,10.5591,-38.0859,-20.1416
126115.0000,0.0435,0.9619,0.4185,10.8032,-35.5835,-17.6392
126116.0000,0.0356,0.9678,0.4175,11.0474,-33.3862,-15.3198
126117.0000,0.0376,0.9800,0.4209,11.2305,-30.4565,-12.2681
126118.0000,0.0420,0.9907,0.4160,11.0474,-28.3203,-10.1318
126119.0000,0.0498,0.9902,0.4180,9.8877,-24.4751,-8.3008
126120.0000,0.0396,0.9761,0.4160,9.3384,-21.3623,-7.0190
126121.0000,0.0215,0.9668,0.4160,9.1553,-19.0430,-5.6763
126122.0000,-0.0024,0.9702,0.4126,9.2163,-17.5171,-4.3335
