timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
133667.0000,-0.1133,0.9614,0.4014,-0.3052,1.0376,-0.6714
133668.0000,-0.1143,0.9600,0.4033,-0.3662,0.6104,-0.7935
133669.0000,-0.1177,0.9575,0.4023,-0.6104,-0.0610,-0.7324
133670.0000,-0.1094,0.9541,0.4102,-0.1831,-0.7324,-0.7324
133671.0000,-0.0986,0.9536,0.4097,-0.2441,-0.9155,-0.6104
133672.0000,-0.0869,0.9536,0.4121,-0.3052,-0.7935,-0.4272
133673.0000,-0.0752,0.9551,0.4111,-0.2441,0.2441,-0.1221
133674.0000,-0.0703,0.9541,0.4102,-0.1221,1.3428,0.3052
133675.0000,-0.0747,0.9521,0.4038,0.0610,2.5635,0.6104
133676.0000,-0.0864,0.9487,0.4033,0.1831,3.6011,1.4648
133677.0000,-0.0947,0.9517,0.4019,0.6714,4.1504,1.5869
133678.0000,-0.0986,0.9546,0.4014,0.7324,4.3945,1.8311
133679.0000,-0.1055,0.9580,0.4014,0.6714,4.3945,1.6479
133680.0000,-0.1084,0.9619,0.4038,0.6714,4.2725,1.5869
133681.0000,-0.1138,0.9604,0.4028,0.6104,3.9673,1.4648
133682.0000,-0.1187,0.9604,0.4009,0.4272,3.2959,0.6104
133683.0000,-0.1196,0.9609,0.4009,0.2441,2.5635,0.1221
133684.0000,-0.1206,0.9604,0.4004,0.2441,1.8311,-0.4883
133685.0000,-0.1201,0.9565,0.3955,0.0000,0.8545,-1.0376
133686.0000,-0.1172,0.9600,0.3984,0.1221,0.3052,-1.5259
133687.0000,-0.1143,0.9639,0.4019,0.0610,-0.1831,-1.9531
133688.0000,-0.1055,0.9556,0.3984,-0.3662,-0.7324,-1.9531
133689.0000,-0.0918,0.9526,0.3999,-0.5493,-0.9155,-1.5259
133690.0000,-0.0889,0.9565,0.4048,-0.3052,-0.6714,-1.1597
133691.0000,-0.0952,0.9565,0.3999,-0.0610,-0.2441,-0.8545
133692.0000,-0.0996,0.9512,0.4023,0.0000,-0.0610,-0.6714
133693.0000,-0.1021,0.9473,0.4023,0.3662,-0.0610,-0.6104
133694.0000,-0.1060,0.9570,0.3979,1.0986,0.0000,-0.8545
133695.0000,-0.1040,0.9629,0.4004,1.4038,0.0610,-1.0376
133696.0000,-0.1030,0.9634,0.3989,1.1597,0.1831,-1.2207
133697.0000,-0.0981,0.9634,0.3989,0.7935,0.3052,-0.8545
133698.0000,-0.0991,0.9619,0.3975,0.7324,0.6104,-0.7324
133699.0000,-0.1035,0.9634,0.3921,0.7324,0.7324,-0.4883
133700.0000,-0.1094,0.9590,0.3945,0.3052,0.5493,-0.1831
133701.0000,-0.1138,0.9570,0.3916,0.3052,0.1831,-0.0610
133702.0000,-0.1104,0.9580,0.3936,0.4883,-0.1221,-0.0610
133703.0000,-0.1064,0.9565,0.3975,0.4272,-0.4272,-0.1831
133704.0000,-0.1113,0.9570,0.3955,0.5493,-0.5493,-0.2441
133705.0000,-0.1147,0.9541,0.3931,0.5493,-0.8545,-0.3052
133706.0000,-0.1270,0.9536,0.3960,0.7324,-1.7090,-0.4272
133707.0000,-0.1489,0.9536,0.3931,0.8545,-2.9297,-0.4883
133708.0000,-0.1777,0.9541,0.3896,1.0376,-4.9438,-0.8545
133709.0000,-0.2275,0.9609,0.3892,1.3428,-9.3384,-1.8921
133710.0000,-0.2539,0.9648,0.3887,1.4648,-14.2822,-3.2959
133711.0000,-0.2817,0.9697,0.3862,1.3428,-20.2637,-5.0049
133712.0000,-0.3140,0.9717,0.3818,1.1597,-29.7241,-7.4463
133713.0000,-0.3423,0.9771,0.3711,0.4883,-37.9028,-9.4604
133714.0000,-0.3833,0.9692,0.3652,0.2441,-47.3022,-11.5356
133715.0000,-0.4580,0.9395,0.3618,0.6714,-62.5610,-13.9160
133716.0000,-0.5200,0.9258,0.3521,1.6479,-76.8433,-16.2354
133717.0000,-0.5815,0.9312,0.3379,2.6855,-93.6279,-18.8599
133718.0000,-0.6143,0.9614,0.3394,4.0894,-119.4458,-23.9258
133719.0000,-0.5454,0.9766,0.3242,4.3945,-139.6484,-28.3203
133720.0000,-0.4062,0.9731,0.3066,3.9673,-156.4941,-32.3486
133721.0000,-0.2529,0.9561,0.2954,3.2959,-170.6543,-36.0718
133722.0000,-0.2241,0.9258,0.2832,3.4180,-177.0020,-37.9639
133723.0000,-0.2554,0.9150,0.2671,5.9814,-186.0352,-39.9780
133724.0000,-0.2437,0.9307,0.2607,8.5449,-193.9697,-42.7246
133725.0000,-0.1860,0.9575,0.2520,10.4980,-201.1108,-45.7764
133726.0000,-0.0918,0.9819,0.2524,10.6201,-206.7261,-49.5605
133727.0000,-0.0542,0.9844,0.2549,9.5825,-208.2520,-51.0864
133728.0000,-0.0620,0.9683,0.2544,8.8501,-208.8013,-51.5137
133729.0000,-0.0903,0.9546,0.2563,9.6436,-210.7544,-52.3071
133730.0000,-0.0894,0.9673,0.2573,10.9863,-213.5010,-52.9785
133731.0000,-0.0459,0.9912,0.2637,11.4136,-216.1865,-53.2837
133732.0000,0.0332,0.9927,0.2666,10.0098,-216.1865,-52.3682
133733.0000,0.0562,0.9502,0.2622,9.0942,-213.8062,-50.5981
133734.0000,0.0635,0.9150,0.2764,10.0098,-210.6934,-48.9502
133735.0000,0.0791,0.9199,0.3086,13.3057,-206.1768,-47.1191
133736.0000,0.1250,0.9521,0.3267,15.5029,-202.4536,-45.8984
133737.0000,0.2021,0.9595,0.3374,16.5405,-196.7773,-44.2505
133738.0000,0.2686,0.9180,0.3486,17.3950,-184.2651,-42.4194
133739.0000,0.2769,0.8916,0.3647,19.2261,-172.9736,-41.9922
133740.0000,0.2729,0.8975,0.3848,22.0337,-161.6821,-42.2974
133741.0000,0.2676,0.9297,0.4097,26.0620,-146.7285,-43.6401
133742.0000,0.2700,0.9497,0.4092,28.1372,-135.8643,-44.8608
133743.0000,0.2925,0.9844,0.4058,29.1138,-124.8779,-44.8608
