timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
135515.0000,-0.0693,0.9780,0.3877,2.4414,-1.7090,-2.5024
135516.0000,-0.0635,0.9790,0.3857,1.8311,-1.5259,-2.3804
135517.0000,-0.0586,0.9795,0.3853,1.3428,-1.0986,-2.0752
135518.0000,-0.0610,0.9780,0.3843,0.6104,-0.3662,-1.5869
135519.0000,-0.0635,0.9727,0.3877,0.1831,0.0610,-1.4038
135520.0000,-0.0664,0.9722,0.3857,-0.1221,0.4883,-1.2207
135521.0000,-0.0723,0.9673,0.3892,-0.5493,0.5493,-1.4648
135522.0000,-0.0703,0.9683,0.3867,-0.5493,0.6104,-1.7090
135523.0000,-0.0708,0.9644,0.3921,-0.7935,0.8545,-2.3193
135524.0000,-0.0728,0.9673,0.3906,-0.6714,0.9766,-2.9297
135525.0000,-0.0713,0.9644,0.3945,-0.8545,1.1597,-3.5400
135526.0000,-0.0723,0.9604,0.3882,-0.9155,1.2207,-3.9062
135527.0000,-0.0728,0.9629,0.3955,-0.6714,1.4648,-4.0283
135528.0000,-0.0752,0.9609,0.3965,-0.7324,1.4648,-3.9062
135529.0000,-0.0796,0.9565,0.3945,-0.7324,1.4648,-3.2349
135530.0000,-0.0845,0.9507,0.3892,-0.4883,1.0986,-2.8687
135531.0000,-0.0898,0.9478,0.3872,0.1221,0.7935,-2.1973
135532.0000,-0.0913,0.9526,0.3916,0.9155,0.2441,-1.6479
135533.0000,-0.0913,0.9595,0.3945,1.3428,-0.3052,-1.1597
135534.0000,-0.0854,0.9644,0.3989,1.4648,-0.9155,-0.9155
135535.0000,-0.0781,0.9746,0.3965,1.4038,-1.2817,-0.5493
135536.0000,-0.0718,0.9771,0.3979,1.0986,-1.0986,-0.5493
135537.0000,-0.0713,0.9780,0.3970,0.6104,-0.9155,-0.3662
135538.0000,-0.0693,0.9697,0.3940,0.0000,-0.6714,-0.1221
135539.0000,-0.0698,0.9673,0.3892,0.0610,-0.5493,0.0610
135540.0000,-0.0679,0.9653,0.3896,-0.1221,-0.3052,0.1831
135541.0000,-0.0723,0.9609,0.3921,-0.1221,-0.1221,0.1831
135542.0000,-0.0728,0.9609,0.3940,-0.0610,-0.1831,0.1831
135543.0000,-0.0718,0.9604,0.3916,0.0610,-0.2441,0.0610
135544.0000,-0.0723,0.9575,0.3906,0.4272,-0.2441,0.0000
135545.0000,-0.0728,0.9590,0.3916,0.3052,-0.3662,-0.1221
135546.0000,-0.0747,0.9565,0.3926,0.4883,-0.5493,-0.3662
135547.0000,-0.0762,0.9565,0.3896,0.7324,-0.8545,-0.5493
135548.0000,-0.0854,0.9561,0.3896,0.9766,-1.0986,-0.4883
135549.0000,-0.1045,0.9536,0.3848,1.2207,-1.9531,-0.7935
135550.0000,-0.1450,0.9487,0.3770,1.4038,-3.8452,-1.0986
