timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
128795.0000,-0.0503,0.9541,0.4131,6.4697,-13.0005,-3.9062
128796.0000,-0.0420,0.9609,0.4150,6.4697,-11.1694,-3.2349
128797.0000,-0.0405,0.9663,0.4116,6.4087,-9.7656,-2.5024
128798.0000,-0.0439,0.9673,0.4116,6.0425,-8.3008,-2.0142
128799.0000,-0.0552,0.9653,0.4087,5.5542,-6.7749,-1.2817
128800.0000,-0.0615,0.9668,0.4087,5.3711,-5.9204,-0.7324
128801.0000,-0.0640,0.9717,0.4102,5.0049,-5.3711,-0.4883
128802.0000,-0.0581,0.9761,0.4062,4.3335,-4.5166,-0.2441
128803.0000,-0.0552,0.9731,0.4111,3.7231,-3.9062,-0.1831
128804.0000,-0.0532,0.9727,0.4077,3.2349,-2.8687,-0.0610
128805.0000,-0.0552,0.9678,0.4048,2.8076,-1.7700,0.0610
128806.0000,-0.0601,0.9663,0.4048,2.4414,-1.0986,0.1221
128807.0000,-0.0625,0.9678,0.4009,2.2583,-0.6714,0.3052
128808.0000,-0.0649,0.9697,0.4019,1.7700,-0.3052,0.3052
128809.0000,-0.0610,0.9707,0.4028,1.5869,-0.1221,0.4883
128810.0000,-0.0596,0.9736,0.4053,1.3428,0.1221,0.4272
128811.0000,-0.0625,0.9712,0.4053,0.3052,0.3052,0.3052
128812.0000,-0.0635,0.9688,0.4023,-0.1221,0.5493,0.1221
128813.0000,-0.0640,0.9644,0.4058,-0.0610,0.6714,-0.1221
128814.0000,-0.0620,0.9639,0.4087,-0.4272,0.7935,-0.3052
128815.0000,-0.0615,0.9609,0.4077,-0.3662,0.9155,-0.5493
128816.0000,-0.0581,0.9595,0.4067,-0.3662,1.1597,-0.7935
128817.0000,-0.0591,0.9609,0.4077,-0.3662,1.7090,-0.8545
128818.0000,-0.0596,0.9609,0.4072,-0.6104,2.2583,-0.7935
128819.0000,-0.0630,0.9570,0.4062,-0.5493,2.8076,-0.4883
128820.0000,-0.0659,0.9580,0.4038,-0.5493,3.0518,-0.2441
128821.0000,-0.0679,0.9595,0.4072,-0.3662,3.0518,-0.0610
128822.0000,-0.0684,0.9600,0.4077,-0.2441,3.1128,0.0610
128823.0000,-0.0693,0.9609,0.4077,-0.3052,3.2349,0.1221
128824.0000,-0.0708,0.9600,0.4082,-0.2441,3.4790,0.2441
128825.0000,-0.0776,0.9565,0.4058,-0.2441,3.4790,0.1831
128826.0000,-0.0835,0.9565,0.4048,-0.1221,3.1738,0.1221
128827.0000,-0.0869,0.9590,0.4038,-0.0610,2.8076,-0.1221
128828.0000,-0.0820,0.9604,0.4067,0.0000,2.3193,-0.5493
128829.0000,-0.0801,0.9634,0.4038,-0.0610,2.0142,-0.6104
128830.0000,-0.0791,0.9619,0.4058,-0.1831,1.8311,-0.5493
128831.0000,-0.0781,0.9600,0.4043,-0.2441,1.5869,-0.5493
128832.0000,-0.0845,0.9609,0.4062,-0.2441,1.3428,-0.7324
128833.0000,-0.0903,0.9600,0.4092,-0.3052,0.7324,-0.7324
128834.0000,-0.0938,0.9551,0.4072,-0.1831,-0.0610,-1.1597
128835.0000,-0.0952,0.9536,0.4033,0.0610,-0.8545,-1.4038
128836.0000,-0.1030,0.9551,0.4028,0.1831,-1.5869,-1.4648
128837.0000,-0.1147,0.9614,0.4028,0.2441,-3.1128,-1.6479
128838.0000,-0.1313,0.9653,0.4038,0.1221,-4.7607,-2.1362
128839.0000,-0.1460,0.9644,0.3999,-0.1221,-7.2632,-2.5635
128840.0000,-0.1567,0.9678,0.4004,-0.4272,-10.9863,-3.6011
128841.0000,-0.1602,0.9692,0.4009,-0.6714,-14.2822,-4.3945
128842.0000,-0.1592,0.9678,0.4033,-0.9766,-17.4561,-5.4321
128843.0000,-0.1538,0.9590,0.4033,-1.2817,-21.8506,-6.7139
128844.0000,-0.1567,0.9517,0.4033,-1.0376,-25.0854,-7.7515
128845.0000,-0.1616,0.9521,0.4023,-0.7935,-28.2593,-8.7280
128846.0000,-0.1665,0.9507,0.4038,-0.3052,-32.8369,-10.0708
128847.0000,-0.1646,0.9517,0.4033,0.0610,-36.5601,-11.2915
128848.0000,-0.1660,0.9565,0.4053,0.2441,-39.9780,-12.2681
128849.0000,-0.1646,0.9590,0.4048,0.4272,-44.7388,-13.4888
128850.0000,-0.1660,0.9541,0.4053,0.6714,-48.4619,-14.2822
128851.0000,-0.1694,0.9507,0.4023,0.7935,-52.1851,-15.0757
128852.0000,-0.1943,0.9434,0.3901,1.1597,-57.4341,-16.0522
128853.0000,-0.2109,0.9434,0.3887,1.8311,-62.4390,-17.0288
128854.0000,-0.2202,0.9468,0.3999,2.6855,-68.2983,-17.8833
128855.0000,-0.2070,0.9609,0.4023,3.2959,-75.7446,-19.7754
128856.0000,-0.1616,0.9624,0.4014,3.0518,-80.5054,-21.3013
128857.0000,-0.1182,0.9590,0.4014,2.6245,-83.4351,-22.3389
128858.0000,-0.1001,0.9502,0.4019,2.3804,-85.8154,-22.3389
128859.0000,-0.1245,0.9404,0.3984,2.5635,-87.4023,-21.7285
128860.0000,-0.1523,0.9316,0.3936,3.3569,-90.3320,-20.9961
128861.0000,-0.1758,0.9253,0.3950,4.7607,-95.3369,-20.8130
128862.0000,-0.1733,0.9370,0.3936,6.0425,-99.7314,-21.3013
128863.0000,-0.1519,0.9517,0.3901,6.6528,-103.7598,-22.2778
128864.0000,-0.1021,0.9741,0.3955,6.4697,-107.7881,-23.3765
128865.0000,-0.0698,0.9736,0.3945,5.6763,-109.2529,-23.6816
128866.0000,-0.0503,0.9697,0.3916,4.9438,-109.9854,-23.6206
128867.0000,-0.0210,0.9683,0.3965,4.3945,-110.1074,-23.5596
128868.0000,-0.0068,0.9668,0.4004,4.0894,-109.2529,-23.6816
128869.0000,0.0044,0.9648,0.4033,3.8452,-107.7881,-23.8647
128870.0000,0.0039,0.9517,0.3965,3.9673,-105.5298,-23.8037
128871.0000,-0.0005,0.9438,0.3911,4.3335,-103.8208,-23.5596
128872.0000,-0.0112,0.9448,0.3955,5.1880,-102.7222,-23.6816
128873.0000,-0.0112,0.9614,0.3960,6.0425,-101.6846,-23.4985
128874.0000,0.0059,0.9692,0.4038,5.9814,-100.7690,-23.1934
128875.0000,0.0288,0.9751,0.4067,5.4321,-99.3652,-22.5830
128876.0000,0.0552,0.9668,0.4087,4.3335,-96.2524,-21.4233
128877.0000,0.0635,0.9663,0.4121,3.7842,-93.2007,-20.4468
128878.0000,0.0635,0.9619,0.4199,3.4790,-89.9048,-19.4702
128879.0000,0.0527,0.9482,0.4194,3.3569,-85.5103,-18.1885
