timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
262333.0000,0.1338,0.9189,0.4546,4.6997,1.1597,-1.5869
262334.0000,0.1455,0.9355,0.4546,5.9814,0.7324,-0.9155
262335.0000,0.1606,0.9404,0.4482,6.4697,1.2207,0.3052
262336.0000,0.1597,0.9463,0.4448,6.6528,2.1973,1.0986
262337.0000,0.1475,0.9531,0.4419,6.7749,2.8687,1.1597
262338.0000,0.1348,0.9634,0.4375,6.4697,3.1738,0.5493
262339.0000,0.1270,0.9624,0.4355,6.2866,2.8687,0.0610
262340.0000,0.1240,0.9600,0.4302,6.1646,2.3193,-0.4883
262341.0000,0.1191,0.9546,0.4214,5.9204,1.0986,-0.9766
262342.0000,0.1172,0.9536,0.4194,5.6152,0.1221,-1.2207
262343.0000,0.1206,0.9546,0.4175,5.1880,-0.7935,-1.4648
262344.0000,0.1304,0.9585,0.4170,4.2725,-1.7090,-1.7700
262345.0000,0.1353,0.9619,0.4214,3.5400,-2.3193,-2.1973
262346.0000,0.1392,0.9624,0.4243,2.8687,-2.5024,-2.6855
262347.0000,0.1455,0.9595,0.4229,2.1362,-2.8687,-3.7842
262348.0000,0.1436,0.9624,0.4258,1.8311,-3.1128,-4.6387
262349.0000,0.1436,0.9580,0.4302,1.5869,-3.4180,-5.5542
262350.0000,0.1348,0.9346,0.4238,1.2817,-4.3335,-6.4697
262351.0000,0.1313,0.9204,0.4209,1.4038,-5.1880,-6.8359
262352.0000,0.1494,0.9214,0.4277,1.7700,-6.3477,-6.6528
262353.0000,0.1802,0.9307,0.4370,1.3428,-6.2866,-5.9814
262354.0000,0.2002,0.9268,0.4370,0.3052,-5.1270,-5.1880
262355.0000,0.2056,0.9209,0.4458,-0.3052,-3.4180,-4.1504
262356.0000,0.1973,0.9146,0.4546,-0.4883,-1.2817,-3.2959
262357.0000,0.1831,0.9019,0.4521,-0.5493,-0.3662,-3.1128
262358.0000,0.1768,0.8945,0.4561,-0.1831,-0.1221,-3.1128
262359.0000,0.1816,0.8950,0.4639,0.9766,-0.7324,-3.0518
262360.0000,0.1890,0.8945,0.4707,1.4648,-0.7935,-2.9297
262361.0000,0.1904,0.8867,0.4746,1.8311,-0.8545,-2.7466
262362.0000,0.1880,0.8716,0.4771,2.2583,-0.9766,-2.8076
262363.0000,0.1929,0.8682,0.4819,2.6245,-1.4038,-2.5024
262364.0000,0.2036,0.8599,0.4824,2.6855,-1.4648,-2.1973
262365.0000,0.2085,0.8438,0.4800,2.6245,-0.9766,-1.8311
262366.0000,0.2041,0.8369,0.4868,3.1738,-0.6104,-2.1362
262367.0000,0.2021,0.8359,0.4917,3.7842,-0.6104,-2.6245
262368.0000,0.2046,0.8325,0.4976,4.6997,-0.7935,-3.6011
262369.0000,0.2075,0.8379,0.5088,5.1880,-0.8545,-4.2725
262370.0000,0.2153,0.8374,0.5161,5.3711,-0.9155,-4.5776
262371.0000,0.2227,0.8213,0.5171,4.8218,-0.6104,-4.3945
262372.0000,0.2256,0.7910,0.5151,4.5776,0.0610,-3.9673
262373.0000,0.2271,0.7563,0.5093,4.6387,0.6714,-3.1128
262374.0000,0.2046,0.7271,0.5083,5.8594,1.8921,-2.4414
262375.0000,0.1826,0.7129,0.5029,7.2021,1.6479,-2.1362
262376.0000,0.1670,0.7041,0.4976,8.4839,0.5493,-1.7700
262377.0000,0.1782,0.7212,0.5020,10.4980,-1.9531,-1.2207
262378.0000,0.1978,0.7354,0.4995,10.8032,-3.2349,-0.5493
262379.0000,0.2085,0.7324,0.4932,9.9487,-3.4790,0.1221
262380.0000,0.2183,0.7119,0.4751,9.1553,-2.3804,0.0000
262381.0000,0.2085,0.6826,0.4692,9.4604,-0.7324,-0.9155
262382.0000,0.1870,0.6406,0.4600,11.0474,0.6714,-2.5024
262383.0000,0.1392,0.5620,0.4233,15.1978,1.0986,-4.7607
262384.0000,0.1172,0.5444,0.3984,19.6533,0.0000,-6.3477
262385.0000,0.1162,0.6011,0.4072,24.7192,-1.7700,-7.8125
262386.0000,0.1445,0.7080,0.4253,28.1372,-4.1504,-8.4229
262387.0000,0.1694,0.7285,0.4048,27.2217,-4.2114,-7.9346
262388.0000,0.1626,0.7085,0.3784,26.3672,-2.9297,-7.6294
262389.0000,0.1279,0.7109,0.3599,27.6489,-2.3193,-7.9956
262390.0000,0.1060,0.7251,0.3447,29.1748,-2.7466,-9.3384
262391.0000,0.0835,0.6831,0.2905,30.1514,-3.0518,-11.5967
262392.0000,0.0254,0.5981,0.2129,32.4707,-2.6855,-15.0146
262393.0000,-0.0068,0.6226,0.1904,35.8276,-3.8452,-16.9678
262394.0000,0.0024,0.7310,0.2158,37.9028,-6.5918,-16.7847
262395.0000,0.0742,0.8555,0.2480,34.7900,-9.8267,-13.7939
262396.0000,0.1372,0.8623,0.2495,29.1138,-9.8267,-11.1084
262397.0000,0.1777,0.8032,0.2446,25.0244,-6.2256,-9.6436
262398.0000,0.1587,0.7881,0.2534,25.2075,-1.5869,-10.4980
262399.0000,0.1270,0.8047,0.2461,28.2593,1.7700,-12.6343
262400.0000,0.0811,0.7998,0.2036,31.2500,4.2114,-14.9536
262401.0000,0.0029,0.8057,0.1528,35.2783,5.4932,-17.7612
262402.0000,-0.0474,0.8613,0.1348,37.9639,4.0283,-18.3716
262403.0000,-0.0483,0.9521,0.1460,38.4521,1.1597,-17.6392
262404.0000,-0.0024,1.0181,0.1431,34.3018,-1.9531,-15.1367
262405.0000,0.0273,0.9976,0.1387,29.4800,-2.3193,-13.0615
262406.0000,0.0552,0.9629,0.1484,27.1606,-1.5259,-12.8784
262407.0000,0.0601,0.9478,0.1470,27.5269,2.0142,-14.9536
262408.0000,0.0327,0.9575,0.1392,29.2358,5.1270,-18.4326
262409.0000,-0.0117,0.9907,0.1230,31.4331,7.7515,-21.9727
262410.0000,-0.0610,1.0684,0.1138,34.1797,9.4604,-26.0010
262411.0000,-0.0903,1.1230,0.1084,35.2173,9.8267,-27.5879
262412.0000,-0.1221,1.1523,0.0977,34.8511,9.1553,-28.0762
262413.0000,-0.1567,1.1631,0.0747,32.5928,6.6528,-27.0386
262414.0000,-0.1611,1.1724,0.0630,30.5176,3.7842,-24.7192
262415.0000,-0.1357,1.1934,0.0576,27.8931,1.1597,-21.9727
262416.0000,-0.0742,1.2334,0.0708,23.7427,0.9155,-18.3716
262417.0000,-0.0591,1.2456,0.0737,20.3247,3.8452,-16.3574
262418.0000,-0.0835,1.2417,0.0649,17.2119,7.6294,-14.9536
262419.0000,-0.1504,1.2451,0.0547,14.6484,10.1318,-13.9771
262420.0000,-0.1934,1.2520,0.0518,13.3667,9.1553,-13.4888
262421.0000,-0.2144,1.2578,0.0400,11.2915,4.7607,-12.6343
262422.0000,-0.1997,1.2651,0.0400,9.4604,0.3662,-11.7188
262423.0000,-0.1626,1.2817,0.0513,7.2632,-3.3569,-10.8643
262424.0000,-0.1021,1.2974,0.0649,3.0518,-5.1270,-9.5825
262425.0000,-0.0718,1.2876,0.0728,-0.9155,-3.9062,-8.2397
262426.0000,-0.0708,1.2573,0.0752,-4.8218,-1.6479,-7.0190
262427.0000,-0.1123,1.2051,0.0752,-8.8501,0.8545,-5.3711
262428.0000,-0.1382,1.1758,0.0869,-10.6812,0.7935,-4.3335
262429.0000,-0.1450,1.1494,0.0938,-12.3291,-0.1831,-3.2349
262430.0000,-0.1323,1.1172,0.1050,-14.5264,-1.3428,-1.5259
262431.0000,-0.1240,1.0928,0.1094,-15.8081,-1.6479,-0.1221
262432.0000,-0.1196,1.0830,0.1216,-16.4185,-1.8311,0.6104
262433.0000,-0.1206,1.0752,0.1416,-16.1743,-1.8921,0.0000
262434.0000,-0.1255,1.0688,0.1499,-15.3809,-1.7700,-1.5259
262435.0000,-0.1348,1.0659,0.1465,-13.9160,-1.7090,-3.0518
262436.0000,-0.1543,1.0742,0.1362,-12.7563,-2.3193,-4.2725
262437.0000,-0.1670,1.0869,0.1396,-12.6343,-2.9907,-4.1504
262438.0000,-0.1772,1.0913,0.1348,-13.7329,-4.1504,-2.9297
262439.0000,-0.1890,1.0845,0.1343,-15.4419,-6.1035,-0.3052
262440.0000,-0.1948,1.0850,0.1338,-16.1743,-7.9346,1.5869
262441.0000,-0.1987,1.0728,0.1333,-16.0522,-10.1318,3.2349
262442.0000,-0.2036,1.0605,0.1196,-14.5874,-13.2446,3.8452
262443.0000,-0.1943,1.0571,0.1089,-12.7563,-15.9912,4.2725
262444.0000,-0.1763,1.0698,0.0942,-11.1084,-18.1885,4.6387
262445.0000,-0.1572,1.0825,0.0698,-10.0098,-20.2637,5.6152
262446.0000,-0.1533,1.0903,0.0522,-9.5825,-21.3623,6.8359
262447.0000,-0.1572,1.0962,0.0386,-9.4604,-22.6440,7.2021
262448.0000,-0.1499,1.1064,0.0200,-9.2163,-24.8413,7.2632
262449.0000,-0.1245,1.1143,0.0146,-9.3994,-25.8179,6.4087
262450.0000,-0.0923,1.1216,0.0161,-9.5215,-25.6348,5.3711
262451.0000,-0.0649,1.1191,0.0278,-10.2539,-23.6206,3.3569
262452.0000,-0.0625,1.1230,0.0371,-10.9253,-21.6675,2.5635
262453.0000,-0.0615,1.1577,0.0630,-11.5967,-20.2026,2.0142
262454.0000,-0.0435,1.2417,0.1343,-13.0005,-19.2261,0.6714
262455.0000,-0.0171,1.3257,0.1904,-14.9536,-19.0430,-0.5493
262456.0000,0.0420,1.4414,0.2749,-17.2729,-19.3481,-2.0142
262457.0000,0.1533,1.6147,0.4312,-19.8364,-19.2261,-3.7231
262458.0000,0.2393,1.6772,0.4980,-22.8271,-18.3716,-3.9673
262459.0000,0.2856,1.6274,0.5200,-26.6113,-16.7236,-2.5635
262460.0000,0.3008,1.4922,0.4873,-26.9165,-15.4419,0.9766
262461.0000,0.2363,1.3032,0.4077,-24.1089,-14.8926,3.2959
262462.0000,0.1289,1.1265,0.3306,-17.7002,-16.1743,3.1128
262463.0000,0.0508,1.0781,0.2725,-6.5308,-20.6299,-2.6855
262464.0000,0.0898,1.1553,0.3032,-1.1597,-22.2168,-10.0098
262465.0000,0.1504,1.2109,0.3394,-0.3662,-19.2261,-18.1274
262466.0000,0.1572,1.1147,0.3188,-5.6763,-10.0098,-25.8179
262467.0000,0.0815,0.9927,0.2954,-8.9722,-3.6011,-28.6255
262468.0000,-0.0181,0.9121,0.2910,-10.0708,-0.9155,-29.9072
262469.0000,-0.1328,0.8472,0.3081,-11.6577,-3.9062,-30.4565
262470.0000,-0.1709,0.8218,0.3335,-13.0005,-9.9487,-29.7852
262471.0000,-0.1440,0.8516,0.3477,-15.1978,-17.2119,-27.3438
262472.0000,-0.0063,0.9458,0.3809,-19.7754,-22.4609,-20.8740
262473.0000,0.0864,0.9897,0.4097,-24.4141,-21.1182,-14.2822
262474.0000,0.1323,0.9971,0.4282,-28.9307,-16.7847,-7.1411
262475.0000,0.0928,0.9561,0.4263,-32.7759,-10.0708,1.7700
262476.0000,0.0249,0.9155,0.4136,-33.3252,-7.5073,6.5918
262477.0000,-0.0210,0.8950,0.4082,-31.7383,-8.1787,8.9722
262478.0000,-0.0269,0.9072,0.4185,-28.3203,-11.6577,9.1553
262479.0000,0.0005,0.9180,0.4292,-26.0010,-14.5264,7.5684
262480.0000,0.0303,0.9341,0.4395,-23.8037,-16.6626,5.1880
262481.0000,0.0532,0.9702,0.4692,-21.1182,-18.7378,1.4648
262482.0000,0.0435,0.9585,0.4688,-20.5688,-20.3247,-0.9766
262483.0000,0.0312,0.9165,0.4580,-20.5688,-22.8271,-3.1128
262484.0000,0.0186,0.8682,0.4575,-19.3481,-26.9165,-5.8594
262485.0000,0.0083,0.8281,0.4565,-18.1274,-30.2734,-7.8735
262486.0000,-0.0005,0.7896,0.4551,-16.4185,-34.0576,-10.0098
262487.0000,0.0029,0.7769,0.4419,-12.5122,-39.5508,-12.8174
262488.0000,0.0381,0.8247,0.4512,-9.0942,-43.5181,-15.0146
262489.0000,0.0874,0.9077,0.4722,-6.5918,-46.3257,-17.2119
262490.0000,0.1494,1.0146,0.5103,-5.9814,-47.9736,-19.2871
262491.0000,0.1592,1.0254,0.5049,-7.1411,-47.4854,-20.5688
262492.0000,0.0942,0.9595,0.4546,-9.2773,-46.9971,-21.4844
262493.0000,-0.0049,0.9307,0.4155,-9.3994,-50.9644,-23.9258
262494.0000,-0.0488,0.9517,0.4126,-8.7280,-56.9458,-26.9775
262495.0000,-0.0732,0.9395,0.3975,-9.5215,-64.5752,-30.5786
262496.0000,-0.0767,0.8945,0.3677,-10.7422,-75.6226,-35.7056
262497.0000,-0.0669,0.9087,0.3647,-10.0708,-84.2896,-40.2222
262498.0000,-0.0469,0.9644,0.3887,-8.9722,-92.7734,-44.6777
262499.0000,-0.0103,1.0273,0.4185,-9.3994,-102.8442,-50.6592
262500.0000,0.0029,1.0288,0.4214,-11.2915,-109.2529,-54.7485
262501.0000,0.0063,1.0049,0.4189,-12.8784,-115.1123,-58.5327
262502.0000,0.0103,0.9868,0.4082,-14.2212,-122.6807,-63.0493
262503.0000,0.0273,0.9810,0.4126,-14.7705,-127.8687,-65.9180
262504.0000,0.0532,0.9629,0.4146,-15.2588,-132.4463,-67.3828
262505.0000,0.0801,0.9053,0.4004,-15.7471,-137.2681,-66.8945
262506.0000,0.0923,0.8872,0.3950,-14.9536,-139.9536,-65.2466
262507.0000,0.0952,0.9082,0.3975,-13.3667,-142.5171,-63.0493
