timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
80003.0000,-0.1587,0.9678,0.2798,-2.6855,1.5869,0.0610
80004.0000,-0.1689,0.9648,0.2803,-2.6855,2.1973,0.9766
80005.0000,-0.1772,0.9658,0.2842,-2.6245,3.1128,1.7700
80006.0000,-0.1855,0.9634,0.2861,-2.7466,3.5400,2.1362
80007.0000,-0.1953,0.9575,0.2930,-2.8076,3.5400,2.0142
80008.0000,-0.2051,0.9634,0.2983,-2.3193,3.1128,1.8311
80009.0000,-0.2114,0.9702,0.3003,-2.0752,2.5635,1.3428
80010.0000,-0.2183,0.9741,0.3027,-2.3193,1.8311,0.7935
80011.0000,-0.2217,0.9751,0.2959,-2.6855,0.1831,0.3662
80012.0000,-0.2158,0.9717,0.3018,-3.2959,-0.8545,0.0610
80013.0000,-0.2065,0.9702,0.3018,-3.3569,-1.6479,-0.0610
80014.0000,-0.1938,0.9653,0.3076,-3.5400,-2.1973,-0.3662
80015.0000,-0.1846,0.9600,0.3042,-3.5400,-2.3193,-0.5493
80016.0000,-0.1763,0.9536,0.3091,-3.4790,-2.0752,-0.4883
80017.0000,-0.1763,0.9482,0.3071,-2.9907,-1.6479,-0.4883
80018.0000,-0.1753,0.9497,0.3076,-2.4414,-1.1597,-0.2441
80019.0000,-0.1748,0.9565,0.3110,-1.9531,-0.6714,-0.1221
80020.0000,-0.1729,0.9619,0.3135,-1.5259,-0.1221,-0.0610
80021.0000,-0.1729,0.9688,0.3135,-1.5869,0.4883,-0.1831
80022.0000,-0.1772,0.9702,0.3179,-1.8311,1.2817,0.0610
80023.0000,-0.1802,0.9712,0.3145,-2.1973,1.5869,-0.1831
80024.0000,-0.1851,0.9751,0.3120,-2.5024,1.7700,-0.2441
80025.0000,-0.1846,0.9722,0.3125,-3.0518,1.9531,-0.6104
80026.0000,-0.1860,0.9683,0.3140,-3.4180,2.0752,-0.6104
80027.0000,-0.1904,0.9634,0.3135,-3.4180,2.0142,-0.7324
80028.0000,-0.1963,0.9580,0.3169,-3.4790,1.8921,-0.9155
80029.0000,-0.1973,0.9497,0.3169,-3.4180,1.5869,-0.9155
80030.0000,-0.2021,0.9497,0.3198,-2.9297,1.1597,-0.6714
80031.0000,-0.2041,0.9526,0.3188,-2.3193,0.5493,-0.6104
80032.0000,-0.2026,0.9604,0.3164,-2.2583,0.0000,-0.5493
80033.0000,-0.2026,0.9678,0.3223,-2.1362,-0.4272,-0.7935
80034.0000,-0.1963,0.9722,0.3208,-2.4414,-1.0376,-1.0376
80035.0000,-0.1895,0.9712,0.3237,-2.9907,-1.3428,-0.9155
80036.0000,-0.1816,0.9722,0.3237,-3.5400,-1.2817,-0.7935
80037.0000,-0.1821,0.9683,0.3262,-3.9062,-0.9155,-0.4883
80038.0000,-0.1855,0.9619,0.3237,-4.0894,-0.8545,-0.1221
