timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
87844.0000,-0.2090,0.9497,0.3062,-2.1973,-0.7324,1.2207
87845.0000,-0.1992,0.9644,0.3096,-2.0752,-0.9766,1.4648
87846.0000,-0.1904,0.9775,0.3149,-2.2583,-0.9766,1.6479
87847.0000,-0.1841,0.9800,0.3169,-2.9907,-0.7324,1.4648
87848.0000,-0.1777,0.9731,0.3174,-4.3335,-0.2441,1.3428
87849.0000,-0.1743,0.9702,0.3223,-4.9438,0.2441,1.3428
87850.0000,-0.1812,0.9648,0.3242,-5.3101,0.8545,0.9766
87851.0000,-0.1978,0.9419,0.3267,-5.2490,1.2817,0.4272
87852.0000,-0.2080,0.9268,0.3232,-4.5166,1.0986,0.0610
87853.0000,-0.2109,0.9287,0.3267,-3.4180,0.7324,-0.3052
87854.0000,-0.2031,0.9463,0.3271,-2.1362,0.2441,-0.8545
87855.0000,-0.1948,0.9575,0.3247,-2.1362,-0.0610,-1.0986
87856.0000,-0.1880,0.9629,0.3262,-2.3804,0.0000,-1.2207
87857.0000,-0.1836,0.9668,0.3267,-2.8687,0.4883,-1.3428
87858.0000,-0.1885,0.9697,0.3271,-3.3569,0.9155,-1.6479
87859.0000,-0.1968,0.9653,0.3306,-3.7231,1.4038,-1.8921
87860.0000,-0.2119,0.9448,0.3315,-3.9673,1.7090,-1.9531
87861.0000,-0.2183,0.9297,0.3232,-3.5400,1.5259,-1.7090
87862.0000,-0.2217,0.9287,0.3237,-2.6245,1.1597,-1.4038
87863.0000,-0.2163,0.9448,0.3218,-1.8921,0.6714,-0.6714
87864.0000,-0.2061,0.9648,0.3208,-1.7700,0.5493,-0.3662
87865.0000,-0.1978,0.9810,0.3193,-2.2583,0.6104,-0.4272
87866.0000,-0.1929,0.9966,0.3198,-3.4180,1.1597,-0.3052
87867.0000,-0.1929,0.9995,0.3101,-4.7607,1.7090,-0.4883
87868.0000,-0.1992,1.0029,0.3071,-6.1646,2.1362,-0.6104
87869.0000,-0.2095,0.9956,0.3071,-7.7515,2.3804,-0.9155
87870.0000,-0.2173,0.9883,0.3042,-8.9722,1.9531,-1.0986
87871.0000,-0.2207,0.9980,0.2935,-10.0098,1.4648,-1.1597
87872.0000,-0.2319,1.0435,0.2842,-12.1460,0.7324,-1.2817
87873.0000,-0.2417,1.0898,0.2793,-15.1978,-0.3662,-1.3428
87874.0000,-0.2461,1.1396,0.2661,-19.8364,-2.0142,-1.2207
87875.0000,-0.2461,1.1982,0.2466,-28.6865,-4.2725,-0.7935
87876.0000,-0.2490,1.2334,0.2363,-36.9873,-5.9204,-0.4272
87877.0000,-0.2480,1.2520,0.2397,-46.4478,-8.1177,-0.4272
87878.0000,-0.2178,1.2446,0.2446,-59.4482,-10.8643,-0.7935
87879.0000,-0.1704,1.2227,0.2529,-69.0918,-11.2915,-1.8921
87880.0000,-0.1274,1.2134,0.2554,-78.1250,-9.8267,-3.2959
87881.0000,-0.1006,1.1968,0.2476,-90.0269,-5.2490,-4.8828
87882.0000,-0.1299,1.1660,0.2500,-98.6328,-1.8311,-6.0425
87883.0000,-0.1714,1.1279,0.2559,-106.6895,-0.3052,-7.6904
87884.0000,-0.1919,1.0957,0.2749,-115.7837,-0.6104,-10.4370
87885.0000,-0.1719,1.1099,0.2891,-122.8027,-0.9155,-13.0615
87886.0000,-0.1426,1.1084,0.3101,-130.2490,-0.1221,-15.8081
87887.0000,-0.1143,1.0645,0.3228,-140.6250,3.3569,-18.5547
87888.0000,-0.1338,1.0166,0.3237,-147.7661,6.8359,-19.7754
87889.0000,-0.1890,0.9976,0.3267,-154.1748,9.0332,-20.0195
87890.0000,-0.2856,0.9585,0.3271,-162.3535,7.9956,-18.6157
87891.0000,-0.3389,0.9272,0.3369,-168.1519,3.6011,-16.6626
87892.0000,-0.3438,0.9062,0.3589,-173.7671,-2.3804,-14.6484
87893.0000,-0.2725,0.8364,0.4028,-180.6030,-8.7280,-11.4746
87894.0000,-0.2231,0.7588,0.4287,-184.2651,-10.1318,-8.5449
87895.0000,-0.2075,0.6816,0.4595,-185.9131,-9.5825,-4.6387
87896.0000,-0.2188,0.6025,0.5103,-184.2651,-8.4229,1.4648
87897.0000,-0.2319,0.5449,0.5635,-181.5796,-8.7280,6.4087
87898.0000,-0.2168,0.4912,0.6221,-177.6123,-9.2163,11.1084
87899.0000,-0.2017,0.4155,0.6855,-171.3257,-9.1553,17.0898
87900.0000,-0.2036,0.3623,0.7319,-165.5273,-8.3008,20.9961
