timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
92134.0000,-0.2075,0.9785,0.2915,-8.1177,4.4556,-1.2207
92135.0000,-0.2139,0.9741,0.2905,-8.7891,5.1880,-1.1597
92136.0000,-0.2222,0.9702,0.2886,-9.1553,5.9814,-0.9766
92137.0000,-0.2373,0.9629,0.2896,-9.7046,6.3477,-0.6104
92138.0000,-0.2412,0.9619,0.2915,-9.8877,6.2866,-0.1831
92139.0000,-0.2378,0.9712,0.2944,-10.1318,6.1035,0.2441
92140.0000,-0.2295,0.9956,0.2827,-11.1694,6.1646,0.9766
92141.0000,-0.2295,1.0078,0.2681,-12.6343,6.2256,1.3428
92142.0000,-0.2329,1.0327,0.2593,-14.3433,6.2866,1.5259
92143.0000,-0.2422,1.0757,0.2534,-17.6392,6.1646,1.1597
92144.0000,-0.2510,1.0918,0.2471,-21.4844,5.4932,0.8545
92145.0000,-0.2603,1.0913,0.2466,-26.1230,4.4556,0.4883
92146.0000,-0.2622,1.0688,0.2588,-31.9824,2.3804,-0.3052
92147.0000,-0.2534,1.0547,0.2632,-35.5225,0.7935,-1.0376
92148.0000,-0.2393,1.0571,0.2637,-38.7573,-0.3662,-1.9531
92149.0000,-0.2085,1.0854,0.2637,-43.5791,-0.7324,-2.8076
92150.0000,-0.1855,1.1104,0.2637,-48.4009,-0.2441,-3.4180
92151.0000,-0.1753,1.1240,0.2637,-54.1382,1.0376,-3.7842
92152.0000,-0.1870,1.1240,0.2676,-62.6221,2.8076,-4.3335
92153.0000,-0.2061,1.1172,0.2671,-68.7866,3.4180,-5.0049
92154.0000,-0.2280,1.1284,0.2651,-74.8901,3.3569,-6.4087
92155.0000,-0.2617,1.1372,0.2661,-83.9844,1.6479,-8.9111
92156.0000,-0.2671,1.1279,0.2803,-91.3086,-0.7935,-11.2305
92157.0000,-0.2393,1.1138,0.2993,-98.6938,-3.1738,-13.8550
92158.0000,-0.1880,1.0869,0.3154,-108.0322,-3.4180,-17.2119
92159.0000,-0.1680,1.0781,0.3325,-114.8071,-2.0752,-19.5312
92160.0000,-0.1660,1.0483,0.3447,-121.5210,-0.0610,-21.2402
92161.0000,-0.1909,0.9692,0.3633,-129.0894,1.9531,-22.6440
92162.0000,-0.2100,0.9028,0.3862,-132.7515,2.3804,-23.4375
92163.0000,-0.2207,0.8623,0.4180,-134.7046,2.4414,-24.5361
92164.0000,-0.2065,0.8115,0.4565,-136.1084,2.8687,-26.5503
92165.0000,-0.1987,0.7617,0.4795,-136.2305,3.8452,-27.4658
92166.0000,-0.2085,0.7041,0.5073,-134.9487,4.8218,-27.6489
92167.0000,-0.2271,0.6318,0.5508,-130.6152,6.0425,-27.0996
92168.0000,-0.2529,0.6084,0.5879,-125.7935,6.5918,-26.3672
92169.0000,-0.2842,0.5972,0.6221,-120.6055,6.5308,-25.6958
92170.0000,-0.3135,0.5781,0.6685,-114.3799,5.2490,-24.1089
92171.0000,-0.3218,0.5640,0.7090,-109.3750,3.7842,-23.0103
92172.0000,-0.3276,0.5342,0.7397,-104.1870,2.8076,-21.1182
92173.0000,-0.3242,0.4834,0.7822,-96.6797,1.7090,-17.8223
92174.0000,-0.3140,0.4487,0.8066,-89.5996,1.3428,-14.2822
92175.0000,-0.3145,0.4219,0.8330,-81.7871,1.5259,-10.1318
92176.0000,-0.3242,0.3999,0.8638,-70.4346,2.0752,-3.7231
92177.0000,-0.3335,0.4009,0.8882,-61.5845,2.0752,0.3662
92178.0000,-0.3374,0.4146,0.9077,-53.1616,1.9531,3.6011
92179.0000,-0.3457,0.4219,0.9297,-42.8467,2.0142,6.1646
92180.0000,-0.3525,0.4121,0.9482,-34.9121,1.5869,6.9580
92181.0000,-0.3662,0.3970,0.9492,-26.7334,1.2817,7.0801
92182.0000,-0.3838,0.3892,0.9492,-15.2588,-0.2441,6.1035
92183.0000,-0.3892,0.3999,0.9448,-6.5308,-1.7700,4.7607
92184.0000,-0.3740,0.4224,0.9429,1.6479,-3.8452,3.7231
92185.0000,-0.3428,0.4497,0.9365,10.9863,-5.4932,2.6245
92186.0000,-0.3247,0.4668,0.9287,16.8457,-5.6152,2.1973
92187.0000,-0.3066,0.4746,0.9141,22.2168,-5.4321,2.3193
92188.0000,-0.2915,0.4624,0.9028,29.2969,-4.4556,2.5635
92189.0000,-0.2930,0.4468,0.8911,35.0952,-3.4180,3.5400
92190.0000,-0.2969,0.4409,0.8818,41.6870,-2.6855,5.3711
92191.0000,-0.2983,0.4370,0.8691,51.0864,-2.0752,8.9111
92192.0000,-0.3003,0.4341,0.8511,58.2275,-1.8921,11.9629
92193.0000,-0.3042,0.4487,0.8403,65.8569,-1.8921,14.8315
92194.0000,-0.2974,0.4961,0.8164,75.4395,-2.1362,17.3950
92195.0000,-0.2817,0.5371,0.7915,81.2988,-2.1973,18.1885
92196.0000,-0.2607,0.5708,0.7666,85.8765,-1.6479,18.0664
92197.0000,-0.2441,0.5991,0.7275,90.6982,-0.3052,17.0288
92198.0000,-0.2393,0.6221,0.7046,94.0552,0.5493,16.0522
92199.0000,-0.2378,0.6372,0.6777,96.7407,1.5259,14.8926
92200.0000,-0.2637,0.6265,0.6494,100.5249,2.0752,14.1602
92201.0000,-0.2881,0.6240,0.6196,104.3701,1.2207,13.9160
92202.0000,-0.3027,0.6440,0.6006,108.7646,-0.9155,13.6719
92203.0000,-0.2773,0.7319,0.5752,113.1592,-4.1504,11.5967
92204.0000,-0.2446,0.7979,0.5513,114.0137,-5.3101,8.7280
92205.0000,-0.2192,0.8276,0.5278,113.3423,-5.2490,5.6763
92206.0000,-0.2163,0.8223,0.4863,111.4502,-3.9673,1.4648
92207.0000,-0.2427,0.7988,0.4629,111.3281,-3.4790,-0.1831
92208.0000,-0.2700,0.7808,0.4360,112.5488,-4.2114,-0.9155
92209.0000,-0.2803,0.7866,0.4136,115.4175,-6.6528,0.0000
92210.0000,-0.2695,0.8247,0.4038,117.1875,-8.6670,0.5493
92211.0000,-0.2305,0.9038,0.3906,117.0654,-9.7046,0.0610
92212.0000,-0.2144,0.9312,0.3774,115.2344,-8.8501,-1.3428
92213.0000,-0.2163,0.9263,0.3594,112.9150,-7.2632,-2.5635
92214.0000,-0.2236,0.9404,0.3359,110.5957,-5.7373,-2.7466
92215.0000,-0.2104,1.0283,0.3281,108.3374,-4.3335,-2.6855
92216.0000,-0.1895,1.1182,0.3218,103.7598,-1.7700,-3.9673
92217.0000,-0.1812,1.1611,0.2939,94.0552,2.8076,-5.6152
92218.0000,-0.1914,1.1416,0.2686,85.9375,5.9814,-6.1646
92219.0000,-0.2109,1.1240,0.2573,78.8574,8.4839,-5.9814
92220.0000,-0.2578,1.1353,0.2285,70.8618,10.1929,-5.0659
92221.0000,-0.2754,1.1748,0.2314,64.5142,10.0098,-3.9673
92222.0000,-0.2822,1.2261,0.2368,57.1289,9.6436,-2.9297
92223.0000,-0.2905,1.2612,0.2363,44.7388,8.8501,-2.0142
92224.0000,-0.3003,1.2549,0.2329,34.7290,8.1177,-1.2207
92225.0000,-0.3110,1.2373,0.2329,25.4517,7.2021,-0.4883
92226.0000,-0.3223,1.1963,0.2314,14.9536,6.2256,0.7935
92227.0000,-0.3291,1.1606,0.2314,8.0566,5.1270,1.9531
92228.0000,-0.3340,1.1167,0.2363,2.1973,3.7231,3.3569
92229.0000,-0.3398,1.0630,0.2441,-3.3569,1.3428,4.8218
92230.0000,-0.3447,1.0288,0.2495,-6.1646,-0.6714,5.9204
92231.0000,-0.3359,1.0034,0.2661,-8.3008,-2.6855,6.2866
92232.0000,-0.3110,0.9863,0.2852,-9.9487,-4.7607,6.8359
92233.0000,-0.2866,0.9771,0.2939,-11.1694,-5.6152,7.2632
92234.0000,-0.2715,0.9609,0.3052,-12.2681,-5.8594,7.7515
92235.0000,-0.2651,0.9297,0.3130,-12.6343,-5.9204,8.3618
92236.0000,-0.2666,0.9043,0.3130,-11.9019,-5.9204,8.8501
92237.0000,-0.2690,0.8804,0.3130,-10.8643,-6.5308,8.9722
92238.0000,-0.2559,0.8877,0.3169,-8.6670,-7.6294,8.7891
92239.0000,-0.2388,0.9058,0.3242,-7.2632,-8.1787,8.4229
92240.0000,-0.2217,0.9224,0.3237,-6.4697,-8.1787,7.7515
92241.0000,-0.2095,0.9316,0.3169,-6.4697,-7.6904,6.5308
92242.0000,-0.2041,0.9346,0.3164,-6.5308,-7.0801,5.5542
92243.0000,-0.2026,0.9287,0.3159,-6.5308,-6.4697,4.5776
92244.0000,-0.2031,0.9204,0.3154,-6.3477,-5.5542,3.4180
92245.0000,-0.2012,0.9150,0.3184,-5.9814,-5.1270,2.6245
92246.0000,-0.2017,0.9136,0.3242,-5.4321,-4.5166,1.9531
92247.0000,-0.2070,0.9131,0.3242,-4.5166,-3.6621,0.9155
92248.0000,-0.2144,0.9189,0.3281,-3.9673,-3.0518,0.1221
92249.0000,-0.2192,0.9282,0.3315,-3.2959,-2.5635,-0.0610
92250.0000,-0.2212,0.9370,0.3267,-2.6855,-1.7090,-0.5493
92251.0000,-0.2280,0.9414,0.3286,-2.5024,-1.4648,-1.1597
92252.0000,-0.2310,0.9448,0.3296,-2.1362,-0.9766,-1.7090
92253.0000,-0.2354,0.9473,0.3315,-1.8311,-0.4883,-2.1973
92254.0000,-0.2388,0.9482,0.3306,-1.7090,-0.0610,-2.7466
92255.0000,-0.2437,0.9526,0.3306,-1.4648,0.0610,-2.9907
92256.0000,-0.2471,0.9580,0.3369,-1.2207,0.2441,-2.9907
92257.0000,-0.2466,0.9639,0.3389,-1.2207,0.4883,-2.8687
92258.0000,-0.2466,0.9673,0.3408,-1.4038,0.4272,-2.5635
92259.0000,-0.2451,0.9688,0.3408,-2.1362,0.4272,-1.6479
92260.0000,-0.2461,0.9658,0.3384,-2.5024,0.4883,-1.0376
92261.0000,-0.2456,0.9653,0.3354,-2.9297,0.3662,-0.6104
92262.0000,-0.2446,0.9604,0.3389,-3.4790,0.2441,-0.0610
92263.0000,-0.2407,0.9629,0.3408,-3.6621,0.2441,0.4883
92264.0000,-0.2368,0.9619,0.3408,-4.0894,0.1831,0.3662
92265.0000,-0.2310,0.9546,0.3394,-4.7607,0.5493,0.3662
92266.0000,-0.2324,0.9434,0.3408,-5.1270,0.6714,0.1831
92267.0000,-0.2373,0.9258,0.3394,-5.1880,0.7324,0.3662
92268.0000,-0.2456,0.9023,0.3374,-4.0283,0.1221,0.9155
92269.0000,-0.2441,0.8970,0.3403,-2.8687,-0.4272,1.2817
92270.0000,-0.2383,0.9004,0.3423,-1.5869,-0.9155,1.6479
92271.0000,-0.2319,0.9131,0.3433,-0.1221,-1.5869,1.7700
92272.0000,-0.2256,0.9199,0.3423,0.4883,-1.7700,1.7700
92273.0000,-0.2241,0.9253,0.3389,0.9766,-1.8311,1.3428
92274.0000,-0.2173,0.9297,0.3379,1.4038,-1.7090,0.6104
92275.0000,-0.2168,0.9341,0.3335,1.7090,-1.3428,-0.4272
92276.0000,-0.2139,0.9419,0.3364,2.0752,-1.0376,-1.5259
92277.0000,-0.2139,0.9453,0.3325,1.8921,-0.4883,-2.9297
92278.0000,-0.2192,0.9429,0.3296,1.7700,0.0000,-3.6621
92279.0000,-0.2251,0.9375,0.3286,1.6479,0.4883,-4.0283
92280.0000,-0.2334,0.9370,0.3301,1.8921,0.7324,-3.5400
92281.0000,-0.2344,0.9424,0.3296,2.1973,0.9155,-2.9907
92282.0000,-0.2378,0.9468,0.3267,2.1973,1.0376,-2.1973
92283.0000,-0.2363,0.9561,0.3257,1.9531,1.3428,-1.2817
92284.0000,-0.2378,0.9614,0.3276,1.5869,1.6479,-0.5493
92285.0000,-0.2368,0.9609,0.3271,1.1597,2.0752,-0.0610
92286.0000,-0.2393,0.9658,0.3257,0.3662,2.5024,0.3052
92287.0000,-0.2383,0.9688,0.3257,-0.0610,2.8687,0.4883
92288.0000,-0.2417,0.9629,0.3291,-0.5493,3.1128,0.5493
92289.0000,-0.2524,0.9497,0.3320,-0.8545,3.5400,0.2441
92290.0000,-0.2617,0.9395,0.3335,-0.7324,3.4180,0.1831
92291.0000,-0.2715,0.9316,0.3306,-0.3662,2.8687,0.3662
92292.0000,-0.2720,0.9272,0.3335,0.5493,1.6479,0.4883
92293.0000,-0.2686,0.9341,0.3379,1.2817,0.5493,0.7935
92294.0000,-0.2617,0.9399,0.3330,1.5869,-0.3052,1.0986
92295.0000,-0.2559,0.9473,0.3359,1.7700,-1.0986,1.0986
92296.0000,-0.2480,0.9536,0.3364,1.6479,-1.6479,0.9155
92297.0000,-0.2422,0.9546,0.3325,1.3428,-2.1973,0.6714
92298.0000,-0.2363,0.9561,0.3291,0.5493,-2.5024,0.1831
92299.0000,-0.2280,0.9541,0.3276,0.0610,-2.6855,-0.0610
92300.0000,-0.2266,0.9517,0.3320,-0.3052,-2.4414,-0.6714
92301.0000,-0.2256,0.9434,0.3350,-0.6104,-2.1362,-1.2207
92302.0000,-0.2241,0.9346,0.3315,-0.6104,-1.7700,-1.1597
92303.0000,-0.2231,0.9331,0.3306,-0.2441,-1.4648,-1.0986
92304.0000,-0.2227,0.9331,0.3330,0.1831,-1.0986,-0.6104
92305.0000,-0.2212,0.9375,0.3330,0.4883,-0.7324,-0.1221
92306.0000,-0.2217,0.9414,0.3345,0.6104,-0.1221,-0.0610
92307.0000,-0.2192,0.9521,0.3320,0.4883,0.5493,-0.0610
92308.0000,-0.2231,0.9531,0.3296,0.3662,1.0376,-0.3662
92309.0000,-0.2275,0.9570,0.3296,0.0610,1.5259,-0.8545
92310.0000,-0.2329,0.9556,0.3267,-0.1831,1.8311,-0.9766
92311.0000,-0.2388,0.9561,0.3291,-0.3662,1.8311,-1.5259
92312.0000,-0.2441,0.9536,0.3257,-0.6714,1.6479,-1.5869
92313.0000,-0.2451,0.9502,0.3267,-0.7935,1.2817,-1.5259
92314.0000,-0.2422,0.9541,0.3291,-0.9766,0.9766,-1.2207
92315.0000,-0.2388,0.9595,0.3281,-1.2817,0.6714,-0.5493
92316.0000,-0.2378,0.9590,0.3286,-1.7700,0.5493,-0.3662
92317.0000,-0.2344,0.9580,0.3301,-2.1362,0.4272,-0.0610
92318.0000,-0.2344,0.9521,0.3301,-2.6245,0.6714,0.3662
92319.0000,-0.2378,0.9463,0.3354,-2.6245,0.7935,0.3662
92320.0000,-0.2397,0.9424,0.3335,-2.5024,0.8545,0.3052
92321.0000,-0.2397,0.9385,0.3330,-2.0142,0.9155,0.4272
