timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
83620.0000,-0.2578,0.9189,0.4150,-0.7935,0.0000,0.2441
83621.0000,-0.2573,0.9067,0.4102,-0.9766,0.1221,0.4272
83622.0000,-0.2607,0.9019,0.4087,-0.1831,0.0610,0.5493
83623.0000,-0.2607,0.9077,0.4072,0.1831,0.0000,0.6714
83624.0000,-0.2603,0.9121,0.4053,0.6714,-0.2441,0.5493
83625.0000,-0.2559,0.9238,0.4053,0.7324,-0.4883,0.6104
83626.0000,-0.2578,0.9302,0.4028,0.6714,-0.3662,0.3052
83627.0000,-0.2573,0.9297,0.4043,0.5493,-0.5493,0.2441
83628.0000,-0.2583,0.9336,0.4019,0.0000,-0.8545,0.1831
83629.0000,-0.2573,0.9321,0.4004,-0.2441,-1.0986,-0.1221
83630.0000,-0.2534,0.9307,0.4009,-0.9766,-1.1597,-0.0610
83631.0000,-0.2495,0.9331,0.4004,-1.3428,-0.9155,-0.1831
83632.0000,-0.2417,0.9312,0.4019,-1.8921,-0.6714,-0.0610
83633.0000,-0.2354,0.9297,0.4038,-2.3804,-0.1221,0.3052
83634.0000,-0.2373,0.9297,0.3955,-3.1738,0.7324,0.7935
83635.0000,-0.2490,0.9424,0.3931,-3.6621,1.4038,1.2817
83636.0000,-0.2656,0.9619,0.3921,-4.3945,1.5869,1.7700
83637.0000,-0.2798,0.9707,0.3921,-6.4087,0.8545,2.1362
83638.0000,-0.2773,0.9604,0.3921,-8.1177,-0.1221,2.1362
83639.0000,-0.2656,0.9507,0.3989,-9.2773,-0.5493,1.8311
83640.0000,-0.2598,0.9565,0.3979,-10.5591,-0.6104,2.0142
83641.0000,-0.2725,0.9683,0.3979,-11.9019,-0.7324,2.3804
83642.0000,-0.2808,0.9790,0.4014,-13.8550,-1.2817,2.3804
83643.0000,-0.2905,0.9829,0.4058,-16.7847,-2.9297,2.5635
83644.0000,-0.2891,0.9556,0.4028,-18.8599,-4.3945,2.3193
83645.0000,-0.2798,0.9385,0.4062,-19.9585,-5.6763,2.1362
83646.0000,-0.2642,0.9453,0.4155,-20.8130,-6.4697,1.6479
83647.0000,-0.2549,0.9604,0.4189,-21.9727,-6.7749,1.7700
83648.0000,-0.2446,0.9683,0.4287,-23.8037,-6.8359,2.2583
83649.0000,-0.2368,0.9648,0.4370,-26.7334,-6.4087,3.2349
83650.0000,-0.2373,0.9473,0.4429,-28.7476,-6.1646,4.0894
83651.0000,-0.2344,0.9263,0.4414,-29.9683,-5.6763,4.6997
83652.0000,-0.2402,0.9038,0.4414,-30.5786,-4.8218,5.3711
83653.0000,-0.2412,0.8955,0.4478,-30.5786,-4.6387,5.4321
83654.0000,-0.2422,0.8916,0.4541,-30.1514,-4.4556,5.3101
83655.0000,-0.2354,0.8950,0.4619,-29.7241,-4.0894,5.0049
83656.0000,-0.2358,0.8989,0.4712,-29.8462,-4.0283,4.6387
83657.0000,-0.2378,0.9072,0.4746,-29.9683,-3.9673,4.4556
83658.0000,-0.2529,0.9224,0.4736,-30.9448,-4.2725,4.3335
83659.0000,-0.2676,0.9341,0.4766,-31.9214,-5.2490,3.7842
83660.0000,-0.2734,0.9360,0.4805,-33.6304,-6.9580,3.4790
83661.0000,-0.2583,0.9233,0.4854,-35.5835,-9.5215,2.9297
83662.0000,-0.2339,0.9077,0.4946,-36.9873,-10.6201,2.1973
83663.0000,-0.2090,0.8901,0.5015,-37.7808,-10.8643,1.5259
83664.0000,-0.1841,0.8745,0.5127,-37.5977,-9.7656,0.9155
83665.0000,-0.1841,0.8647,0.5112,-37.4146,-8.2397,0.4883
83666.0000,-0.2017,0.8608,0.5146,-36.9873,-7.0801,0.4272
83667.0000,-0.2188,0.8691,0.5161,-36.3770,-6.7139,0.2441
83668.0000,-0.2207,0.8711,0.5215,-36.2549,-7.0190,-0.3052
83669.0000,-0.2100,0.8726,0.5264,-36.3159,-7.2021,-0.5493
83670.0000,-0.2021,0.8804,0.5371,-36.6211,-6.8970,-1.3428
83671.0000,-0.2026,0.8848,0.5444,-36.9873,-6.2866,-1.5259
83672.0000,-0.2095,0.8843,0.5542,-37.7808,-5.4932,-2.3193
83673.0000,-0.2256,0.8828,0.5557,-38.9404,-4.9438,-2.9297
83674.0000,-0.2334,0.8667,0.5508,-39.7949,-5.1880,-3.4790
83675.0000,-0.2437,0.8584,0.5474,-40.2832,-5.9204,-3.6621
83676.0000,-0.2456,0.8628,0.5562,-40.4053,-7.4463,-3.7842
83677.0000,-0.2358,0.8726,0.5610,-40.7715,-8.5449,-3.9673
83678.0000,-0.2183,0.8823,0.5693,-41.8701,-9.2163,-3.9062
83679.0000,-0.2021,0.8828,0.5835,-44.0063,-8.8501,-4.0894
83680.0000,-0.2026,0.8823,0.5908,-45.7153,-8.1177,-4.0283
83681.0000,-0.2036,0.8750,0.5972,-47.3633,-7.6294,-4.0283
83682.0000,-0.2017,0.8452,0.6050,-49.3774,-7.0190,-3.7842
83683.0000,-0.2036,0.8208,0.6084,-50.2319,-6.4697,-3.4790
83684.0000,-0.2207,0.8052,0.6060,-50.5371,-5.7983,-2.9297
83685.0000,-0.2568,0.7988,0.5942,-50.4761,-5.9814,-2.4414
83686.0000,-0.2944,0.8140,0.5942,-50.4761,-7.6294,-1.8921
83687.0000,-0.3125,0.8496,0.6162,-51.1475,-11.9019,-1.8921
83688.0000,-0.2837,0.8618,0.6313,-53.2227,-15.3809,-2.0752
83689.0000,-0.2363,0.8584,0.6431,-55.9692,-17.3950,-2.0752
83690.0000,-0.1885,0.8398,0.6621,-59.8755,-17.0288,-1.8311
83691.0000,-0.1670,0.8174,0.6753,-62.1948,-15.1978,-1.2817
83692.0000,-0.1616,0.7910,0.6890,-63.7817,-12.9395,-0.1831
83693.0000,-0.1699,0.7534,0.7036,-65.4907,-10.1318,1.5869
83694.0000,-0.1909,0.7271,0.7134,-65.7959,-8.6670,3.2349
83695.0000,-0.2104,0.7100,0.7280,-65.6738,-8.0566,4.9438
83696.0000,-0.2212,0.6680,0.7417,-64.3311,-8.5449,7.1411
83697.0000,-0.2158,0.6475,0.7578,-62.5610,-9.2773,8.3008
83698.0000,-0.2002,0.6421,0.7783,-60.1196,-9.4604,9.0942
83699.0000,-0.1851,0.6396,0.8032,-56.7017,-8.7280,9.7656
83700.0000,-0.1777,0.6436,0.8213,-54.3823,-7.6904,9.7656
83701.0000,-0.1724,0.6450,0.8325,-52.3682,-6.8970,9.7656
83702.0000,-0.1665,0.6372,0.8384,-49.8047,-5.3711,9.0942
83703.0000,-0.1665,0.6353,0.8442,-47.9126,-3.9673,8.4229
83704.0000,-0.1680,0.6274,0.8462,-46.0205,-2.8076,8.0566
83705.0000,-0.1753,0.5991,0.8516,-43.3350,-1.7090,7.6904
83706.0000,-0.1870,0.5967,0.8560,-40.8325,-1.2817,7.6294
83707.0000,-0.1924,0.6157,0.8594,-38.3911,-1.3428,7.2632
83708.0000,-0.1904,0.6299,0.8672,-36.2549,-1.9531,6.8970
83709.0000,-0.1851,0.6304,0.8667,-35.4004,-2.2583,6.4697
83710.0000,-0.1758,0.6255,0.8677,-34.7900,-2.3804,5.9204
83711.0000,-0.1655,0.6196,0.8667,-33.5083,-2.1362,5.3101
83712.0000,-0.1602,0.6133,0.8696,-32.5317,-1.3428,4.8828
83713.0000,-0.1577,0.6089,0.8745,-31.4941,-0.4272,4.6387
83714.0000,-0.1650,0.6084,0.8691,-30.4565,0.5493,4.6997
83715.0000,-0.1812,0.6094,0.8672,-29.9072,0.8545,5.2490
83716.0000,-0.2021,0.6201,0.8589,-29.7241,0.1831,5.6763
83717.0000,-0.2134,0.6421,0.8633,-29.9072,-1.8921,6.0425
83718.0000,-0.2065,0.6519,0.8687,-30.5786,-3.8452,5.7983
83719.0000,-0.1841,0.6523,0.8794,-31.6162,-5.2490,4.9438
83720.0000,-0.1533,0.6309,0.8882,-32.9590,-5.4932,3.1738
83721.0000,-0.1357,0.6016,0.8921,-33.3862,-4.0283,1.9531
83722.0000,-0.1465,0.5845,0.8896,-32.9590,-2.3804,1.0986
83723.0000,-0.1787,0.5811,0.8862,-31.9824,-1.5259,1.0986
83724.0000,-0.1992,0.5928,0.8945,-31.3110,-2.6245,1.7090
83725.0000,-0.1973,0.6064,0.8989,-31.1890,-4.2114,2.4414
83726.0000,-0.1758,0.6128,0.9131,-32.2266,-5.6152,2.1362
83727.0000,-0.1445,0.6172,0.9028,-33.5083,-5.1880,0.7935
83728.0000,-0.1167,0.6211,0.9014,-34.9121,-3.5400,-1.3428
83729.0000,-0.0977,0.5806,0.9072,-36.1328,-0.1831,-3.6011
83730.0000,-0.1123,0.5352,0.9106,-35.7056,2.2583,-4.8218
83731.0000,-0.1479,0.5044,0.9229,-33.5693,3.4180,-5.2490
83732.0000,-0.1826,0.4814,0.9282,-29.6631,2.2583,-5.1270
