timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
94294.0000,-0.2134,0.9106,0.4434,4.0894,0.3052,0.0610
94295.0000,-0.2153,0.9170,0.4429,4.4556,0.3662,-0.2441
94296.0000,-0.2139,0.9258,0.4414,4.4556,0.6104,-0.6714
94297.0000,-0.2104,0.9272,0.4399,4.0894,0.7935,-0.5493
94298.0000,-0.2109,0.9263,0.4380,3.7842,1.0376,-0.3052
94299.0000,-0.2163,0.9189,0.4312,3.4790,1.2817,-0.0610
94300.0000,-0.2188,0.9111,0.4292,3.6621,1.1597,0.2441
94301.0000,-0.2212,0.9121,0.4282,3.7842,1.1597,0.4272
94302.0000,-0.2192,0.9141,0.4321,4.1504,1.0986,0.4272
94303.0000,-0.2183,0.9204,0.4297,4.2114,1.0986,0.4883
94304.0000,-0.2144,0.9248,0.4312,4.1504,1.2817,0.7324
94305.0000,-0.2100,0.9263,0.4297,4.0283,1.7700,1.0376
94306.0000,-0.2061,0.9233,0.4268,3.9673,2.3804,1.4038
94307.0000,-0.2065,0.9277,0.4233,3.9062,2.8687,1.8921
94308.0000,-0.2051,0.9248,0.4258,3.7842,3.7231,2.5024
94309.0000,-0.2139,0.9189,0.4224,3.8452,4.2725,2.7466
94310.0000,-0.2275,0.9170,0.4185,4.2114,4.3945,2.9907
94311.0000,-0.2441,0.9189,0.4219,4.6997,3.8452,2.6245
94312.0000,-0.2505,0.9194,0.4224,5.0049,2.9907,2.1973
94313.0000,-0.2485,0.9238,0.4219,5.0049,1.7700,1.8311
94314.0000,-0.2393,0.9312,0.4219,4.8218,0.3052,1.5869
94315.0000,-0.2339,0.9346,0.4224,4.5166,-0.3052,1.6479
94316.0000,-0.2314,0.9346,0.4233,4.1504,-0.9155,1.5259
94317.0000,-0.2290,0.9292,0.4194,3.6621,-1.6479,1.4038
94318.0000,-0.2275,0.9287,0.4199,3.5400,-2.0142,1.2817
94319.0000,-0.2231,0.9272,0.4189,3.5400,-2.3804,1.0376
94320.0000,-0.2183,0.9214,0.4185,3.6011,-2.8687,0.9155
94321.0000,-0.2139,0.9170,0.4199,3.8452,-2.9907,0.6104
94322.0000,-0.2144,0.9136,0.4209,4.3945,-3.2959,0.4883
94323.0000,-0.2129,0.9126,0.4233,5.1880,-3.5400,0.3052
94324.0000,-0.2095,0.9092,0.4238,5.5542,-3.6011,-0.1831
94325.0000,-0.2036,0.9097,0.4292,5.9814,-3.6621,-0.4272
94326.0000,-0.2036,0.9004,0.4302,6.7139,-3.5400,-0.6104
94327.0000,-0.2104,0.8867,0.4341,7.4463,-3.5400,-1.0986
94328.0000,-0.2207,0.8711,0.4351,8.9111,-3.6011,-1.5259
94329.0000,-0.2285,0.8589,0.4326,11.7188,-4.3335,-1.9531
94330.0000,-0.2329,0.8540,0.4341,14.0381,-5.1880,-2.1973
94331.0000,-0.2329,0.8481,0.4341,16.4795,-6.4697,-2.2583
94332.0000,-0.2358,0.8262,0.4292,20.3247,-7.9346,-2.4414
94333.0000,-0.2329,0.8203,0.4253,23.8037,-9.2773,-2.8687
94334.0000,-0.2295,0.8262,0.4277,27.5269,-10.3760,-3.6011
94335.0000,-0.2217,0.8398,0.4282,31.7383,-11.6577,-4.7607
94336.0000,-0.2134,0.8452,0.4282,34.3018,-12.3291,-5.4932
94337.0000,-0.2041,0.8442,0.4263,36.8652,-12.6343,-6.4087
94338.0000,-0.1973,0.8403,0.4199,40.4053,-12.5122,-7.7515
94339.0000,-0.1982,0.8320,0.4146,43.3960,-12.2070,-8.7891
94340.0000,-0.1987,0.8276,0.4033,46.5088,-11.9019,-9.7656
94341.0000,-0.1968,0.8257,0.3872,50.9033,-11.4746,-11.0474
94342.0000,-0.1943,0.8315,0.3716,54.0771,-11.1694,-11.7188
94343.0000,-0.1914,0.8374,0.3599,57.0068,-10.9863,-11.9019
94344.0000,-0.1899,0.8413,0.3457,60.9131,-10.5591,-11.9019
94345.0000,-0.1938,0.8452,0.3364,63.7207,-10.2539,-11.9019
94346.0000,-0.2012,0.8525,0.3213,66.5894,-9.8877,-11.8408
94347.0000,-0.2065,0.8867,0.3037,69.8242,-9.4604,-11.9629
