timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
102184.0000,-0.1992,0.9487,0.4043,1.5869,-4.0894,-1.2207
102185.0000,-0.1968,0.9473,0.4033,1.2817,-4.1504,-0.8545
102186.0000,-0.1948,0.9453,0.4043,1.0376,-4.0894,-0.4883
102187.0000,-0.1909,0.9414,0.4038,1.0376,-4.0283,-0.3662
102188.0000,-0.1890,0.9326,0.4023,1.0986,-3.9062,-0.3662
102189.0000,-0.1890,0.9312,0.4048,1.3428,-3.7231,-0.1831
102190.0000,-0.1851,0.9292,0.4043,1.6479,-3.4790,-0.2441
102191.0000,-0.1821,0.9312,0.4019,2.1362,-3.0518,-0.1831
102192.0000,-0.1792,0.9302,0.4023,2.3193,-2.8687,-0.0610
102193.0000,-0.1812,0.9326,0.4009,2.4414,-2.4414,0.0000
102194.0000,-0.1768,0.9351,0.4009,2.7466,-1.7700,0.0610
102195.0000,-0.1777,0.9424,0.3999,2.8076,-1.3428,0.3052
102196.0000,-0.1797,0.9473,0.4004,2.9297,-0.9766,0.1221
102197.0000,-0.1846,0.9541,0.3999,2.6245,-0.7324,0.1221
102198.0000,-0.1846,0.9463,0.3936,1.8921,-0.6714,0.1221
102199.0000,-0.1826,0.9424,0.3960,1.5259,-0.5493,0.1221
102200.0000,-0.1807,0.9487,0.4004,1.5869,-0.3052,0.3052
102201.0000,-0.1792,0.9482,0.3984,1.3428,-0.1221,0.4272
102202.0000,-0.1802,0.9414,0.3979,0.8545,-0.1831,0.3052
102203.0000,-0.1821,0.9380,0.3975,0.7935,0.1221,0.1831
102204.0000,-0.1821,0.9419,0.3984,1.0986,0.1831,-0.2441
102205.0000,-0.1826,0.9458,0.4023,1.2207,0.3662,-0.6104
102206.0000,-0.1846,0.9458,0.4023,0.7935,0.5493,-0.6714
102207.0000,-0.1875,0.9424,0.4009,0.6714,0.3662,-0.9766
102208.0000,-0.1885,0.9404,0.4009,0.7935,0.3662,-1.2207
102209.0000,-0.1934,0.9409,0.4004,0.6714,0.1831,-1.2817
102210.0000,-0.1943,0.9399,0.3989,0.7324,-0.1831,-1.5869
102211.0000,-0.1924,0.9395,0.3989,0.7324,-0.4272,-2.0142
102212.0000,-0.1938,0.9395,0.4004,0.6714,-0.5493,-2.3804
102213.0000,-0.1958,0.9390,0.3975,0.6714,-0.7324,-2.5635
102214.0000,-0.1953,0.9419,0.3984,0.7324,-0.9155,-2.3804
102215.0000,-0.1934,0.9414,0.4019,0.7935,-1.0986,-1.8921
102216.0000,-0.1919,0.9404,0.3994,0.4883,-1.2207,-1.5259
102217.0000,-0.1919,0.9429,0.3984,0.4883,-1.2817,-1.0376
102218.0000,-0.1865,0.9443,0.3979,0.4272,-1.1597,-0.3052
102219.0000,-0.1860,0.9434,0.3989,0.4272,-1.0376,-0.1831
102220.0000,-0.1841,0.9409,0.3999,0.3052,-0.8545,-0.1831
102221.0000,-0.1846,0.9409,0.4009,0.3052,-0.4272,-0.3662
102222.0000,-0.1821,0.9414,0.4023,0.3662,-0.1831,-0.6104
102223.0000,-0.1836,0.9419,0.3999,0.3662,0.0000,-0.9155
102224.0000,-0.1895,0.9375,0.4038,0.3052,0.3052,-1.1597
102225.0000,-0.1953,0.9360,0.4033,0.3662,0.3662,-1.5259
102226.0000,-0.1992,0.9292,0.4023,0.6104,0.3052,-1.7090
102227.0000,-0.2031,0.9253,0.4048,0.9766,-0.1831,-1.6479
102228.0000,-0.2017,0.9307,0.4126,1.4648,-0.6104,-1.5869
102229.0000,-0.1987,0.9287,0.4146,1.8921,-0.9155,-1.4038
102230.0000,-0.1943,0.9160,0.4189,2.0142,-1.3428,-1.0376
102231.0000,-0.1963,0.9009,0.4253,2.5635,-1.4648,-0.7324
102232.0000,-0.1987,0.8828,0.4282,3.8452,-1.7090,-0.6714
102233.0000,-0.2021,0.8599,0.4331,6.1646,-2.3193,-0.4883
102234.0000,-0.1958,0.8389,0.4395,8.6670,-2.9297,-0.1831
102235.0000,-0.1807,0.8130,0.4492,11.6577,-3.4180,0.6714
102236.0000,-0.1724,0.7651,0.4521,17.1509,-3.1738,1.5869
102237.0000,-0.1846,0.7388,0.4521,23.0713,-2.7466,2.2583
102238.0000,-0.2007,0.7285,0.4507,29.6631,-2.8687,2.6245
102239.0000,-0.2100,0.7334,0.4448,38.7573,-4.1504,2.4414
102240.0000,-0.1992,0.7446,0.4409,45.2881,-5.3101,2.1362
102241.0000,-0.1802,0.7500,0.4312,51.2695,-6.1035,1.8311
102242.0000,-0.1587,0.7393,0.4185,58.7769,-6.1646,1.7090
102243.0000,-0.1558,0.7192,0.4058,64.8193,-5.7373,1.5259
102244.0000,-0.1680,0.7051,0.3877,71.4722,-5.3101,1.1597
102245.0000,-0.1904,0.7065,0.3628,81.3599,-5.6763,0.1221
102246.0000,-0.1973,0.7251,0.3447,88.4399,-6.8970,-0.8545
102247.0000,-0.1855,0.7456,0.3228,94.4214,-8.4229,-1.8311
