timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
106270.0000,-0.2104,0.9434,0.3638,0.3662,0.6104,-1.0986
106271.0000,-0.2085,0.9429,0.3613,0.4883,0.4272,-1.0376
106272.0000,-0.2070,0.9478,0.3608,0.6104,0.1831,-0.9155
106273.0000,-0.2095,0.9478,0.3613,0.6714,0.0000,-0.9766
106274.0000,-0.2085,0.9507,0.3550,0.7324,-0.1831,-1.2817
106275.0000,-0.2075,0.9502,0.3584,0.6104,-0.4883,-1.4648
106276.0000,-0.2056,0.9536,0.3564,0.5493,-0.6104,-1.4648
106277.0000,-0.2046,0.9536,0.3555,0.6104,-0.5493,-1.3428
106278.0000,-0.2012,0.9541,0.3599,0.4272,-0.4883,-1.3428
106279.0000,-0.1997,0.9585,0.3604,0.3052,-0.2441,-1.0376
106280.0000,-0.2017,0.9556,0.3550,-0.1831,-0.1221,-1.1597
106281.0000,-0.2002,0.9551,0.3560,-0.5493,0.2441,-0.9766
106282.0000,-0.1997,0.9570,0.3618,-0.8545,0.4272,-0.7935
106283.0000,-0.2007,0.9551,0.3657,-1.0986,0.6714,-0.7935
106284.0000,-0.1978,0.9517,0.3643,-1.3428,0.9766,-0.3662
106285.0000,-0.1978,0.9380,0.3657,-1.5259,1.1597,0.0000
106286.0000,-0.1992,0.9341,0.3628,-1.0986,1.3428,0.1831
106287.0000,-0.1948,0.9385,0.3662,-0.3052,1.4648,0.5493
106288.0000,-0.1963,0.9443,0.3706,0.0000,1.4648,0.7324
106289.0000,-0.1909,0.9463,0.3667,0.2441,1.5259,0.8545
106290.0000,-0.1914,0.9482,0.3682,0.1221,1.8921,0.7935
106291.0000,-0.1968,0.9473,0.3706,0.1831,2.0752,0.5493
106292.0000,-0.1982,0.9443,0.3735,0.3052,1.9531,0.1221
106293.0000,-0.1968,0.9277,0.3809,0.2441,1.9531,-0.2441
106294.0000,-0.1929,0.9102,0.3838,0.9766,1.8921,-0.6714
106295.0000,-0.1904,0.8994,0.3872,2.3193,2.2583,-0.8545
106296.0000,-0.1836,0.8999,0.3911,4.0894,2.5635,-0.9766
106297.0000,-0.1777,0.8965,0.3906,5.4321,2.9297,-1.1597
106298.0000,-0.1743,0.8887,0.3828,6.8359,3.5400,-1.3428
106299.0000,-0.1875,0.8862,0.3730,9.2163,4.3335,-1.2817
106300.0000,-0.2021,0.8979,0.3696,11.2305,4.5166,-1.2207
106301.0000,-0.2090,0.9141,0.3716,12.6343,4.0283,-1.2207
106302.0000,-0.2124,0.9268,0.3730,13.4277,3.4180,-1.5869
106303.0000,-0.2158,0.9214,0.3755,14.0381,2.8687,-1.8311
106304.0000,-0.2197,0.9087,0.3701,14.9536,2.1362,-2.0752
106305.0000,-0.2168,0.8994,0.3711,16.6016,1.0376,-2.5024
106306.0000,-0.2139,0.8921,0.3823,17.8833,0.5493,-2.8076
106307.0000,-0.2051,0.8721,0.4004,19.3481,0.2441,-2.8687
