timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
97984.0000,-0.1968,0.8735,0.4404,4.8218,-1.9531,-1.7700
97985.0000,-0.2046,0.8726,0.4429,7.4463,-3.1128,-2.3193
97986.0000,-0.2080,0.8672,0.4448,9.5215,-4.5166,-2.9297
97987.0000,-0.2061,0.8608,0.4424,11.4136,-5.9814,-3.4790
97988.0000,-0.1953,0.8687,0.4463,14.7705,-7.9956,-4.3945
97989.0000,-0.1870,0.8828,0.4492,16.8457,-9.1553,-5.2490
97990.0000,-0.1724,0.8896,0.4502,18.4937,-9.8267,-5.9814
97991.0000,-0.1548,0.8862,0.4468,20.0806,-9.8877,-7.1411
97992.0000,-0.1499,0.8784,0.4399,21.7896,-9.5215,-7.6294
97993.0000,-0.1460,0.8726,0.4395,23.6206,-8.7280,-8.3008
97994.0000,-0.1470,0.8628,0.4355,26.5503,-7.6904,-8.7891
97995.0000,-0.1494,0.8589,0.4292,28.8696,-6.8970,-9.3384
97996.0000,-0.1558,0.8560,0.4209,31.3721,-6.2256,-9.5215
97997.0000,-0.1709,0.8662,0.4058,34.7290,-5.5542,-9.7656
97998.0000,-0.1797,0.8745,0.4009,36.7432,-5.5542,-9.8267
97999.0000,-0.1914,0.8828,0.3931,38.7573,-5.7373,-9.6436
98000.0000,-0.2041,0.8936,0.3804,41.0156,-6.5918,-9.3384
98001.0000,-0.2070,0.8989,0.3735,42.6636,-7.5073,-8.8501
98002.0000,-0.2051,0.9150,0.3687,43.8843,-8.3618,-8.4839
98003.0000,-0.2002,0.9360,0.3633,44.5557,-9.1553,-8.4839
98004.0000,-0.1948,0.9448,0.3613,44.6777,-9.5215,-8.4229
98005.0000,-0.1895,0.9453,0.3569,44.6777,-9.4604,-8.5449
98006.0000,-0.1992,0.9302,0.3491,44.9829,-9.5825,-8.4839
98007.0000,-0.2036,0.9204,0.3442,45.7764,-9.5215,-8.9111
98008.0000,-0.2100,0.9185,0.3374,46.9971,-9.9487,-8.9111
98009.0000,-0.2080,0.9258,0.3242,48.5229,-10.4370,-9.5215
98010.0000,-0.2021,0.9346,0.3179,49.4385,-10.6812,-9.7046
98011.0000,-0.1914,0.9409,0.3096,50.1099,-10.5591,-9.5825
98012.0000,-0.1797,0.9419,0.2993,50.6592,-9.5825,-9.7046
98013.0000,-0.1812,0.9355,0.2861,51.2695,-8.5449,-9.4604
98014.0000,-0.1870,0.9238,0.2783,52.0020,-7.6904,-9.3994
98015.0000,-0.1963,0.9121,0.2568,53.5278,-6.8359,-9.0332
98016.0000,-0.1968,0.9219,0.2500,54.8706,-6.5918,-9.1553
98017.0000,-0.1904,0.9399,0.2432,55.9692,-6.1646,-9.2163
98018.0000,-0.1826,0.9580,0.2427,56.5186,-5.1880,-9.2773
98019.0000,-0.1772,0.9570,0.2319,56.2744,-4.1504,-9.0942
98020.0000,-0.1792,0.9521,0.2158,56.1523,-3.2349,-8.9111
98021.0000,-0.1865,0.9736,0.1948,56.0913,-1.7700,-8.3618
98022.0000,-0.1924,0.9966,0.1841,55.5420,-0.6104,-7.7515
98023.0000,-0.1997,1.0146,0.1729,54.6265,0.3052,-7.1411
98024.0000,-0.2090,1.0264,0.1567,52.3682,0.9155,-6.2256
98025.0000,-0.2114,1.0312,0.1421,50.3540,1.0376,-5.3711
98026.0000,-0.2202,1.0327,0.1333,48.3398,1.1597,-4.8218
98027.0000,-0.2251,1.0332,0.1240,46.0815,1.2817,-4.9438
98028.0000,-0.2241,1.0278,0.1167,44.3726,1.3428,-5.1880
98029.0000,-0.2144,1.0225,0.1133,42.7246,1.4038,-5.2490
98030.0000,-0.2021,1.0122,0.1045,40.8936,2.0752,-5.0659
98031.0000,-0.1992,1.0059,0.0967,39.7949,2.8687,-4.8218
98032.0000,-0.2080,1.0063,0.0884,38.8184,3.7231,-4.8218
98033.0000,-0.2271,1.0142,0.0811,37.5977,4.3335,-4.9438
98034.0000,-0.2441,1.0229,0.0728,36.4380,4.0894,-5.5542
98035.0000,-0.2583,1.0327,0.0645,34.9121,3.3569,-6.2256
98036.0000,-0.2788,1.0513,0.0566,32.4097,2.2583,-7.5684
98037.0000,-0.2832,1.0474,0.0425,30.8228,0.5493,-8.1787
98038.0000,-0.2759,1.0376,0.0381,29.2969,-1.1597,-8.4839
98039.0000,-0.2700,1.0220,0.0386,25.9399,-3.1738,-8.8501
98040.0000,-0.2549,1.0244,0.0298,24.3530,-3.9673,-8.6670
98041.0000,-0.2388,1.0278,0.0293,22.3389,-4.2114,-8.3008
98042.0000,-0.2168,1.0322,0.0293,20.2026,-3.4790,-7.4463
98043.0000,-0.2080,1.0264,0.0293,18.6157,-2.5024,-6.3477
98044.0000,-0.2070,1.0146,0.0264,16.9678,-1.2207,-5.2490
98045.0000,-0.2095,0.9966,0.0273,15.0146,0.4883,-3.6621
98046.0000,-0.2163,0.9829,0.0225,14.5264,1.9531,-2.6855
98047.0000,-0.2188,0.9790,0.0190,14.2212,3.1128,-1.5869
98048.0000,-0.2227,0.9863,0.0176,13.9771,4.2725,-0.5493
98049.0000,-0.2256,0.9951,0.0200,13.3667,5.1270,0.2441
98050.0000,-0.2334,0.9937,0.0166,12.5122,5.7373,0.6714
98051.0000,-0.2393,0.9888,0.0112,11.5356,6.3477,1.0376
98052.0000,-0.2490,0.9893,0.0059,10.9863,6.7139,1.0986
98053.0000,-0.2583,1.0005,-0.0005,10.1318,6.7749,1.2207
98054.0000,-0.2661,1.0210,0.0020,8.8501,5.9814,1.2207
98055.0000,-0.2681,1.0317,-0.0010,7.0801,5.1270,1.2207
98056.0000,-0.2559,1.0352,-0.0059,5.0049,4.2725,1.6479
98057.0000,-0.2437,1.0254,-0.0068,2.1973,3.5400,2.4414
98058.0000,-0.2393,1.0127,-0.0103,0.6714,3.4790,3.2349
98059.0000,-0.2368,1.0068,-0.0151,-0.3052,3.3569,3.9673
98060.0000,-0.2339,1.0205,-0.0132,-1.4648,3.7231,4.5166
98061.0000,-0.2349,1.0366,-0.0132,-2.9297,4.0283,4.3945
98062.0000,-0.2354,1.0444,-0.0127,-4.7607,4.3945,4.4556
98063.0000,-0.2310,1.0488,-0.0132,-7.7515,4.8828,4.3335
98064.0000,-0.2314,1.0518,-0.0176,-9.8877,5.4932,4.6997
98065.0000,-0.2334,1.0576,-0.0190,-12.0850,5.7983,4.8828
98066.0000,-0.2446,1.0679,-0.0215,-15.5640,5.8594,5.2490
98067.0000,-0.2534,1.0737,-0.0205,-18.1274,5.4321,5.2490
98068.0000,-0.2612,1.0815,-0.0244,-21.4233,4.6997,4.8828
98069.0000,-0.2573,1.0854,-0.0210,-25.6958,3.4790,4.4556
98070.0000,-0.2549,1.0825,-0.0186,-28.9917,2.6855,3.9062
98071.0000,-0.2588,1.0840,-0.0190,-33.2642,1.5869,3.4790
98072.0000,-0.2773,1.0981,-0.0156,-36.6821,0.3662,3.0518
