timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
239501.0000,0.0771,1.0684,0.5654,10.5591,1.2817,18.8599
239502.0000,0.0879,1.1699,0.5918,10.1929,2.1362,21.4844
239503.0000,0.1133,1.3110,0.6577,9.5215,3.7231,21.6064
239504.0000,0.1255,1.3237,0.6768,6.7749,5.7983,20.0806
239505.0000,0.1172,1.2168,0.6250,1.7700,8.9722,18.7378
239506.0000,0.0723,1.1328,0.5776,-1.2207,13.1836,16.9678
239507.0000,0.0303,1.1851,0.6099,2.8076,15.2588,13.6719
239508.0000,-0.0054,1.2495,0.6372,7.2632,15.8081,8.9111
239509.0000,-0.0381,1.1729,0.5825,7.2632,13.8550,4.0283
239510.0000,-0.0503,1.0400,0.4971,5.7373,12.6343,3.0518
239511.0000,-0.0820,0.9717,0.4385,8.6670,11.9019,3.6011
239512.0000,-0.1426,0.9805,0.4155,14.4653,9.2163,6.1646
239513.0000,-0.1636,1.0000,0.3799,16.8457,5.0659,8.4839
239514.0000,-0.1519,1.0293,0.3550,16.6626,0.4883,10.4980
239515.0000,-0.1025,1.0850,0.3569,16.7236,-3.7842,10.7422
239516.0000,-0.0552,1.1318,0.3662,15.6860,-4.2725,8.9722
239517.0000,-0.0176,1.1655,0.3726,13.1226,-2.9907,6.4087
239518.0000,0.0098,1.1421,0.3677,7.0801,0.6714,3.1738
239519.0000,0.0127,1.0913,0.3564,2.9297,3.9062,2.0142
239520.0000,0.0122,1.0444,0.3462,-0.1221,7.2632,1.6479
239521.0000,0.0015,1.0127,0.3525,-2.3193,11.2305,2.0752
239522.0000,-0.0127,0.9956,0.3691,-3.1738,13.2446,2.6245
239523.0000,-0.0171,0.9717,0.3701,-4.0283,14.5264,3.2959
239524.0000,-0.0244,0.9229,0.3647,-6.8359,15.8691,4.7607
239525.0000,-0.0229,0.8833,0.3618,-8.6060,16.9067,6.2256
239526.0000,-0.0195,0.8486,0.3657,-10.1929,17.9443,7.2021
239527.0000,-0.0254,0.7925,0.3706,-12.0239,19.3481,8.0566
