timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
112093.0000,-0.2812,0.9082,0.4087,-0.6714,1.9531,-1.1597
112094.0000,-0.2837,0.9106,0.4106,-1.2207,3.1738,-1.2207
112095.0000,-0.2866,0.9204,0.4111,-2.3804,4.2114,-1.3428
112096.0000,-0.2930,0.9233,0.4185,-3.7231,5.2490,-1.6479
112097.0000,-0.2944,0.9136,0.4175,-4.5776,5.7373,-1.6479
112098.0000,-0.2969,0.8999,0.4126,-5.1270,6.4087,-1.8311
112099.0000,-0.3042,0.8872,0.4141,-4.7607,7.3242,-2.0752
112100.0000,-0.3086,0.8828,0.4131,-4.3335,7.9956,-2.5024
112101.0000,-0.3184,0.8867,0.4116,-4.0894,8.5449,-2.9297
112102.0000,-0.3242,0.8862,0.4160,-3.6621,8.6670,-3.1128
112103.0000,-0.3301,0.8887,0.4141,-3.4180,8.6060,-3.1128
112104.0000,-0.3325,0.8887,0.4136,-3.1128,8.4839,-2.9297
112105.0000,-0.3350,0.8896,0.4116,-2.8687,8.1177,-2.1362
112106.0000,-0.3340,0.8896,0.4097,-3.1128,7.8125,-1.5259
112107.0000,-0.3325,0.8896,0.4116,-3.1738,7.5073,-1.0986
112108.0000,-0.3291,0.8911,0.4116,-2.8687,7.2632,-0.9766
112109.0000,-0.3228,0.8926,0.4121,-2.8687,7.1411,-1.2207
112110.0000,-0.3213,0.8945,0.4111,-2.9907,7.2632,-1.7090
112111.0000,-0.3193,0.8921,0.4121,-2.9907,7.4463,-2.6855
112112.0000,-0.3223,0.8950,0.4116,-2.9907,7.8735,-3.5400
112113.0000,-0.3281,0.8931,0.4092,-2.9907,8.0566,-4.2725
112114.0000,-0.3359,0.8896,0.4121,-3.1128,8.1787,-4.6997
112115.0000,-0.3408,0.8916,0.4131,-2.9907,8.4839,-4.9438
112116.0000,-0.3481,0.8940,0.4126,-2.8687,8.4839,-5.1270
112117.0000,-0.3555,0.8984,0.4136,-2.8687,7.9346,-4.3335
112118.0000,-0.3530,0.8979,0.4116,-3.1738,7.2632,-3.7842
112119.0000,-0.3516,0.8945,0.4141,-3.2959,6.7749,-2.7466
112120.0000,-0.3472,0.8931,0.4175,-3.2349,6.2866,-1.7700
112121.0000,-0.3433,0.8936,0.4136,-3.1738,6.0425,-1.5259
112122.0000,-0.3428,0.8940,0.4092,-3.0518,5.9204,-1.4038
112123.0000,-0.3364,0.8901,0.4136,-3.0518,5.8594,-1.6479
112124.0000,-0.3335,0.8911,0.4116,-3.1128,5.9204,-1.7700
112125.0000,-0.3335,0.8950,0.4121,-3.1738,6.0425,-2.1362
112126.0000,-0.3374,0.8906,0.4175,-3.6011,6.2256,-2.2583
112127.0000,-0.3403,0.8901,0.4141,-3.7231,6.1646,-2.1973
112128.0000,-0.3418,0.8911,0.4204,-3.6621,5.9814,-2.1362
112129.0000,-0.3462,0.8960,0.4224,-3.7231,5.9204,-1.7700
112130.0000,-0.3472,0.8931,0.4238,-3.7231,5.4932,-1.2817
112131.0000,-0.3472,0.8838,0.4214,-3.6011,5.1880,-0.7324
112132.0000,-0.3442,0.8765,0.4214,-2.8687,4.6387,-0.2441
112133.0000,-0.3408,0.8740,0.4214,-2.3193,4.3945,0.0000
112134.0000,-0.3379,0.8774,0.4175,-1.8311,4.0894,-0.1831
112135.0000,-0.3345,0.8872,0.4180,-1.4038,3.9673,-0.6714
112136.0000,-0.3296,0.8931,0.4160,-1.5869,3.9673,-0.9155
112137.0000,-0.3262,0.8945,0.4199,-1.7700,4.2114,-1.8921
112138.0000,-0.3301,0.8984,0.4204,-2.1362,4.5166,-2.2583
112139.0000,-0.3369,0.8984,0.4194,-2.5635,4.7607,-2.6855
112140.0000,-0.3418,0.8994,0.4160,-3.1738,4.7607,-2.7466
112141.0000,-0.3428,0.8994,0.4204,-3.7231,4.6997,-2.6855
112142.0000,-0.3428,0.8989,0.4243,-4.0894,4.6387,-2.1973
112143.0000,-0.3354,0.8989,0.4209,-4.6997,5.0049,-1.4038
112144.0000,-0.3311,0.8970,0.4253,-5.1270,5.3711,-0.7935
112145.0000,-0.3218,0.9009,0.4199,-5.5542,5.9204,-0.1831
112146.0000,-0.3081,0.8970,0.4185,-6.1646,7.5684,0.7935
112147.0000,-0.2974,0.8955,0.4194,-6.5918,9.1553,1.3428
112148.0000,-0.2944,0.8970,0.4180,-6.8359,11.2305,1.8311
112149.0000,-0.2964,0.8955,0.4189,-7.3242,14.1602,2.3804
112150.0000,-0.2949,0.8965,0.4150,-7.6904,16.2354,2.7466
112151.0000,-0.2935,0.8984,0.4155,-7.9956,18.3716,3.2959
112152.0000,-0.2915,0.9097,0.4126,-8.7280,21.2402,4.2725
112153.0000,-0.2954,0.9097,0.4097,-9.5825,23.3154,5.0049
112154.0000,-0.2935,0.9072,0.4097,-10.5591,25.4517,5.8594
112155.0000,-0.2915,0.9146,0.4087,-11.8408,28.4424,6.7749
112156.0000,-0.2876,0.9189,0.4053,-13.0005,30.9448,7.4463
112157.0000,-0.2734,0.9282,0.4009,-14.4653,33.7524,8.3618
112158.0000,-0.2515,0.9414,0.3887,-16.9678,38.3301,10.4980
112159.0000,-0.2305,0.9399,0.3838,-18.7988,43.1519,12.8784
112160.0000,-0.2119,0.9307,0.3745,-20.5078,48.9502,15.6860
112161.0000,-0.1982,0.9233,0.3628,-21.9116,58.0444,19.4092
112162.0000,-0.1924,0.9385,0.3599,-23.0713,65.6738,22.7051
112163.0000,-0.1763,0.9609,0.3555,-24.5972,73.8525,26.9165
112164.0000,-0.1304,0.9961,0.3364,-28.2593,85.9375,34.7900
112165.0000,-0.0908,1.0161,0.3149,-31.6772,97.1680,41.5039
112166.0000,-0.0542,1.0239,0.2944,-35.7666,110.4126,49.0723
112167.0000,-0.0288,1.0337,0.2622,-40.8936,130.6152,58.5938
112168.0000,-0.0352,1.0278,0.2402,-44.0674,146.9727,65.0635
112169.0000,-0.0669,1.0039,0.2202,-46.3867,162.7808,70.5566
112170.0000,-0.1362,0.9902,0.2012,-48.7671,181.3354,77.3926
112171.0000,-0.1841,0.9893,0.1924,-49.4385,192.3218,82.0923
112172.0000,-0.2207,1.0020,0.1855,-50.2930,201.5381,86.7920
112173.0000,-0.2422,1.0537,0.1611,-52.6733,211.7920,94.1772
112174.0000,-0.2549,1.0908,0.1479,-56.5796,218.3838,99.9756
112175.0000,-0.2573,1.1035,0.1377,-59.7534,224.6704,105.2856
112176.0000,-0.2671,1.0757,0.1270,-64.5752,232.7881,110.5957
112177.0000,-0.2915,1.0400,0.1099,-65.4907,238.3423,112.7319
112178.0000,-0.3193,1.0117,0.1069,-65.7349,242.2485,113.2202
112179.0000,-0.3564,0.9990,0.1206,-64.5752,244.6899,112.3657
112180.0000,-0.3833,1.0054,0.1309,-63.1714,244.3237,111.2061
112181.0000,-0.3984,1.0171,0.1216,-62.0728,242.4316,110.5347
112182.0000,-0.3936,1.0210,0.1255,-63.1104,237.7930,109.1919
112183.0000,-0.3999,1.0400,0.1348,-63.2324,234.3140,107.9102
112184.0000,-0.4146,1.0498,0.1475,-64.6973,230.1636,106.5674
112185.0000,-0.4199,1.0254,0.1616,-66.5283,223.3887,105.5298
112186.0000,-0.4082,0.9824,0.1729,-66.6504,217.4683,104.9194
112187.0000,-0.3916,0.9526,0.1973,-65.2466,212.6465,103.8208
112188.0000,-0.3926,0.9531,0.2241,-61.7676,206.4819,101.9287
112189.0000,-0.3843,0.9580,0.2339,-59.8145,200.6226,98.8770
112190.0000,-0.3789,0.9570,0.2417,-57.9834,194.0308,94.4824
112191.0000,-0.3818,0.9478,0.2612,-55.7861,184.7534,87.4023
112192.0000,-0.3906,0.9409,0.2871,-54.1992,177.3682,81.5430
112193.0000,-0.4082,0.9263,0.3066,-52.6733,169.4336,75.0122
112194.0000,-0.4233,0.8970,0.3291,-50.4761,157.4097,65.8569
112195.0000,-0.4351,0.8872,0.3418,-48.6450,147.8271,59.3872
112196.0000,-0.4399,0.8833,0.3604,-46.4478,137.0850,54.0161
112197.0000,-0.4238,0.8833,0.3892,-43.2739,122.0703,48.5229
112198.0000,-0.3999,0.8823,0.4126,-40.5273,111.0840,45.1050
112199.0000,-0.3716,0.8711,0.4277,-37.8418,100.8911,40.7104
112200.0000,-0.3496,0.8677,0.4434,-33.9966,88.6230,33.2031
112201.0000,-0.3413,0.8623,0.4478,-31.3721,79.6509,26.3672
112202.0000,-0.3296,0.8799,0.4473,-28.7476,70.6787,19.4702
112203.0000,-0.3022,0.9204,0.4351,-27.0996,59.6313,12.1460
112204.0000,-0.2744,0.9531,0.4165,-27.5269,52.7344,8.1787
112205.0000,-0.2485,0.9604,0.4106,-29.0527,46.8750,5.8594
112206.0000,-0.2119,0.9243,0.4233,-30.5786,41.4429,4.1504
112207.0000,-0.1885,0.8818,0.4336,-30.0903,39.0625,3.3569
112208.0000,-0.1753,0.8643,0.4429,-28.1982,37.2925,1.7090
112209.0000,-0.1685,0.8931,0.4380,-25.6348,35.4614,-0.2441
112210.0000,-0.1616,0.9160,0.4346,-24.6582,34.3018,-2.0142
112211.0000,-0.1528,0.9292,0.4253,-24.5361,33.8745,-3.6621
112212.0000,-0.1514,0.9321,0.4297,-24.5361,33.9966,-5.3711
112213.0000,-0.1577,0.9287,0.4429,-24.3530,34.3018,-6.2866
112214.0000,-0.1792,0.9209,0.4507,-23.8037,34.4849,-6.8359
112215.0000,-0.2168,0.9082,0.4707,-22.6440,33.1421,-6.8970
112216.0000,-0.2349,0.8979,0.4727,-21.1792,30.9448,-6.8359
112217.0000,-0.2446,0.9023,0.4702,-19.8364,28.1982,-6.4697
112218.0000,-0.2466,0.9214,0.4644,-18.6157,24.2920,-5.6763
112219.0000,-0.2319,0.9233,0.4575,-18.1885,21.7285,-4.7607
112220.0000,-0.2217,0.9121,0.4604,-18.0664,20.0195,-4.5776
112221.0000,-0.2197,0.8892,0.4692,-16.9678,18.6157,-4.8828
112222.0000,-0.2261,0.8799,0.4834,-15.3809,17.3340,-5.4932
112223.0000,-0.2334,0.8848,0.4854,-13.8550,16.1133,-6.2866
112224.0000,-0.2358,0.9067,0.4741,-12.4512,13.3667,-6.5308
112225.0000,-0.2305,0.9287,0.4639,-12.5122,11.4746,-5.6152
112226.0000,-0.2158,0.9443,0.4561,-13.3667,10.1318,-4.2725
112227.0000,-0.2012,0.9351,0.4556,-15.0146,9.8267,-2.6245
112228.0000,-0.2007,0.9062,0.4712,-15.3809,10.1318,-1.7700
112229.0000,-0.2100,0.8848,0.4844,-14.5264,10.7422,-1.0986
112230.0000,-0.2295,0.8882,0.4966,-12.6343,10.2539,-0.5493
112231.0000,-0.2300,0.8916,0.4995,-11.4746,9.2163,-0.4272
112232.0000,-0.2300,0.8911,0.4961,-10.5591,7.9956,-0.6104
112233.0000,-0.2256,0.9009,0.4912,-9.4604,6.2866,-0.6714
112234.0000,-0.2144,0.9092,0.4858,-9.2773,5.2490,-0.1831
112235.0000,-0.2002,0.9189,0.4863,-9.2773,4.7607,0.1831
112236.0000,-0.1987,0.9082,0.4912,-9.2773,5.2490,0.0610
112237.0000,-0.2144,0.8950,0.5020,-9.4604,5.2490,-0.4883
112238.0000,-0.2163,0.8887,0.5073,-7.6904,4.8218,-0.6104
112239.0000,-0.2075,0.8887,0.4976,-6.8970,3.7231,-0.4272
112240.0000,-0.2012,0.9019,0.4976,-6.3477,3.1738,-0.2441
112241.0000,-0.1968,0.9155,0.4893,-6.4087,2.8076,0.0000
112242.0000,-0.1953,0.9131,0.4902,-6.5918,2.8687,0.3662
