timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
118739.0000,-0.3750,0.8687,0.4082,-1.8311,0.2441,3.6011
118740.0000,-0.3735,0.8667,0.4087,-1.4648,0.2441,3.1738
118741.0000,-0.3735,0.8691,0.4087,-1.2207,0.0610,2.8076
118742.0000,-0.3735,0.8682,0.4082,-1.0986,0.1221,2.4414
118743.0000,-0.3716,0.8721,0.4082,-0.9766,-0.1221,2.0752
118744.0000,-0.3657,0.8740,0.4058,-0.9155,0.0000,1.7700
118745.0000,-0.3618,0.8765,0.4087,-1.0376,0.1831,1.4038
118746.0000,-0.3594,0.8784,0.4062,-1.0986,0.4272,1.2207
118747.0000,-0.3589,0.8784,0.4058,-1.0986,0.7324,1.0376
118748.0000,-0.3608,0.8735,0.4053,-1.1597,0.9155,0.9155
118749.0000,-0.3623,0.8730,0.4053,-1.0376,1.1597,0.5493
118750.0000,-0.3662,0.8755,0.4062,-1.0986,1.4038,0.3052
118751.0000,-0.3672,0.8770,0.4043,-1.1597,1.6479,0.0000
118752.0000,-0.3701,0.8779,0.4014,-1.2207,1.7090,-0.1221
118753.0000,-0.3716,0.8789,0.4028,-1.4648,1.8311,-0.1221
118754.0000,-0.3687,0.8799,0.4014,-1.6479,2.0752,-0.1221
118755.0000,-0.3677,0.8799,0.4019,-1.9531,2.3193,-0.1221
118756.0000,-0.3682,0.8794,0.4033,-2.1362,2.5635,0.1221
118757.0000,-0.3667,0.8760,0.4033,-2.3193,3.0518,0.3052
118758.0000,-0.3662,0.8760,0.4053,-2.5024,3.4180,0.4272
118759.0000,-0.3691,0.8755,0.4043,-2.5024,3.6011,0.3052
118760.0000,-0.3711,0.8765,0.4038,-2.5635,3.8452,0.3662
118761.0000,-0.3716,0.8750,0.4062,-2.6855,4.1504,0.4883
118762.0000,-0.3721,0.8740,0.4043,-2.6855,4.2725,0.3662
118763.0000,-0.3750,0.8711,0.4043,-2.5024,4.4556,0.2441
118764.0000,-0.3755,0.8711,0.4062,-2.4414,4.3945,-0.1831
118765.0000,-0.3784,0.8716,0.4038,-2.3193,4.5166,-0.4272
118766.0000,-0.3779,0.8716,0.4062,-2.3193,4.5166,-0.7935
118767.0000,-0.3774,0.8711,0.4028,-2.3193,4.5166,-0.9766
118768.0000,-0.3774,0.8730,0.4038,-2.1973,4.6387,-0.9766
118769.0000,-0.3784,0.8726,0.4023,-2.0752,4.7607,-1.0986
118770.0000,-0.3784,0.8755,0.4038,-1.8921,4.8218,-1.0376
118771.0000,-0.3765,0.8745,0.3994,-1.8311,4.8828,-0.7935
118772.0000,-0.3804,0.8760,0.4004,-1.8921,4.8828,-0.3662
118773.0000,-0.3804,0.8735,0.3979,-1.9531,4.8828,-0.3052
118774.0000,-0.3774,0.8765,0.3970,-1.9531,4.8218,0.0000
118775.0000,-0.3735,0.8823,0.3979,-2.0752,5.1270,0.1831
118776.0000,-0.3755,0.8882,0.4009,-2.3804,5.4321,0.1831
118777.0000,-0.3765,0.8877,0.4033,-2.7466,5.5542,0.3052
118778.0000,-0.3740,0.8774,0.4038,-2.9907,5.7983,0.3662
118779.0000,-0.3721,0.8696,0.3994,-2.8687,6.1646,0.2441
118780.0000,-0.3745,0.8691,0.4019,-2.5635,6.3477,0.1221
118781.0000,-0.3755,0.8711,0.3989,-2.2583,6.8359,0.1221
118782.0000,-0.3765,0.8745,0.3989,-2.1362,7.0190,0.1831
118783.0000,-0.3770,0.8730,0.3979,-2.1362,7.3242,0.2441
118784.0000,-0.3779,0.8755,0.3975,-2.0752,7.5073,0.2441
118785.0000,-0.3760,0.8779,0.3960,-2.1973,7.8125,0.4883
118786.0000,-0.3750,0.8833,0.3965,-2.3804,8.1177,0.4883
118787.0000,-0.3667,0.8921,0.3965,-3.0518,8.8501,0.8545
118788.0000,-0.3613,0.8892,0.3960,-3.6011,9.7046,1.4648
118789.0000,-0.3574,0.8882,0.3950,-4.1504,10.7422,2.0752
118790.0000,-0.3560,0.8882,0.3936,-4.5166,12.2681,3.1128
118791.0000,-0.3599,0.8911,0.3955,-5.0659,13.6108,4.0283
118792.0000,-0.3608,0.8921,0.3936,-5.5542,14.6484,4.7607
118793.0000,-0.3594,0.8916,0.3926,-6.1646,15.9912,5.6152
118794.0000,-0.3530,0.8901,0.3931,-6.8359,17.2729,6.2866
118795.0000,-0.3457,0.8960,0.3896,-7.5684,18.7378,6.7139
118796.0000,-0.3379,0.8955,0.3926,-8.4839,21.0571,7.6294
118797.0000,-0.3359,0.8926,0.3896,-9.0332,23.1323,8.0566
118798.0000,-0.3374,0.8853,0.3882,-9.5825,25.2686,8.5449
118799.0000,-0.3442,0.8862,0.3857,-10.0708,28.0151,9.3384
118800.0000,-0.3506,0.8936,0.3867,-10.2539,30.0293,10.0098
118801.0000,-0.3550,0.8994,0.3857,-10.7422,31.4941,10.9253
118802.0000,-0.3545,0.9048,0.3823,-11.7188,33.5693,12.2070
118803.0000,-0.3472,0.9141,0.3774,-12.4512,35.2173,13.4277
118804.0000,-0.3335,0.9253,0.3784,-13.7329,37.4756,15.0757
118805.0000,-0.3018,0.9419,0.3745,-16.1133,41.6260,18.0664
118806.0000,-0.2705,0.9409,0.3691,-18.2495,45.8374,20.9961
118807.0000,-0.2388,0.9385,0.3628,-20.0195,51.5137,24.2310
118808.0000,-0.2148,0.9453,0.3530,-22.2168,61.4624,28.3203
118809.0000,-0.2036,0.9688,0.3345,-24.1699,70.0684,31.8604
118810.0000,-0.1831,1.0122,0.3052,-26.9775,79.8340,36.8042
118811.0000,-0.1357,1.0981,0.2798,-33.0811,95.0317,46.8140
118812.0000,-0.0757,1.1328,0.2646,-39.5508,108.8257,57.8003
118813.0000,-0.0010,1.1235,0.2446,-46.2036,125.8545,71.1060
118814.0000,0.0869,1.0693,0.2026,-53.3447,154.6021,89.5386
118815.0000,0.1196,1.0391,0.1567,-56.8237,179.3823,102.6611
118816.0000,0.1255,1.0376,0.1079,-59.1431,205.6274,114.7461
118817.0000,0.1001,1.0913,0.0146,-61.1572,241.6382,130.2490
118818.0000,0.0703,1.1558,-0.0488,-63.7817,267.2119,142.5781
118819.0000,0.0552,1.2129,-0.1040,-67.6270,291.1987,154.6631
118820.0000,0.0317,1.2241,-0.1851,-72.5098,321.7773,168.7622
118821.0000,-0.0112,1.1880,-0.2207,-79.1626,341.9800,177.0020
118822.0000,-0.0767,1.1743,-0.2603,-77.1484,361.0840,181.5796
118823.0000,-0.1699,1.1685,-0.2754,-76.4160,380.5542,182.2510
118824.0000,-0.2529,1.1870,-0.2881,-76.4771,390.4419,180.2979
118825.0000,-0.3291,1.2051,-0.2954,-78.0029,395.2637,177.6733
118826.0000,-0.3911,1.1953,-0.2988,-80.8716,394.0430,174.4385
118827.0000,-0.4072,1.1724,-0.2949,-83.6182,390.0146,172.1802
118828.0000,-0.4082,1.1362,-0.2666,-84.7778,385.0098,169.2505
118829.0000,-0.4087,1.0718,-0.2188,-83.5571,377.8687,162.6587
118830.0000,-0.4243,1.0088,-0.1714,-80.2002,372.1313,155.5786
118831.0000,-0.4863,0.9731,-0.1216,-76.0498,364.1968,146.3013
118832.0000,-0.5801,0.9678,-0.0479,-69.3359,347.1680,132.0190
118833.0000,-0.6318,0.9780,0.0073,-65.0024,329.7729,120.1172
118834.0000,-0.6699,0.9731,0.0674,-61.9507,309.6313,106.6284
118835.0000,-0.7212,0.9194,0.1567,-58.2275,278.6865,87.4023
118836.0000,-0.7437,0.8687,0.2271,-54.7485,252.5024,73.1201
118837.0000,-0.7520,0.8472,0.2998,-50.1099,224.9146,59.2651
118838.0000,-0.7471,0.8711,0.3672,-44.0674,186.7065,41.6260
118839.0000,-0.7441,0.9077,0.3960,-40.8325,156.9214,29.4800
118840.0000,-0.7114,0.9478,0.4072,-39.4897,126.9531,18.6157
118841.0000,-0.6104,0.9570,0.4126,-39.2456,90.1489,6.3477
118842.0000,-0.5205,0.9502,0.4111,-39.4897,67.3828,-0.7324
118843.0000,-0.3940,0.8921,0.4336,-38.5742,44.3115,-7.6904
118844.0000,-0.3101,0.8398,0.4419,-35.5225,32.4097,-11.7188
118845.0000,-0.2456,0.8247,0.4487,-30.7007,24.7803,-14.2822
118846.0000,-0.1714,0.8369,0.4585,-24.6582,19.8364,-15.2588
118847.0000,-0.1270,0.8486,0.4541,-20.5688,19.1650,-14.9536
118848.0000,-0.0981,0.8682,0.4478,-17.3950,20.4468,-13.9160
118849.0000,-0.0811,0.8931,0.4395,-14.2212,24.0479,-11.5356
118850.0000,-0.0840,0.8921,0.4409,-12.6343,26.9775,-10.1929
118851.0000,-0.1123,0.8799,0.4492,-11.0474,29.6631,-9.4604
118852.0000,-0.1797,0.8545,0.4688,-8.0566,30.3345,-9.4604
118853.0000,-0.2197,0.8447,0.4731,-5.3711,27.8931,-10.1929
118854.0000,-0.2490,0.8682,0.4619,-3.3569,23.8037,-11.3525
