timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
123577.0000,-0.4180,0.8369,0.4321,-8.3618,11.4746,-1.9531
123578.0000,-0.4146,0.8398,0.4326,-7.6294,11.1084,-1.6479
123579.0000,-0.4146,0.8452,0.4321,-7.0190,10.7422,-1.3428
123580.0000,-0.4077,0.8457,0.4321,-6.2866,10.3149,-1.5869
123581.0000,-0.4062,0.8457,0.4331,-5.7373,10.1929,-1.7090
123582.0000,-0.4067,0.8423,0.4292,-5.1880,10.0708,-1.9531
123583.0000,-0.4062,0.8423,0.4243,-4.5776,10.1318,-2.5024
123584.0000,-0.4082,0.8408,0.4238,-4.0894,10.0098,-2.7466
123585.0000,-0.4126,0.8364,0.4204,-3.2959,9.8267,-2.9297
123586.0000,-0.4189,0.8364,0.4204,-2.1973,9.5215,-2.8687
123587.0000,-0.4224,0.8413,0.4189,-1.5259,9.0332,-2.4414
123588.0000,-0.4268,0.8428,0.4160,-0.9155,8.3008,-1.8921
123589.0000,-0.4233,0.8477,0.4199,-0.0610,6.9580,-1.2207
123590.0000,-0.4180,0.8501,0.4155,0.2441,6.1646,-0.9155
123591.0000,-0.4146,0.8525,0.4121,0.5493,5.3711,-0.8545
123592.0000,-0.4111,0.8564,0.4062,0.9766,4.6997,-0.9766
123593.0000,-0.4077,0.8599,0.4062,1.0376,4.4556,-1.3428
123594.0000,-0.4053,0.8633,0.4033,1.0986,4.3335,-1.7090
123595.0000,-0.4048,0.8696,0.3994,1.0376,4.0894,-2.0142
123596.0000,-0.4004,0.8701,0.3989,0.8545,3.9062,-2.0142
123597.0000,-0.4004,0.8652,0.3965,0.5493,3.7842,-2.0752
123598.0000,-0.4023,0.8633,0.3989,0.4883,3.8452,-1.9531
123599.0000,-0.4067,0.8677,0.3970,0.3662,3.6621,-1.6479
123600.0000,-0.4136,0.8682,0.4004,0.2441,3.4180,-1.2207
123601.0000,-0.4160,0.8672,0.3975,0.2441,2.9297,-1.0376
123602.0000,-0.4131,0.8667,0.4004,0.1831,2.5635,-0.9766
123603.0000,-0.4092,0.8682,0.4028,0.1831,2.2583,-0.8545
123604.0000,-0.4092,0.8682,0.4009,0.1831,2.0752,-1.0986
123605.0000,-0.4048,0.8691,0.4004,0.3662,2.0142,-1.2817
123606.0000,-0.4009,0.8765,0.4009,0.2441,2.1362,-1.7700
123607.0000,-0.4028,0.8833,0.3965,-0.0610,2.4414,-1.8921
123608.0000,-0.4048,0.8877,0.3940,-0.6714,2.6855,-2.1973
123609.0000,-0.4087,0.8892,0.3945,-1.7090,2.9907,-1.9531
123610.0000,-0.4092,0.8877,0.3945,-2.4414,3.1128,-1.5259
123611.0000,-0.4092,0.8901,0.3979,-3.1738,3.2349,-0.7935
123612.0000,-0.4043,0.8887,0.3999,-4.0894,3.2349,0.3662
123613.0000,-0.4038,0.8843,0.4019,-4.7607,3.5400,0.7935
123614.0000,-0.4014,0.8784,0.3975,-5.3711,3.9673,1.2817
123615.0000,-0.3931,0.8784,0.3955,-5.7373,4.8218,1.4038
123616.0000,-0.3906,0.8823,0.3950,-6.2256,6.0425,1.5259
123617.0000,-0.3901,0.8882,0.3921,-6.9580,7.2632,1.7700
123618.0000,-0.3765,0.8965,0.3916,-8.3618,9.0332,2.5635
123619.0000,-0.3667,0.9077,0.3921,-9.7046,10.9253,3.7842
123620.0000,-0.3457,0.9180,0.3960,-11.2305,13.3667,5.5542
123621.0000,-0.3101,0.9199,0.3955,-13.7329,17.5781,8.7280
123622.0000,-0.2837,0.9121,0.3931,-15.8081,22.0947,11.2915
123623.0000,-0.2627,0.9082,0.3926,-17.7612,27.7710,13.7329
123624.0000,-0.2388,0.9092,0.3823,-20.2637,36.8652,16.2964
123625.0000,-0.2295,0.9150,0.3726,-22.4609,44.4946,18.1274
123626.0000,-0.2158,0.9258,0.3579,-24.9634,52.9175,20.2026
123627.0000,-0.2065,0.9277,0.3423,-28.8696,65.1245,23.4375
123628.0000,-0.1973,0.9248,0.3345,-31.3721,74.8901,26.8555
123629.0000,-0.1875,0.9224,0.3281,-33.3862,85.3271,31.4331
123630.0000,-0.1699,0.9292,0.3232,-35.4614,100.1587,39.9780
123631.0000,-0.1499,0.9502,0.3140,-37.0483,112.2437,48.0957
123632.0000,-0.1338,0.9775,0.3003,-38.9404,125.2441,56.1523
123633.0000,-0.1294,1.0000,0.2695,-42.7246,143.3716,65.9790
123634.0000,-0.1470,0.9937,0.2471,-45.8374,157.1045,71.8994
123635.0000,-0.1846,0.9751,0.2168,-48.3398,170.1050,76.5991
123636.0000,-0.2285,0.9673,0.1919,-50.4150,185.4248,82.8247
123637.0000,-0.2461,0.9834,0.1743,-51.5747,195.7397,88.0127
123638.0000,-0.2642,1.0146,0.1543,-53.2837,205.8105,94.9707
123639.0000,-0.2842,1.0737,0.1289,-57.2510,217.7734,106.3843
123640.0000,-0.2866,1.1011,0.1133,-60.9741,225.8301,115.3564
123641.0000,-0.2852,1.0825,0.0913,-64.8193,233.5815,122.9248
123642.0000,-0.2998,1.0283,0.0659,-67.5659,243.8965,129.3945
123643.0000,-0.3218,0.9922,0.0566,-67.2607,250.9155,131.7139
123644.0000,-0.3394,0.9854,0.0425,-65.2466,256.5918,133.3618
123645.0000,-0.3330,1.0171,0.0288,-62.5000,262.0850,137.1460
123646.0000,-0.3130,1.0508,0.0200,-63.2935,265.0757,140.2588
123647.0000,-0.3101,1.0972,0.0063,-62.5610,268.4937,142.2119
123648.0000,-0.3125,1.1274,-0.0015,-65.0024,271.6675,142.8223
123649.0000,-0.3198,1.1011,0.0044,-66.5283,273.4375,141.4795
123650.0000,-0.3271,1.0903,-0.0034,-67.0776,274.1089,138.8550
123651.0000,-0.3364,1.0552,0.0107,-68.2983,273.5596,133.7891
123652.0000,-0.3442,1.0547,0.0098,-66.5283,272.3999,129.2725
123653.0000,-0.3394,1.0425,0.0229,-68.3594,270.0806,125.0000
123654.0000,-0.3433,1.0171,0.0391,-67.1387,265.5640,117.6758
123655.0000,-0.3486,0.9756,0.0547,-65.4907,260.9253,112.3657
123656.0000,-0.3535,0.9321,0.0806,-62.8052,255.4932,106.6284
123657.0000,-0.3701,0.9106,0.1187,-57.6782,247.7417,97.8394
123658.0000,-0.3975,0.9238,0.1533,-53.5278,240.5396,90.4541
123659.0000,-0.4224,0.9390,0.1846,-49.9268,231.5063,82.7026
123660.0000,-0.4390,0.9448,0.2114,-46.3257,217.2852,71.5942
123661.0000,-0.4409,0.9336,0.2222,-44.3115,206.2378,62.8662
123662.0000,-0.4443,0.9067,0.2534,-42.1143,195.6177,54.1992
123663.0000,-0.4531,0.8721,0.3022,-37.4146,180.6030,42.7246
123664.0000,-0.4648,0.8594,0.3237,-33.0200,168.7622,34.9731
123665.0000,-0.4902,0.8633,0.3369,-28.6255,156.1890,28.2593
123666.0000,-0.5098,0.9004,0.3403,-24.2310,137.7563,20.6299
123667.0000,-0.5039,0.9434,0.3345,-22.9492,123.0469,16.6016
123668.0000,-0.4731,0.9746,0.3267,-23.2544,108.7646,13.5498
123669.0000,-0.4136,0.9648,0.3325,-24.4141,92.3462,9.6436
123670.0000,-0.3765,0.9336,0.3472,-24.2310,82.3975,6.4087
123671.0000,-0.3564,0.9111,0.3599,-23.0103,73.9136,2.7466
123672.0000,-0.3442,0.9072,0.3643,-21.2402,63.7207,-0.7935
123673.0000,-0.3315,0.9185,0.3618,-20.2637,56.4575,-2.2583
123674.0000,-0.3130,0.9385,0.3569,-20.0806,50.0488,-3.1128
123675.0000,-0.2852,0.9648,0.3613,-21.1182,43.0908,-2.5024
123676.0000,-0.2559,0.9438,0.3745,-21.9727,39.2456,-1.1597
123677.0000,-0.2363,0.9111,0.3955,-21.6675,36.7432,0.5493
123678.0000,-0.2334,0.8989,0.4229,-18.7378,34.0576,2.4414
123679.0000,-0.2354,0.9116,0.4312,-16.1133,31.6772,3.0518
123680.0000,-0.2334,0.9248,0.4312,-13.6719,29.0527,3.1128
123681.0000,-0.2251,0.9434,0.4272,-11.5967,25.1465,2.1973
123682.0000,-0.2197,0.9502,0.4160,-10.8032,22.2778,1.2817
123683.0000,-0.2139,0.9419,0.4082,-10.6812,19.5923,0.4272
123684.0000,-0.2031,0.9185,0.4009,-10.6812,16.5405,0.0000
123685.0000,-0.1978,0.9155,0.4062,-10.3760,14.6484,0.2441
123686.0000,-0.1948,0.9111,0.4214,-9.8877,13.1226,0.6714
123687.0000,-0.2017,0.8872,0.4351,-8.4229,10.6812,1.0376
123688.0000,-0.1997,0.8833,0.4302,-6.4087,8.6060,1.4038
123689.0000,-0.1880,0.9019,0.4258,-5.0659,6.4697,1.7090
123690.0000,-0.1670,0.9248,0.4180,-4.0283,4.2725,2.1973
123691.0000,-0.1548,0.9307,0.4150,-3.6621,2.9907,2.4414
123692.0000,-0.1465,0.9219,0.4189,-3.1128,2.3193,2.5024
123693.0000,-0.1470,0.8970,0.4126,-1.8311,1.7700,2.3193
123694.0000,-0.1543,0.8872,0.4155,-0.1221,0.9766,2.1362
123695.0000,-0.1631,0.8940,0.4180,1.7090,-0.3052,1.1597
123696.0000,-0.1650,0.9219,0.4131,3.6621,-2.4414,0.1221
123697.0000,-0.1577,0.9365,0.4019,4.7607,-4.1504,-0.4883
123698.0000,-0.1543,0.9507,0.3940,5.7373,-5.6763,-0.8545
123699.0000,-0.1504,0.9595,0.3906,5.9814,-7.5073,-1.0376
123700.0000,-0.1582,0.9556,0.3887,6.5918,-8.8501,-1.4038
123701.0000,-0.1694,0.9487,0.3853,7.7515,-11.2305,-2.0752
123702.0000,-0.1758,0.9541,0.3838,8.8501,-13.6108,-2.6245
123703.0000,-0.1812,0.9585,0.3828,9.5215,-16.3574,-3.5400
123704.0000,-0.1836,0.9717,0.3735,10.1318,-20.0195,-5.2490
123705.0000,-0.1812,0.9766,0.3730,10.3760,-22.5830,-6.4087
123706.0000,-0.1860,0.9702,0.3755,10.7422,-24.9634,-7.6904
123707.0000,-0.2041,0.9507,0.3745,11.5967,-28.1372,-9.2773
123708.0000,-0.2231,0.9414,0.3843,12.2681,-31.0669,-10.4980
123709.0000,-0.2529,0.9321,0.3955,13.4888,-34.5459,-12.2070
123710.0000,-0.2944,0.9155,0.4067,15.6250,-41.0767,-14.8926
123711.0000,-0.3301,0.9072,0.4146,17.5171,-47.4243,-17.3950
123712.0000,-0.3530,0.8945,0.4126,19.7754,-54.9316,-20.0195
123713.0000,-0.3828,0.8833,0.4019,23.4985,-66.7725,-24.4141
123714.0000,-0.4053,0.8818,0.3965,27.0386,-76.6602,-28.3203
123715.0000,-0.4404,0.8774,0.3906,30.5176,-87.5854,-33.0811
123716.0000,-0.4878,0.8745,0.3716,35.6445,-103.6987,-40.1611
123717.0000,-0.5190,0.8765,0.3599,39.2456,-117.6147,-46.2036
123718.0000,-0.5425,0.8745,0.3403,42.3584,-132.5684,-52.6123
123719.0000,-0.5537,0.8672,0.3149,46.5698,-153.4424,-61.2183
123720.0000,-0.5479,0.8555,0.2822,50.4761,-168.6401,-67.8101
123721.0000,-0.5376,0.8525,0.2573,54.1992,-183.4106,-74.4019
123722.0000,-0.5181,0.8794,0.2183,58.9600,-201.4771,-83.5571
123723.0000,-0.5063,0.9253,0.1997,62.5000,-213.3179,-90.8813
123724.0000,-0.4985,0.9629,0.1846,65.0635,-223.8770,-98.3276
123725.0000,-0.4980,1.0054,0.1519,67.0776,-236.3892,-107.5439
123726.0000,-0.5024,1.0254,0.1299,67.9321,-245.0562,-113.2202
123727.0000,-0.5049,1.0332,0.1123,68.6035,-253.4790,-117.3096
123728.0000,-0.5059,1.0093,0.0879,69.7021,-264.4043,-120.3003
123729.0000,-0.4956,0.9751,0.0605,70.9839,-272.5220,-120.9106
123730.0000,-0.4766,0.9595,0.0327,72.6929,-279.7241,-121.3379
123731.0000,-0.4458,0.9771,0.0200,74.9512,-287.1094,-122.0093
123732.0000,-0.4180,1.0073,0.0190,76.5381,-290.7104,-123.1689
123733.0000,-0.3931,1.0273,0.0181,77.2095,-292.9688,-124.6338
123734.0000,-0.3667,1.0444,0.0205,78.1250,-293.7012,-126.3428
123735.0000,-0.3604,1.0322,0.0200,78.8574,-292.6636,-126.2207
123736.0000,-0.3506,1.0044,0.0195,79.8340,-290.7104,-124.5728
123737.0000,-0.3267,0.9790,0.0239,81.9092,-286.6821,-119.5068
123738.0000,-0.3047,0.9712,0.0376,83.3130,-282.3486,-114.1968
123739.0000,-0.2891,0.9653,0.0430,85.1440,-276.6724,-108.8257
123740.0000,-0.2739,0.9507,0.0591,85.4492,-268.0054,-101.9287
123741.0000,-0.2651,0.9604,0.0693,85.9985,-260.4370,-98.3276
123742.0000,-0.2490,0.9834,0.0850,86.0596,-252.0752,-95.5200
123743.0000,-0.2261,1.0068,0.1099,84.5337,-239.8682,-92.7124
123744.0000,-0.2095,1.0176,0.1250,81.9092,-230.1636,-90.0879
123745.0000,-0.1855,1.0210,0.1479,78.6133,-220.0928,-86.3647
123746.0000,-0.1523,1.0195,0.1704,75.1953,-205.6274,-79.2847
123747.0000,-0.1338,0.9844,0.2026,71.1060,-194.5801,-73.1812
123748.0000,-0.1167,0.9712,0.2095,68.7866,-182.2510,-67.0166
123749.0000,-0.1118,0.9736,0.2319,63.8428,-164.6118,-60.1196
123750.0000,-0.1245,0.9893,0.2612,60.0586,-151.3672,-55.7861
123751.0000,-0.1401,0.9941,0.2832,56.7627,-138.9160,-51.6357
123752.0000,-0.1553,0.9795,0.2988,52.1851,-123.7793,-46.7529
123753.0000,-0.1709,0.9683,0.2993,49.3774,-112.8540,-43.2129
123754.0000,-0.1816,0.9624,0.3042,46.2036,-102.5391,-40.0391
123755.0000,-0.2036,0.9565,0.3169,42.3584,-89.9048,-35.7056
123756.0000,-0.2168,0.9443,0.3228,39.9780,-81.2988,-32.8979
123757.0000,-0.2300,0.9341,0.3291,37.8418,-73.5474,-30.7007
123758.0000,-0.2485,0.9248,0.3364,35.4614,-63.8428,-28.5645
123759.0000,-0.2646,0.9253,0.3403,33.9966,-57.3730,-27.3438
123760.0000,-0.2764,0.9268,0.3447,32.4097,-51.4526,-26.3062
123761.0000,-0.2930,0.9365,0.3452,29.5410,-44.3726,-25.0244
123762.0000,-0.3037,0.9502,0.3486,27.0996,-39.3677,-23.7427
123763.0000,-0.3237,0.9629,0.3564,24.2920,-34.7900,-22.2778
123764.0000,-0.3540,0.9619,0.3613,20.6909,-29.6631,-20.0195
123765.0000,-0.3687,0.9565,0.3574,17.9443,-26.5503,-18.4326
123766.0000,-0.3770,0.9478,0.3550,15.3198,-23.8647,-16.6016
123767.0000,-0.3867,0.9497,0.3584,12.3291,-20.5688,-14.0991
123768.0000,-0.3877,0.9453,0.3613,10.0708,-18.5547,-12.0239
123769.0000,-0.3867,0.9419,0.3618,7.8125,-16.7847,-9.9487
123770.0000,-0.3726,0.9360,0.3643,4.9438,-14.6484,-7.7515
123771.0000,-0.3657,0.9331,0.3662,2.9297,-12.6953,-6.2256
123772.0000,-0.3608,0.9287,0.3701,0.7324,-10.5591,-4.8828
123773.0000,-0.3569,0.9229,0.3804,-2.0142,-7.8735,-3.1128
123774.0000,-0.3545,0.9131,0.3872,-3.7842,-5.9204,-2.0752
123775.0000,-0.3540,0.8975,0.3887,-5.2490,-4.1504,-1.0376
