timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
117337.0000,-0.3481,0.8706,0.4517,-3.8452,2.8687,0.6714
117338.0000,-0.3491,0.8662,0.4521,-3.5400,2.9297,0.6714
117339.0000,-0.3496,0.8618,0.4517,-3.0518,3.0518,0.5493
117340.0000,-0.3530,0.8608,0.4487,-2.2583,2.9297,0.5493
117341.0000,-0.3511,0.8623,0.4487,-1.7700,2.8687,0.6104
117342.0000,-0.3491,0.8691,0.4473,-1.4648,2.7466,0.4272
117343.0000,-0.3486,0.8784,0.4419,-1.4648,2.9297,0.5493
117344.0000,-0.3472,0.8809,0.4419,-1.7700,2.8687,0.3052
117345.0000,-0.3496,0.8853,0.4468,-2.3193,2.9297,-0.0610
117346.0000,-0.3491,0.8809,0.4463,-2.9907,3.1738,-0.2441
117347.0000,-0.3540,0.8770,0.4448,-3.2959,3.4790,-0.4272
117348.0000,-0.3521,0.8745,0.4448,-3.7231,3.6011,-0.6104
117349.0000,-0.3521,0.8760,0.4482,-3.7842,3.9673,-0.6714
117350.0000,-0.3525,0.8779,0.4497,-3.8452,4.2114,-0.1831
117351.0000,-0.3501,0.8799,0.4492,-3.9673,4.3335,0.5493
117352.0000,-0.3506,0.8794,0.4497,-4.5166,4.5166,1.4648
117353.0000,-0.3477,0.8828,0.4492,-4.8828,4.8828,2.1973
117354.0000,-0.3418,0.8823,0.4517,-5.3101,5.0659,2.9297
117355.0000,-0.3403,0.8794,0.4551,-5.6763,5.7373,3.4790
117356.0000,-0.3359,0.8716,0.4556,-5.9204,6.2866,3.6011
117357.0000,-0.3374,0.8643,0.4521,-5.9814,6.7749,3.5400
117358.0000,-0.3438,0.8682,0.4536,-5.7983,7.6904,3.1738
117359.0000,-0.3457,0.8774,0.4580,-5.6763,8.1787,2.8687
117360.0000,-0.3418,0.8823,0.4541,-5.9204,8.4839,2.6855
117361.0000,-0.3374,0.8765,0.4526,-6.2256,8.7891,3.1738
117362.0000,-0.3364,0.8711,0.4517,-6.4087,9.3994,3.5400
117363.0000,-0.3379,0.8730,0.4556,-6.5918,10.0098,4.0894
