timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
127316.0000,-0.4331,0.9019,0.2905,0.3052,3.4180,-4.9438
127317.0000,-0.4307,0.9062,0.2905,0.4272,1.3428,-5.0659
127318.0000,-0.4287,0.9053,0.2886,0.3662,-0.1221,-4.5166
127319.0000,-0.4238,0.9043,0.2886,0.3052,-1.5259,-4.1504
127320.0000,-0.4165,0.8994,0.2891,0.1831,-2.9297,-3.8452
127321.0000,-0.4116,0.8950,0.2847,0.2441,-3.7231,-3.9062
127322.0000,-0.4092,0.8926,0.2842,0.3662,-4.3945,-4.2114
127323.0000,-0.4023,0.8940,0.2876,0.4272,-5.0659,-4.6997
127324.0000,-0.3999,0.8931,0.2866,0.5493,-5.2490,-4.9438
127325.0000,-0.3975,0.8965,0.2881,0.6714,-5.2490,-5.1270
127326.0000,-0.3999,0.9004,0.2856,0.7935,-5.3101,-5.4321
127327.0000,-0.4033,0.9023,0.2852,0.6104,-5.2490,-5.1270
127328.0000,-0.4048,0.9082,0.2896,0.4272,-5.4321,-4.8828
127329.0000,-0.4038,0.9111,0.2905,-0.1831,-5.5542,-4.2725
127330.0000,-0.4028,0.9136,0.2925,-0.6104,-5.5542,-3.5400
127331.0000,-0.4009,0.9136,0.2944,-1.2817,-5.6152,-2.7466
127332.0000,-0.3945,0.9053,0.2954,-2.0142,-5.6152,-1.7700
127333.0000,-0.3911,0.8999,0.2949,-2.1973,-5.3101,-1.3428
127334.0000,-0.3892,0.8936,0.2964,-2.3193,-4.9438,-1.2207
127335.0000,-0.3896,0.8882,0.3018,-2.4414,-4.3945,-1.2817
127336.0000,-0.3862,0.8877,0.3013,-2.3193,-3.9673,-1.7090
127337.0000,-0.3838,0.8916,0.3052,-2.2583,-3.5400,-2.2583
127338.0000,-0.3901,0.8975,0.3052,-2.3804,-2.8687,-2.9907
127339.0000,-0.3896,0.8940,0.3032,-2.8076,-2.6855,-3.1128
127340.0000,-0.3901,0.8877,0.3062,-2.9907,-2.8076,-3.1128
127341.0000,-0.3901,0.8838,0.3062,-2.8076,-2.5635,-3.2959
127342.0000,-0.3921,0.8833,0.3101,-2.3804,-2.4414,-3.0518
127343.0000,-0.3916,0.8828,0.3125,-1.8921,-2.4414,-2.6855
127344.0000,-0.3931,0.8813,0.3130,-1.2207,-2.3804,-2.3193
127345.0000,-0.3931,0.8833,0.3140,-0.9155,-2.3804,-2.3193
127346.0000,-0.3926,0.8853,0.3135,-0.6104,-2.3804,-2.4414
127347.0000,-0.3955,0.8853,0.3145,-0.2441,-2.0142,-2.8076
127348.0000,-0.3979,0.8848,0.3135,0.0000,-1.8921,-2.8687
127349.0000,-0.4009,0.8838,0.3135,0.2441,-1.8921,-3.1128
127350.0000,-0.4009,0.8828,0.3120,0.5493,-2.0752,-3.1128
127351.0000,-0.4023,0.8848,0.3135,0.7935,-2.1973,-2.6855
127352.0000,-0.4014,0.8877,0.3096,0.9766,-2.3193,-2.2583
127353.0000,-0.4009,0.8887,0.3105,1.0986,-2.6245,-1.3428
127354.0000,-0.3989,0.8906,0.3115,1.1597,-2.9297,-0.8545
127355.0000,-0.3960,0.8901,0.3086,1.2817,-2.9907,-0.6104
127356.0000,-0.3950,0.8911,0.3086,1.2207,-2.9297,-0.4883
127357.0000,-0.3965,0.8896,0.3057,1.2207,-2.9907,-0.7935
127358.0000,-0.3945,0.8882,0.3057,1.2817,-2.9907,-1.0986
127359.0000,-0.3940,0.8906,0.3047,1.3428,-2.9907,-1.6479
127360.0000,-0.3965,0.8916,0.3066,1.3428,-2.8076,-1.9531
127361.0000,-0.4067,0.8936,0.3022,1.2817,-2.9297,-2.2583
127362.0000,-0.4243,0.9028,0.3081,1.1597,-3.8452,-1.5259
127363.0000,-0.4385,0.9062,0.3110,0.9766,-5.1880,-0.3662
127364.0000,-0.4473,0.9067,0.3091,0.6104,-7.0190,0.4883
127365.0000,-0.4463,0.8965,0.3081,0.3662,-10.0098,1.2207
127366.0000,-0.4424,0.8940,0.3057,0.3662,-12.0850,1.0986
127367.0000,-0.4346,0.8901,0.3096,0.3662,-13.8550,0.4272
127368.0000,-0.4404,0.8862,0.3105,0.5493,-15.8691,-0.9155
127369.0000,-0.4478,0.8896,0.3149,0.8545,-17.5171,-2.1362
127370.0000,-0.4688,0.8921,0.3174,1.1597,-19.7144,-2.8076
127371.0000,-0.5015,0.8970,0.3203,1.4648,-24.0479,-2.6855
127372.0000,-0.5273,0.8979,0.3188,1.4038,-28.5034,-2.2583
127373.0000,-0.5527,0.8950,0.3193,1.2817,-34.2407,-1.7090
127374.0000,-0.5630,0.8853,0.3169,1.1597,-43.4570,-1.6479
127375.0000,-0.5557,0.8828,0.3208,1.4648,-50.4150,-2.5635
127376.0000,-0.5420,0.8779,0.3262,2.0142,-56.8237,-4.3335
127377.0000,-0.5396,0.8765,0.3306,2.8687,-64.6362,-7.2021
127378.0000,-0.5498,0.8755,0.3389,3.7231,-70.5566,-9.2773
127379.0000,-0.5698,0.8623,0.3394,4.7607,-77.1484,-10.3760
127380.0000,-0.6079,0.8438,0.3389,6.7749,-87.8296,-11.7188
127381.0000,-0.6377,0.8281,0.3384,8.6060,-97.2290,-12.5122
127382.0000,-0.6587,0.8267,0.3369,10.8032,-107.9712,-13.4888
127383.0000,-0.6499,0.8408,0.3296,13.9771,-123.5352,-16.2354
127384.0000,-0.6099,0.8481,0.3213,15.5029,-134.5215,-18.9819
127385.0000,-0.5640,0.8594,0.3198,16.8457,-143.9819,-22.4609
127386.0000,-0.5459,0.8638,0.3237,18.2495,-153.9917,-27.2827
127387.0000,-0.5708,0.8584,0.3188,19.2871,-161.8042,-29.9683
127388.0000,-0.5898,0.8511,0.3145,20.6299,-170.8984,-32.3486
127389.0000,-0.5923,0.8491,0.3086,23.0103,-183.7769,-35.4614
127390.0000,-0.5693,0.8555,0.2988,25.0854,-193.2983,-37.5977
127391.0000,-0.5308,0.8711,0.2861,26.0010,-202.0264,-39.8560
127392.0000,-0.4819,0.8877,0.2788,26.9775,-211.1816,-44.1284
127393.0000,-0.4458,0.8813,0.2891,26.9165,-216.5527,-47.8516
127394.0000,-0.4146,0.8682,0.2866,27.5879,-220.1538,-52.1240
127395.0000,-0.4033,0.8662,0.3042,28.9307,-223.3887,-57.1899
127396.0000,-0.4092,0.8740,0.3140,30.0293,-225.3418,-60.2417
127397.0000,-0.4009,0.8872,0.3076,31.1890,-227.8442,-61.9507
127398.0000,-0.3633,0.9038,0.3130,31.6162,-230.7129,-62.4390
127399.0000,-0.3203,0.9155,0.3159,31.7993,-231.4453,-62.2559
127400.0000,-0.2759,0.9277,0.3232,31.6162,-230.5908,-61.6455
127401.0000,-0.2212,0.9243,0.3394,30.7007,-227.0508,-59.9976
127402.0000,-0.1855,0.9102,0.3555,30.0903,-222.9614,-58.5327
127403.0000,-0.1611,0.8989,0.3726,29.6021,-217.5903,-56.5796
127404.0000,-0.1450,0.8989,0.4014,29.7852,-209.5337,-53.5889
127405.0000,-0.1353,0.8965,0.4146,30.0293,-203.4912,-51.0254
127406.0000,-0.1196,0.8965,0.4248,30.0293,-197.3877,-48.4619
127407.0000,-0.0947,0.9077,0.4326,29.2969,-188.8428,-45.1660
127408.0000,-0.0698,0.9204,0.4390,28.3203,-181.8848,-43.3350
127409.0000,-0.0430,0.9219,0.4448,26.6113,-174.2554,-41.9922
127410.0000,-0.0068,0.9155,0.4575,24.4141,-163.1470,-40.7104
127411.0000,0.0146,0.9136,0.4673,23.2544,-153.6255,-40.2222
127412.0000,0.0225,0.9155,0.4883,21.4233,-143.9209,-39.7339
127413.0000,0.0200,0.9185,0.5063,19.1650,-130.6152,-39.3677
127414.0000,0.0122,0.9341,0.5083,17.4561,-121.0938,-39.1235
127415.0000,0.0059,0.9160,0.5327,13.3667,-113.0371,-38.5132
127416.0000,0.0303,0.9165,0.5176,14.7095,-100.2808,-37.1094
127417.0000,0.0381,0.9180,0.5312,12.9395,-90.4541,-35.9497
127418.0000,0.0190,0.9238,0.5464,8.6060,-78.3081,-33.8745
127419.0000,0.0161,0.9150,0.5640,6.2866,-69.7021,-32.0435
127420.0000,0.0098,0.9019,0.5708,5.0049,-61.0962,-30.4565
127421.0000,0.0093,0.8882,0.5737,4.5166,-49.4385,-27.5879
127422.0000,-0.0034,0.8892,0.5757,3.6621,-40.6494,-25.6958
127423.0000,-0.0220,0.8848,0.5806,2.8687,-32.4707,-23.7427
127424.0000,-0.0479,0.8813,0.5811,1.7700,-22.8271,-20.9351
127425.0000,-0.0654,0.8745,0.5889,1.1597,-16.4185,-18.7378
127426.0000,-0.0835,0.8667,0.5938,1.0376,-10.8032,-16.5405
127427.0000,-0.1069,0.8618,0.5942,1.1597,-4.0283,-13.7939
127428.0000,-0.1221,0.8667,0.5962,1.4038,0.2441,-12.3291
127429.0000,-0.1367,0.8721,0.5996,1.2817,3.7842,-11.2305
127430.0000,-0.1572,0.8687,0.6001,1.4648,7.8735,-10.0708
127431.0000,-0.1753,0.8608,0.6025,1.1597,10.0708,-9.0332
127432.0000,-0.1997,0.8564,0.6060,0.6714,11.4746,-7.8735
127433.0000,-0.2363,0.8467,0.6064,0.9155,12.0239,-5.9814
127434.0000,-0.2510,0.8452,0.6035,1.4648,11.2305,-4.6997
127435.0000,-0.2598,0.8501,0.6050,1.5259,9.9487,-3.9062
127436.0000,-0.2578,0.8540,0.6001,1.9531,7.8735,-3.6621
127437.0000,-0.2510,0.8511,0.5996,2.0142,6.3477,-3.6011
127438.0000,-0.2500,0.8477,0.6011,2.3804,5.2490,-3.7842
127439.0000,-0.2510,0.8555,0.6045,2.9297,3.8452,-3.8452
127440.0000,-0.2520,0.8608,0.6006,2.7466,2.3193,-3.9673
127441.0000,-0.2529,0.8682,0.5977,2.2583,0.6104,-4.0283
127442.0000,-0.2373,0.8735,0.5977,1.6479,-1.2817,-4.2114
127443.0000,-0.2256,0.8716,0.5957,0.7935,-2.3193,-4.4556
127444.0000,-0.2207,0.8647,0.5933,0.0000,-2.9297,-4.8218
127445.0000,-0.2163,0.8457,0.5938,-0.6714,-3.2959,-5.1270
127446.0000,-0.2109,0.8384,0.5981,-0.3662,-3.2959,-5.2490
127447.0000,-0.2104,0.8394,0.5942,0.3662,-2.8687,-5.1270
127448.0000,-0.2114,0.8516,0.5996,0.6714,-2.7466,-5.0659
127449.0000,-0.2051,0.8608,0.5967,0.3662,-2.6855,-4.8828
127450.0000,-0.1948,0.8643,0.5947,0.3052,-2.2583,-5.0049
127451.0000,-0.1885,0.8628,0.5967,-0.3052,-1.0376,-4.9438
127452.0000,-0.1904,0.8560,0.5981,-0.7935,-0.0610,-4.8218
127453.0000,-0.1982,0.8481,0.5996,-1.1597,0.7935,-4.5166
127454.0000,-0.2075,0.8457,0.6084,-1.0986,1.4648,-3.9062
127455.0000,-0.2109,0.8462,0.6099,-0.9155,1.7090,-3.4790
127456.0000,-0.2153,0.8442,0.6099,-0.6104,1.8311,-3.2349
127457.0000,-0.2119,0.8511,0.6079,-0.2441,2.2583,-2.9297
127458.0000,-0.2119,0.8569,0.6089,-0.0610,2.5635,-2.8687
127459.0000,-0.2124,0.8584,0.6079,-0.1221,2.9907,-2.7466
127460.0000,-0.2100,0.8521,0.6113,-0.4272,3.4790,-2.8076
127461.0000,-0.2153,0.8442,0.6094,-0.5493,3.9062,-2.5024
127462.0000,-0.2197,0.8438,0.6108,-0.4272,4.0283,-2.2583
127463.0000,-0.2217,0.8540,0.6104,-0.2441,4.0894,-2.0142
127464.0000,-0.2212,0.8574,0.6094,-0.2441,4.0894,-1.8311
127465.0000,-0.2153,0.8589,0.6035,-0.4883,4.2114,-1.9531
127466.0000,-0.2183,0.8604,0.6030,-0.9766,4.4556,-1.9531
127467.0000,-0.2236,0.8564,0.6021,-1.3428,4.4556,-1.6479
127468.0000,-0.2300,0.8472,0.6064,-1.7700,4.1504,-1.7090
127469.0000,-0.2368,0.8384,0.6069,-1.5259,3.2959,-1.4038
127470.0000,-0.2373,0.8398,0.6050,-1.2817,2.6245,-1.5259
127471.0000,-0.2339,0.8486,0.6089,-0.9766,1.8921,-1.5259
127472.0000,-0.2251,0.8535,0.6089,-0.6714,1.4038,-1.8311
127473.0000,-0.2183,0.8525,0.6089,-0.7935,1.3428,-1.6479
127474.0000,-0.2139,0.8506,0.6050,-0.9155,1.4648,-1.5869
127475.0000,-0.2168,0.8447,0.6084,-1.1597,1.5259,-1.5869
127476.0000,-0.2207,0.8433,0.6113,-1.0986,1.7090,-1.4038
127477.0000,-0.2231,0.8403,0.6089,-0.8545,1.6479,-1.2817
127478.0000,-0.2266,0.8423,0.6084,-0.4883,1.3428,-1.0376
127479.0000,-0.2285,0.8447,0.6079,-0.4272,1.2207,-1.0376
127480.0000,-0.2290,0.8521,0.6089,-0.3052,1.0986,-1.2817
127481.0000,-0.2285,0.8564,0.6104,-0.2441,0.9155,-2.0142
127482.0000,-0.2236,0.8516,0.6079,-0.2441,0.9155,-2.3804
127483.0000,-0.2236,0.8477,0.6138,-0.4883,1.0986,-2.3804
127484.0000,-0.2275,0.8408,0.6108,-0.7935,1.2817,-2.3804
127485.0000,-0.2271,0.8354,0.6133,-0.5493,1.4038,-2.1973
127486.0000,-0.2256,0.8330,0.6118,-0.1221,1.4648,-1.7700
127487.0000,-0.2261,0.8394,0.6108,0.2441,1.9531,-1.4648
127488.0000,-0.2285,0.8428,0.6089,0.6714,2.0752,-1.1597
127489.0000,-0.2295,0.8481,0.6055,0.7324,2.2583,-0.7935
127490.0000,-0.2295,0.8569,0.6045,0.4883,2.5024,-0.7935
127491.0000,-0.2285,0.8535,0.6055,0.0000,2.5024,-1.0376
127492.0000,-0.2295,0.8501,0.6040,-0.3052,2.3193,-1.0376
127493.0000,-0.2271,0.8457,0.6016,-0.3052,2.4414,-1.1597
127494.0000,-0.2290,0.8501,0.6035,-0.4883,2.5024,-1.2207
127495.0000,-0.2266,0.8540,0.6025,-0.7324,2.6245,-1.0986
127496.0000,-0.2246,0.8550,0.6001,-1.0376,2.6245,-0.8545
127497.0000,-0.2290,0.8525,0.6030,-1.5259,2.8687,-0.7935
127498.0000,-0.2310,0.8442,0.5991,-1.8921,2.9297,-0.6714
127499.0000,-0.2373,0.8462,0.5996,-2.0752,2.4414,-0.7324
127500.0000,-0.2407,0.8506,0.6045,-2.0752,2.1362,-0.6714
127501.0000,-0.2393,0.8540,0.6094,-2.1362,1.6479,-0.7935
127502.0000,-0.2295,0.8442,0.6069,-2.2583,1.1597,-0.4272
127503.0000,-0.2266,0.8374,0.6099,-2.1973,1.0986,-0.5493
127504.0000,-0.2280,0.8379,0.6123,-1.9531,1.0986,-1.1597
127505.0000,-0.2271,0.8389,0.6074,-1.8311,1.3428,-1.9531
127506.0000,-0.2261,0.8350,0.6118,-1.8311,1.4038,-1.9531
127507.0000,-0.2251,0.8340,0.6104,-1.5869,1.5869,-2.1362
127508.0000,-0.2334,0.8354,0.6157,-0.9155,1.8311,-1.8311
127509.0000,-0.2407,0.8398,0.6147,-0.5493,1.6479,-1.4648
127510.0000,-0.2417,0.8481,0.6143,-0.3052,1.4038,-0.8545
127511.0000,-0.2402,0.8481,0.6128,0.0610,1.0376,-0.1831
127512.0000,-0.2363,0.8481,0.6133,0.1831,0.9155,0.0610
127513.0000,-0.2319,0.8511,0.6123,0.0610,0.7324,0.1221
127514.0000,-0.2266,0.8467,0.6104,-0.1831,0.6104,0.1221
127515.0000,-0.2222,0.8418,0.6094,-0.4272,0.7935,0.0610
127516.0000,-0.2188,0.8374,0.6099,-0.6104,1.0986,-0.1221
127517.0000,-0.2202,0.8315,0.6099,-0.3052,1.6479,-0.2441
127518.0000,-0.2192,0.8369,0.6089,0.1221,2.0752,-0.3662
127519.0000,-0.2261,0.8418,0.6084,0.0610,2.5635,-0.3052
127520.0000,-0.2324,0.8457,0.6074,0.0000,2.5635,-0.1221
127521.0000,-0.2378,0.8472,0.6084,0.1221,2.2583,-0.0610
127522.0000,-0.2378,0.8550,0.6089,0.1221,1.8921,-0.1221
127523.0000,-0.2334,0.8564,0.6079,-0.3662,1.4648,-0.4883
127524.0000,-0.2295,0.8530,0.6089,-0.8545,1.2207,-0.7324
127525.0000,-0.2197,0.8477,0.6060,-1.1597,1.2817,-1.0986
127526.0000,-0.2178,0.8447,0.6040,-1.6479,1.5869,-1.3428
127527.0000,-0.2173,0.8438,0.6089,-1.8921,1.9531,-1.5869
127528.0000,-0.2192,0.8374,0.6104,-1.7090,2.6245,-1.6479
127529.0000,-0.2202,0.8325,0.6123,-1.6479,2.8687,-1.4038
127530.0000,-0.2261,0.8296,0.6172,-1.2817,3.0518,-1.2817
127531.0000,-0.2314,0.8345,0.6162,-0.4272,3.2959,-0.9155
127532.0000,-0.2344,0.8418,0.6162,0.3662,3.4180,-0.9155
127533.0000,-0.2383,0.8477,0.6162,0.4883,3.3569,-0.6104
127534.0000,-0.2393,0.8511,0.6143,0.0000,2.9297,-0.6714
127535.0000,-0.2339,0.8501,0.6108,-0.3662,2.6855,-0.9766
127536.0000,-0.2319,0.8477,0.6133,-0.6104,2.5635,-1.0986
127537.0000,-0.2310,0.8379,0.6177,-0.5493,2.7466,-1.1597
127538.0000,-0.2305,0.8320,0.6147,-0.3052,2.8076,-1.0986
127539.0000,-0.2329,0.8340,0.6167,-0.0610,2.6855,-1.0376
127540.0000,-0.2344,0.8398,0.6152,0.5493,2.7466,-0.9766
127541.0000,-0.2354,0.8433,0.6147,0.9155,2.5635,-0.9155
127542.0000,-0.2378,0.8428,0.6118,0.9155,2.5024,-0.7935
127543.0000,-0.2456,0.8462,0.6069,0.7324,2.0142,-0.5493
127544.0000,-0.2471,0.8516,0.6040,0.4272,1.3428,-0.7324
127545.0000,-0.2432,0.8511,0.6060,0.1831,0.8545,-0.8545
127546.0000,-0.2310,0.8477,0.6016,-0.0610,0.5493,-1.0986
127547.0000,-0.2275,0.8506,0.6016,-0.2441,0.4272,-1.2817
127548.0000,-0.2212,0.8540,0.6030,-0.4883,0.7935,-1.6479
127549.0000,-0.2158,0.8506,0.6021,-0.9155,1.3428,-1.9531
127550.0000,-0.2100,0.8394,0.5991,-1.1597,1.9531,-1.7700
127551.0000,-0.2119,0.8354,0.6021,-1.2817,2.8687,-1.8311
127552.0000,-0.2217,0.8345,0.6030,-1.2817,3.6011,-1.5869
127553.0000,-0.2266,0.8369,0.6074,-0.7935,3.9062,-1.2817
127554.0000,-0.2314,0.8389,0.6089,-0.2441,4.1504,-1.0986
127555.0000,-0.2378,0.8472,0.6099,0.1221,4.1504,-0.8545
127556.0000,-0.2397,0.8496,0.6064,0.0000,3.9062,-0.8545
127557.0000,-0.2383,0.8516,0.6089,-0.3662,3.6621,-0.9766
127558.0000,-0.2378,0.8467,0.6084,-0.8545,3.3569,-1.5869
127559.0000,-0.2373,0.8438,0.6084,-0.9155,3.2349,-2.1973
127560.0000,-0.2378,0.8403,0.6108,-0.9155,3.1738,-2.5635
127561.0000,-0.2388,0.8408,0.6123,-0.7935,3.3569,-2.8076
127562.0000,-0.2451,0.8384,0.6084,-0.7324,3.2959,-2.3804
127563.0000,-0.2505,0.8359,0.6084,-0.5493,3.1128,-2.0142
127564.0000,-0.2524,0.8418,0.6128,-0.4272,2.5024,-1.5259
127565.0000,-0.2568,0.8481,0.6084,-0.4883,1.8921,-1.0986
127566.0000,-0.2549,0.8496,0.6108,-0.4883,1.1597,-0.9766
127567.0000,-0.2466,0.8472,0.6104,-0.6714,0.6104,-0.9155
127568.0000,-0.2412,0.8433,0.6079,-0.6714,0.3662,-1.0986
127569.0000,-0.2363,0.8403,0.6113,-0.7324,0.3052,-1.2207
127570.0000,-0.2305,0.8384,0.6064,-0.7935,0.5493,-1.2817
127571.0000,-0.2246,0.8389,0.6045,-0.6714,0.8545,-1.3428
127572.0000,-0.2236,0.8398,0.6060,-0.6714,1.4038,-1.2207
127573.0000,-0.2280,0.8398,0.6030,-0.7935,2.0752,-1.1597
127574.0000,-0.2324,0.8442,0.6045,-0.9766,2.4414,-1.1597
127575.0000,-0.2358,0.8452,0.6035,-0.9766,2.5635,-1.2207
127576.0000,-0.2402,0.8394,0.6074,-0.6714,2.8076,-1.1597
127577.0000,-0.2456,0.8374,0.6099,-0.6714,2.6245,-1.3428
127578.0000,-0.2451,0.8413,0.6138,-0.6714,2.5024,-1.4648
127579.0000,-0.2422,0.8491,0.6133,-0.6104,2.0752,-1.4038
127580.0000,-0.2319,0.8467,0.6064,-0.7935,2.0142,-1.2207
127581.0000,-0.2314,0.8369,0.6108,-0.9155,2.1362,-1.3428
127582.0000,-0.2407,0.8281,0.6099,-0.7935,2.4414,-1.4038
