timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
134564.0000,-0.3984,0.9033,0.1992,23.4375,-0.1221,8.2397
134565.0000,-0.3975,0.9194,0.1919,23.4375,-1.3428,8.4229
134566.0000,-0.3960,0.9292,0.1855,23.2544,-2.2583,7.9346
134567.0000,-0.4019,0.9355,0.1743,22.5220,-3.5400,6.3477
134568.0000,-0.4053,0.9351,0.1670,21.7285,-4.3945,4.8828
134569.0000,-0.4033,0.9287,0.1577,20.9351,-5.3101,3.2349
134570.0000,-0.3955,0.9292,0.1514,19.8364,-6.7139,1.5259
134571.0000,-0.3872,0.9346,0.1519,19.0430,-7.1411,0.6104
134572.0000,-0.3809,0.9482,0.1523,18.1274,-7.4463,-0.0610
134573.0000,-0.3833,0.9648,0.1533,16.7847,-7.6294,-0.6714
134574.0000,-0.3833,0.9707,0.1543,15.3809,-7.8735,-0.8545
134575.0000,-0.3828,0.9678,0.1523,13.9771,-8.2397,-1.1597
134576.0000,-0.3765,0.9619,0.1514,12.2681,-8.3618,-1.5869
134577.0000,-0.3755,0.9600,0.1504,10.9253,-8.1787,-2.0142
134578.0000,-0.3750,0.9570,0.1528,9.7046,-7.8735,-2.5024
134579.0000,-0.3750,0.9482,0.1504,8.1177,-7.6904,-3.1128
134580.0000,-0.3765,0.9414,0.1494,7.2632,-7.3853,-3.6621
134581.0000,-0.3726,0.9404,0.1553,6.8359,-7.1411,-4.0283
134582.0000,-0.3691,0.9404,0.1543,6.2256,-6.5308,-4.6387
134583.0000,-0.3691,0.9463,0.1606,5.6763,-6.1646,-4.6387
134584.0000,-0.3765,0.9478,0.1567,4.9438,-5.7983,-4.4556
134585.0000,-0.3789,0.9482,0.1548,3.5400,-5.5542,-3.7231
134586.0000,-0.3813,0.9463,0.1567,2.4414,-5.3711,-2.9297
134587.0000,-0.3813,0.9414,0.1597,1.5869,-5.1880,-2.0752
134588.0000,-0.3828,0.9365,0.1631,0.6104,-5.0659,-0.9766
134589.0000,-0.3838,0.9287,0.1592,0.0610,-5.0049,-0.4883
134590.0000,-0.3799,0.9209,0.1611,-0.1831,-4.7607,-0.4883
134591.0000,-0.3779,0.9165,0.1626,-0.3662,-4.4556,-0.8545
134592.0000,-0.3770,0.9155,0.1685,-0.3052,-3.8452,-1.2207
134593.0000,-0.3794,0.9121,0.1714,-0.1831,-3.4790,-1.7700
134594.0000,-0.3872,0.9048,0.1768,0.3052,-3.1738,-2.1973
134595.0000,-0.3867,0.9014,0.1743,0.7324,-3.1738,-2.3804
134596.0000,-0.3906,0.9014,0.1753,1.2817,-3.2349,-2.0142
134597.0000,-0.3931,0.9023,0.1763,1.7700,-3.6011,-1.4038
134598.0000,-0.3960,0.9033,0.1758,2.3193,-4.1504,-0.9155
134599.0000,-0.3906,0.8999,0.1758,2.6245,-4.6997,-0.5493
134600.0000,-0.3843,0.8994,0.1738,3.2959,-5.1270,-0.2441
134601.0000,-0.3857,0.8989,0.1714,3.7231,-5.4932,-0.4272
134602.0000,-0.3892,0.8950,0.1685,4.0894,-5.9204,-0.6714
134603.0000,-0.3882,0.8896,0.1675,5.0659,-6.5308,-1.4038
134604.0000,-0.3906,0.8887,0.1636,5.9204,-6.8970,-2.0752
134605.0000,-0.3936,0.8901,0.1606,6.7749,-7.2632,-2.5635
134606.0000,-0.3975,0.9009,0.1558,7.6294,-7.7515,-2.8687
134607.0000,-0.3989,0.9126,0.1592,8.1787,-8.1787,-2.8076
134608.0000,-0.3984,0.9253,0.1587,8.1787,-8.6670,-2.3804
134609.0000,-0.3999,0.9355,0.1582,7.6904,-9.6436,-1.4038
134610.0000,-0.3989,0.9395,0.1572,7.3242,-10.4980,-1.0986
134611.0000,-0.3950,0.9380,0.1567,6.8359,-11.0474,-0.8545
134612.0000,-0.3882,0.9307,0.1519,6.2256,-11.6577,-1.0986
134613.0000,-0.3877,0.9253,0.1499,5.9814,-12.0239,-1.4648
134614.0000,-0.3936,0.9258,0.1504,5.7373,-12.4512,-2.0142
134615.0000,-0.4102,0.9302,0.1475,5.1880,-13.4277,-2.3193
134616.0000,-0.4355,0.9312,0.1470,4.6387,-14.8315,-2.4414
134617.0000,-0.4575,0.9316,0.1411,3.9673,-17.0898,-2.0752
134618.0000,-0.4805,0.9346,0.1475,3.2959,-21.3623,-1.8311
134619.0000,-0.4888,0.9312,0.1460,2.5635,-25.1465,-1.9531
134620.0000,-0.4888,0.9194,0.1470,2.1973,-29.2969,-2.4414
134621.0000,-0.4834,0.9150,0.1499,2.2583,-34.7900,-4.1504
134622.0000,-0.4780,0.9199,0.1558,2.5024,-38.5742,-5.7983
134623.0000,-0.4868,0.9243,0.1597,2.1973,-42.3584,-7.3853
134624.0000,-0.5205,0.9087,0.1768,1.8921,-48.0347,-8.8501
134625.0000,-0.5693,0.8901,0.1787,1.9531,-53.6499,-9.7656
134626.0000,-0.6206,0.8794,0.1812,2.7466,-61.1572,-10.6812
134627.0000,-0.6738,0.8794,0.1812,3.9062,-74.4629,-12.7563
134628.0000,-0.6982,0.8872,0.1826,4.3945,-86.2427,-15.1367
134629.0000,-0.7036,0.9009,0.1836,4.7607,-99.2432,-17.9443
134630.0000,-0.6968,0.9038,0.1846,5.3711,-116.9434,-22.4609
134631.0000,-0.6948,0.8794,0.1836,6.2866,-129.9438,-26.1841
134632.0000,-0.7183,0.8345,0.1934,8.1787,-142.4561,-29.7241
