timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
137210.0000,-0.1670,0.8330,0.4351,-43.3350,218.6890,71.8384
137211.0000,-0.2202,0.8359,0.4390,-40.7104,224.3042,71.7163
137212.0000,-0.2827,0.8115,0.4365,-37.5977,228.5156,70.4346
137213.0000,-0.3159,0.7817,0.4229,-34.7900,229.6753,68.6646
137214.0000,-0.3335,0.7627,0.4185,-31.4331,229.9194,67.0166
137215.0000,-0.3589,0.7632,0.4131,-26.1841,229.4922,64.5142
137216.0000,-0.3975,0.7686,0.4082,-22.3389,228.3325,63.0493
137217.0000,-0.4385,0.7793,0.4038,-18.5547,225.6470,62.3779
137218.0000,-0.4956,0.8247,0.4077,-14.2822,219.4824,61.7065
137219.0000,-0.5449,0.8677,0.4111,-12.6343,212.5244,60.5469
137220.0000,-0.5938,0.8906,0.4165,-12.0850,203.5522,58.3496
137221.0000,-0.6460,0.8857,0.4067,-12.7563,188.9648,53.4058
137222.0000,-0.6636,0.8652,0.4092,-13.7939,176.8799,48.6450
137223.0000,-0.6470,0.8535,0.4204,-14.4043,165.1001,43.5181
137224.0000,-0.6025,0.8379,0.4321,-13.6719,152.0386,36.8652
137225.0000,-0.6011,0.8276,0.4336,-12.0239,143.6768,33.3862
137226.0000,-0.6187,0.8340,0.4355,-10.4980,135.0708,31.9214
137227.0000,-0.6357,0.8428,0.4399,-8.0566,121.8262,31.2500
137228.0000,-0.6343,0.8403,0.4331,-6.0425,111.3281,30.7617
137229.0000,-0.6289,0.8350,0.4253,-4.2114,100.7080,29.9072
137230.0000,-0.6030,0.8271,0.4229,-1.9531,87.0972,27.4048
137231.0000,-0.5825,0.8184,0.4189,0.0610,77.7588,24.7803
137232.0000,-0.5635,0.8105,0.4136,2.3804,69.3970,21.8506
137233.0000,-0.5449,0.8174,0.4067,5.6763,59.1431,18.0664
137234.0000,-0.5312,0.8359,0.4014,8.0566,52.0020,15.5640
137235.0000,-0.5093,0.8584,0.3989,10.4980,43.0908,12.9395
137236.0000,-0.4932,0.8682,0.3950,11.8408,37.3535,10.9253
137237.0000,-0.4805,0.8735,0.3867,12.6953,32.2876,9.2163
137238.0000,-0.4619,0.8799,0.3818,13.4277,25.9399,6.4087
137239.0000,-0.4458,0.8867,0.3696,13.9771,22.0337,4.2114
137240.0000,-0.4341,0.8916,0.3691,13.6719,18.6157,2.1362
137241.0000,-0.4287,0.8994,0.3599,13.6108,14.8926,-0.7935
137242.0000,-0.4277,0.8989,0.3540,12.5732,12.0239,-2.5635
137243.0000,-0.4282,0.8999,0.3477,11.8408,9.2773,-4.2114
137244.0000,-0.4272,0.9014,0.3438,11.1084,6.5308,-5.9814
137245.0000,-0.4297,0.9058,0.3428,10.4370,4.3335,-6.6528
137246.0000,-0.4238,0.9062,0.3418,9.8267,2.3804,-7.0190
137247.0000,-0.4160,0.9053,0.3428,8.8501,0.1221,-7.1411
137248.0000,-0.4102,0.9092,0.3403,8.6670,-1.2207,-6.8359
137249.0000,-0.4028,0.9141,0.3413,8.1177,-2.1362,-6.7139
137250.0000,-0.3975,0.9150,0.3403,7.0190,-3.1738,-6.8359
