timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
131438.0000,-0.4253,0.9033,0.2861,2.1362,-6.1646,-4.3945
131439.0000,-0.4272,0.8989,0.2861,1.4648,-6.4087,-3.8452
131440.0000,-0.4233,0.8916,0.2822,1.4648,-6.4087,-3.5400
131441.0000,-0.4233,0.8853,0.2891,0.7935,-6.5918,-2.8687
131442.0000,-0.4243,0.8843,0.2847,1.2817,-6.7749,-2.5024
131443.0000,-0.4214,0.8818,0.2876,1.3428,-6.8359,-2.1362
131444.0000,-0.4180,0.8823,0.2905,1.4648,-6.8970,-2.1362
131445.0000,-0.4146,0.8818,0.2871,1.5259,-6.8970,-2.2583
131446.0000,-0.4126,0.8828,0.2881,1.5869,-6.9580,-2.5635
131447.0000,-0.4160,0.8813,0.2891,1.7090,-6.9580,-3.1738
131448.0000,-0.4180,0.8813,0.2881,1.6479,-6.8970,-3.5400
131449.0000,-0.4209,0.8818,0.2827,1.7700,-7.0190,-3.9062
131450.0000,-0.4233,0.8843,0.2891,1.9531,-7.2632,-4.2114
131451.0000,-0.4248,0.8857,0.2881,1.8921,-7.5073,-3.9673
131452.0000,-0.4243,0.8887,0.2856,1.8921,-7.8735,-3.7231
131453.0000,-0.4219,0.8867,0.2876,1.7700,-8.3618,-3.2959
131454.0000,-0.4219,0.8867,0.2861,1.6479,-8.7891,-3.0518
131455.0000,-0.4199,0.8857,0.2891,1.5259,-9.0942,-2.9297
131456.0000,-0.4160,0.8877,0.2871,1.4648,-9.3384,-3.1128
131457.0000,-0.4155,0.8857,0.2866,1.2817,-9.3994,-3.3569
131458.0000,-0.4175,0.8838,0.2876,1.0376,-9.4604,-3.6621
131459.0000,-0.4189,0.8843,0.2871,0.9766,-9.7046,-4.3335
131460.0000,-0.4253,0.8931,0.2915,0.8545,-9.9487,-4.7607
131461.0000,-0.4316,0.8936,0.2944,0.6104,-10.3760,-5.1270
