timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
38186.0000,-0.3691,0.7646,0.2471,2.1362,8.4839,-3.2349
38187.0000,-0.3276,0.8574,0.2603,3.4180,14.5264,-4.5776
38188.0000,-0.3374,0.9185,0.2856,1.9531,20.9961,-7.9956
38189.0000,-0.4028,0.9297,0.2871,-0.0610,27.4658,-11.7188
38190.0000,-0.5083,0.8965,0.2773,-2.6855,30.6396,-13.8550
38191.0000,-0.5669,0.8843,0.2822,-3.1738,29.7852,-13.6108
38192.0000,-0.6157,0.8784,0.2856,-3.1128,26.6724,-13.0615
38193.0000,-0.6675,0.8652,0.2852,-2.0142,20.1416,-12.3901
38194.0000,-0.6860,0.8525,0.2817,-1.0986,14.3433,-12.9395
38195.0000,-0.6899,0.8579,0.2891,-0.6714,8.4839,-13.7329
38196.0000,-0.6782,0.9092,0.3096,-1.2817,1.7090,-15.1978
38197.0000,-0.6631,0.9517,0.3237,-2.6855,-2.6245,-15.9912
38198.0000,-0.6445,0.9688,0.3335,-4.2725,-6.4087,-16.1133
38199.0000,-0.6123,0.9468,0.3315,-6.6528,-10.9253,-15.3809
38200.0000,-0.5874,0.9287,0.3218,-8.1177,-13.3667,-14.8926
38201.0000,-0.5679,0.9204,0.3198,-9.2163,-14.8926,-15.0146
38202.0000,-0.5503,0.9287,0.3198,-10.4980,-16.2354,-15.5029
38203.0000,-0.5449,0.9360,0.3193,-11.2915,-17.0288,-15.2588
38204.0000,-0.5454,0.9272,0.3096,-12.1460,-18.1274,-13.3057
38205.0000,-0.5503,0.8853,0.2861,-13.3667,-20.0195,-8.7891
38206.0000,-0.5571,0.8560,0.2651,-14.4043,-21.1792,-4.9438
38207.0000,-0.5596,0.8662,0.2627,-16.4795,-21.7896,-2.0752
38208.0000,-0.5635,0.9419,0.2881,-20.5078,-21.7896,0.7935
38209.0000,-0.5640,0.9854,0.3013,-25.2075,-22.6440,3.7231
38210.0000,-0.5620,0.9751,0.2949,-30.5176,-24.1699,8.5449
38211.0000,-0.5474,0.9355,0.2983,-36.0107,-25.8179,19.7754
38212.0000,-0.5068,0.9492,0.2905,-39.6729,-26.7944,29.3579
38213.0000,-0.4473,0.9790,0.2710,-43.8232,-26.7944,36.4380
