timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
177945.0000,-0.2827,0.9351,0.2974,-2.3804,-9.2773,-2.3804
177946.0000,-0.2754,0.9351,0.2974,-1.9531,-9.7656,-2.0752
177947.0000,-0.2695,0.9316,0.2983,-1.6479,-9.7046,-1.7090
177948.0000,-0.2666,0.9312,0.2969,-1.2207,-9.7656,-1.7090
177949.0000,-0.2681,0.9287,0.2964,-0.4883,-9.3384,-1.8921
177950.0000,-0.2715,0.9282,0.2998,0.1831,-9.1553,-2.2583
177951.0000,-0.2725,0.9321,0.2930,0.6714,-9.2163,-2.5635
177952.0000,-0.2720,0.9443,0.2959,1.0376,-9.2773,-2.8076
177953.0000,-0.2690,0.9507,0.2979,1.1597,-9.3384,-2.7466
177954.0000,-0.2646,0.9526,0.2954,0.9155,-9.2163,-2.1973
177955.0000,-0.2593,0.9507,0.2949,0.5493,-8.7280,-1.4038
177956.0000,-0.2559,0.9492,0.2959,0.3662,-8.0566,-0.9155
177957.0000,-0.2539,0.9473,0.2944,0.0610,-7.3853,-0.3662
177958.0000,-0.2554,0.9404,0.2954,0.0610,-6.5308,-0.3052
177959.0000,-0.2583,0.9370,0.2974,0.1831,-5.8594,-0.3662
177960.0000,-0.2612,0.9365,0.2959,0.3662,-5.4321,-0.8545
177961.0000,-0.2637,0.9365,0.2974,0.7935,-4.8218,-1.2817
177962.0000,-0.2656,0.9390,0.2949,1.0986,-4.5166,-1.7090
177963.0000,-0.2695,0.9438,0.2954,1.2817,-4.5166,-1.8311
177964.0000,-0.2705,0.9531,0.2954,1.2817,-4.3945,-1.5259
177965.0000,-0.2725,0.9536,0.2944,1.0376,-4.3945,-0.9766
177966.0000,-0.2715,0.9517,0.2925,0.6104,-4.4556,-0.6104
177967.0000,-0.2700,0.9502,0.2949,0.3662,-4.3335,0.0000
177968.0000,-0.2695,0.9468,0.2983,0.2441,-4.2725,0.1221
177969.0000,-0.2690,0.9448,0.2939,0.1831,-4.3335,0.0610
177970.0000,-0.2676,0.9434,0.2930,0.4272,-4.3945,0.0610
177971.0000,-0.2690,0.9404,0.2954,0.4883,-4.3335,-0.1221
177972.0000,-0.2690,0.9409,0.2959,0.6104,-4.2725,-0.2441
177973.0000,-0.2686,0.9453,0.2935,0.8545,-4.4556,-0.4272
177974.0000,-0.2661,0.9453,0.2944,0.7324,-4.3335,-0.4272
177975.0000,-0.2612,0.9468,0.2925,0.5493,-4.3945,-0.3052
177976.0000,-0.2598,0.9497,0.2935,0.5493,-3.9062,-0.1221
177977.0000,-0.2598,0.9458,0.2925,0.6104,-3.6621,0.3662
