timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
13843.0000,-0.4385,0.8066,0.4170,-6.1035,-1.6479,9.2163
13844.0000,-0.4375,0.8164,0.4268,-6.7139,-1.7090,10.1318
13845.0000,-0.4409,0.8311,0.4438,-7.4463,-1.5259,10.8032
13846.0000,-0.4463,0.8271,0.4536,-8.4839,-1.4648,10.9253
13847.0000,-0.4517,0.8013,0.4556,-8.6670,-1.8311,10.8032
13848.0000,-0.4507,0.7759,0.4502,-8.2397,-2.5635,10.3760
13849.0000,-0.4414,0.7710,0.4614,-6.6528,-3.4790,9.7046
13850.0000,-0.4380,0.7881,0.4717,-5.1270,-4.2114,8.6060
13851.0000,-0.4229,0.7974,0.4658,-3.7842,-5.2490,8.0566
13852.0000,-0.3921,0.8003,0.4639,-2.9907,-5.4932,7.7515
13853.0000,-0.3818,0.8110,0.4678,-2.6855,-4.6387,6.8359
13854.0000,-0.3809,0.8184,0.4697,-2.6245,-3.3569,5.7983
13855.0000,-0.3965,0.8271,0.4761,-2.8076,-1.9531,4.7607
13856.0000,-0.4077,0.8281,0.4751,-2.9297,-1.5259,4.3335
13857.0000,-0.4077,0.8154,0.4688,-3.1128,-1.3428,4.4556
13858.0000,-0.4004,0.8145,0.4697,-2.9907,-0.7324,4.3945
13859.0000,-0.3999,0.8271,0.4731,-2.9297,0.2441,4.1504
13860.0000,-0.4048,0.8438,0.4800,-3.1128,0.9155,3.4180
13861.0000,-0.4033,0.8433,0.4741,-3.6011,1.5259,2.6855
13862.0000,-0.3926,0.8271,0.4717,-3.9673,1.9531,2.1973
13863.0000,-0.3789,0.8330,0.4678,-4.1504,2.7466,1.7700
13864.0000,-0.3809,0.8525,0.4707,-4.3945,4.0894,1.8311
13865.0000,-0.3779,0.8540,0.4717,-4.8218,4.5166,2.9907
13866.0000,-0.3691,0.8306,0.4609,-5.1880,4.3335,4.9438
13867.0000,-0.3467,0.7959,0.4507,-5.3101,4.5166,8.3618
13868.0000,-0.3477,0.7812,0.4507,-4.8218,5.4932,10.1318
13869.0000,-0.3618,0.7651,0.4482,-4.5166,6.4697,10.5591
13870.0000,-0.3584,0.7373,0.4375,-4.3945,6.8359,10.4980
13871.0000,-0.3472,0.7246,0.4346,-4.2114,7.0190,9.5215
13872.0000,-0.3394,0.7197,0.4365,-4.0894,7.9346,7.7515
13873.0000,-0.3457,0.7041,0.4312,-3.7842,9.0942,4.7607
13874.0000,-0.3682,0.6836,0.4238,-3.2959,9.7046,3.2959
13875.0000,-0.3931,0.6733,0.4180,-2.4414,9.9487,2.7466
13876.0000,-0.4214,0.6499,0.4121,-1.0986,9.2163,4.7607
13877.0000,-0.4316,0.6255,0.4014,-0.2441,6.9580,8.1177
13878.0000,-0.4019,0.6421,0.3936,0.5493,4.0283,12.0850
13879.0000,-0.3726,0.7065,0.4150,1.8311,2.5024,14.7705
13880.0000,-0.3662,0.7148,0.4214,2.1362,2.4414,14.7705
13881.0000,-0.3696,0.6909,0.4111,2.3804,2.3804,13.1226
13882.0000,-0.4009,0.6934,0.4072,2.8687,4.2114,7.5073
13883.0000,-0.4683,0.7173,0.4185,3.2959,6.2256,2.5024
13884.0000,-0.5312,0.7173,0.4209,3.4790,5.5542,0.3052
13885.0000,-0.5283,0.7817,0.4375,4.1504,1.2207,2.7466
13886.0000,-0.5142,0.8804,0.4688,4.5776,-0.8545,4.6997
13887.0000,-0.5195,0.9331,0.4849,4.0894,-1.5259,6.0425
13888.0000,-0.5273,0.9385,0.4805,2.3804,-2.1973,7.1411
13889.0000,-0.5332,0.9229,0.4868,0.9766,-2.2583,5.4321
13890.0000,-0.5420,0.8867,0.4800,0.1831,-2.3804,2.5635
13891.0000,-0.5513,0.8159,0.4639,-0.3052,-3.4180,0.1831
13892.0000,-0.5552,0.7754,0.4512,0.3662,-5.4321,0.9155
13893.0000,-0.5508,0.7573,0.4448,2.0142,-7.8735,5.0049
13894.0000,-0.5552,0.7607,0.4600,5.3101,-11.5356,15.1978
13895.0000,-0.5537,0.7524,0.4531,7.8125,-15.2588,25.0854
13896.0000,-0.5322,0.7241,0.4346,9.5215,-20.0195,35.7056
13897.0000,-0.4448,0.6890,0.4082,10.4370,-26.4282,46.3867
13898.0000,-0.3804,0.6660,0.3926,10.3149,-29.1748,51.1475
13899.0000,-0.3105,0.6372,0.3740,9.7046,-30.7007,53.7109
13900.0000,-0.2725,0.6216,0.3594,8.9111,-30.4565,53.2227
13901.0000,-0.2681,0.5884,0.3462,7.9346,-29.1748,51.2695
13902.0000,-0.3052,0.5435,0.3340,7.2021,-26.9775,49.4995
13903.0000,-0.3315,0.5342,0.3296,7.1411,-26.9775,50.1099
13904.0000,-0.3267,0.5640,0.3364,7.7515,-28.1372,51.7578
13905.0000,-0.3008,0.6270,0.3555,8.4839,-29.9683,53.4668
13906.0000,-0.2671,0.6294,0.3584,8.0566,-31.3110,54.1382
13907.0000,-0.2319,0.6294,0.3564,7.5073,-31.3721,53.2837
13908.0000,-0.2349,0.6548,0.3657,6.2866,-28.5034,47.8516
