timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
156140.0000,-0.4834,0.8657,0.3120,-1.7700,-5.4321,5.5542
156141.0000,-0.4736,0.8667,0.3096,-1.8311,-6.1646,6.5918
156142.0000,-0.4634,0.8647,0.3081,-1.8311,-6.5308,7.2021
156143.0000,-0.4507,0.8613,0.3071,-1.7700,-6.4697,7.6904
156144.0000,-0.4443,0.8599,0.3062,-1.7090,-6.1646,7.8735
156145.0000,-0.4390,0.8599,0.3091,-1.6479,-5.9204,7.8125
156146.0000,-0.4360,0.8569,0.3101,-1.5869,-5.1880,7.5684
156147.0000,-0.4360,0.8618,0.3081,-1.4038,-4.7607,7.3242
156148.0000,-0.4326,0.8633,0.3086,-1.2207,-4.2114,7.3853
156149.0000,-0.4292,0.8667,0.3076,-1.0376,-3.5400,7.2632
156150.0000,-0.4287,0.8745,0.3140,-1.2817,-2.9297,7.2021
156151.0000,-0.4297,0.8765,0.3071,-1.4038,-2.5024,7.5684
156152.0000,-0.4248,0.8784,0.3115,-1.8921,-2.0142,8.1177
156153.0000,-0.4185,0.8809,0.3105,-2.1362,-1.6479,8.8501
156154.0000,-0.4126,0.8838,0.3154,-2.3804,-0.9766,9.4604
156155.0000,-0.4082,0.8813,0.3169,-2.9907,0.0000,9.9487
156156.0000,-0.4082,0.8730,0.3169,-3.1738,0.6104,10.1929
156157.0000,-0.4106,0.8589,0.3135,-3.0518,1.2207,10.0098
156158.0000,-0.4082,0.8525,0.3149,-2.0142,2.0142,9.3994
156159.0000,-0.4111,0.8564,0.3101,-1.3428,2.6855,8.6670
156160.0000,-0.4185,0.8628,0.3120,-0.6714,3.0518,8.1177
156161.0000,-0.4219,0.8711,0.3110,-0.4272,2.9297,7.3242
156162.0000,-0.4204,0.8760,0.3135,-0.1831,2.5635,6.9580
156163.0000,-0.4219,0.8789,0.3120,-0.2441,2.3804,6.8970
156164.0000,-0.4204,0.8823,0.3115,-0.6104,2.0142,6.3477
156165.0000,-0.4209,0.8843,0.3115,-0.9766,1.6479,6.0425
156166.0000,-0.4233,0.8843,0.3140,-1.2817,1.1597,5.8594
156167.0000,-0.4189,0.8818,0.3140,-1.7090,0.5493,5.3711
156168.0000,-0.4180,0.8813,0.3101,-1.7700,0.3052,5.0659
156169.0000,-0.4160,0.8809,0.3115,-2.0142,0.0610,4.7607
156170.0000,-0.4121,0.8838,0.3115,-2.1362,-0.3052,4.3335
156171.0000,-0.4097,0.8838,0.3096,-2.4414,-0.3052,3.8452
156172.0000,-0.4067,0.8828,0.3101,-2.4414,-0.2441,3.6011
156173.0000,-0.4004,0.8818,0.3145,-2.4414,-0.1831,3.3569
156174.0000,-0.3965,0.8789,0.3140,-2.5024,0.0610,3.4790
156175.0000,-0.3945,0.8774,0.3135,-2.3804,0.3662,3.6011
156176.0000,-0.3882,0.8779,0.3101,-2.1973,1.2817,3.6011
156177.0000,-0.3906,0.8872,0.3140,-2.0142,2.0752,3.7231
156178.0000,-0.3921,0.8926,0.3159,-2.1973,2.6245,3.8452
156179.0000,-0.3955,0.8877,0.3120,-2.4414,3.1738,4.3945
156180.0000,-0.3926,0.8857,0.3105,-2.7466,3.7231,4.7607
156181.0000,-0.3906,0.8867,0.3125,-2.6855,4.5776,5.4321
156182.0000,-0.3911,0.8872,0.3154,-2.7466,5.3101,5.7983
156183.0000,-0.3911,0.8872,0.3096,-2.8687,6.0425,6.2256
156184.0000,-0.3833,0.8877,0.3096,-2.6245,7.0801,7.2021
156185.0000,-0.3740,0.8936,0.3081,-2.6245,8.1177,8.1177
156186.0000,-0.3638,0.9023,0.3076,-2.8076,9.5215,9.1553
