timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
165677.0000,-0.0586,0.9863,0.2798,-1.4648,3.1128,0.3662
165678.0000,-0.0586,0.9854,0.2812,-1.3428,3.1128,0.0610
165679.0000,-0.0591,0.9873,0.2837,-1.0376,2.8076,-0.6714
165680.0000,-0.0610,0.9849,0.2778,-0.8545,2.6855,-1.1597
165681.0000,-0.0605,0.9863,0.2837,-0.7324,2.1362,-1.7090
165682.0000,-0.0659,0.9858,0.2827,-0.4272,1.4648,-2.6855
165683.0000,-0.0684,0.9873,0.2808,-0.2441,0.8545,-3.1738
165684.0000,-0.0742,0.9907,0.2773,-0.2441,0.0610,-4.0283
165685.0000,-0.0801,0.9976,0.2812,-0.1221,-1.2207,-4.7607
165686.0000,-0.0806,1.0020,0.2769,-0.3052,-2.2583,-5.4932
165687.0000,-0.0830,1.0039,0.2778,-0.5493,-3.2959,-5.9204
165688.0000,-0.0820,1.0015,0.2754,-0.8545,-4.6997,-6.6528
165689.0000,-0.0806,1.0073,0.2778,-1.4038,-5.6763,-6.9580
165690.0000,-0.0820,1.0132,0.2793,-1.5869,-6.5918,-7.2021
165691.0000,-0.0762,1.0083,0.2759,-2.2583,-8.0566,-6.3477
165692.0000,-0.0703,1.0024,0.2764,-2.6855,-8.6670,-5.4932
165693.0000,-0.0688,1.0000,0.2773,-3.0518,-9.1553,-4.4556
165694.0000,-0.0654,0.9961,0.2798,-3.3569,-9.7046,-3.4180
165695.0000,-0.0601,0.9917,0.2803,-3.6011,-9.9487,-3.1128
165696.0000,-0.0566,0.9883,0.2798,-3.4790,-9.7656,-3.0518
165697.0000,-0.0542,0.9849,0.2817,-3.3569,-9.2773,-3.2349
165698.0000,-0.0532,0.9878,0.2842,-2.9297,-8.8501,-3.3569
165699.0000,-0.0527,0.9922,0.2852,-2.8687,-8.3618,-3.4180
165700.0000,-0.0498,0.9907,0.2866,-2.8687,-7.9346,-2.8076
165701.0000,-0.0503,0.9888,0.2866,-2.8076,-7.6904,-2.1973
165702.0000,-0.0493,0.9858,0.2876,-2.6855,-7.0801,-1.5869
165703.0000,-0.0493,0.9854,0.2881,-2.6855,-6.5918,-0.8545
165704.0000,-0.0503,0.9824,0.2920,-2.2583,-6.1035,-0.9155
165705.0000,-0.0488,0.9800,0.2920,-2.2583,-5.5542,-0.7324
165706.0000,-0.0532,0.9785,0.2925,-1.6479,-5.0049,-0.9155
165707.0000,-0.0552,0.9731,0.2925,-1.0986,-4.7607,-0.9155
165708.0000,-0.0576,0.9775,0.2896,-0.3662,-4.2725,-0.7324
165709.0000,-0.0586,0.9839,0.2949,0.1831,-4.2725,-0.5493
165710.0000,-0.0605,0.9858,0.2930,0.3662,-4.1504,-0.3662
165711.0000,-0.0566,0.9897,0.2944,0.4883,-4.2114,0.1221
165712.0000,-0.0566,0.9897,0.2891,0.4272,-4.0283,0.3052
165713.0000,-0.0547,0.9912,0.2905,0.2441,-3.7842,0.4883
165714.0000,-0.0532,0.9888,0.2910,0.2441,-3.4180,0.1831
165715.0000,-0.0513,0.9922,0.2905,0.3662,-3.1128,-0.1221
165716.0000,-0.0483,0.9941,0.2920,0.4272,-2.6245,-0.3052
165717.0000,-0.0479,0.9922,0.2910,0.4272,-2.1362,-0.5493
165718.0000,-0.0469,0.9917,0.2866,0.2441,-1.5259,-0.8545
165719.0000,-0.0508,0.9927,0.2861,-0.0610,-1.1597,-1.0376
165720.0000,-0.0498,0.9927,0.2871,-0.1831,-0.6714,-1.3428
165721.0000,-0.0508,0.9937,0.2856,-0.2441,-0.3662,-1.5869
165722.0000,-0.0513,0.9976,0.2896,-0.4272,-0.1221,-1.3428
165723.0000,-0.0566,0.9976,0.2925,-0.6714,0.1831,-1.0986
165724.0000,-0.0596,0.9893,0.2905,-0.6104,0.1221,-0.7935
165725.0000,-0.0596,0.9805,0.2866,-0.4272,0.0610,-0.7324
165726.0000,-0.0591,0.9785,0.2876,0.2441,0.1831,-0.4883
165727.0000,-0.0620,0.9829,0.2900,0.7935,0.1221,-0.2441
165728.0000,-0.0635,0.9893,0.2876,1.0376,-0.1221,-0.1221
165729.0000,-0.0625,0.9961,0.2852,1.2207,-0.4272,0.1221
165730.0000,-0.0645,1.0020,0.2827,0.9155,-0.7324,0.1221
165731.0000,-0.0669,1.0010,0.2827,0.3662,-1.0376,0.0000
165732.0000,-0.0698,0.9976,0.2822,-0.3052,-1.7090,0.0610
165733.0000,-0.0708,0.9976,0.2886,-0.4883,-2.3193,-0.3662
165734.0000,-0.0698,0.9951,0.2866,-0.7324,-2.9297,-0.7324
165735.0000,-0.0698,1.0005,0.2871,-0.9766,-3.8452,-1.5259
165736.0000,-0.0796,1.0107,0.2920,-1.3428,-4.7607,-1.9531
165737.0000,-0.0923,1.0156,0.2930,-1.9531,-6.2256,-2.3193
165738.0000,-0.1182,1.0195,0.2905,-2.9297,-9.4604,-3.2349
165739.0000,-0.1313,1.0156,0.2939,-3.9673,-12.7563,-3.9062
165740.0000,-0.1499,1.0122,0.2920,-5.0049,-16.9067,-5.3711
165741.0000,-0.1548,1.0063,0.2969,-6.3477,-23.0713,-8.3008
165742.0000,-0.1509,1.0024,0.2949,-7.2632,-27.5269,-11.1694
165743.0000,-0.1475,1.0093,0.2983,-8.0566,-31.7383,-14.3433
165744.0000,-0.1436,1.0195,0.2954,-9.3994,-37.2925,-18.6157
165745.0000,-0.1445,1.0225,0.2925,-10.5591,-41.6870,-21.5454
165746.0000,-0.1460,1.0249,0.2954,-11.9019,-46.2036,-23.9868
165747.0000,-0.1504,1.0112,0.2949,-13.4888,-52.0020,-28.0762
165748.0000,-0.1519,0.9966,0.3003,-14.2822,-56.3965,-31.0669
165749.0000,-0.1558,0.9790,0.3032,-14.4043,-60.6079,-34.5459
165750.0000,-0.1592,0.9507,0.3047,-13.3057,-65.7959,-39.3677
165751.0000,-0.1606,0.9395,0.3086,-12.0850,-69.5190,-42.9688
165752.0000,-0.1567,0.9409,0.3169,-10.1318,-72.8760,-46.3257
165753.0000,-0.1475,0.9399,0.3193,-7.7515,-77.0264,-50.0488
165754.0000,-0.1343,0.9473,0.3188,-6.2866,-79.5288,-52.3682
165755.0000,-0.1167,0.9531,0.3198,-4.6997,-80.9937,-54.1382
165756.0000,-0.1050,0.9590,0.3252,-3.0518,-82.1533,-56.3354
165757.0000,-0.0991,0.9624,0.3262,-2.3804,-82.0923,-58.1055
165758.0000,-0.0972,0.9619,0.3291,-1.3428,-81.6650,-59.7534
165759.0000,-0.0986,0.9580,0.3296,-0.4883,-80.3223,-62.0728
165760.0000,-0.0991,0.9629,0.3311,0.3052,-78.5522,-63.4766
165761.0000,-0.1035,0.9722,0.3345,0.8545,-76.5381,-64.0259
165762.0000,-0.1025,0.9878,0.3433,1.5259,-73.5474,-63.1714
165763.0000,-0.1021,0.9795,0.3423,1.4038,-71.3501,-60.9131
165764.0000,-0.1001,0.9663,0.3389,1.4038,-69.0308,-57.9224
165765.0000,-0.1016,0.9536,0.3408,1.7090,-65.3076,-53.4668
165766.0000,-0.1030,0.9526,0.3491,2.0752,-62.0117,-50.3540
