timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
45702.0000,0.2319,0.9282,0.4463,-1.4648,-8.4229,26.7334
45703.0000,0.2427,0.9287,0.4434,-1.4648,-7.4463,23.6816
45704.0000,0.2578,0.9292,0.4438,-1.2817,-6.1646,19.5923
45705.0000,0.2598,0.9365,0.4463,-1.0376,-5.0049,16.4185
45706.0000,0.2588,0.9458,0.4473,-0.9766,-3.7231,13.9771
45707.0000,0.2437,0.9390,0.4502,-1.1597,-2.9297,12.8174
45708.0000,0.2095,0.9141,0.4473,-1.7090,-2.6245,15.0146
45709.0000,0.1802,0.8979,0.4321,-2.0142,-3.2349,20.5688
45710.0000,0.1992,0.8979,0.4429,-2.0142,-5.0659,28.6865
45711.0000,0.1978,0.9150,0.4531,-1.8921,-5.8594,33.5693
45712.0000,0.1973,0.9331,0.4604,-1.7700,-6.3477,36.8042
45713.0000,0.2144,0.9326,0.4600,-2.1362,-6.7749,38.4521
45714.0000,0.2271,0.9302,0.4595,-2.0752,-7.1411,37.5977
45715.0000,0.2412,0.9346,0.4600,-1.7700,-7.1411,36.0718
45716.0000,0.2549,0.9419,0.4614,-1.1597,-7.1411,34.1187
45717.0000,0.2725,0.9468,0.4619,-0.8545,-7.2632,32.7759
45718.0000,0.2842,0.9512,0.4624,-0.6714,-7.1411,31.3110
45719.0000,0.2949,0.9600,0.4634,-0.7935,-6.8970,29.1138
45720.0000,0.3062,0.9580,0.4600,-1.3428,-6.7749,27.0386
45721.0000,0.3145,0.9521,0.4604,-2.0752,-6.4697,24.5972
45722.0000,0.3232,0.9380,0.4600,-2.8076,-5.9814,20.6909
45723.0000,0.3267,0.9302,0.4614,-3.1128,-5.5542,17.2729
45724.0000,0.3242,0.9233,0.4644,-3.1738,-5.2490,13.6108
45725.0000,0.3237,0.9243,0.4629,-2.8687,-5.1270,9.2773
45726.0000,0.3218,0.9243,0.4629,-2.8687,-5.3101,6.9580
45727.0000,0.3218,0.9253,0.4585,-2.8687,-5.6763,5.1880
45728.0000,0.3276,0.9180,0.4585,-3.0518,-6.1646,3.8452
45729.0000,0.3296,0.9106,0.4556,-3.1738,-6.5308,3.1738
45730.0000,0.3320,0.9028,0.4521,-3.1738,-6.7139,2.7466
45731.0000,0.3335,0.8926,0.4546,-2.9907,-6.8359,1.6479
45732.0000,0.3359,0.8906,0.4561,-2.6855,-6.7749,0.4883
45733.0000,0.3384,0.8896,0.4521,-2.5024,-6.5918,-0.9155
45734.0000,0.3442,0.8877,0.4541,-2.1362,-6.2256,-3.4180
45735.0000,0.3486,0.8877,0.4551,-2.0142,-5.7983,-5.8594
45736.0000,0.3491,0.8970,0.4551,-1.6479,-5.0659,-8.5449
45737.0000,0.3486,0.9111,0.4624,-1.2817,-4.4556,-11.1084
45738.0000,0.3584,0.9077,0.4570,-1.3428,-4.1504,-12.2681
45739.0000,0.3643,0.8979,0.4502,-1.4038,-3.4180,-13.4277
45740.0000,0.3618,0.8950,0.4546,-1.0376,-2.0142,-15.1978
45741.0000,0.3569,0.8945,0.4565,-0.4883,-0.9155,-16.7236
45742.0000,0.3569,0.8911,0.4556,0.0610,0.0000,-18.5547
45743.0000,0.3564,0.8955,0.4556,0.9155,1.9531,-21.7285
45744.0000,0.3535,0.9111,0.4580,1.5869,3.2349,-24.0479
45745.0000,0.3486,0.9238,0.4658,1.9531,4.5776,-25.1465
45746.0000,0.3413,0.9282,0.4619,1.6479,6.1646,-26.0010
45747.0000,0.3296,0.9268,0.4585,1.2817,7.2021,-25.8789
45748.0000,0.3208,0.9170,0.4590,0.7935,7.9956,-25.9399
45749.0000,0.3086,0.8989,0.4541,0.7935,8.7280,-26.7334
45750.0000,0.3027,0.8906,0.4546,1.0376,9.1553,-28.6255
45751.0000,0.3032,0.8911,0.4575,1.7700,9.8267,-30.8838
45752.0000,0.3022,0.9199,0.4580,2.9297,10.9863,-34.0576
45753.0000,0.2915,0.9648,0.4712,3.7231,11.8408,-34.6680
45754.0000,0.2905,0.9868,0.4761,3.4790,12.0239,-32.8369
45755.0000,0.2847,0.9590,0.4561,1.9531,12.0239,-28.3203
45756.0000,0.2651,0.9351,0.4497,0.7324,11.9019,-25.0854
45757.0000,0.2471,0.9224,0.4526,0.7324,11.5967,-22.8882
45758.0000,0.2378,0.9121,0.4502,0.6714,11.0474,-22.0947
45759.0000,0.2344,0.9121,0.4468,0.5493,10.6201,-23.0103
45760.0000,0.2329,0.9106,0.4507,0.7935,10.6812,-24.4141
45761.0000,0.2344,0.9155,0.4565,0.7324,10.6201,-26.6113
45762.0000,0.2388,0.9238,0.4565,1.1597,10.6812,-28.3813
45763.0000,0.2368,0.9385,0.4614,1.5869,11.1084,-30.3345
45764.0000,0.2266,0.9678,0.4658,1.8311,11.8408,-32.4097
45765.0000,0.2178,0.9912,0.4692,1.7090,12.0239,-32.8979
45766.0000,0.2183,0.9897,0.4673,1.0376,12.1460,-33.0200
45767.0000,0.2100,0.9692,0.4561,-0.4883,12.8784,-33.3862
45768.0000,0.1958,0.9521,0.4526,-1.2207,13.4888,-33.8745
45769.0000,0.1870,0.9390,0.4531,-1.5259,13.6719,-34.7290
45770.0000,0.1768,0.9272,0.4468,-1.4648,14.2212,-36.3770
45771.0000,0.1704,0.9224,0.4502,-1.0376,14.6484,-38.2080
45772.0000,0.1670,0.9194,0.4497,-0.7324,15.0757,-39.9170
45773.0000,0.1621,0.9248,0.4512,-0.1831,15.5640,-42.1143
45774.0000,0.1626,0.9316,0.4546,0.1831,15.9302,-43.6401
45775.0000,0.1558,0.9429,0.4551,0.3662,16.4185,-45.2881
45776.0000,0.1362,0.9707,0.4644,0.1221,17.3340,-46.3867
45777.0000,0.1274,0.9785,0.4663,-0.3662,17.7612,-46.6919
45778.0000,0.1211,0.9673,0.4600,-1.2817,17.9443,-47.1191
45779.0000,0.1006,0.9453,0.4468,-2.5024,18.5547,-47.9736
45780.0000,0.0854,0.9292,0.4458,-2.8687,18.8599,-48.2178
45781.0000,0.0703,0.9263,0.4473,-3.0518,18.7378,-48.0347
45782.0000,0.0566,0.9258,0.4482,-2.9907,18.4326,-47.5464
45783.0000,0.0566,0.9282,0.4517,-3.0518,18.0664,-47.1802
45784.0000,0.0518,0.9316,0.4575,-2.6245,18.0664,-46.9360
