timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
51756.0000,-0.0420,0.9341,0.4272,-0.1221,-2.9907,18.9819
51757.0000,-0.0356,0.9375,0.4297,0.1831,-3.1128,17.7612
51758.0000,-0.0288,0.9434,0.4302,0.4272,-3.2959,16.3574
51759.0000,-0.0195,0.9482,0.4297,0.9766,-3.1128,14.2212
51760.0000,-0.0137,0.9497,0.4302,1.2207,-2.9907,12.7563
51761.0000,-0.0068,0.9595,0.4321,1.2817,-2.8687,11.2915
51762.0000,0.0010,0.9658,0.4326,1.2817,-2.9907,10.0708
51763.0000,0.0063,0.9639,0.4316,0.9155,-2.8076,9.4604
51764.0000,0.0049,0.9556,0.4321,0.6104,-2.6855,9.0332
51765.0000,-0.0112,0.9502,0.4277,0.3662,-2.3804,8.9111
51766.0000,-0.0190,0.9492,0.4268,0.6104,-2.5635,9.1553
51767.0000,-0.0225,0.9487,0.4258,0.7935,-3.1128,9.2163
51768.0000,-0.0166,0.9507,0.4229,0.8545,-3.9062,8.9722
51769.0000,-0.0088,0.9512,0.4263,0.7324,-4.2725,8.7891
51770.0000,0.0024,0.9614,0.4243,0.9766,-4.4556,8.5449
51771.0000,0.0156,0.9629,0.4287,0.9155,-4.3945,8.3618
51772.0000,0.0190,0.9639,0.4219,1.0986,-3.9673,8.0566
51773.0000,0.0273,0.9619,0.4229,0.9155,-3.1738,6.8970
51774.0000,0.0249,0.9634,0.4209,0.7935,-2.5635,5.3711
51775.0000,0.0264,0.9658,0.4214,0.7324,-1.9531,3.6011
51776.0000,0.0220,0.9658,0.4224,0.3662,-1.3428,0.9766
51777.0000,0.0234,0.9604,0.4229,0.1221,-0.7324,-0.8545
51778.0000,0.0161,0.9600,0.4175,-0.1221,-0.3662,-2.4414
51779.0000,0.0083,0.9678,0.4204,-0.3052,0.4272,-3.6011
51780.0000,0.0049,0.9717,0.4185,-0.5493,0.5493,-3.5400
51781.0000,0.0010,0.9766,0.4209,-0.9155,0.7324,-3.7231
51782.0000,0.0005,0.9731,0.4189,-1.3428,0.9155,-3.2349
51783.0000,0.0024,0.9668,0.4214,-1.7700,1.0986,-2.8076
51784.0000,0.0039,0.9590,0.4189,-1.9531,1.4648,-2.5024
51785.0000,0.0044,0.9580,0.4185,-2.0142,1.9531,-2.6245
51786.0000,0.0044,0.9536,0.4194,-2.0142,2.4414,-3.3569
51787.0000,0.0005,0.9531,0.4243,-1.8311,2.7466,-4.0283
51788.0000,-0.0073,0.9512,0.4243,-1.5259,3.2959,-5.0049
51789.0000,-0.0186,0.9512,0.4214,-1.2817,3.4790,-5.7983
51790.0000,-0.0322,0.9565,0.4272,-0.9766,3.3569,-6.1646
51791.0000,-0.0435,0.9609,0.4263,-0.6714,2.9297,-5.8594
51792.0000,-0.0430,0.9614,0.4282,-0.6714,2.2583,-5.4321
51793.0000,-0.0430,0.9609,0.4272,-0.6714,1.6479,-5.1270
51794.0000,-0.0420,0.9624,0.4268,-0.5493,1.1597,-4.5166
51795.0000,-0.0400,0.9580,0.4272,-0.7324,0.9766,-4.2725
51796.0000,-0.0366,0.9595,0.4282,-0.6714,0.6714,-4.2725
51797.0000,-0.0337,0.9634,0.4302,-0.6104,0.6104,-4.5776
51798.0000,-0.0278,0.9590,0.4307,-0.5493,0.7935,-5.1270
51799.0000,-0.0259,0.9575,0.4287,-0.5493,0.9766,-5.6763
51800.0000,-0.0269,0.9561,0.4277,-0.3662,1.2817,-6.8970
51801.0000,-0.0337,0.9541,0.4321,-0.3662,1.7700,-7.6904
51802.0000,-0.0391,0.9531,0.4287,-0.3052,2.1362,-8.3618
