timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
54834.0000,-0.0967,0.9614,0.4126,1.7090,1.0986,-1.1597
54835.0000,-0.0889,0.9609,0.4097,1.7090,0.9766,-1.5869
54836.0000,-0.0825,0.9609,0.4023,1.7090,1.3428,-2.5024
54837.0000,-0.0801,0.9663,0.4077,1.7090,1.5869,-3.1128
54838.0000,-0.0801,0.9702,0.4058,1.6479,2.0142,-3.6621
54839.0000,-0.0815,0.9644,0.4048,0.9766,2.0142,-3.8452
54840.0000,-0.0830,0.9619,0.4038,0.6104,1.8921,-4.0894
54841.0000,-0.0884,0.9614,0.4043,0.0000,1.8921,-4.2114
54842.0000,-0.0972,0.9614,0.4048,-0.1831,1.6479,-4.3945
54843.0000,-0.0981,0.9600,0.4072,-0.5493,1.3428,-4.7607
54844.0000,-0.0981,0.9614,0.4067,-0.5493,0.9766,-4.6997
54845.0000,-0.0981,0.9658,0.4116,-0.4883,0.9155,-5.0659
54846.0000,-0.0947,0.9678,0.4111,-0.7935,0.9155,-5.1880
54847.0000,-0.0933,0.9634,0.4131,-1.2817,1.0376,-5.1880
54848.0000,-0.0889,0.9507,0.4106,-1.6479,1.0986,-5.3711
54849.0000,-0.0869,0.9526,0.4111,-1.6479,1.5869,-5.7373
54850.0000,-0.0903,0.9609,0.4170,-1.5869,2.0142,-6.1646
54851.0000,-0.0952,0.9658,0.4204,-1.5869,2.6245,-6.5918
54852.0000,-0.1045,0.9619,0.4189,-1.5259,2.8076,-6.5308
54853.0000,-0.1089,0.9536,0.4189,-1.5259,2.9907,-6.1646
54854.0000,-0.1133,0.9458,0.4160,-1.0986,2.9907,-5.1270
54855.0000,-0.1206,0.9473,0.4170,-0.4272,2.8076,-4.6387
54856.0000,-0.1240,0.9482,0.4185,0.0000,2.5024,-3.8452
54857.0000,-0.1182,0.9521,0.4131,0.3052,2.1362,-3.4180
54858.0000,-0.1152,0.9531,0.4141,0.6104,2.0142,-3.3569
54859.0000,-0.1118,0.9551,0.4136,0.7324,2.1973,-3.4790
54860.0000,-0.1094,0.9595,0.4141,0.6714,2.3804,-3.7231
54861.0000,-0.1084,0.9590,0.4146,0.5493,2.6855,-4.2114
54862.0000,-0.1108,0.9585,0.4111,0.4883,2.8687,-4.6387
54863.0000,-0.1157,0.9546,0.4141,0.2441,2.9297,-4.7607
54864.0000,-0.1201,0.9526,0.4106,0.2441,2.8076,-4.6997
54865.0000,-0.1216,0.9521,0.4131,0.3662,2.5024,-4.5776
54866.0000,-0.1216,0.9575,0.4150,0.3052,2.0752,-4.1504
54867.0000,-0.1201,0.9541,0.4160,0.4883,1.7090,-4.0283
54868.0000,-0.1177,0.9536,0.4106,0.5493,1.4038,-4.0283
54869.0000,-0.1133,0.9546,0.4160,0.7324,1.2207,-4.5776
54870.0000,-0.1113,0.9546,0.4116,0.8545,1.1597,-5.2490
54871.0000,-0.1060,0.9531,0.4131,0.9766,1.0986,-5.9204
54872.0000,-0.1011,0.9561,0.4150,0.9766,1.2207,-7.4463
54873.0000,-0.0962,0.9595,0.4170,0.9155,1.4038,-9.0332
54874.0000,-0.0908,0.9575,0.4238,0.7935,1.6479,-10.8032
54875.0000,-0.0859,0.9424,0.4219,0.9766,2.0752,-13.7329
54876.0000,-0.0811,0.9297,0.4209,1.5259,2.4414,-16.1133
54877.0000,-0.0791,0.9248,0.4219,2.3193,2.8687,-19.1040
54878.0000,-0.0825,0.9272,0.4165,3.3569,3.7842,-23.4985
54879.0000,-0.0762,0.9336,0.4170,3.6621,4.4556,-26.9775
54880.0000,-0.0620,0.9336,0.4155,3.7842,4.9438,-30.8228
54881.0000,-0.0503,0.9302,0.4131,3.7842,6.6528,-36.5601
54882.0000,-0.0542,0.9282,0.4116,3.5400,8.2397,-41.1377
54883.0000,-0.0444,0.9292,0.4062,3.2959,9.5215,-46.0205
54884.0000,-0.0400,0.9248,0.4033,2.5635,12.1460,-52.6733
54885.0000,-0.0352,0.9185,0.4009,2.0752,14.4043,-57.9224
54886.0000,-0.0342,0.8999,0.4019,1.7700,16.7236,-63.2935
54887.0000,-0.0264,0.8857,0.3931,1.4648,20.0195,-71.2891
54888.0000,-0.0298,0.8809,0.3940,1.7090,23.4375,-77.8198
54889.0000,-0.0386,0.8735,0.3906,2.0142,26.7334,-85.1440
54890.0000,-0.0469,0.8594,0.3774,2.1362,31.1279,-95.2759
54891.0000,-0.0532,0.8457,0.3765,2.2583,34.4849,-103.3936
54892.0000,-0.0620,0.8262,0.3745,2.5635,38.2080,-111.9995
54893.0000,-0.0928,0.7925,0.3657,2.5635,43.2129,-123.8403
54894.0000,-0.1216,0.7578,0.3560,2.6245,46.8140,-133.1177
54895.0000,-0.1689,0.7134,0.3462,3.1128,50.4150,-141.9678
