timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
4097.0000,-0.3042,0.9453,0.4395,5.1270,-19.4702,-13.8550
4098.0000,-0.3105,0.9434,0.4424,4.0894,-24.5361,-15.7471
4099.0000,-0.3149,0.9404,0.4414,3.2959,-28.3813,-17.5171
4100.0000,-0.3159,0.9346,0.4429,2.6245,-32.6538,-19.2261
4101.0000,-0.3193,0.9150,0.4360,2.1362,-38.2690,-21.2402
4102.0000,-0.3174,0.9058,0.4312,2.3193,-42.5415,-22.4609
4103.0000,-0.3096,0.9072,0.4253,2.6245,-46.5088,-23.4985
4104.0000,-0.2852,0.9326,0.4224,2.3193,-50.8423,-24.4751
4105.0000,-0.2607,0.9492,0.4253,1.5869,-52.9785,-24.4141
4106.0000,-0.2363,0.9536,0.4253,0.4272,-54.1382,-24.0479
4107.0000,-0.2075,0.9458,0.4297,-1.1597,-53.8940,-22.8271
4108.0000,-0.2007,0.9316,0.4370,-1.8311,-52.7954,-21.7896
4109.0000,-0.2046,0.9214,0.4399,-2.0752,-51.4526,-21.1792
4110.0000,-0.2197,0.9146,0.4521,-1.8311,-49.5605,-20.1416
4111.0000,-0.2324,0.9170,0.4561,-1.4038,-48.9502,-19.6533
4112.0000,-0.2446,0.9194,0.4609,-0.9155,-48.8892,-18.8599
4113.0000,-0.2646,0.9170,0.4668,-0.4883,-49.7437,-18.0664
4114.0000,-0.2808,0.9131,0.4683,0.0000,-51.0864,-17.5171
4115.0000,-0.2886,0.9180,0.4712,0.4272,-53.2227,-17.3340
4116.0000,-0.2798,0.9146,0.4717,0.0000,-56.3965,-17.5781
4117.0000,-0.2749,0.9106,0.4731,-0.3662,-58.5327,-18.4937
4118.0000,-0.2681,0.9038,0.4727,-0.4272,-60.7910,-19.7144
4119.0000,-0.2627,0.9072,0.4751,-0.6714,-63.3545,-21.6675
4120.0000,-0.2622,0.9146,0.4771,-0.9766,-65.3076,-22.9492
4121.0000,-0.2656,0.9141,0.4780,-1.5259,-67.3218,-24.2310
4122.0000,-0.2749,0.9072,0.4834,-1.7090,-70.2515,-25.8179
4123.0000,-0.2764,0.8984,0.4863,-1.8311,-73.0591,-27.0386
4124.0000,-0.2739,0.8970,0.4897,-1.6479,-75.6836,-28.5034
4125.0000,-0.2612,0.8901,0.4897,-1.2817,-78.9185,-30.5786
4126.0000,-0.2534,0.8867,0.4932,-0.9766,-81.0547,-32.1655
4127.0000,-0.2446,0.8799,0.4966,-0.6104,-82.3975,-33.8135
4128.0000,-0.2505,0.8765,0.5010,0.7324,-83.9844,-35.5225
4129.0000,-0.2598,0.8745,0.5029,1.8921,-85.2661,-36.0107
4130.0000,-0.2769,0.8784,0.5103,2.9297,-87.0972,-36.0107
4131.0000,-0.2788,0.8760,0.5156,3.9673,-90.2710,-34.7900
4132.0000,-0.2773,0.8750,0.5112,5.4932,-92.8345,-33.8135
4133.0000,-0.2666,0.8687,0.5137,6.2866,-95.1538,-32.8369
4134.0000,-0.2476,0.8608,0.5127,7.9346,-97.2290,-32.1655
4135.0000,-0.2314,0.8662,0.5083,8.4229,-98.2056,-32.1045
4136.0000,-0.2183,0.8823,0.5132,8.9111,-98.4497,-32.0435
4137.0000,-0.2002,0.8950,0.5210,8.9722,-98.1445,-31.8604
4138.0000,-0.1919,0.8984,0.5254,8.4839,-97.4121,-31.4331
4139.0000,-0.1904,0.8984,0.5273,7.8735,-96.4966,-30.9448
4140.0000,-0.1855,0.8901,0.5342,8.1177,-94.9097,-30.0293
