timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
11610.0000,-0.2212,0.8882,0.5435,3.4790,2.7466,-0.3662
11611.0000,-0.2251,0.8838,0.5430,3.2349,2.9907,-0.6104
11612.0000,-0.2246,0.8750,0.5396,2.9907,3.2959,-0.9155
11613.0000,-0.2251,0.8696,0.5405,3.2349,3.6621,-1.5259
11614.0000,-0.2310,0.8652,0.5396,3.6011,3.8452,-2.0752
11615.0000,-0.2402,0.8706,0.5366,3.9062,3.9062,-2.3193
11616.0000,-0.2500,0.8730,0.5332,4.2114,3.4180,-2.1362
11617.0000,-0.2544,0.8789,0.5337,4.2725,2.6855,-1.8921
11618.0000,-0.2568,0.8838,0.5361,4.1504,2.1362,-1.7090
11619.0000,-0.2559,0.8896,0.5332,3.9673,1.4038,-1.8311
11620.0000,-0.2549,0.8940,0.5312,3.6011,0.9155,-1.8921
11621.0000,-0.2500,0.8940,0.5283,3.2349,0.6104,-2.0752
11622.0000,-0.2437,0.8950,0.5283,2.5635,0.1831,-2.4414
11623.0000,-0.2432,0.8926,0.5303,1.8921,0.0000,-2.5635
11624.0000,-0.2383,0.8892,0.5322,1.2817,-0.1831,-2.6855
11625.0000,-0.2349,0.8872,0.5322,0.6104,-0.1221,-2.8076
11626.0000,-0.2349,0.8867,0.5347,0.1221,-0.1221,-2.9297
11627.0000,-0.2358,0.8823,0.5386,-0.2441,-0.1221,-2.8687
11628.0000,-0.2344,0.8813,0.5381,-0.6104,0.0000,-2.8687
11629.0000,-0.2339,0.8809,0.5400,-0.7324,0.0000,-2.7466
11630.0000,-0.2324,0.8818,0.5405,-1.1597,0.2441,-2.5024
11631.0000,-0.2339,0.8799,0.5420,-1.3428,0.4883,-2.3193
11632.0000,-0.2324,0.8760,0.5381,-1.4648,0.6104,-2.4414
11633.0000,-0.2305,0.8760,0.5376,-1.6479,0.9155,-2.3193
11634.0000,-0.2261,0.8828,0.5435,-1.9531,1.2817,-2.3193
11635.0000,-0.2227,0.8867,0.5420,-2.5635,1.6479,-2.2583
11636.0000,-0.2251,0.8813,0.5439,-3.2349,2.3193,-2.3193
11637.0000,-0.2241,0.8716,0.5444,-3.5400,2.8076,-2.5024
11638.0000,-0.2275,0.8667,0.5483,-3.4790,3.3569,-2.6245
11639.0000,-0.2349,0.8672,0.5513,-3.1738,3.9062,-2.4414
11640.0000,-0.2373,0.8647,0.5527,-2.8687,3.9062,-2.1973
11641.0000,-0.2373,0.8647,0.5493,-2.6245,4.1504,-1.8921
11642.0000,-0.2378,0.8677,0.5503,-2.1973,4.3335,-1.4648
11643.0000,-0.2378,0.8696,0.5479,-1.8921,4.4556,-1.1597
11644.0000,-0.2407,0.8740,0.5503,-1.8921,4.5166,-1.0986
11645.0000,-0.2441,0.8755,0.5488,-2.0142,4.5776,-1.1597
11646.0000,-0.2471,0.8735,0.5503,-2.1973,4.6387,-1.0986
11647.0000,-0.2471,0.8691,0.5498,-2.3804,4.5166,-1.1597
11648.0000,-0.2456,0.8687,0.5518,-2.3804,4.5166,-1.2207
11649.0000,-0.2451,0.8662,0.5547,-2.3804,4.3945,-1.1597
11650.0000,-0.2476,0.8682,0.5527,-2.3804,4.2725,-1.0376
11651.0000,-0.2490,0.8667,0.5527,-2.1973,4.2114,-0.9766
11652.0000,-0.2500,0.8652,0.5547,-1.9531,3.8452,-0.7324
11653.0000,-0.2471,0.8638,0.5513,-1.8921,3.6621,-0.7935
11654.0000,-0.2476,0.8628,0.5542,-1.6479,3.4180,-0.6714
11655.0000,-0.2471,0.8638,0.5547,-1.4648,3.2349,-0.8545
11656.0000,-0.2446,0.8633,0.5557,-1.4648,2.8687,-0.7935
11657.0000,-0.2466,0.8633,0.5532,-1.2207,2.6855,-0.8545
11658.0000,-0.2466,0.8633,0.5576,-1.2207,2.5635,-1.0376
11659.0000,-0.2485,0.8608,0.5566,-1.1597,2.3804,-1.3428
11660.0000,-0.2510,0.8608,0.5527,-0.8545,2.1973,-1.7090
11661.0000,-0.2529,0.8628,0.5513,-0.5493,1.9531,-1.9531
11662.0000,-0.2515,0.8647,0.5542,-0.3662,1.7700,-2.1362
11663.0000,-0.2568,0.8682,0.5557,-0.2441,1.4648,-2.1362
11664.0000,-0.2559,0.8682,0.5537,-0.1831,1.2207,-2.3193
11665.0000,-0.2510,0.8691,0.5566,-0.2441,0.7324,-1.9531
11666.0000,-0.2505,0.8672,0.5532,-0.1831,0.5493,-1.8921
11667.0000,-0.2471,0.8682,0.5527,-0.3662,0.4883,-2.0142
11668.0000,-0.2466,0.8667,0.5522,-0.3052,0.4272,-2.1362
11669.0000,-0.2432,0.8672,0.5483,-0.4272,0.6104,-2.1973
11670.0000,-0.2417,0.8647,0.5503,-0.3052,0.7935,-2.4414
11671.0000,-0.2446,0.8672,0.5518,-0.3662,1.1597,-2.6245
11672.0000,-0.2476,0.8687,0.5513,-0.1221,1.4038,-2.6855
11673.0000,-0.2515,0.8687,0.5508,-0.3052,1.4648,-2.5635
11674.0000,-0.2510,0.8726,0.5522,-0.3662,1.5869,-2.0752
11675.0000,-0.2534,0.8706,0.5518,-0.6714,1.5259,-1.8311
11676.0000,-0.2505,0.8721,0.5508,-0.6714,1.5869,-1.4038
11677.0000,-0.2476,0.8721,0.5513,-0.9766,1.7090,-0.9766
11678.0000,-0.2388,0.8730,0.5479,-1.2817,2.1973,-0.5493
11679.0000,-0.2334,0.8755,0.5498,-1.5869,2.6855,-0.3662
11680.0000,-0.2305,0.8740,0.5449,-1.7700,3.4180,-0.0610
11681.0000,-0.2139,0.8818,0.5439,-2.2583,5.0049,0.5493
11682.0000,-0.1865,0.8921,0.5376,-3.0518,7.2021,1.5869
11683.0000,-0.1484,0.9165,0.5337,-4.3335,10.7422,3.6011
11684.0000,-0.0869,0.9102,0.5312,-6.9580,17.9443,9.0332
11685.0000,-0.0317,0.8901,0.5337,-8.7891,25.5737,15.1978
11686.0000,0.0254,0.8618,0.5264,-9.5825,35.8887,22.2778
11687.0000,0.0645,0.8203,0.5176,-8.0566,54.0161,30.8838
11688.0000,0.0591,0.8091,0.5186,-5.4932,68.7256,36.1938
11689.0000,0.0347,0.8228,0.5073,-2.5635,82.8857,40.4663
11690.0000,-0.0049,0.8711,0.4863,0.2441,99.9756,45.1660
11691.0000,-0.0244,0.9072,0.4668,0.6104,111.2061,48.0957
11692.0000,-0.0156,0.9419,0.4502,-0.3662,121.5820,51.7578
11693.0000,0.0176,0.9746,0.4233,-3.2959,136.1084,58.6548
11694.0000,0.0522,0.9722,0.3994,-6.1035,147.8882,64.8193
11695.0000,0.0762,0.9521,0.3760,-7.8125,161.3159,70.6787
11696.0000,0.0771,0.9233,0.3491,-7.5684,181.2134,76.9653
11697.0000,0.0337,0.9131,0.3208,-6.2866,195.4956,80.9326
