timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
7079.0000,-0.2422,0.9121,0.4634,-0.2441,1.4648,0.0610
7080.0000,-0.2422,0.9092,0.4609,-0.4883,1.3428,-0.1221
7081.0000,-0.2446,0.9092,0.4600,-0.6104,1.2817,-0.3052
7082.0000,-0.2461,0.9038,0.4624,-0.4272,1.0376,-0.6714
7083.0000,-0.2456,0.9028,0.4604,-0.5493,0.9155,-0.7324
7084.0000,-0.2456,0.9067,0.4653,-0.4272,0.7324,-0.8545
7085.0000,-0.2427,0.9058,0.4639,0.0000,0.6714,-0.7324
7086.0000,-0.2397,0.9038,0.4609,-0.0610,0.5493,-0.5493
7087.0000,-0.2388,0.9072,0.4634,0.2441,0.7324,-0.1831
7088.0000,-0.2358,0.9058,0.4609,0.0000,0.7935,-0.0610
7089.0000,-0.2334,0.9082,0.4595,-0.1831,1.0986,0.1221
7090.0000,-0.2349,0.9067,0.4604,-0.3052,1.3428,-0.2441
7091.0000,-0.2363,0.9067,0.4639,-0.5493,1.6479,-0.4272
7092.0000,-0.2349,0.9058,0.4624,-0.4272,1.8311,-0.5493
7093.0000,-0.2393,0.9058,0.4600,-0.4272,1.9531,-1.0376
7094.0000,-0.2451,0.9053,0.4609,-0.3052,2.0142,-1.3428
7095.0000,-0.2461,0.9082,0.4580,-0.1831,1.8921,-1.5869
7096.0000,-0.2471,0.9087,0.4609,-0.1221,1.6479,-1.8311
7097.0000,-0.2476,0.9092,0.4585,-0.3052,1.4648,-1.7700
7098.0000,-0.2461,0.9102,0.4600,-0.4883,1.2817,-1.8921
7099.0000,-0.2476,0.9067,0.4580,-0.5493,1.2817,-1.8311
7100.0000,-0.2476,0.9072,0.4590,-0.6714,1.0376,-1.8311
7101.0000,-0.2451,0.9062,0.4619,-0.6714,0.9766,-1.7090
7102.0000,-0.2451,0.9062,0.4600,-0.5493,0.9155,-1.5869
7103.0000,-0.2451,0.9072,0.4604,-0.3662,0.9155,-1.5259
7104.0000,-0.2437,0.9077,0.4604,-0.4883,0.9766,-1.7700
7105.0000,-0.2422,0.9067,0.4600,-0.5493,1.1597,-1.8921
7106.0000,-0.2412,0.9062,0.4585,-0.6104,1.2817,-1.8311
7107.0000,-0.2422,0.9087,0.4604,-0.7324,1.4648,-1.8311
7108.0000,-0.2422,0.9082,0.4604,-0.9766,1.6479,-1.8311
7109.0000,-0.2422,0.9087,0.4624,-0.9766,1.7700,-1.5869
7110.0000,-0.2441,0.9077,0.4614,-1.0376,1.8921,-1.4648
7111.0000,-0.2441,0.9097,0.4614,-1.2207,2.1362,-1.4038
7112.0000,-0.2485,0.9092,0.4614,-1.4038,2.2583,-1.2207
7113.0000,-0.2456,0.9077,0.4595,-1.4038,2.1973,-0.9155
7114.0000,-0.2451,0.9033,0.4639,-1.2817,2.3193,-0.8545
7115.0000,-0.2437,0.9062,0.4629,-1.1597,2.4414,-0.7324
7116.0000,-0.2388,0.9092,0.4624,-1.4038,2.6855,-0.6714
7117.0000,-0.2397,0.9097,0.4609,-1.5869,2.9297,-0.7324
7118.0000,-0.2407,0.9019,0.4629,-1.7090,3.2349,-0.6714
7119.0000,-0.2388,0.9062,0.4595,-1.6479,3.4180,-0.6104
7120.0000,-0.2388,0.9126,0.4629,-1.7700,3.9062,-0.6104
7121.0000,-0.2397,0.9136,0.4644,-2.1973,4.2725,-0.4883
7122.0000,-0.2417,0.9038,0.4648,-2.1362,4.5166,-0.3662
7123.0000,-0.2437,0.8950,0.4663,-1.5869,4.8218,0.0610
