timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
24899.0000,-0.2104,0.9453,0.3784,-4.7607,3.9062,-3.1738
24900.0000,-0.2114,0.9429,0.3818,-4.5166,3.4180,-2.6245
24901.0000,-0.2109,0.9399,0.3818,-4.2725,2.5024,-1.9531
24902.0000,-0.2095,0.9409,0.3843,-4.0283,2.0142,-1.5259
24903.0000,-0.2021,0.9404,0.3843,-3.7842,1.5869,-1.3428
24904.0000,-0.1987,0.9409,0.3862,-3.4180,1.2207,-1.0986
24905.0000,-0.1958,0.9443,0.3853,-2.9907,1.0986,-0.9766
24906.0000,-0.1934,0.9463,0.3896,-2.6855,1.0376,-0.7935
24907.0000,-0.1899,0.9492,0.3901,-2.6855,1.0986,-0.7935
24908.0000,-0.1924,0.9478,0.3921,-2.8076,1.0986,-0.4883
24909.0000,-0.1895,0.9448,0.3882,-2.8687,1.1597,-0.2441
24910.0000,-0.1880,0.9429,0.3848,-2.6245,1.2207,-0.0610
24911.0000,-0.1890,0.9453,0.3872,-2.4414,1.4038,0.3052
24912.0000,-0.1904,0.9438,0.3877,-2.2583,1.4038,0.1831
24913.0000,-0.1899,0.9380,0.3906,-2.0142,1.3428,0.2441
24914.0000,-0.1919,0.9346,0.3916,-1.4648,1.2817,0.1831
24915.0000,-0.1943,0.9355,0.3857,-0.9155,1.2817,-0.0610
24916.0000,-0.1973,0.9404,0.3848,-0.3662,1.0376,-0.0610
24917.0000,-0.1992,0.9434,0.3804,-0.1831,0.7935,-0.2441
24918.0000,-0.1992,0.9453,0.3828,0.0000,0.3662,-0.5493
24919.0000,-0.1958,0.9502,0.3809,-0.1221,-0.1221,-0.8545
24920.0000,-0.1948,0.9526,0.3823,-0.3662,-0.2441,-0.9766
24921.0000,-0.1924,0.9512,0.3799,-0.7324,-0.3662,-1.4038
24922.0000,-0.1914,0.9497,0.3813,-1.1597,-0.4272,-1.6479
24923.0000,-0.1899,0.9492,0.3813,-1.4038,-0.2441,-1.9531
24924.0000,-0.1929,0.9478,0.3804,-1.5869,-0.1831,-2.0752
24925.0000,-0.1904,0.9478,0.3813,-1.6479,-0.1221,-2.3804
24926.0000,-0.1929,0.9419,0.3833,-1.7090,-0.0610,-2.3193
24927.0000,-0.1924,0.9434,0.3877,-1.6479,0.1221,-2.2583
24928.0000,-0.1943,0.9448,0.3862,-1.5259,0.2441,-2.1973
24929.0000,-0.1953,0.9443,0.3867,-1.4038,0.4272,-2.1973
24930.0000,-0.1938,0.9443,0.3862,-1.3428,0.3662,-2.0142
24931.0000,-0.1934,0.9429,0.3892,-1.2817,0.6104,-2.0752
24932.0000,-0.1929,0.9458,0.3862,-1.1597,0.7324,-2.1973
24933.0000,-0.1934,0.9424,0.3872,-1.1597,0.9155,-2.3804
24934.0000,-0.1963,0.9399,0.3833,-0.9766,1.0376,-2.5024
24935.0000,-0.1953,0.9443,0.3853,-0.8545,1.2207,-2.5635
24936.0000,-0.1978,0.9531,0.3901,-0.7324,1.3428,-2.5635
24937.0000,-0.2007,0.9502,0.3926,-1.0376,1.1597,-2.0752
