timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
29207.0000,-0.1504,0.9404,0.4136,-0.3052,1.7700,-1.0376
29208.0000,-0.1533,0.9395,0.4155,-0.1831,2.0752,-1.2817
29209.0000,-0.1577,0.9375,0.4097,-0.1221,2.2583,-1.4648
29210.0000,-0.1646,0.9453,0.4141,0.2441,2.5024,-1.6479
29211.0000,-0.1655,0.9546,0.4180,0.1221,2.4414,-1.5869
29212.0000,-0.1704,0.9551,0.4150,-0.2441,2.1362,-1.5869
29213.0000,-0.1719,0.9429,0.4146,-0.4883,1.6479,-1.5259
29214.0000,-0.1748,0.9399,0.4126,-0.3662,1.3428,-1.7090
29215.0000,-0.1763,0.9414,0.4131,-0.1831,0.9766,-1.8311
29216.0000,-0.1772,0.9429,0.4116,0.0610,0.2441,-1.9531
29217.0000,-0.1738,0.9453,0.4102,0.4272,-0.3052,-1.9531
29218.0000,-0.1714,0.9463,0.4141,0.6714,-0.4883,-1.8311
29219.0000,-0.1738,0.9497,0.4126,0.7324,-0.9155,-1.8311
29220.0000,-0.1738,0.9468,0.4102,0.4883,-1.5259,-1.7700
29221.0000,-0.1787,0.9448,0.4102,0.4883,-2.0752,-1.5869
29222.0000,-0.1792,0.9443,0.4116,0.6714,-3.0518,-1.8921
29223.0000,-0.1802,0.9438,0.4111,0.6714,-3.7842,-2.2583
29224.0000,-0.1758,0.9468,0.4146,0.6714,-4.3335,-2.7466
29225.0000,-0.1704,0.9448,0.4121,0.4272,-4.9438,-3.4790
29226.0000,-0.1709,0.9468,0.4146,0.3662,-5.2490,-4.0283
29227.0000,-0.1680,0.9453,0.4150,0.2441,-5.4321,-4.3945
29228.0000,-0.1641,0.9458,0.4121,0.1831,-5.4932,-4.8218
29229.0000,-0.1602,0.9419,0.4131,0.1221,-5.5542,-5.0049
29230.0000,-0.1611,0.9438,0.4150,0.1831,-5.4321,-5.2490
29231.0000,-0.1611,0.9414,0.4150,0.3052,-5.1270,-5.6152
29232.0000,-0.1602,0.9419,0.4160,0.4272,-4.9438,-5.6763
29233.0000,-0.1646,0.9429,0.4146,0.4272,-4.6997,-5.7373
29234.0000,-0.1670,0.9414,0.4146,0.4272,-4.3945,-5.9204
29235.0000,-0.1689,0.9414,0.4155,0.4272,-4.2725,-5.9204
29236.0000,-0.1758,0.9424,0.4150,0.4272,-4.0894,-5.9814
29237.0000,-0.1860,0.9409,0.4136,0.5493,-4.2114,-5.3711
29238.0000,-0.1958,0.9443,0.4204,0.5493,-4.8218,-5.0659
29239.0000,-0.2026,0.9438,0.4185,0.4883,-5.7373,-4.9438
29240.0000,-0.2075,0.9434,0.4194,0.4883,-7.3242,-4.5776
29241.0000,-0.2134,0.9453,0.4180,0.4272,-8.8501,-4.7607
29242.0000,-0.2227,0.9473,0.4185,0.3662,-10.4370,-4.8218
29243.0000,-0.2339,0.9473,0.4185,0.3052,-13.3057,-5.1880
29244.0000,-0.2451,0.9492,0.4180,0.1831,-16.1133,-5.5542
29245.0000,-0.2578,0.9502,0.4189,-0.1221,-19.2871,-6.3477
29246.0000,-0.2729,0.9541,0.4199,-0.4883,-24.4141,-7.5073
29247.0000,-0.2778,0.9565,0.4199,-0.9766,-28.7476,-8.7891
29248.0000,-0.2695,0.9512,0.4233,-1.3428,-33.3862,-10.3149
29249.0000,-0.2466,0.9448,0.4219,-1.6479,-38.7573,-12.9395
29250.0000,-0.2378,0.9453,0.4238,-1.7090,-42.2974,-14.8926
29251.0000,-0.2432,0.9502,0.4302,-1.4038,-45.7153,-16.7236
29252.0000,-0.2563,0.9585,0.4258,-1.5259,-51.3306,-18.3716
29253.0000,-0.2690,0.9507,0.4199,-1.8311,-56.2134,-19.3481
29254.0000,-0.2788,0.9385,0.4219,-2.3804,-61.7065,-20.7520
