timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
31979.0000,-0.1182,0.9375,0.4790,0.9766,3.6621,-15.9302
31980.0000,-0.1157,0.9395,0.4780,0.8545,3.6621,-15.2588
31981.0000,-0.1152,0.9419,0.4780,0.6104,3.9062,-15.0146
31982.0000,-0.1167,0.9424,0.4775,0.2441,4.0894,-15.1367
31983.0000,-0.1138,0.9438,0.4780,-0.3662,4.3335,-15.3198
31984.0000,-0.1113,0.9487,0.4761,-0.7935,4.5776,-15.1978
31985.0000,-0.1104,0.9497,0.4761,-1.2817,4.9438,-14.8315
31986.0000,-0.1104,0.9419,0.4731,-1.8311,5.1270,-14.3433
31987.0000,-0.1182,0.9302,0.4702,-2.4414,5.3101,-13.6719
31988.0000,-0.1206,0.9263,0.4678,-2.3804,5.6152,-13.5498
31989.0000,-0.1235,0.9194,0.4692,-2.0752,5.8594,-13.3057
31990.0000,-0.1362,0.9194,0.4692,-1.4038,6.0425,-13.5498
31991.0000,-0.1445,0.9189,0.4717,-0.7324,5.9814,-13.8550
31992.0000,-0.1489,0.9253,0.4712,-0.1831,5.6152,-13.8550
31993.0000,-0.1509,0.9326,0.4717,-0.0610,5.0659,-13.7329
31994.0000,-0.1548,0.9360,0.4702,-0.1221,4.3335,-13.3667
31995.0000,-0.1572,0.9404,0.4741,-0.2441,3.6011,-12.9395
31996.0000,-0.1499,0.9380,0.4731,-0.8545,2.7466,-12.0850
31997.0000,-0.1455,0.9360,0.4751,-0.9155,2.0752,-11.3525
31998.0000,-0.1436,0.9336,0.4712,-1.0986,1.8921,-10.8643
31999.0000,-0.1421,0.9336,0.4751,-1.3428,1.6479,-10.2539
32000.0000,-0.1411,0.9307,0.4751,-1.4648,1.7700,-9.9487
32001.0000,-0.1426,0.9258,0.4722,-1.3428,1.7700,-9.7656
32002.0000,-0.1440,0.9229,0.4751,-0.9766,2.0142,-9.8877
32003.0000,-0.1484,0.9233,0.4736,-0.6714,2.2583,-9.8267
32004.0000,-0.1519,0.9248,0.4766,-0.4272,2.4414,-9.6436
32005.0000,-0.1519,0.9194,0.4683,-0.1221,2.3804,-9.0942
32006.0000,-0.1519,0.9199,0.4727,0.1221,2.4414,-8.4839
32007.0000,-0.1533,0.9277,0.4727,0.4883,2.5024,-7.7515
32008.0000,-0.1577,0.9351,0.4746,0.3662,2.3193,-6.3477
32009.0000,-0.1567,0.9287,0.4746,0.3052,2.1362,-5.2490
32010.0000,-0.1577,0.9204,0.4712,0.4883,1.9531,-4.3335
32011.0000,-0.1577,0.9199,0.4697,1.1597,1.7090,-3.4180
32012.0000,-0.1611,0.9214,0.4678,1.4648,1.5869,-3.0518
32013.0000,-0.1592,0.9258,0.4731,1.8311,1.2207,-2.6245
32014.0000,-0.1587,0.9321,0.4692,2.3193,0.7935,-2.2583
32015.0000,-0.1577,0.9355,0.4712,2.1973,0.4883,-2.1973
32016.0000,-0.1562,0.9385,0.4668,2.0752,0.4272,-2.0142
32017.0000,-0.1558,0.9385,0.4673,1.9531,0.3662,-1.8921
32018.0000,-0.1587,0.9395,0.4663,1.5869,0.1221,-1.7090
32019.0000,-0.1597,0.9385,0.4639,1.2817,0.0610,-1.5869
32020.0000,-0.1626,0.9365,0.4614,1.0986,-0.1831,-1.4038
32021.0000,-0.1587,0.9380,0.4609,0.9155,-0.3662,-1.2817
32022.0000,-0.1611,0.9385,0.4624,0.7935,-0.4883,-0.9766
32023.0000,-0.1558,0.9370,0.4585,0.3052,-0.7324,-0.4883
32024.0000,-0.1538,0.9370,0.4624,0.0000,-0.7935,-0.2441
32025.0000,-0.1499,0.9375,0.4604,-0.2441,-0.6714,0.0000
32026.0000,-0.1445,0.9370,0.4624,-0.4272,-0.4883,0.2441
32027.0000,-0.1440,0.9341,0.4600,-0.5493,-0.3662,0.3052
32028.0000,-0.1436,0.9326,0.4609,-0.8545,-0.1221,0.3662
32029.0000,-0.1440,0.9292,0.4629,-1.0376,0.3052,0.9155
32030.0000,-0.1445,0.9297,0.4624,-0.9155,0.5493,1.4648
32031.0000,-0.1538,0.9272,0.4688,-0.9766,0.6714,2.3193
32032.0000,-0.1562,0.9282,0.4702,-0.6714,0.6714,4.2114
32033.0000,-0.1567,0.9287,0.4702,-0.4272,0.7324,5.4321
32034.0000,-0.1572,0.9282,0.4688,-0.6104,0.4883,6.4087
32035.0000,-0.1543,0.9282,0.4683,-0.6104,0.3052,7.4463
32036.0000,-0.1489,0.9307,0.4697,-0.6714,0.3052,8.0566
32037.0000,-0.1455,0.9316,0.4702,-0.8545,0.3662,8.3008
32038.0000,-0.1377,0.9370,0.4683,-0.5493,0.8545,8.3618
32039.0000,-0.1372,0.9380,0.4717,-0.6104,1.0986,8.2397
32040.0000,-0.1357,0.9399,0.4746,-0.7935,1.4038,7.9346
32041.0000,-0.1392,0.9360,0.4702,-1.2817,1.4648,7.6294
32042.0000,-0.1387,0.9321,0.4678,-1.0986,1.5869,7.8735
32043.0000,-0.1426,0.9263,0.4697,-1.3428,1.7700,8.4229
