timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
39197.0000,-0.0356,0.9404,0.5039,0.0000,3.1738,-3.7231
39198.0000,-0.0347,0.9419,0.5020,-0.1221,3.6621,-4.3945
39199.0000,-0.0381,0.9429,0.4966,-0.3662,4.2114,-5.1880
39200.0000,-0.0454,0.9404,0.4980,-0.6104,4.6997,-5.8594
39201.0000,-0.0498,0.9448,0.4976,-0.7935,5.0659,-6.2866
39202.0000,-0.0547,0.9453,0.4956,-1.1597,5.1880,-6.6528
39203.0000,-0.0581,0.9414,0.4985,-1.4648,5.0659,-6.5918
39204.0000,-0.0620,0.9365,0.5010,-1.6479,4.8828,-6.2256
39205.0000,-0.0635,0.9336,0.5010,-1.8311,4.3335,-5.4932
39206.0000,-0.0640,0.9307,0.4990,-1.8311,3.9673,-5.1880
39207.0000,-0.0659,0.9268,0.5010,-1.6479,3.5400,-4.7607
39208.0000,-0.0679,0.9248,0.5015,-1.3428,2.9297,-4.2725
39209.0000,-0.0620,0.9238,0.5005,-0.9155,2.5635,-4.0283
39210.0000,-0.0591,0.9209,0.5000,-0.4272,2.2583,-3.8452
39211.0000,-0.0562,0.9272,0.5010,0.1221,2.0142,-3.6621
39212.0000,-0.0557,0.9302,0.5024,0.3052,1.9531,-3.4180
39213.0000,-0.0566,0.9316,0.5024,0.3662,2.0752,-3.5400
39214.0000,-0.0601,0.9351,0.5005,0.3052,2.1362,-3.7231
39215.0000,-0.0630,0.9331,0.5000,0.3662,2.1973,-3.7231
39216.0000,-0.0664,0.9390,0.4971,0.2441,2.3193,-3.9062
39217.0000,-0.0698,0.9395,0.4971,0.0000,2.1362,-3.6011
39218.0000,-0.0688,0.9375,0.4951,-0.2441,1.8311,-3.0518
39219.0000,-0.0684,0.9346,0.4937,-0.3052,1.4648,-2.6245
39220.0000,-0.0679,0.9331,0.4951,-0.3662,1.0986,-2.1973
39221.0000,-0.0659,0.9316,0.4951,-0.1831,0.7935,-2.0142
39222.0000,-0.0669,0.9292,0.4946,-0.0610,0.6104,-1.8311
39223.0000,-0.0610,0.9307,0.4937,0.1221,0.4272,-2.1362
39224.0000,-0.0566,0.9341,0.4937,0.2441,0.3662,-2.2583
39225.0000,-0.0542,0.9336,0.4951,0.2441,0.4883,-2.6855
39226.0000,-0.0527,0.9355,0.4937,0.1221,0.7935,-3.3569
39227.0000,-0.0532,0.9380,0.4932,0.1221,1.1597,-3.8452
39228.0000,-0.0537,0.9409,0.4946,0.0610,1.6479,-4.2114
39229.0000,-0.0615,0.9429,0.4971,-0.1831,1.9531,-4.5166
39230.0000,-0.0649,0.9365,0.4917,-0.6104,2.1973,-4.5776
39231.0000,-0.0645,0.9321,0.4873,-0.9155,2.3193,-4.5166
39232.0000,-0.0640,0.9336,0.4863,-0.9155,2.3193,-4.3335
39233.0000,-0.0635,0.9360,0.4897,-1.0986,2.3804,-4.0894
39234.0000,-0.0645,0.9375,0.4893,-1.2817,2.5024,-3.6621
39235.0000,-0.0635,0.9482,0.4897,-1.5869,2.5024,-3.1738
39236.0000,-0.0659,0.9502,0.4932,-2.0142,2.7466,-2.5024
39237.0000,-0.0698,0.9473,0.4912,-2.4414,2.6855,-1.6479
39238.0000,-0.0752,0.9395,0.4932,-2.8687,2.5024,-0.5493
39239.0000,-0.0776,0.9375,0.4937,-3.0518,2.4414,0.0610
39240.0000,-0.0820,0.9351,0.4902,-3.0518,2.2583,0.4883
39241.0000,-0.0859,0.9351,0.4937,-2.8687,2.1362,0.7324
39242.0000,-0.0908,0.9380,0.4937,-2.8687,1.7700,1.0376
39243.0000,-0.0977,0.9380,0.4907,-3.2349,1.3428,1.8311
39244.0000,-0.1060,0.9385,0.4951,-3.7842,0.3662,3.9673
39245.0000,-0.1167,0.9341,0.4961,-4.0283,-0.5493,6.7139
39246.0000,-0.1289,0.9341,0.5000,-4.2114,-1.8921,10.2539
39247.0000,-0.1343,0.9331,0.5024,-4.3335,-4.2725,15.4419
39248.0000,-0.1416,0.9346,0.5083,-4.3945,-6.0425,19.2871
39249.0000,-0.1431,0.9331,0.5063,-4.3945,-8.7280,24.5972
39250.0000,-0.1479,0.9292,0.5063,-4.6387,-11.0474,29.2358
39251.0000,-0.1538,0.9277,0.5078,-4.8218,-13.3667,34.8511
39252.0000,-0.1538,0.9155,0.5059,-4.9438,-16.9678,43.8232
39253.0000,-0.1543,0.8994,0.5034,-4.8828,-19.8364,51.2695
39254.0000,-0.1519,0.8931,0.5063,-4.5166,-23.0103,58.5938
39255.0000,-0.1343,0.8843,0.5112,-3.5400,-27.2217,67.8101
39256.0000,-0.1270,0.8633,0.5044,-2.9297,-29.9072,74.0356
39257.0000,-0.1313,0.8472,0.4912,-2.0752,-32.6538,80.7495
39258.0000,-0.1436,0.8325,0.4985,-0.6714,-37.1704,93.2007
39259.0000,-0.1475,0.8306,0.4932,0.2441,-41.5649,106.0181
39260.0000,-0.1216,0.8174,0.4829,0.9155,-46.5088,120.4224
39261.0000,-0.0771,0.7915,0.4785,1.7090,-52.9785,138.6719
39262.0000,-0.0620,0.7729,0.4644,2.2583,-57.1289,152.2827
39263.0000,-0.0239,0.7656,0.4575,3.0518,-61.2183,165.1001
39264.0000,0.0605,0.7871,0.4590,3.9673,-65.4907,177.9785
39265.0000,0.1094,0.8032,0.4712,3.9062,-67.0776,184.2651
39266.0000,0.1431,0.7969,0.4697,3.2349,-67.7490,189.3311
39267.0000,0.1606,0.7617,0.4438,1.1597,-67.8711,195.9839
39268.0000,0.1836,0.7515,0.4365,-0.2441,-69.0918,201.1719
39269.0000,0.2285,0.7661,0.4526,-1.1597,-70.2515,203.9795
39270.0000,0.3125,0.7974,0.4800,-1.8921,-70.8618,201.3550
39271.0000,0.3857,0.8179,0.4902,-1.5869,-69.5190,191.5283
39272.0000,0.4639,0.8320,0.5010,-0.5493,-67.2607,174.9878
39273.0000,0.5693,0.8408,0.5132,2.0142,-62.6831,147.5830
39274.0000,0.6348,0.8506,0.5161,4.3335,-58.4717,127.5024
39275.0000,0.6880,0.8677,0.5063,6.2256,-54.3823,111.7554
39276.0000,0.7690,0.8716,0.4912,7.1411,-48.7061,100.4639
39277.0000,0.8208,0.8540,0.4727,7.3242,-43.1519,96.6797
39278.0000,0.8540,0.8286,0.4541,7.0801,-35.8276,94.9097
39279.0000,0.8306,0.8174,0.4380,6.8970,-26.1230,91.6138
39280.0000,0.7905,0.8213,0.4380,6.4087,-21.1792,86.6699
39281.0000,0.7573,0.8296,0.4321,4.7607,-18.9819,79.8340
39282.0000,0.7368,0.8091,0.4258,1.8311,-18.0054,71.2280
39283.0000,0.7402,0.7720,0.4160,-0.3662,-17.4561,66.7725
39284.0000,0.7534,0.7344,0.4111,-1.9531,-16.7236,63.3545
39285.0000,0.7759,0.7036,0.4087,-2.8076,-15.8691,58.5327
39286.0000,0.7861,0.6860,0.4136,-2.7466,-15.3809,54.1992
39287.0000,0.7930,0.6831,0.4146,-2.6245,-14.5264,49.1333
39288.0000,0.8013,0.6782,0.4185,-2.4414,-13.4277,41.8091
39289.0000,0.8032,0.6772,0.4170,-2.1973,-12.1460,36.4990
39290.0000,0.8022,0.6719,0.4170,-1.8921,-10.8643,31.3110
39291.0000,0.7939,0.6675,0.4150,-1.4648,-9.8267,24.9634
39292.0000,0.7876,0.6616,0.4136,-1.4038,-9.4604,21.1182
39293.0000,0.7803,0.6543,0.4053,-1.0376,-8.7891,18.0664
39294.0000,0.7749,0.6587,0.4062,-0.5493,-8.4839,14.0991
39295.0000,0.7739,0.6689,0.4092,-0.1221,-8.5449,11.3525
39296.0000,0.7837,0.6802,0.4077,-0.3052,-8.2397,9.3994
39297.0000,0.7935,0.6870,0.4067,-0.4272,-6.8359,6.9580
39298.0000,0.7915,0.6904,0.4087,-0.4883,-5.4932,5.1880
39299.0000,0.7856,0.6899,0.4033,-0.3052,-4.2725,3.6621
39300.0000,0.7720,0.6875,0.4053,-0.4883,-2.9297,1.9531
39301.0000,0.7632,0.6875,0.3994,-0.3662,-2.3804,1.0376
39302.0000,0.7539,0.6816,0.3979,-0.3052,-1.8921,0.5493
39303.0000,0.7510,0.6797,0.3877,-0.3052,-1.5259,-0.2441
39304.0000,0.7485,0.6826,0.3911,-0.4272,-1.0986,-0.7324
39305.0000,0.7505,0.6831,0.3901,-0.3662,-0.6104,-1.1597
39306.0000,0.7505,0.6875,0.3911,-0.5493,0.3052,-1.7700
39307.0000,0.7466,0.6880,0.3926,-0.6714,0.7935,-2.2583
39308.0000,0.7432,0.6870,0.3940,-0.7935,1.2817,-2.6855
39309.0000,0.7339,0.6782,0.3945,-0.8545,1.5259,-2.6855
39310.0000,0.7349,0.6777,0.3955,-0.7324,1.6479,-2.3193
39311.0000,0.7373,0.6816,0.3999,-0.4883,1.6479,-2.1362
39312.0000,0.7397,0.6948,0.4004,-0.6104,2.0752,-1.9531
39313.0000,0.7363,0.6992,0.4038,-0.9155,2.4414,-1.8311
39314.0000,0.7324,0.6934,0.3994,-1.1597,2.7466,-1.9531
39315.0000,0.7197,0.6885,0.4053,-1.4038,2.6855,-2.0752
39316.0000,0.7144,0.6821,0.4072,-1.4038,2.2583,-1.5869
39317.0000,0.7109,0.6826,0.4116,-1.4648,1.6479,-1.0986
39318.0000,0.7090,0.6792,0.4106,-1.5869,1.2817,-0.7935
39319.0000,0.7046,0.6772,0.4121,-1.7090,0.9766,-0.7324
39320.0000,0.7017,0.6709,0.4131,-1.7090,0.6104,-0.7324
39321.0000,0.7026,0.6719,0.4146,-1.4038,0.0000,-0.4272
39322.0000,0.7095,0.6763,0.4141,-1.1597,-0.2441,0.0000
39323.0000,0.7139,0.6821,0.4131,-0.9155,-0.1831,0.6714
39324.0000,0.7202,0.6895,0.4155,-1.1597,0.1831,0.7324
39325.0000,0.7202,0.6943,0.4219,-1.4038,0.5493,0.5493
39326.0000,0.7212,0.6929,0.4243,-1.4648,0.7324,0.2441
39327.0000,0.7207,0.6914,0.4287,-1.4648,1.0986,0.0000
39328.0000,0.7139,0.6909,0.4331,-1.3428,1.2817,-0.3052
39329.0000,0.7085,0.6895,0.4302,-1.0986,1.4648,-0.7324
39330.0000,0.7109,0.6895,0.4302,-0.9766,1.2207,-0.7324
39331.0000,0.7158,0.6880,0.4307,-0.9155,1.0986,-0.7935
39332.0000,0.7163,0.6831,0.4268,-0.9155,1.0986,-0.6104
39333.0000,0.7158,0.6865,0.4292,-0.9155,1.3428,-0.3662
39334.0000,0.7158,0.6880,0.4282,-0.8545,1.2817,-0.1221
39335.0000,0.7153,0.6914,0.4233,-0.9155,1.0986,0.0610
39336.0000,0.7144,0.6890,0.4243,-1.0376,1.0986,0.1831
39337.0000,0.7158,0.6880,0.4248,-1.0986,0.9766,0.3052
