timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
41706.0000,-0.1484,0.9189,0.4629,-2.8076,-0.2441,-11.4136
41707.0000,-0.1538,0.9204,0.4629,-2.2583,0.0610,-10.8032
41708.0000,-0.1528,0.9214,0.4644,-1.8311,0.4272,-10.3149
41709.0000,-0.1548,0.9248,0.4678,-1.1597,1.0376,-9.3994
41710.0000,-0.1562,0.9224,0.4663,-0.9155,1.4648,-8.9111
41711.0000,-0.1558,0.9214,0.4634,-0.6104,1.7700,-8.3618
41712.0000,-0.1533,0.9272,0.4653,-0.0610,2.4414,-7.8735
41713.0000,-0.1533,0.9365,0.4673,0.0610,2.8687,-7.3242
41714.0000,-0.1514,0.9355,0.4707,-0.2441,3.2349,-6.8359
41715.0000,-0.1538,0.9287,0.4644,-0.4883,3.6621,-6.2866
41716.0000,-0.1548,0.9229,0.4668,-0.4272,4.2114,-5.9814
41717.0000,-0.1621,0.9199,0.4653,-0.4272,4.6997,-5.7373
41718.0000,-0.1714,0.9194,0.4648,-0.1221,5.0049,-5.7373
41719.0000,-0.1802,0.9268,0.4648,0.1221,5.1270,-5.7373
41720.0000,-0.1875,0.9307,0.4653,0.3662,4.9438,-5.4321
41721.0000,-0.1914,0.9321,0.4653,0.3662,4.3335,-4.3945
41722.0000,-0.1948,0.9268,0.4624,0.2441,3.6621,-3.4180
41723.0000,-0.1953,0.9272,0.4609,0.2441,3.0518,-2.3804
41724.0000,-0.1953,0.9282,0.4624,0.3052,2.0142,-1.4648
41725.0000,-0.1924,0.9277,0.4604,0.2441,1.2817,-0.9766
41726.0000,-0.1870,0.9268,0.4624,0.2441,0.6104,-0.6104
41727.0000,-0.1787,0.9268,0.4634,0.5493,-0.0610,-0.6714
41728.0000,-0.1738,0.9248,0.4614,0.7324,-0.3662,-0.7935
41729.0000,-0.1689,0.9243,0.4619,0.7324,-0.3662,-1.0986
41730.0000,-0.1646,0.9282,0.4609,0.9155,-0.3662,-1.8921
41731.0000,-0.1636,0.9297,0.4619,0.9155,-0.2441,-2.3804
41732.0000,-0.1621,0.9326,0.4551,0.7935,-0.1221,-3.1128
41733.0000,-0.1660,0.9341,0.4575,0.4883,0.2441,-3.9062
41734.0000,-0.1704,0.9346,0.4600,0.3052,0.3662,-4.6387
41735.0000,-0.1733,0.9341,0.4556,0.1831,0.4883,-5.0049
41736.0000,-0.1704,0.9336,0.4570,-0.1221,0.3052,-5.3711
41737.0000,-0.1699,0.9316,0.4546,-0.3052,0.4272,-5.5542
41738.0000,-0.1694,0.9316,0.4551,-0.3662,0.5493,-5.6763
41739.0000,-0.1694,0.9341,0.4556,-0.5493,0.7324,-5.4321
41740.0000,-0.1680,0.9331,0.4556,-0.7324,0.7324,-5.3101
41741.0000,-0.1680,0.9331,0.4580,-0.9155,0.9155,-5.1880
41742.0000,-0.1733,0.9297,0.4551,-1.1597,1.0986,-5.2490
41743.0000,-0.1748,0.9292,0.4580,-1.2207,1.2207,-5.3101
41744.0000,-0.1792,0.9316,0.4590,-1.3428,1.3428,-5.4321
41745.0000,-0.1816,0.9272,0.4580,-1.4648,1.4648,-5.3101
41746.0000,-0.1812,0.9268,0.4614,-1.4648,1.5259,-5.0049
41747.0000,-0.1821,0.9248,0.4600,-1.3428,1.4648,-4.6997
41748.0000,-0.1812,0.9238,0.4619,-1.0986,1.5869,-4.0283
41749.0000,-0.1821,0.9263,0.4614,-1.0376,1.5259,-3.6011
41750.0000,-0.1792,0.9277,0.4600,-1.0376,1.5259,-3.2349
41751.0000,-0.1772,0.9214,0.4629,-0.8545,1.5259,-2.6855
41752.0000,-0.1748,0.9253,0.4634,-0.7935,1.7700,-2.1362
41753.0000,-0.1738,0.9233,0.4648,-0.8545,2.0142,-2.0752
41754.0000,-0.1787,0.9224,0.4629,-0.7324,2.3193,-2.2583
41755.0000,-0.1860,0.9214,0.4648,-0.5493,2.7466,-2.3804
41756.0000,-0.1943,0.9243,0.4644,-0.3662,2.8076,-2.5024
41757.0000,-0.2007,0.9297,0.4624,-0.4883,2.4414,-2.2583
41758.0000,-0.2046,0.9307,0.4644,-0.5493,2.0142,-1.6479
41759.0000,-0.2051,0.9243,0.4595,-0.8545,1.2817,-0.3662
41760.0000,-0.2065,0.9233,0.4624,-0.9155,0.7935,0.4883
41761.0000,-0.2041,0.9277,0.4639,-0.9766,0.2441,1.4038
41762.0000,-0.1968,0.9258,0.4697,-0.9766,-0.4883,2.3193
41763.0000,-0.1919,0.9243,0.4683,-1.0376,-0.6714,2.7466
41764.0000,-0.1880,0.9165,0.4673,-0.6714,-0.7935,2.8687
41765.0000,-0.1948,0.9111,0.4653,-0.0610,-0.6714,3.3569
41766.0000,-0.2036,0.9082,0.4639,0.4883,-0.8545,4.3335
41767.0000,-0.2202,0.9087,0.4585,0.9155,-1.2817,6.7139
41768.0000,-0.2397,0.9194,0.4634,1.4648,-2.4414,11.9019
41769.0000,-0.2510,0.9253,0.4595,1.8311,-3.9062,16.8457
41770.0000,-0.2578,0.9272,0.4624,1.8921,-5.4321,21.8506
41771.0000,-0.2812,0.9165,0.4624,1.8311,-7.6294,30.1514
41772.0000,-0.3291,0.9028,0.4556,1.6479,-9.7656,39.7339
41773.0000,-0.3921,0.8838,0.4521,1.6479,-13.0615,56.0913
41774.0000,-0.4883,0.8853,0.4414,1.7700,-19.6533,89.2334
