timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
35087.0000,-0.2578,0.9077,0.4482,-1.6479,0.7935,-0.5493
35088.0000,-0.2544,0.9062,0.4487,-1.5259,0.7324,-0.1831
35089.0000,-0.2490,0.9053,0.4473,-1.3428,0.7935,-0.2441
35090.0000,-0.2466,0.9043,0.4492,-1.0986,0.8545,-0.4883
35091.0000,-0.2456,0.8999,0.4492,-0.7935,1.2817,-0.9155
35092.0000,-0.2485,0.8955,0.4463,-0.3662,1.4648,-1.4648
35093.0000,-0.2568,0.8994,0.4434,0.1221,1.6479,-1.9531
35094.0000,-0.2627,0.9155,0.4492,0.4272,1.7700,-2.7466
35095.0000,-0.2690,0.9219,0.4473,0.1831,1.4648,-2.8687
35096.0000,-0.2681,0.9150,0.4463,-0.1221,1.0376,-2.5635
35097.0000,-0.2695,0.9067,0.4419,-0.1221,0.1831,-1.9531
35098.0000,-0.2690,0.9048,0.4419,0.1221,0.0000,-1.4648
35099.0000,-0.2676,0.9043,0.4453,0.3662,-0.4272,-0.9766
35100.0000,-0.2598,0.9028,0.4443,0.9155,-0.9766,-0.6714
35101.0000,-0.2534,0.9067,0.4438,1.2207,-1.1597,-0.5493
35102.0000,-0.2505,0.9077,0.4429,1.4648,-1.2817,-0.4883
35103.0000,-0.2461,0.9116,0.4390,1.5869,-1.0986,-0.9155
35104.0000,-0.2480,0.9097,0.4419,1.4648,-0.7935,-1.2817
35105.0000,-0.2539,0.9131,0.4380,1.2207,-0.5493,-1.8311
35106.0000,-0.2637,0.9180,0.4380,1.0986,-0.1831,-2.4414
35107.0000,-0.2671,0.9165,0.4414,0.7935,-0.3662,-2.6245
35108.0000,-0.2705,0.9146,0.4385,0.6714,-0.6104,-2.3804
35109.0000,-0.2681,0.9131,0.4370,0.4883,-0.9766,-1.5869
35110.0000,-0.2661,0.9116,0.4404,0.4883,-1.0986,-0.9766
35111.0000,-0.2651,0.9116,0.4399,0.4272,-1.4038,-0.4272
35112.0000,-0.2607,0.9126,0.4399,0.6714,-1.5259,0.1831
35113.0000,-0.2539,0.9121,0.4360,0.7324,-1.5259,0.3052
35114.0000,-0.2510,0.9111,0.4404,0.7935,-1.4648,0.3052
35115.0000,-0.2461,0.9131,0.4390,0.6714,-1.0986,0.1831
35116.0000,-0.2417,0.9141,0.4380,0.4883,-0.7324,-0.0610
35117.0000,-0.2437,0.9121,0.4395,0.5493,-0.4883,-0.6104
35118.0000,-0.2466,0.9121,0.4385,0.3662,0.0610,-1.1597
35119.0000,-0.2471,0.9141,0.4360,0.4272,0.3052,-1.5869
35120.0000,-0.2520,0.9141,0.4414,0.3662,0.4272,-1.8921
35121.0000,-0.2510,0.9131,0.4365,-0.0610,0.5493,-2.0752
35122.0000,-0.2490,0.9111,0.4380,0.0000,0.5493,-2.0142
35123.0000,-0.2510,0.9111,0.4370,-0.0610,0.7324,-2.1362
35124.0000,-0.2461,0.9131,0.4404,-0.3052,0.8545,-2.0752
35125.0000,-0.2451,0.9126,0.4395,-0.1831,1.2207,-2.2583
35126.0000,-0.2466,0.9116,0.4370,-0.3052,1.5259,-2.5635
35127.0000,-0.2510,0.9146,0.4409,-0.4272,2.0142,-2.8076
35128.0000,-0.2593,0.9155,0.4390,-0.5493,2.1973,-3.1738
35129.0000,-0.2627,0.9189,0.4424,-0.5493,2.1362,-3.1738
35130.0000,-0.2666,0.9185,0.4390,-0.9155,1.9531,-2.9907
35131.0000,-0.2715,0.9175,0.4419,-1.0986,1.6479,-2.3193
35132.0000,-0.2686,0.9131,0.4404,-1.2817,1.4648,-1.5869
35133.0000,-0.2681,0.9121,0.4424,-1.2817,1.0376,-0.9155
35134.0000,-0.2681,0.9116,0.4414,-1.2207,0.7324,-0.4883
35135.0000,-0.2651,0.9126,0.4414,-1.2817,0.6104,-0.1221
35136.0000,-0.2588,0.9087,0.4395,-1.3428,0.3662,-0.1831
35137.0000,-0.2544,0.9077,0.4414,-1.2207,0.4272,-0.1831
35138.0000,-0.2568,0.9072,0.4404,-1.2207,0.6104,-0.2441
35139.0000,-0.2593,0.9106,0.4453,-1.0986,0.7324,-0.6104
35140.0000,-0.2637,0.9116,0.4478,-0.7935,0.7324,-0.8545
35141.0000,-0.2651,0.9116,0.4473,-0.7935,0.7324,-0.7324
35142.0000,-0.2593,0.9141,0.4424,-1.0376,0.7324,-0.1831
35143.0000,-0.2588,0.9155,0.4458,-1.2207,0.7324,0.2441
35144.0000,-0.2583,0.9092,0.4458,-1.4648,0.7935,0.6104
35145.0000,-0.2549,0.9102,0.4463,-1.4648,0.7324,0.8545
35146.0000,-0.2559,0.9131,0.4492,-1.4648,0.8545,0.8545
35147.0000,-0.2544,0.9087,0.4492,-1.6479,0.8545,0.9766
35148.0000,-0.2661,0.8984,0.4434,-1.5259,1.2207,1.0376
35149.0000,-0.2754,0.8989,0.4448,-1.1597,1.1597,1.6479
35150.0000,-0.2866,0.9062,0.4453,-0.6104,0.8545,2.5024
35151.0000,-0.2930,0.9126,0.4448,0.0000,0.1221,4.4556
35152.0000,-0.2964,0.9155,0.4438,0.1831,-0.7935,6.1646
35153.0000,-0.2954,0.9209,0.4419,0.0000,-1.8311,8.1787
35154.0000,-0.2915,0.9258,0.4409,-0.3662,-2.5024,9.7046
35155.0000,-0.2900,0.9224,0.4390,-0.7935,-3.1738,10.8032
35156.0000,-0.3105,0.9136,0.4316,-1.4038,-4.0283,13.8550
35157.0000,-0.3413,0.9131,0.4326,-1.7090,-5.2490,18.9209
35158.0000,-0.3755,0.9209,0.4331,-1.6479,-7.5073,27.5269
35159.0000,-0.4097,0.9429,0.4478,-1.6479,-12.0239,44.6777
35160.0000,-0.4019,0.9453,0.4487,-1.9531,-16.4185,58.4106
35161.0000,-0.3760,0.9287,0.4478,-2.3193,-20.4468,69.3970
35162.0000,-0.3242,0.9238,0.4355,-2.5635,-23.9868,77.3315
35163.0000,-0.2954,0.9326,0.4414,-2.9297,-24.9634,79.8950
35164.0000,-0.2739,0.9302,0.4419,-3.1738,-25.6958,82.3975
35165.0000,-0.2910,0.9189,0.4395,-3.5400,-26.9775,89.7827
35166.0000,-0.3096,0.9131,0.4443,-3.4790,-28.9917,100.0977
35167.0000,-0.3086,0.9058,0.4380,-3.3569,-32.4707,113.8306
35168.0000,-0.2573,0.8926,0.4390,-2.7466,-38.4521,133.4229
35169.0000,-0.1836,0.8867,0.4478,-2.6855,-42.2363,145.0806
35170.0000,-0.1025,0.8911,0.4385,-2.8687,-43.8843,152.0996
35171.0000,-0.0317,0.8770,0.4316,-3.7231,-42.1753,154.0527
35172.0000,-0.0151,0.8647,0.4214,-4.2114,-39.6118,152.1606
35173.0000,-0.0098,0.8545,0.4238,-4.8218,-37.7197,150.0854
35174.0000,-0.0244,0.8311,0.4248,-5.1270,-36.0718,150.6348
35175.0000,-0.0254,0.8184,0.4175,-5.6152,-36.7432,155.3345
35176.0000,0.0225,0.8135,0.4180,-5.9204,-38.5742,161.3159
35177.0000,0.1172,0.8223,0.4292,-6.2256,-39.5508,166.3818
35178.0000,0.1748,0.8452,0.4385,-6.4087,-37.7808,166.3208
35179.0000,0.2231,0.8779,0.4517,-6.2256,-34.6680,162.2314
35180.0000,0.2749,0.8989,0.4702,-6.0425,-29.8462,152.5269
35181.0000,0.2900,0.8994,0.4614,-6.3477,-26.4893,144.4702
35182.0000,0.2920,0.8916,0.4526,-7.0801,-23.8037,139.2212
35183.0000,0.3174,0.8481,0.4424,-8.0566,-21.8506,136.1694
35184.0000,0.3379,0.8296,0.4399,-8.1787,-20.5688,134.5215
35185.0000,0.3511,0.8394,0.4468,-7.8125,-19.2261,132.9956
35186.0000,0.3770,0.8887,0.4741,-6.3477,-18.5547,128.7842
35187.0000,0.4146,0.9268,0.4985,-5.4932,-19.1650,122.9858
35188.0000,0.4531,0.9312,0.5063,-5.4321,-19.5923,116.2720
35189.0000,0.5015,0.9062,0.4893,-5.5542,-19.1040,107.6660
35190.0000,0.5283,0.8867,0.4785,-5.7983,-18.1274,101.6846
35191.0000,0.5479,0.8696,0.4736,-6.1035,-16.7236,96.1304
35192.0000,0.5400,0.8423,0.4629,-6.8359,-14.6484,90.0879
35193.0000,0.5308,0.8213,0.4619,-7.2632,-13.7329,87.0361
35194.0000,0.5239,0.8081,0.4619,-7.3242,-13.5498,84.7168
35195.0000,0.5312,0.8037,0.4688,-7.1411,-14.1602,81.7871
35196.0000,0.5405,0.8052,0.4692,-7.2021,-15.0757,79.3457
35197.0000,0.5483,0.7925,0.4731,-7.3242,-15.9302,76.7822
35198.0000,0.5557,0.7690,0.4702,-7.3242,-17.2729,73.5474
35199.0000,0.5640,0.7622,0.4668,-7.0190,-18.6157,70.9229
35200.0000,0.5786,0.7661,0.4673,-6.3477,-20.0806,68.1763
35201.0000,0.6035,0.7646,0.4688,-5.8594,-21.9727,63.7817
35202.0000,0.6255,0.7622,0.4639,-5.9204,-22.7051,60.3027
35203.0000,0.6333,0.7520,0.4624,-5.9204,-23.2544,57.4951
35204.0000,0.6582,0.7466,0.4551,-6.3477,-23.6816,54.3213
35205.0000,0.6792,0.7388,0.4541,-6.7139,-23.3765,52.4902
35206.0000,0.6953,0.7344,0.4492,-6.8359,-22.5830,50.4150
35207.0000,0.7124,0.7212,0.4551,-7.0801,-20.9351,47.4243
35208.0000,0.7183,0.7139,0.4546,-6.7139,-19.6533,44.9219
35209.0000,0.7231,0.7090,0.4570,-6.4697,-18.5547,41.9922
35210.0000,0.7236,0.7031,0.4531,-5.6152,-16.9067,38.7573
35211.0000,0.7217,0.7061,0.4507,-4.9438,-16.2964,36.6211
35212.0000,0.7236,0.7119,0.4507,-5.0049,-16.0522,34.3018
35213.0000,0.7329,0.7095,0.4434,-5.2490,-15.6250,32.2266
35214.0000,0.7471,0.6987,0.4365,-5.7373,-15.1367,30.8228
35215.0000,0.7573,0.6860,0.4321,-6.1035,-14.0991,28.9307
35216.0000,0.7646,0.6689,0.4336,-6.1646,-12.6343,26.0620
35217.0000,0.7666,0.6582,0.4399,-5.7373,-11.7188,24.3530
35218.0000,0.7720,0.6533,0.4385,-5.0659,-10.6201,23.0713
35219.0000,0.7705,0.6484,0.4390,-3.9673,-9.0332,21.3013
35220.0000,0.7729,0.6538,0.4458,-3.3569,-8.1177,20.1416
35221.0000,0.7690,0.6611,0.4453,-2.9297,-7.0801,18.6157
35222.0000,0.7534,0.6577,0.4438,-2.6245,-6.0425,16.4185
35223.0000,0.7441,0.6631,0.4443,-2.4414,-5.7983,14.9536
35224.0000,0.7388,0.6704,0.4473,-2.3804,-5.9204,13.6719
35225.0000,0.7305,0.6689,0.4473,-2.4414,-6.3477,11.9629
35226.0000,0.7275,0.6606,0.4458,-2.3804,-7.0801,10.7422
35227.0000,0.7266,0.6484,0.4438,-2.0752,-7.8125,9.8877
35228.0000,0.7324,0.6436,0.4429,-1.0986,-8.9722,9.2163
35229.0000,0.7446,0.6479,0.4414,-0.3052,-9.4604,9.0942
35230.0000,0.7603,0.6538,0.4409,0.1831,-9.5825,8.8501
35231.0000,0.7671,0.6577,0.4346,0.4272,-8.4839,8.6670
35232.0000,0.7720,0.6567,0.4316,0.3662,-7.3242,8.4229
35233.0000,0.7715,0.6577,0.4248,0.1831,-6.2866,7.9956
35234.0000,0.7666,0.6587,0.4219,0.1831,-5.0049,6.8970
35235.0000,0.7617,0.6577,0.4214,0.3662,-4.2114,6.4697
35236.0000,0.7607,0.6567,0.4258,-0.2441,-3.9062,5.8594
35237.0000,0.7559,0.6567,0.4238,0.0610,-3.2959,4.8218
35238.0000,0.7529,0.6543,0.4277,-0.1221,-3.1738,4.2725
35239.0000,0.7500,0.6504,0.4263,-0.3052,-3.0518,4.0283
35240.0000,0.7500,0.6445,0.4258,-0.1221,-2.8687,3.9062
35241.0000,0.7534,0.6479,0.4233,-0.2441,-2.8076,3.8452
35242.0000,0.7563,0.6528,0.4238,0.3662,-2.5635,3.6621
35243.0000,0.7598,0.6548,0.4209,0.3662,-2.3193,3.0518
35244.0000,0.7603,0.6611,0.4243,0.9155,-2.1973,2.4414
35245.0000,0.7646,0.6621,0.4233,0.9155,-2.0752,1.9531
35246.0000,0.7666,0.6641,0.4189,0.6714,-1.5869,1.0376
35247.0000,0.7656,0.6660,0.4229,0.6104,-1.2207,0.6714
35248.0000,0.7646,0.6709,0.4238,0.0610,-0.6104,0.4272
35249.0000,0.7578,0.6689,0.4268,-0.3662,-0.1221,0.0000
35250.0000,0.7490,0.6553,0.4248,-0.4272,0.1831,-0.4883
35251.0000,0.7402,0.6514,0.4253,-0.1831,-0.1221,-0.6104
35252.0000,0.7397,0.6567,0.4209,0.4272,-0.6714,-1.2207
35253.0000,0.7432,0.6611,0.4160,0.4272,-0.8545,-1.4038
35254.0000,0.7393,0.6641,0.4082,0.6104,-0.8545,-1.8311
35255.0000,0.7407,0.6528,0.4131,-0.3052,-1.0986,-1.5259
35256.0000,0.7358,0.6479,0.4097,0.2441,-0.9766,-1.2817
35257.0000,0.7339,0.6533,0.4043,0.3662,-1.4648,-0.8545
35258.0000,0.7432,0.6567,0.4053,-0.0610,-2.1362,-0.5493
35259.0000,0.7515,0.6553,0.4077,-0.2441,-2.0752,-0.3662
35260.0000,0.7632,0.6538,0.4072,-0.6714,-1.7700,-0.3662
35261.0000,0.7646,0.6567,0.4067,-0.9155,-1.2207,-0.9155
35262.0000,0.7656,0.6558,0.4038,-0.4883,-0.6104,-1.9531
35263.0000,0.7725,0.6528,0.4121,-1.0376,-0.3052,-2.9907
35264.0000,0.7769,0.6548,0.4175,-0.7324,0.3052,-3.6621
35265.0000,0.7759,0.6567,0.4189,-0.6714,0.8545,-4.5166
35266.0000,0.7817,0.6602,0.4165,-0.7935,1.7700,-5.4321
35267.0000,0.7788,0.6602,0.4199,-0.4883,2.6245,-6.0425
35268.0000,0.7695,0.6592,0.4199,-0.4272,3.4180,-6.9580
35269.0000,0.7632,0.6636,0.4253,-0.3052,4.0283,-7.9346
35270.0000,0.7568,0.6670,0.4224,-0.2441,4.4556,-8.4839
35271.0000,0.7563,0.6670,0.4170,-0.2441,4.7607,-9.0942
35272.0000,0.7568,0.6714,0.4224,-0.3662,5.3711,-9.7046
35273.0000,0.7534,0.6743,0.4175,-0.4272,5.9204,-10.0098
35274.0000,0.7500,0.6729,0.4224,-0.5493,6.3477,-10.2539
35275.0000,0.7437,0.6748,0.4238,-0.5493,7.0190,-10.4980
35276.0000,0.7349,0.6733,0.4229,-0.6714,7.5073,-10.6201
35277.0000,0.7246,0.6772,0.4268,-0.7935,7.5684,-10.7422
35278.0000,0.7197,0.6763,0.4258,-0.8545,7.3242,-10.6812
35279.0000,0.7158,0.6777,0.4287,-1.0376,7.2021,-10.6201
35280.0000,0.7139,0.6797,0.4292,-1.2817,7.0190,-10.7422
35281.0000,0.7163,0.6855,0.4297,-1.5259,6.6528,-10.9863
35282.0000,0.7212,0.6870,0.4341,-1.7090,6.4697,-11.2915
35283.0000,0.7251,0.6875,0.4365,-1.9531,6.4697,-11.8408
35284.0000,0.7280,0.6831,0.4365,-2.1362,6.3477,-13.0615
35285.0000,0.7344,0.6807,0.4380,-2.1362,6.4087,-14.2822
35286.0000,0.7402,0.6812,0.4438,-2.0752,6.4697,-15.8081
35287.0000,0.7520,0.6807,0.4429,-1.9531,6.8359,-17.9443
35288.0000,0.7588,0.6821,0.4468,-1.7090,7.4463,-19.9585
35289.0000,0.7612,0.6846,0.4487,-1.5259,8.3008,-21.9116
35290.0000,0.7627,0.6807,0.4497,-1.2817,9.8877,-24.3530
35291.0000,0.7549,0.6758,0.4502,-0.9766,10.9253,-26.6113
35292.0000,0.7461,0.6733,0.4507,-0.5493,11.7188,-28.9307
35293.0000,0.7388,0.6758,0.4551,0.1831,12.0850,-32.2876
35294.0000,0.7378,0.6870,0.4541,0.6104,12.2681,-35.2783
35295.0000,0.7397,0.6978,0.4561,0.7935,12.3901,-38.1470
35296.0000,0.7446,0.7007,0.4551,0.7935,12.9395,-42.1753
35297.0000,0.7437,0.7026,0.4517,0.8545,13.8550,-45.2881
35298.0000,0.7393,0.7026,0.4512,0.9155,14.7705,-48.3398
35299.0000,0.7266,0.7012,0.4556,1.0376,15.8691,-52.2461
35300.0000,0.7207,0.7119,0.4541,1.2817,16.4185,-54.6875
35301.0000,0.7144,0.7124,0.4546,1.9531,17.2119,-57.6172
35302.0000,0.6934,0.7129,0.4541,2.7466,18.0664,-61.5234
35303.0000,0.6777,0.7202,0.4561,3.3569,18.1274,-64.2700
