timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
149072.0000,-0.1475,0.7891,0.6387,16.7236,2.0752,-5.9204
149073.0000,-0.1416,0.7866,0.6362,16.6016,3.1128,-10.6812
149074.0000,-0.1421,0.7773,0.6284,16.5405,4.5776,-17.0288
149075.0000,-0.1382,0.7734,0.6196,16.6016,5.6152,-21.6675
149076.0000,-0.1372,0.7822,0.6128,16.9678,7.1411,-27.9541
149077.0000,-0.1328,0.7876,0.6045,16.9678,8.4229,-32.3486
149078.0000,-0.1299,0.7954,0.6064,16.5405,9.5825,-36.6211
149079.0000,-0.1265,0.8052,0.5991,15.8691,11.7188,-42.7856
149080.0000,-0.1211,0.8125,0.6016,15.0757,13.6108,-47.9736
149081.0000,-0.1211,0.8149,0.5981,13.8550,15.8081,-54.0771
149082.0000,-0.1328,0.8125,0.5972,12.3901,19.3481,-63.1714
149083.0000,-0.1768,0.7896,0.5908,11.5356,22.5220,-70.4346
149084.0000,-0.2500,0.7646,0.5913,11.6577,25.2075,-76.1108
149085.0000,-0.3535,0.7598,0.6074,13.2446,26.7334,-78.3081
149086.0000,-0.4316,0.7812,0.6216,15.0757,26.4893,-74.3408
149087.0000,-0.5103,0.8013,0.6260,16.8457,25.2075,-65.6738
149088.0000,-0.5913,0.8198,0.6206,18.2495,21.1182,-50.6592
149089.0000,-0.6284,0.8389,0.6152,18.8599,17.2119,-39.3066
149090.0000,-0.6543,0.8623,0.6152,18.9819,13.4888,-29.1138
149091.0000,-0.6543,0.8745,0.6074,18.0054,8.2397,-16.7236
149092.0000,-0.6338,0.8691,0.5991,16.7847,4.8218,-8.3618
149093.0000,-0.6016,0.8628,0.5957,15.6250,2.0752,-1.0986
149094.0000,-0.5610,0.8506,0.5811,14.2212,-0.1221,6.5308
149095.0000,-0.5371,0.8472,0.5747,13.1836,-1.1597,10.4370
149096.0000,-0.5186,0.8447,0.5679,12.2070,-1.8921,13.0005
149097.0000,-0.4893,0.8379,0.5605,10.9863,-3.0518,15.6250
149098.0000,-0.4683,0.8306,0.5605,10.3149,-3.7231,17.5171
149099.0000,-0.4507,0.8237,0.5562,9.8267,-4.0894,19.5312
149100.0000,-0.4346,0.8257,0.5547,9.2773,-4.8828,22.0337
149101.0000,-0.4253,0.8232,0.5532,8.8501,-5.3711,23.8037
149102.0000,-0.4092,0.8213,0.5503,8.3008,-5.9814,25.2075
149103.0000,-0.3872,0.8203,0.5469,7.2632,-6.4697,26.6113
149104.0000,-0.3726,0.8164,0.5483,6.4697,-6.5918,27.3438
149105.0000,-0.3574,0.8174,0.5513,5.8594,-6.7139,27.7710
149106.0000,-0.3384,0.8232,0.5513,4.9438,-6.5918,28.0762
149107.0000,-0.3296,0.8252,0.5508,4.3335,-6.4087,28.1372
149108.0000,-0.3198,0.8252,0.5537,3.7842,-6.4087,28.0762
149109.0000,-0.3076,0.8232,0.5537,2.9297,-6.2866,27.2827
149110.0000,-0.3013,0.8296,0.5518,2.3193,-6.2256,26.0620
149111.0000,-0.2881,0.8325,0.5508,1.6479,-5.8594,24.2310
149112.0000,-0.2808,0.8228,0.5493,0.8545,-5.8594,21.5454
149113.0000,-0.2671,0.8203,0.5503,0.3052,-5.9204,19.3481
149114.0000,-0.2495,0.8242,0.5513,0.0610,-5.3711,16.9067
149115.0000,-0.2388,0.8369,0.5552,-0.6104,-4.5166,13.3667
149116.0000,-0.2310,0.8428,0.5547,-1.3428,-3.8452,10.6812
149117.0000,-0.2202,0.8369,0.5532,-2.1362,-3.1128,8.0566
149118.0000,-0.2051,0.8325,0.5537,-2.8076,-1.5869,4.2725
149119.0000,-0.1987,0.8345,0.5513,-3.3569,-0.1221,1.0986
149120.0000,-0.1953,0.8369,0.5522,-3.9673,1.4038,-2.3804
149121.0000,-0.1919,0.8379,0.5532,-5.0659,3.4180,-6.7139
149122.0000,-0.1885,0.8359,0.5537,-5.9814,4.8828,-10.1318
149123.0000,-0.1919,0.8345,0.5547,-7.0801,6.4697,-13.3667
149124.0000,-0.1958,0.8315,0.5571,-8.2397,8.3008,-17.7002
149125.0000,-0.2012,0.8267,0.5571,-9.0942,9.5215,-20.8130
149126.0000,-0.2036,0.8237,0.5571,-9.8877,10.8643,-23.6206
149127.0000,-0.2090,0.8213,0.5605,-10.9253,12.5732,-27.7100
149128.0000,-0.2124,0.8188,0.5596,-11.7798,13.7939,-31.1279
149129.0000,-0.2183,0.8228,0.5581,-12.6343,15.1978,-34.9121
149130.0000,-0.2393,0.8149,0.5562,-13.6108,17.1509,-40.0391
149131.0000,-0.2715,0.8076,0.5596,-14.0381,18.6768,-43.0298
149132.0000,-0.3164,0.7998,0.5654,-14.0991,20.0195,-45.0439
149133.0000,-0.3970,0.7988,0.5771,-13.4888,20.7520,-45.5933
149134.0000,-0.4551,0.7964,0.5952,-12.6343,20.0806,-43.7012
149135.0000,-0.5049,0.7949,0.6040,-11.4136,18.7378,-39.6118
149136.0000,-0.5542,0.7964,0.6216,-9.3994,15.6860,-31.1279
149137.0000,-0.5801,0.7905,0.6216,-7.7515,13.0005,-23.4985
149138.0000,-0.5967,0.7920,0.6226,-6.1646,10.0098,-15.5029
149139.0000,-0.6079,0.7979,0.6299,-4.3945,6.1646,-5.0659
149140.0000,-0.6069,0.8027,0.6230,-3.6621,3.2959,1.8311
149141.0000,-0.5996,0.7988,0.6221,-3.0518,0.5493,7.3242
149142.0000,-0.5786,0.7891,0.6133,-2.1973,-2.6245,12.6343
149143.0000,-0.5552,0.7812,0.6069,-1.8311,-4.5776,15.1978
149144.0000,-0.5278,0.7788,0.6040,-1.2817,-6.0425,17.0288
149145.0000,-0.5005,0.7808,0.6021,-0.7324,-7.6904,19.2871
149146.0000,-0.4775,0.7808,0.5991,-0.4272,-8.7891,21.0571
149147.0000,-0.4604,0.7793,0.5967,-0.2441,-9.5825,22.7051
149148.0000,-0.4414,0.7803,0.5952,0.0610,-10.4980,24.9023
149149.0000,-0.4272,0.7842,0.5952,0.0610,-11.1084,26.6113
149150.0000,-0.4087,0.7812,0.5923,0.0000,-11.6577,27.8931
149151.0000,-0.3892,0.7808,0.5913,-0.2441,-11.7798,28.5034
149152.0000,-0.3730,0.7808,0.5928,-0.5493,-11.8408,28.1982
149153.0000,-0.3589,0.7837,0.5903,-0.7935,-11.7188,27.1606
149154.0000,-0.3403,0.7852,0.5938,-1.0376,-11.4746,25.5127
149155.0000,-0.3262,0.7856,0.5942,-1.1597,-11.1084,24.1089
149156.0000,-0.3125,0.7837,0.5947,-1.0986,-10.5591,22.8271
149157.0000,-0.2988,0.7817,0.5942,-0.8545,-9.8877,20.9961
149158.0000,-0.2847,0.7832,0.5942,-0.4272,-9.2773,19.6533
149159.0000,-0.2749,0.7876,0.5977,-0.3052,-8.4229,18.0664
149160.0000,-0.2617,0.7954,0.5923,0.0610,-7.2632,15.5640
149161.0000,-0.2534,0.7998,0.5928,0.2441,-6.1035,13.4888
149162.0000,-0.2412,0.8018,0.5918,0.0610,-5.1880,10.9863
149163.0000,-0.2300,0.8057,0.5894,-0.1831,-3.6621,7.3853
149164.0000,-0.2241,0.8101,0.5869,-0.4272,-2.4414,4.5166
149165.0000,-0.2183,0.8105,0.5889,-0.7935,-1.0376,1.7090
149166.0000,-0.2114,0.8145,0.5884,-1.4648,0.7324,-2.0752
149167.0000,-0.2056,0.8149,0.5879,-2.0142,1.8311,-4.8828
149168.0000,-0.2026,0.8164,0.5894,-2.5024,3.2349,-7.9346
149169.0000,-0.2021,0.8262,0.5894,-3.1738,4.8828,-11.5967
149170.0000,-0.2026,0.8232,0.5918,-3.8452,6.1035,-14.1602
149171.0000,-0.2041,0.8213,0.5918,-4.3335,7.3242,-16.4795
149172.0000,-0.2026,0.8159,0.5938,-5.0659,8.9722,-20.1416
149173.0000,-0.2051,0.8159,0.5889,-5.6152,10.1929,-23.0713
149174.0000,-0.2070,0.8149,0.5938,-6.0425,11.4746,-26.3672
149175.0000,-0.2041,0.8057,0.5903,-6.8359,13.1226,-31.3110
149176.0000,-0.2056,0.7979,0.5864,-7.1411,14.3433,-35.5225
149177.0000,-0.2153,0.7852,0.5854,-7.4463,15.8081,-39.5508
149178.0000,-0.2456,0.7808,0.5874,-7.5684,17.2119,-43.7622
149179.0000,-0.2725,0.7856,0.5981,-7.2632,18.0664,-44.4946
149180.0000,-0.3115,0.7910,0.6099,-6.7139,18.2495,-42.6025
149181.0000,-0.3438,0.7910,0.6128,-6.2256,17.8833,-39.9780
149182.0000,-0.3823,0.7896,0.6143,-5.9204,17.5171,-36.4380
149183.0000,-0.4136,0.7886,0.6196,-5.3711,16.9067,-32.7148
149184.0000,-0.4604,0.7842,0.6182,-4.6997,15.9912,-27.9541
149185.0000,-0.4951,0.7847,0.6206,-4.0894,14.9536,-24.5972
149186.0000,-0.5308,0.7827,0.6230,-3.2959,13.1226,-20.1416
149187.0000,-0.5503,0.7788,0.6260,-2.7466,11.4136,-16.7236
149188.0000,-0.5645,0.7744,0.6294,-1.8921,9.4604,-13.1226
149189.0000,-0.5771,0.7676,0.6328,-0.7324,6.5918,-7.9346
149190.0000,-0.5781,0.7666,0.6284,0.1221,4.3945,-3.9062
149191.0000,-0.5796,0.7695,0.6274,0.9766,2.1362,0.0000
149192.0000,-0.5728,0.7622,0.6274,1.7700,-0.9155,4.8828
149193.0000,-0.5571,0.7617,0.6240,2.1973,-3.0518,8.3618
149194.0000,-0.5405,0.7651,0.6250,3.0518,-4.5166,10.9863
149195.0000,-0.5215,0.7646,0.6211,3.2349,-6.2256,13.7329
149196.0000,-0.5049,0.7554,0.6118,3.2959,-7.3853,15.0757
149197.0000,-0.4873,0.7471,0.6079,3.6011,-8.1787,15.8081
149198.0000,-0.4707,0.7456,0.6030,4.2114,-8.7280,16.0522
149199.0000,-0.4614,0.7437,0.6050,4.8218,-9.1553,16.1133
149200.0000,-0.4507,0.7427,0.6030,5.3711,-9.6436,16.4795
149201.0000,-0.4443,0.7461,0.6074,6.2256,-10.1318,17.1509
149202.0000,-0.4399,0.7500,0.6108,6.8970,-10.4370,17.7612
149203.0000,-0.4263,0.7524,0.6113,7.4463,-10.9253,17.9443
149204.0000,-0.4131,0.7515,0.6055,7.9346,-11.3525,18.0054
149205.0000,-0.4004,0.7529,0.6069,8.2397,-11.2305,17.5781
149206.0000,-0.3877,0.7544,0.6035,8.6060,-11.1694,17.0288
149207.0000,-0.3730,0.7573,0.6025,9.0332,-10.8643,15.5640
149208.0000,-0.3613,0.7656,0.6001,9.0332,-10.4980,14.4653
149209.0000,-0.3501,0.7656,0.5981,9.4604,-10.0098,13.3667
149210.0000,-0.3428,0.7715,0.6001,9.8267,-9.3384,11.7798
149211.0000,-0.3369,0.7734,0.6016,10.2539,-8.7280,10.6201
149212.0000,-0.3271,0.7744,0.5996,10.6812,-8.4229,9.5215
149213.0000,-0.3169,0.7803,0.5986,11.2305,-7.5684,7.9956
149214.0000,-0.3140,0.7837,0.5957,11.5967,-7.0190,6.8970
149215.0000,-0.3042,0.7891,0.5947,11.7798,-6.4087,5.8594
149216.0000,-0.2939,0.7930,0.5918,12.0239,-5.4321,4.5166
149217.0000,-0.2881,0.7939,0.5869,12.1460,-4.5776,3.6621
149218.0000,-0.2861,0.7993,0.5845,12.1460,-3.6621,2.8076
149219.0000,-0.2822,0.8159,0.5884,12.1460,-2.3804,2.1362
149220.0000,-0.2856,0.8252,0.5874,11.5967,-1.5259,2.0142
149221.0000,-0.2827,0.8257,0.5840,11.1084,-0.9155,2.3804
149222.0000,-0.2861,0.8193,0.5859,10.8643,0.0000,3.1128
149223.0000,-0.2881,0.8140,0.5835,10.9863,0.6714,3.6621
149224.0000,-0.2925,0.8130,0.5830,11.3525,0.9766,4.0283
149225.0000,-0.3057,0.8164,0.5811,12.0239,1.4038,5.1880
149226.0000,-0.3179,0.8228,0.5850,12.6343,1.4038,7.0801
149227.0000,-0.3389,0.8325,0.5874,13.3057,1.2207,9.5215
149228.0000,-0.3711,0.8433,0.5874,14.2212,0.5493,13.1836
149229.0000,-0.3892,0.8486,0.5869,14.8315,-0.4272,15.5640
149230.0000,-0.3921,0.8540,0.5825,15.1978,-1.7700,18.1885
149231.0000,-0.3799,0.8560,0.5830,15.6250,-3.5400,21.3623
149232.0000,-0.3691,0.8521,0.5732,15.7471,-4.0894,23.2544
149233.0000,-0.3633,0.8521,0.5752,15.8691,-4.4556,24.9023
149234.0000,-0.3613,0.8501,0.5732,16.2354,-5.0049,26.9165
149235.0000,-0.3545,0.8506,0.5679,16.4185,-5.3101,28.9307
149236.0000,-0.3472,0.8472,0.5640,16.7847,-5.8594,30.6396
149237.0000,-0.3296,0.8472,0.5596,17.1509,-6.4087,32.3486
149238.0000,-0.3198,0.8477,0.5552,17.3340,-6.4087,32.5928
149239.0000,-0.3057,0.8496,0.5503,17.3340,-6.3477,32.2876
149240.0000,-0.2866,0.8457,0.5439,17.2729,-6.1035,31.0059
149241.0000,-0.2710,0.8467,0.5376,17.0288,-5.7373,29.7241
149242.0000,-0.2627,0.8442,0.5342,17.0288,-5.3711,28.4424
149243.0000,-0.2490,0.8442,0.5332,16.9678,-4.6997,26.7334
149244.0000,-0.2349,0.8447,0.5322,17.0288,-4.1504,25.5127
149245.0000,-0.2251,0.8462,0.5303,17.2729,-3.5400,24.0479
149246.0000,-0.2163,0.8481,0.5269,17.3950,-2.6245,21.4844
149247.0000,-0.2065,0.8496,0.5259,17.3950,-1.8311,18.8599
149248.0000,-0.1978,0.8491,0.5195,17.4561,-0.9766,16.0522
149249.0000,-0.1880,0.8501,0.5195,17.3950,-0.0610,12.1460
149250.0000,-0.1768,0.8501,0.5142,17.4561,0.9155,8.8501
149251.0000,-0.1704,0.8516,0.5142,17.6392,1.7700,5.5542
149252.0000,-0.1631,0.8564,0.5083,17.5781,3.1128,0.8545
149253.0000,-0.1597,0.8525,0.5073,17.5781,4.2114,-2.9297
149254.0000,-0.1562,0.8521,0.5029,17.6392,5.1880,-6.7749
149255.0000,-0.1572,0.8457,0.5015,17.9443,6.4697,-12.0239
149256.0000,-0.1562,0.8447,0.5034,18.3105,7.4463,-15.9302
149257.0000,-0.1626,0.8462,0.4976,18.7988,8.3618,-19.6533
149258.0000,-0.1836,0.8359,0.4961,19.6533,9.2163,-24.0479
149259.0000,-0.2041,0.8213,0.4951,20.7520,9.0332,-27.3438
149260.0000,-0.2168,0.8179,0.4937,22.3999,8.3618,-30.0903
149261.0000,-0.2241,0.8296,0.4956,24.7803,7.2021,-34.1187
149262.0000,-0.2222,0.8359,0.4917,26.3672,6.2256,-36.7432
149263.0000,-0.2183,0.8413,0.4800,27.5879,5.5542,-39.0015
149264.0000,-0.2275,0.8589,0.4736,28.4424,5.3101,-42.1143
149265.0000,-0.2422,0.8706,0.4746,28.6865,5.6763,-44.3115
149266.0000,-0.2754,0.8711,0.4688,28.7476,6.1646,-46.5698
149267.0000,-0.3247,0.8809,0.4585,28.7476,6.7139,-48.2178
149268.0000,-0.3550,0.8960,0.4580,28.9307,6.8359,-47.6685
149269.0000,-0.3804,0.9082,0.4561,28.9917,6.7749,-45.7153
149270.0000,-0.4199,0.9282,0.4526,28.3813,6.1035,-41.1987
149271.0000,-0.4482,0.9360,0.4438,27.6489,5.3711,-36.6211
149272.0000,-0.4697,0.9448,0.4409,26.6724,4.0894,-31.1279
149273.0000,-0.4897,0.9497,0.4370,25.0244,2.1362,-22.8271
149274.0000,-0.4956,0.9531,0.4277,23.9258,0.6714,-16.2964
149275.0000,-0.4985,0.9546,0.4238,22.7051,-0.7324,-10.0098
149276.0000,-0.4946,0.9497,0.4126,21.3013,-2.3804,-2.9297
149277.0000,-0.4883,0.9385,0.4058,20.1416,-3.6011,1.4038
149278.0000,-0.4717,0.9277,0.3950,19.2261,-4.5166,4.5776
149279.0000,-0.4512,0.9146,0.3887,18.3716,-5.4932,7.9346
149280.0000,-0.4341,0.9102,0.3853,17.7002,-5.9204,9.7046
149281.0000,-0.4189,0.9067,0.3828,17.0288,-6.2866,11.6577
149282.0000,-0.4014,0.9014,0.3828,16.4185,-6.3477,14.2822
149283.0000,-0.3916,0.9028,0.3784,15.8691,-6.5308,16.3574
149284.0000,-0.3813,0.9014,0.3794,15.4419,-6.5308,18.0054
149285.0000,-0.3647,0.9033,0.3770,14.7705,-6.5918,19.2871
149286.0000,-0.3501,0.9023,0.3745,14.0991,-6.4087,19.5312
149287.0000,-0.3359,0.8965,0.3750,13.3667,-5.9204,18.9209
149288.0000,-0.3242,0.8896,0.3691,12.8784,-5.4932,18.4326
149289.0000,-0.3105,0.8857,0.3662,12.3901,-4.8828,17.5171
149290.0000,-0.2959,0.8848,0.3687,12.0850,-3.9673,15.9912
149291.0000,-0.2876,0.8872,0.3691,11.9629,-3.0518,14.8315
149292.0000,-0.2778,0.8872,0.3687,11.7798,-2.0142,13.2446
149293.0000,-0.2681,0.8887,0.3691,11.5356,-0.6714,10.9253
149294.0000,-0.2656,0.8872,0.3662,11.4746,0.2441,8.9722
149295.0000,-0.2607,0.8867,0.3687,11.4136,1.2817,6.8970
149296.0000,-0.2549,0.8867,0.3643,11.4746,2.7466,3.8452
149297.0000,-0.2505,0.8906,0.3638,11.4746,3.6621,1.5869
149298.0000,-0.2461,0.8950,0.3677,11.5356,4.6387,-0.7935
149299.0000,-0.2437,0.9009,0.3677,11.4746,5.9814,-4.3335
149300.0000,-0.2427,0.9014,0.3628,11.1694,7.0190,-6.9580
149301.0000,-0.2427,0.8979,0.3589,11.1694,7.9956,-9.2773
149302.0000,-0.2422,0.8950,0.3564,11.1084,9.3384,-12.3901
149303.0000,-0.2427,0.8896,0.3550,11.2305,10.2539,-14.7705
149304.0000,-0.2461,0.8848,0.3525,11.5356,11.2305,-17.2119
149305.0000,-0.2451,0.8862,0.3521,12.3291,12.5122,-20.5688
149306.0000,-0.2422,0.8784,0.3501,13.0005,13.5498,-23.3154
149307.0000,-0.2388,0.8784,0.3496,13.5498,14.7705,-26.6724
149308.0000,-0.2363,0.8774,0.3438,14.4043,16.6626,-31.4941
149309.0000,-0.2412,0.8750,0.3447,14.8926,18.1885,-35.2783
149310.0000,-0.2485,0.8784,0.3413,15.3198,19.7754,-38.8184
149311.0000,-0.2749,0.8887,0.3369,15.9912,21.7285,-42.7246
149312.0000,-0.3130,0.9053,0.3379,16.6626,22.8882,-42.7856
149313.0000,-0.3501,0.9160,0.3325,16.9678,23.2544,-40.3442
149314.0000,-0.3950,0.9346,0.3223,16.9678,22.5830,-33.8135
149315.0000,-0.4316,0.9512,0.3208,16.7847,21.6064,-27.3438
149316.0000,-0.4536,0.9619,0.3223,16.4185,20.2637,-20.2637
149317.0000,-0.4761,0.9639,0.3140,15.3198,18.2495,-11.1694
149318.0000,-0.4917,0.9634,0.3032,14.4043,16.9067,-4.6387
149319.0000,-0.5063,0.9624,0.2959,13.5498,15.6860,1.0986
149320.0000,-0.5190,0.9541,0.2910,12.7563,13.6719,7.7515
149321.0000,-0.5210,0.9487,0.2852,12.1460,12.1460,11.7798
149322.0000,-0.5073,0.9492,0.2817,11.5356,10.8032,15.0146
149323.0000,-0.4937,0.9482,0.2734,10.5591,9.1553,18.0664
149324.0000,-0.4790,0.9492,0.2734,9.5825,8.2397,19.9585
149325.0000,-0.4678,0.9546,0.2734,8.5449,7.2632,21.2402
149326.0000,-0.4556,0.9443,0.2666,6.8359,6.0425,22.8882
149327.0000,-0.4443,0.9385,0.2642,5.6152,4.8828,24.1089
149328.0000,-0.4297,0.9312,0.2642,4.5776,3.8452,25.0244
149329.0000,-0.4150,0.9282,0.2642,3.2959,2.8076,25.9399
149330.0000,-0.4111,0.9253,0.2622,2.3193,1.8311,26.2451
149331.0000,-0.3970,0.9224,0.2671,1.4648,0.9766,26.3062
149332.0000,-0.3838,0.9185,0.2700,0.5493,0.1831,25.8789
149333.0000,-0.3711,0.9155,0.2686,-0.1221,-0.5493,24.9634
149334.0000,-0.3608,0.9126,0.2690,-0.6714,-0.7324,23.8037
149335.0000,-0.3525,0.9116,0.2705,-1.3428,-1.2207,22.0337
149336.0000,-0.3447,0.9082,0.2690,-1.8311,-1.4038,20.7520
149337.0000,-0.3394,0.9111,0.2715,-2.2583,-1.7090,19.4702
149338.0000,-0.3311,0.9111,0.2729,-2.8076,-2.3804,18.1274
149339.0000,-0.3257,0.9097,0.2749,-3.1128,-2.7466,17.0288
149340.0000,-0.3218,0.9102,0.2769,-3.2349,-3.1128,15.8691
149341.0000,-0.3120,0.9097,0.2798,-3.4180,-3.4790,14.2822
149342.0000,-0.3052,0.9062,0.2812,-3.2959,-3.6621,12.8174
149343.0000,-0.2954,0.9067,0.2827,-3.1738,-3.6621,10.9863
149344.0000,-0.2881,0.9087,0.2847,-2.8687,-3.2959,8.1787
149345.0000,-0.2808,0.9111,0.2871,-2.6245,-3.0518,5.8594
149346.0000,-0.2749,0.9058,0.2886,-2.3193,-2.6245,3.6011
149347.0000,-0.2637,0.9058,0.2891,-1.7090,-2.0142,0.4883
149348.0000,-0.2593,0.9072,0.2915,-1.2817,-1.2207,-1.9531
149349.0000,-0.2534,0.9136,0.2935,-0.9766,-0.5493,-4.1504
149350.0000,-0.2500,0.9219,0.2964,-0.6714,0.6714,-6.8359
149351.0000,-0.2510,0.9209,0.2915,-0.7324,1.4038,-8.5449
149352.0000,-0.2515,0.9189,0.2939,-0.7935,2.0142,-10.0098
149353.0000,-0.2524,0.9175,0.3008,-0.4272,2.8076,-11.7188
149354.0000,-0.2549,0.9199,0.2983,-0.2441,3.2959,-12.8174
149355.0000,-0.2588,0.9180,0.2993,0.1221,3.6011,-13.7329
149356.0000,-0.2588,0.9126,0.2983,0.5493,3.9062,-14.7705
149357.0000,-0.2568,0.9072,0.3018,1.3428,4.3945,-15.8691
149358.0000,-0.2578,0.9097,0.3022,2.1362,4.5776,-17.3340
149359.0000,-0.2568,0.9097,0.3008,3.1738,4.9438,-19.0430
149360.0000,-0.2554,0.9116,0.2988,3.7231,5.1880,-20.4468
149361.0000,-0.2539,0.9106,0.3003,4.0894,5.3711,-21.7285
149362.0000,-0.2573,0.9116,0.2964,4.5166,5.4321,-23.6816
149363.0000,-0.2646,0.9126,0.2954,4.6387,5.7983,-24.8413
