timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
139838.0000,-0.5566,0.9268,0.3501,-0.0610,28.8696,-41.6260
139839.0000,-0.5952,0.9243,0.3511,-1.8311,24.8413,-32.4097
139840.0000,-0.6255,0.9175,0.3501,-2.2583,20.0195,-21.9116
139841.0000,-0.6426,0.9009,0.3477,-2.8687,12.3291,-7.5073
139842.0000,-0.6348,0.8960,0.3486,-3.2349,6.7139,2.0142
139843.0000,-0.6187,0.8862,0.3506,-2.7466,2.1973,10.1929
139844.0000,-0.5962,0.8809,0.3442,-1.2817,-1.9531,18.5547
139845.0000,-0.5815,0.8838,0.3428,-0.6714,-4.5166,23.1323
139846.0000,-0.5791,0.8960,0.3467,-1.2817,-6.8359,26.4893
139847.0000,-0.5625,0.9043,0.3433,-1.5869,-9.9487,30.6396
139848.0000,-0.5396,0.9033,0.3428,-2.5635,-12.1460,33.3252
139849.0000,-0.5244,0.8926,0.3467,-3.4180,-14.0381,35.2173
139850.0000,-0.4956,0.8882,0.3438,-3.9062,-15.8081,36.8652
139851.0000,-0.4761,0.8906,0.3496,-3.9673,-16.6016,37.5366
139852.0000,-0.4546,0.8813,0.3472,-4.4556,-17.3340,38.0859
139853.0000,-0.4248,0.8613,0.3438,-4.6997,-18.1885,37.9028
139854.0000,-0.4019,0.8623,0.3481,-4.2725,-18.0664,36.6821
139855.0000,-0.3784,0.8623,0.3540,-4.0283,-17.6392,34.4849
139856.0000,-0.3481,0.8516,0.3511,-4.0894,-17.1509,30.5786
139857.0000,-0.3213,0.8477,0.3462,-3.9673,-16.2964,26.5503
139858.0000,-0.2993,0.8496,0.3486,-4.0894,-14.6484,21.8506
139859.0000,-0.2793,0.8530,0.3486,-5.0049,-11.7188,14.0381
139860.0000,-0.2686,0.8516,0.3403,-6.2866,-9.1553,6.9580
139861.0000,-0.2656,0.8711,0.3276,-7.7515,-6.2256,-1.9531
139862.0000,-0.2612,0.8823,0.3574,-9.5215,-2.0752,-15.3809
139863.0000,-0.2646,0.8447,0.3530,-10.8032,0.3662,-24.4751
139864.0000,-0.2681,0.8154,0.3447,-10.6812,2.5024,-31.9214
139865.0000,-0.2856,0.8228,0.3638,-9.0332,5.9204,-39.7339
139866.0000,-0.3228,0.8335,0.3711,-7.7515,7.8125,-44.1895
139867.0000,-0.3481,0.8335,0.3687,-6.8359,8.2397,-47.7905
139868.0000,-0.3623,0.8384,0.3691,-5.6763,8.4229,-51.3306
