timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
85435.0000,-0.2788,0.9033,0.3794,2.1973,-9.5825,-3.0518
85436.0000,-0.2798,0.9072,0.3809,2.5024,-9.3384,-3.7842
85437.0000,-0.2896,0.9062,0.3804,3.1128,-9.4604,-4.2725
85438.0000,-0.2959,0.9009,0.3838,3.7231,-9.8267,-4.8218
85439.0000,-0.3008,0.9038,0.3838,4.3335,-10.4980,-4.8828
85440.0000,-0.3018,0.9053,0.3833,5.1270,-11.1694,-4.9438
85441.0000,-0.3003,0.9062,0.3823,5.6152,-12.0850,-4.7607
85442.0000,-0.2983,0.9072,0.3794,6.1646,-12.7563,-4.6387
85443.0000,-0.2935,0.9082,0.3774,6.5308,-13.3057,-4.5776
85444.0000,-0.2881,0.9141,0.3706,7.2021,-13.7329,-4.5776
85445.0000,-0.2866,0.9165,0.3701,7.5684,-13.7939,-5.0659
85446.0000,-0.2852,0.9224,0.3672,7.6904,-13.7939,-5.2490
85447.0000,-0.2803,0.9312,0.3594,7.4463,-13.6108,-5.9204
85448.0000,-0.2803,0.9380,0.3604,7.0801,-13.3057,-6.1646
85449.0000,-0.2808,0.9443,0.3608,6.5918,-13.0005,-6.4697
85450.0000,-0.2778,0.9492,0.3564,5.6152,-12.6343,-6.4087
85451.0000,-0.2808,0.9473,0.3525,4.8218,-12.3291,-6.1035
85452.0000,-0.2783,0.9468,0.3555,3.7842,-12.0239,-5.9204
85453.0000,-0.2773,0.9375,0.3560,2.6245,-11.5967,-5.4321
85454.0000,-0.2769,0.9390,0.3579,2.0142,-11.1084,-5.1270
85455.0000,-0.2744,0.9370,0.3589,1.5869,-10.4370,-5.1270
85456.0000,-0.2739,0.9307,0.3657,1.2207,-9.7656,-4.9438
85457.0000,-0.2734,0.9243,0.3638,1.1597,-9.1553,-4.8218
85458.0000,-0.2739,0.9180,0.3628,1.2207,-8.5449,-4.6387
85459.0000,-0.2710,0.9146,0.3599,1.7700,-7.6904,-4.4556
85460.0000,-0.2734,0.9131,0.3608,2.2583,-6.8970,-4.2725
