timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
94771.0000,-0.4058,0.8579,0.4482,2.5635,0.6714,-1.8311
94772.0000,-0.4014,0.8613,0.4443,2.2583,0.4883,-1.4038
94773.0000,-0.3994,0.8618,0.4458,1.8311,0.3052,-1.2817
94774.0000,-0.3906,0.8618,0.4468,1.3428,0.1831,-0.9155
94775.0000,-0.3848,0.8569,0.4448,1.0986,0.3662,-0.9766
94776.0000,-0.3818,0.8604,0.4429,0.7324,0.9766,-0.9766
94777.0000,-0.3774,0.8599,0.4458,0.3052,1.7700,-1.1597
94778.0000,-0.3765,0.8594,0.4458,0.0000,2.3193,-1.2817
94779.0000,-0.3750,0.8579,0.4438,-0.3052,2.9907,-1.2207
94780.0000,-0.3740,0.8608,0.4424,-0.6714,4.2114,-0.9766
94781.0000,-0.3735,0.8652,0.4385,-1.0986,5.4321,-0.5493
94782.0000,-0.3750,0.8643,0.4370,-1.4038,6.4087,0.1831
94783.0000,-0.3745,0.8721,0.4331,-1.9531,7.8735,1.0376
94784.0000,-0.3667,0.8765,0.4375,-2.5635,9.2163,1.7700
94785.0000,-0.3564,0.8828,0.4395,-3.4180,10.6812,2.9297
94786.0000,-0.3403,0.8813,0.4341,-4.7607,13.3667,4.2725
94787.0000,-0.3252,0.8721,0.4355,-5.7373,15.8691,5.4321
94788.0000,-0.3159,0.8638,0.4307,-6.4087,19.0430,6.4697
94789.0000,-0.3149,0.8613,0.4316,-6.8970,23.6816,7.5684
94790.0000,-0.3223,0.8638,0.4282,-6.9580,26.8555,8.0566
94791.0000,-0.3320,0.8555,0.4209,-7.2021,29.7852,8.4229
94792.0000,-0.3398,0.8604,0.4209,-7.0801,33.2642,8.7891
94793.0000,-0.3462,0.8647,0.4219,-7.0190,35.5835,9.0332
94794.0000,-0.3584,0.8682,0.4189,-7.2632,37.3535,9.4604
94795.0000,-0.3696,0.8726,0.4199,-7.7515,39.1235,9.8267
94796.0000,-0.3740,0.8726,0.4170,-8.3618,40.2222,10.2539
94797.0000,-0.3809,0.8701,0.4170,-8.9111,41.1377,10.2539
94798.0000,-0.3887,0.8691,0.4146,-9.9487,41.6260,10.1929
94799.0000,-0.3945,0.8657,0.4150,-10.3760,41.7480,9.8877
94800.0000,-0.3896,0.8613,0.4160,-10.8032,41.9922,9.5825
94801.0000,-0.4072,0.8574,0.4180,-10.5591,42.2974,8.6670
94802.0000,-0.4229,0.8584,0.4180,-10.8643,41.8091,8.4229
94803.0000,-0.4399,0.8584,0.4165,-10.8643,40.5884,8.2397
94804.0000,-0.4526,0.8540,0.4180,-10.4980,38.2690,8.4229
94805.0000,-0.4590,0.8535,0.4189,-10.1318,36.0718,8.8501
94806.0000,-0.4604,0.8535,0.4219,-9.6436,33.7524,9.0332
94807.0000,-0.4619,0.8555,0.4194,-9.2163,30.4565,8.9722
94808.0000,-0.4590,0.8516,0.4180,-8.9722,28.0151,8.6060
94809.0000,-0.4521,0.8501,0.4209,-8.5449,25.8179,8.0566
94810.0000,-0.4453,0.8486,0.4180,-7.9346,23.1323,7.0190
94811.0000,-0.4463,0.8462,0.4229,-7.3853,21.3013,6.1646
94812.0000,-0.4453,0.8447,0.4214,-6.9580,19.6533,5.4932
94813.0000,-0.4473,0.8428,0.4268,-6.2866,17.0898,4.7607
94814.0000,-0.4482,0.8418,0.4268,-5.6763,15.1367,4.3335
94815.0000,-0.4458,0.8413,0.4258,-5.0049,13.2446,3.9673
94816.0000,-0.4351,0.8462,0.4224,-4.3945,10.8032,3.5400
94817.0000,-0.4155,0.8555,0.4102,-4.1504,9.7046,3.4790
94818.0000,-0.3843,0.8755,0.3975,-3.9673,9.4604,4.2114
94819.0000,-0.3311,0.9028,0.3955,-4.5776,11.7188,7.0801
