timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
102571.0000,-0.2500,0.8975,0.4941,1.8311,3.6011,-1.7090
102572.0000,-0.2495,0.8984,0.4932,1.6479,3.1738,-1.7090
102573.0000,-0.2510,0.8950,0.4961,1.4648,2.8687,-1.5259
102574.0000,-0.2524,0.8911,0.4946,1.5259,2.3193,-1.4648
102575.0000,-0.2524,0.8906,0.4946,1.6479,1.8921,-1.4038
102576.0000,-0.2524,0.8906,0.4971,2.0752,1.2817,-1.5869
102577.0000,-0.2510,0.8950,0.4961,2.1973,0.7324,-1.8311
102578.0000,-0.2500,0.8975,0.4912,2.1973,0.3662,-2.1362
102579.0000,-0.2461,0.9038,0.4995,2.1973,-0.1221,-2.4414
102580.0000,-0.2456,0.9053,0.4927,1.9531,-0.4883,-2.8076
102581.0000,-0.2417,0.9033,0.4941,1.5869,-0.5493,-3.1738
102582.0000,-0.2402,0.8989,0.4946,1.1597,-0.6714,-3.4790
102583.0000,-0.2402,0.8965,0.4932,1.0986,-0.6714,-4.0283
102584.0000,-0.2437,0.8916,0.4912,1.0376,-0.4883,-4.0894
102585.0000,-0.2451,0.8882,0.4951,1.0986,-0.7324,-4.3335
102586.0000,-0.2446,0.8945,0.4951,1.4648,-0.6714,-4.3335
102587.0000,-0.2451,0.8955,0.4941,1.6479,-0.7324,-4.1504
102588.0000,-0.2480,0.8916,0.4937,1.8921,-0.7324,-3.6011
102589.0000,-0.2510,0.8970,0.4927,1.8921,-0.8545,-3.3569
102590.0000,-0.2559,0.9004,0.4902,1.8921,-0.9766,-3.1128
102591.0000,-0.2529,0.9004,0.4946,1.7700,-1.2207,-2.6245
102592.0000,-0.2539,0.8979,0.4927,1.5869,-1.4038,-2.5635
102593.0000,-0.2510,0.8970,0.4893,1.5259,-1.4648,-2.3193
102594.0000,-0.2466,0.8975,0.4927,1.5869,-1.3428,-2.2583
102595.0000,-0.2476,0.8975,0.4917,1.5869,-1.2207,-2.1973
102596.0000,-0.2471,0.8926,0.4932,1.5869,-1.1597,-2.1973
102597.0000,-0.2476,0.8916,0.4912,1.7090,-1.2817,-2.4414
102598.0000,-0.2441,0.8945,0.4917,1.7700,-1.1597,-2.5635
102599.0000,-0.2441,0.8945,0.4893,1.8921,-1.2207,-2.6855
102600.0000,-0.2412,0.8921,0.4897,1.7700,-1.3428,-2.7466
102601.0000,-0.2422,0.8921,0.4893,1.7700,-1.3428,-3.0518
102602.0000,-0.2422,0.8970,0.4902,1.7700,-1.1597,-3.3569
102603.0000,-0.2451,0.8970,0.4897,1.5869,-1.0376,-3.7231
102604.0000,-0.2500,0.8979,0.4878,1.5259,-1.0986,-3.8452
102605.0000,-0.2510,0.8970,0.4873,1.4038,-1.1597,-4.0283
102606.0000,-0.2490,0.8970,0.4917,1.1597,-1.1597,-4.0283
102607.0000,-0.2529,0.8965,0.4888,1.0376,-1.0376,-4.0894
102608.0000,-0.2534,0.8945,0.4907,0.9766,-1.2207,-3.7842
102609.0000,-0.2573,0.8921,0.4927,1.1597,-1.2817,-3.3569
102610.0000,-0.2593,0.8950,0.4873,1.3428,-1.4648,-3.2349
102611.0000,-0.2617,0.8921,0.4897,1.4648,-1.5869,-2.9297
102612.0000,-0.2661,0.8901,0.4951,1.7090,-2.2583,-2.6245
102613.0000,-0.2656,0.8896,0.4937,2.0142,-2.6855,-2.5024
102614.0000,-0.2676,0.8911,0.4971,2.2583,-3.2959,-2.6855
102615.0000,-0.2734,0.8862,0.4985,2.6245,-4.2725,-3.0518
102616.0000,-0.2827,0.8813,0.5010,2.9297,-5.2490,-3.3569
102617.0000,-0.2969,0.8750,0.5073,3.5400,-6.7139,-3.6621
102618.0000,-0.3296,0.8687,0.5083,4.8828,-9.7656,-3.6621
102619.0000,-0.3608,0.8594,0.5146,6.1646,-13.4888,-3.2349
102620.0000,-0.3979,0.8584,0.5200,7.6294,-18.4326,-3.2959
102621.0000,-0.4399,0.8696,0.5239,9.4604,-27.5879,-4.5776
102622.0000,-0.4673,0.8765,0.5249,10.3149,-36.0107,-6.2866
102623.0000,-0.4873,0.8755,0.5259,10.9253,-45.5322,-8.4839
102624.0000,-0.5156,0.8394,0.5264,12.0850,-59.7534,-12.2070
102625.0000,-0.5381,0.8140,0.5215,14.0991,-71.4111,-14.8315
102626.0000,-0.5601,0.8066,0.5210,16.7847,-84.0454,-17.5171
102627.0000,-0.5781,0.8257,0.5112,20.8130,-102.1118,-20.7520
102628.0000,-0.5757,0.8496,0.4946,23.4985,-116.4551,-23.1323
102629.0000,-0.5625,0.8623,0.4736,25.2686,-131.1035,-25.5737
102630.0000,-0.5435,0.8721,0.4531,27.3438,-149.4751,-29.1748
102631.0000,-0.5293,0.8765,0.4424,28.8086,-162.4146,-31.7993
102632.0000,-0.5142,0.8779,0.4268,30.1514,-174.9268,-34.7290
102633.0000,-0.4634,0.8896,0.4023,32.0435,-190.7959,-38.8184
102634.0000,-0.3940,0.9126,0.3784,32.9590,-200.6226,-41.8701
102635.0000,-0.3193,0.9419,0.3574,32.9590,-207.8857,-45.2271
102636.0000,-0.2251,0.9790,0.3486,31.7383,-213.5620,-48.4619
102637.0000,-0.1738,0.9844,0.3403,30.2124,-214.9048,-50.0488
102638.0000,-0.1396,0.9800,0.3462,27.9541,-214.5386,-51.1475
102639.0000,-0.1138,0.9780,0.3579,26.0010,-212.2192,-52.2461
102640.0000,-0.1040,0.9595,0.3652,24.8413,-209.8389,-52.7954
102641.0000,-0.0889,0.9424,0.3638,24.2920,-207.2754,-53.4058
102642.0000,-0.0474,0.9419,0.3701,23.6206,-203.0640,-54.2603
102643.0000,-0.0044,0.9580,0.3672,22.8882,-198.6694,-54.8706
102644.0000,0.0405,0.9683,0.3745,21.3013,-192.8101,-55.2368
102645.0000,0.1519,0.8125,0.4424,20.7520,-182.3120,-55.2979
102646.0000,0.1621,0.9849,0.4087,16.1133,-169.9219,-53.7109
102647.0000,0.1274,0.9683,0.4375,12.4512,-160.2783,-53.6499
102648.0000,0.1440,0.9111,0.4365,12.7563,-145.3857,-50.1099
102649.0000,0.1304,0.9038,0.4629,12.2681,-134.2773,-47.9126
102650.0000,0.0986,0.9219,0.4893,12.0850,-124.3286,-45.1660
102651.0000,0.1538,0.9272,0.4702,15.7471,-110.4736,-40.6494
102652.0000,0.1719,0.9458,0.4839,14.8315,-98.6938,-38.0859
102653.0000,0.1675,0.9561,0.5005,13.0005,-87.0361,-36.1938
102654.0000,0.1519,0.9536,0.4995,11.3525,-71.6553,-34.0576
102655.0000,0.1270,0.9355,0.5137,9.3994,-60.9131,-32.8979
102656.0000,0.0928,0.9131,0.5288,7.7515,-51.2695,-31.5552
102657.0000,0.0254,0.8794,0.5508,7.2021,-40.2832,-28.9917
102658.0000,0.0005,0.8711,0.5498,8.4229,-33.7524,-26.3062
102659.0000,-0.0171,0.9277,0.5503,9.5825,-25.5127,-22.3389
102660.0000,-0.0195,0.9634,0.5444,9.1553,-20.5078,-19.4702
102661.0000,-0.0186,0.9829,0.5361,7.6904,-15.4419,-16.8457
102662.0000,-0.0479,0.9492,0.5376,4.4556,-8.7891,-14.5264
102663.0000,-0.0864,0.9277,0.5435,2.9297,-5.5542,-13.4277
102664.0000,-0.0864,0.8926,0.5493,2.8076,-2.9907,-12.0239
102665.0000,-0.1104,0.8745,0.5508,3.9062,0.9766,-11.2305
102666.0000,-0.1377,0.8936,0.5571,4.5776,2.1362,-10.6201
102667.0000,-0.1421,0.9150,0.5469,4.8828,2.3193,-10.1318
102668.0000,-0.1270,0.9336,0.5405,3.9062,2.8076,-8.6670
102669.0000,-0.1167,0.9404,0.5435,2.8076,3.7231,-7.4463
102670.0000,-0.1294,0.9395,0.5381,1.7700,4.9438,-6.3477
102671.0000,-0.1475,0.9321,0.5400,0.2441,5.4321,-4.6997
102672.0000,-0.1567,0.9233,0.5410,-0.6714,5.1270,-3.6621
102673.0000,-0.1509,0.9194,0.5386,-1.5259,4.4556,-2.8076
102674.0000,-0.1313,0.9277,0.5352,-2.6245,4.3945,-2.0752
102675.0000,-0.1196,0.9204,0.5396,-3.6011,5.0049,-1.7700
102676.0000,-0.1250,0.8975,0.5415,-4.3335,6.1035,-1.4038
102677.0000,-0.1367,0.8770,0.5522,-4.2114,7.0190,-0.4883
102678.0000,-0.1406,0.8857,0.5532,-3.6621,7.3853,0.3052
102679.0000,-0.1348,0.9038,0.5508,-3.4180,7.5684,1.2817
102680.0000,-0.1201,0.9136,0.5474,-3.6011,8.2397,2.3804
102681.0000,-0.1104,0.9170,0.5469,-4.0894,9.0942,2.8076
102682.0000,-0.1035,0.9150,0.5493,-4.5166,10.1929,2.8076
