timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
30506.0000,-0.4609,0.8623,0.3569,1.5869,4.7607,1.2207
30507.0000,-0.4575,0.8608,0.3545,1.0986,4.3335,1.5259
30508.0000,-0.4517,0.8687,0.3540,0.2441,3.7842,2.0142
30509.0000,-0.4497,0.8730,0.3569,-0.3662,3.4180,1.9531
30510.0000,-0.4502,0.8721,0.3560,-1.0986,3.2349,2.0752
30511.0000,-0.4463,0.8696,0.3555,-1.8921,2.9297,2.2583
30512.0000,-0.4404,0.8843,0.3608,-2.5024,3.0518,2.6245
30513.0000,-0.4443,0.9004,0.3721,-3.4790,3.2349,3.0518
30514.0000,-0.4448,0.8799,0.3716,-4.8218,2.8687,3.4180
30515.0000,-0.4385,0.8442,0.3584,-5.1270,2.8687,3.8452
30516.0000,-0.4360,0.8311,0.3540,-4.8218,3.4180,3.6011
30517.0000,-0.4434,0.8423,0.3647,-3.5400,4.3945,2.9297
30518.0000,-0.4429,0.8438,0.3652,-2.9907,4.3335,2.8687
30519.0000,-0.4307,0.8491,0.3652,-2.6245,3.9673,3.1738
30520.0000,-0.4263,0.8604,0.3662,-2.9907,4.0283,3.4790
30521.0000,-0.4302,0.8647,0.3750,-3.6621,4.0894,3.2349
30522.0000,-0.4331,0.8628,0.3735,-4.5166,4.3335,2.8687
30523.0000,-0.4346,0.8633,0.3794,-5.7373,3.9673,1.8921
30524.0000,-0.4351,0.8638,0.3843,-6.4697,3.7231,1.0376
30525.0000,-0.4341,0.8613,0.3857,-7.0801,3.7842,0.4272
30526.0000,-0.4336,0.8516,0.3916,-7.9956,3.6011,-0.1831
30527.0000,-0.4331,0.8403,0.3892,-8.1787,3.4790,-0.5493
30528.0000,-0.4346,0.8242,0.3892,-8.0566,3.2349,-0.9155
30529.0000,-0.4312,0.8105,0.3901,-7.1411,3.2959,-1.2817
30530.0000,-0.4341,0.8193,0.3975,-6.3477,3.3569,-1.8311
30531.0000,-0.4404,0.8281,0.4033,-5.7983,3.1738,-2.2583
30532.0000,-0.4429,0.8286,0.4048,-4.8828,2.4414,-2.6855
30533.0000,-0.4385,0.8237,0.4028,-4.1504,2.0752,-2.8076
30534.0000,-0.4453,0.8198,0.4033,-3.5400,1.9531,-3.1738
30535.0000,-0.4541,0.8179,0.4009,-2.6245,1.2817,-3.5400
30536.0000,-0.4546,0.8213,0.3984,-2.0142,0.7935,-3.9062
30537.0000,-0.4517,0.8262,0.4023,-1.7090,0.3052,-3.9673
30538.0000,-0.4492,0.8325,0.3999,-1.4038,-0.3052,-4.1504
30539.0000,-0.4492,0.8325,0.4048,-1.2817,-0.7324,-4.3945
30540.0000,-0.4473,0.8276,0.3989,-1.0986,-1.0986,-4.5776
30541.0000,-0.4468,0.8213,0.3984,-0.8545,-1.2817,-5.0659
30542.0000,-0.4478,0.8237,0.4004,-0.3662,-1.4648,-5.4321
30543.0000,-0.4497,0.8281,0.4019,-0.0610,-1.6479,-5.8594
30544.0000,-0.4473,0.8252,0.4004,0.3052,-1.9531,-5.9204
30545.0000,-0.4463,0.8247,0.3970,0.6714,-2.0142,-5.6152
30546.0000,-0.4478,0.8276,0.3994,0.9155,-2.0752,-5.3101
30547.0000,-0.4551,0.8291,0.4014,1.1597,-2.2583,-4.8828
30548.0000,-0.4517,0.8335,0.4019,1.2817,-2.4414,-4.6997
30549.0000,-0.4497,0.8359,0.4019,1.4038,-2.5024,-4.2725
30550.0000,-0.4487,0.8350,0.4028,1.5259,-2.5635,-4.1504
30551.0000,-0.4497,0.8379,0.4028,1.7090,-2.7466,-4.0894
30552.0000,-0.4453,0.8379,0.4043,1.6479,-2.9297,-4.0894
30553.0000,-0.4434,0.8477,0.4077,1.5259,-2.9297,-4.2114
30554.0000,-0.4438,0.8384,0.4043,1.5259,-3.0518,-4.1504
30555.0000,-0.4375,0.8242,0.3984,1.8921,-3.4790,-3.7231
30556.0000,-0.4233,0.8438,0.4111,1.9531,-3.7231,-3.1738
30557.0000,-0.4229,0.8584,0.4155,1.5869,-3.7842,-2.7466
30558.0000,-0.4209,0.8540,0.4102,0.9766,-4.2725,-2.1973
30559.0000,-0.4111,0.8223,0.3975,0.6104,-4.6387,-1.8311
30560.0000,-0.4067,0.8071,0.4004,0.8545,-4.3335,-2.0142
30561.0000,-0.4097,0.8091,0.3999,1.6479,-3.6621,-2.6245
30562.0000,-0.4136,0.8154,0.3984,2.8076,-4.1504,-2.8687
30563.0000,-0.4014,0.8184,0.3960,3.2959,-4.8218,-2.6855
30564.0000,-0.3896,0.8301,0.3979,3.2959,-5.1270,-2.7466
30565.0000,-0.3906,0.8506,0.4043,2.6245,-4.9438,-3.1128
30566.0000,-0.3936,0.8540,0.4067,1.9531,-5.0049,-3.6621
30567.0000,-0.3916,0.8477,0.4048,1.0376,-5.2490,-4.3945
30568.0000,-0.3862,0.8369,0.4053,-0.1831,-5.3711,-5.1880
30569.0000,-0.3813,0.8257,0.4009,-0.8545,-5.4321,-5.8594
