timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
58518.0000,-0.3438,0.9243,0.4038,34.6069,13.0005,1.8311
58519.0000,-0.3477,0.9209,0.3994,33.4473,12.2070,2.1362
58520.0000,-0.3511,0.9194,0.3940,32.1045,10.8643,2.3804
58521.0000,-0.3481,0.9160,0.3882,31.2500,9.7046,2.3804
58522.0000,-0.3472,0.9136,0.3779,30.5176,8.7891,2.3804
58523.0000,-0.3438,0.9199,0.3730,29.4800,7.3242,2.2583
58524.0000,-0.3384,0.9287,0.3672,28.3813,6.5918,2.2583
58525.0000,-0.3374,0.9370,0.3657,27.2217,5.7373,2.1362
58526.0000,-0.3296,0.9473,0.3560,25.2686,4.5166,2.1362
58527.0000,-0.3257,0.9551,0.3560,23.7427,3.7231,2.0142
58528.0000,-0.3203,0.9585,0.3486,22.0947,3.1738,1.7090
58529.0000,-0.3223,0.9585,0.3452,19.5923,2.4414,1.2817
58530.0000,-0.3228,0.9526,0.3472,17.8833,1.8311,0.8545
58531.0000,-0.3198,0.9443,0.3457,16.4185,1.1597,0.3662
58532.0000,-0.3213,0.9351,0.3428,14.9536,0.4272,-0.1831
58533.0000,-0.3223,0.9307,0.3452,14.0991,0.1221,-0.7324
58534.0000,-0.3208,0.9312,0.3457,13.4888,-0.4272,-1.0376
58535.0000,-0.3213,0.9390,0.3433,12.3901,-0.7935,-1.2817
58536.0000,-0.3213,0.9414,0.3438,11.5356,-1.3428,-1.4648
58537.0000,-0.3169,0.9434,0.3413,10.5591,-1.8311,-1.7700
58538.0000,-0.3149,0.9492,0.3428,8.9722,-2.2583,-2.0142
58539.0000,-0.3140,0.9517,0.3428,7.6294,-2.5635,-2.1362
58540.0000,-0.3169,0.9521,0.3413,6.1646,-2.5635,-2.3804
58541.0000,-0.3120,0.9478,0.3418,4.4556,-2.6855,-2.6855
58542.0000,-0.3120,0.9434,0.3447,3.2959,-2.4414,-2.9297
58543.0000,-0.3159,0.9370,0.3481,2.3193,-2.3193,-3.2349
58544.0000,-0.3169,0.9365,0.3535,1.2207,-2.0752,-3.1738
58545.0000,-0.3193,0.9331,0.3560,0.6104,-1.8311,-2.9297
58546.0000,-0.3179,0.9312,0.3560,0.0000,-1.8311,-2.4414
58547.0000,-0.3140,0.9302,0.3545,-0.7935,-1.6479,-1.7090
58548.0000,-0.3125,0.9316,0.3550,-1.4038,-1.5869,-1.2207
58549.0000,-0.3101,0.9346,0.3545,-2.0752,-1.3428,-0.5493
58550.0000,-0.3062,0.9429,0.3535,-3.2349,-0.7324,-0.3052
58551.0000,-0.3047,0.9468,0.3555,-4.2114,-0.1221,-0.0610
58552.0000,-0.3066,0.9502,0.3521,-5.6152,0.3662,0.0000
58553.0000,-0.3105,0.9575,0.3530,-7.5073,1.0376,0.1221
58554.0000,-0.3169,0.9614,0.3560,-9.0942,1.2207,0.4272
58555.0000,-0.3232,0.9619,0.3525,-10.9863,1.1597,0.7935
58556.0000,-0.3257,0.9561,0.3550,-13.6108,0.6104,1.1597
58557.0000,-0.3232,0.9512,0.3564,-15.2588,0.2441,1.2817
58558.0000,-0.3188,0.9453,0.3604,-16.8457,0.0610,1.2207
58559.0000,-0.3145,0.9443,0.3643,-18.7378,0.0000,0.6714
58560.0000,-0.3154,0.9434,0.3628,-19.8975,-0.2441,0.4272
58561.0000,-0.3154,0.9434,0.3677,-21.3013,-0.3052,0.0610
58562.0000,-0.3140,0.9434,0.3672,-23.2544,-0.4272,-0.3662
58563.0000,-0.3179,0.9453,0.3691,-24.7803,-0.4272,-0.7935
58564.0000,-0.3208,0.9404,0.3740,-26.3062,-0.7935,-1.1597
58565.0000,-0.3179,0.9365,0.3794,-28.2593,-1.2207,-1.3428
58566.0000,-0.3169,0.9404,0.3872,-29.7852,-1.3428,-1.2817
58567.0000,-0.3164,0.9370,0.3945,-31.1279,-1.5259,-1.2207
58568.0000,-0.3145,0.9248,0.4023,-32.7759,-1.7700,-1.0986
58569.0000,-0.3145,0.9160,0.4082,-33.8135,-1.9531,-1.0986
58570.0000,-0.3149,0.9043,0.4180,-34.3628,-1.9531,-1.2817
58571.0000,-0.3174,0.8838,0.4272,-34.4849,-1.9531,-1.3428
58572.0000,-0.3198,0.8750,0.4336,-34.2407,-2.1362,-1.3428
58573.0000,-0.3193,0.8730,0.4424,-33.8135,-2.1973,-1.1597
58574.0000,-0.3184,0.8735,0.4512,-33.3252,-2.1973,-0.9766
58575.0000,-0.3179,0.8765,0.4551,-33.0811,-2.1973,-0.5493
58576.0000,-0.3184,0.8799,0.4639,-33.1421,-2.1973,-0.1831
58577.0000,-0.3154,0.8853,0.4668,-33.4473,-2.1973,0.5493
58578.0000,-0.3130,0.8896,0.4688,-33.9355,-2.0142,0.7935
58579.0000,-0.3091,0.8901,0.4722,-34.6680,-1.8921,1.2207
58580.0000,-0.3062,0.8804,0.4839,-35.7056,-1.7090,1.2817
58581.0000,-0.3062,0.8677,0.4863,-36.1938,-1.5869,1.5869
58582.0000,-0.3057,0.8579,0.4922,-36.3159,-1.2817,1.5869
58583.0000,-0.3013,0.8545,0.5044,-36.2549,-0.8545,1.5869
58584.0000,-0.3013,0.8525,0.5078,-35.9497,-0.6104,1.7090
58585.0000,-0.2993,0.8535,0.5093,-35.9497,-0.2441,1.8311
58586.0000,-0.2993,0.8574,0.5093,-36.0107,0.0610,2.1362
58587.0000,-0.2998,0.8657,0.5098,-36.1938,0.4883,2.1362
58588.0000,-0.2959,0.8691,0.5098,-36.9873,0.9766,1.9531
58589.0000,-0.2886,0.8770,0.5166,-38.3301,1.5869,1.8311
58590.0000,-0.2871,0.8833,0.5205,-39.7339,2.3193,1.4648
58591.0000,-0.2827,0.8813,0.5249,-41.3208,2.8687,1.1597
58592.0000,-0.2861,0.8647,0.5293,-43.3960,3.6011,0.6714
58593.0000,-0.2856,0.8555,0.5386,-44.7388,4.1504,0.2441
58594.0000,-0.2866,0.8506,0.5410,-46.3257,5.0049,-0.6714
58595.0000,-0.2944,0.8506,0.5430,-47.1802,5.4932,-1.2207
58596.0000,-0.2979,0.8467,0.5474,-48.1567,5.7373,-1.4038
58597.0000,-0.3032,0.8477,0.5537,-49.3774,5.9204,-1.2207
58598.0000,-0.3062,0.8525,0.5513,-50.5981,5.8594,-1.1597
58599.0000,-0.3071,0.8540,0.5547,-51.8188,5.7373,-1.3428
58600.0000,-0.3101,0.8564,0.5620,-54.1992,5.5542,-1.8311
58601.0000,-0.3140,0.8491,0.5742,-55.9082,5.4321,-2.2583
58602.0000,-0.3223,0.8311,0.5845,-57.6782,4.9438,-2.7466
58603.0000,-0.3291,0.8076,0.5952,-59.4482,3.7231,-3.2959
58604.0000,-0.3301,0.8032,0.6025,-60.4858,2.9297,-3.5400
58605.0000,-0.3330,0.8081,0.6118,-61.5234,2.0752,-3.7842
58606.0000,-0.3315,0.8120,0.6167,-63.3545,0.6104,-3.7231
58607.0000,-0.3281,0.8081,0.6182,-65.0024,-0.4272,-3.7842
58608.0000,-0.3237,0.8003,0.6255,-66.9556,-1.4038,-3.8452
58609.0000,-0.3145,0.7910,0.6367,-69.3970,-2.2583,-4.5776
58610.0000,-0.3125,0.7710,0.6504,-70.9839,-2.9297,-5.6152
58611.0000,-0.3110,0.7417,0.6631,-71.8994,-3.6011,-6.7139
58612.0000,-0.3071,0.7085,0.6777,-72.2046,-4.1504,-7.8735
58613.0000,-0.3062,0.7070,0.6938,-71.9604,-4.3945,-8.4839
58614.0000,-0.3076,0.7100,0.7056,-72.0825,-4.5776,-9.0942
58615.0000,-0.3086,0.7046,0.7178,-72.9980,-4.8218,-9.7046
58616.0000,-0.3047,0.6997,0.7227,-73.8525,-5.0049,-10.0098
58617.0000,-0.3062,0.6841,0.7329,-74.8291,-4.8218,-10.5591
58618.0000,-0.3159,0.6499,0.7554,-75.2563,-4.4556,-11.2915
58619.0000,-0.3281,0.6226,0.7788,-74.6460,-4.6997,-11.5356
58620.0000,-0.3384,0.5942,0.7979,-72.9980,-5.3101,-11.2305
58621.0000,-0.3442,0.5771,0.8242,-69.9463,-6.2256,-10.0098
58622.0000,-0.3481,0.5708,0.8389,-67.1997,-7.0801,-8.6060
58623.0000,-0.3457,0.5591,0.8511,-64.5142,-8.3008,-6.8970
58624.0000,-0.3350,0.5493,0.8604,-60.7910,-9.5215,-4.8218
58625.0000,-0.3247,0.5522,0.8677,-58.2886,-9.9487,-3.4790
58626.0000,-0.3193,0.5513,0.8760,-56.0303,-10.1929,-2.5635
58627.0000,-0.3018,0.5503,0.8838,-53.5889,-10.1929,-1.7090
58628.0000,-0.2920,0.5435,0.8887,-51.9409,-9.6436,-1.4038
58629.0000,-0.2871,0.5337,0.8945,-50.2930,-8.9111,-1.5869
58630.0000,-0.2920,0.5273,0.8999,-47.9736,-7.8735,-1.7700
58631.0000,-0.3047,0.5132,0.9102,-46.0815,-7.5684,-1.7700
58632.0000,-0.3042,0.4971,0.9136,-43.5181,-8.0566,-2.0752
58633.0000,-0.2935,0.4990,0.9102,-40.5273,-7.0190,-2.4414
58634.0000,-0.3003,0.5044,0.9189,-38.2690,-6.2866,-2.5635
58635.0000,-0.3022,0.5073,0.9204,-36.5601,-6.2256,-2.5635
58636.0000,-0.2954,0.5103,0.9175,-34.9731,-6.1646,-2.3804
58637.0000,-0.2871,0.5146,0.9165,-33.9966,-5.8594,-2.6245
58638.0000,-0.2842,0.5122,0.9150,-33.4473,-5.2490,-2.8687
