timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
66534.0000,-0.2891,0.9468,0.3018,-6.1646,2.7466,-2.8076
66535.0000,-0.2856,0.9521,0.3018,-6.4087,2.9297,-2.3193
66536.0000,-0.2886,0.9595,0.2983,-7.2021,3.2959,-2.0142
66537.0000,-0.2915,0.9595,0.2979,-7.9956,3.6011,-1.7090
66538.0000,-0.2915,0.9580,0.3042,-8.8501,3.6011,-1.4648
66539.0000,-0.2915,0.9556,0.3062,-9.8267,3.7231,-1.0376
66540.0000,-0.2930,0.9561,0.3076,-10.6812,3.9673,-0.9155
66541.0000,-0.2910,0.9531,0.3125,-11.4136,4.0894,-0.7935
66542.0000,-0.2900,0.9487,0.3169,-12.3291,4.2725,-0.7935
66543.0000,-0.2886,0.9453,0.3193,-12.7563,4.2114,-0.5493
66544.0000,-0.2896,0.9453,0.3237,-13.3667,4.2725,-0.2441
66545.0000,-0.2905,0.9419,0.3296,-13.9771,4.3335,-0.3052
66546.0000,-0.2925,0.9307,0.3325,-14.2212,4.1504,-0.2441
66547.0000,-0.2959,0.9233,0.3350,-14.3433,4.0894,-0.3662
66548.0000,-0.3018,0.9175,0.3389,-13.8550,3.8452,-0.7935
66549.0000,-0.3042,0.9092,0.3394,-13.3667,3.6011,-1.0376
66550.0000,-0.3042,0.9048,0.3418,-12.6953,3.2349,-1.4038
66551.0000,-0.3013,0.9062,0.3472,-11.5967,2.6855,-1.7090
66552.0000,-0.3003,0.9097,0.3472,-10.9863,2.4414,-1.6479
66553.0000,-0.2964,0.9121,0.3496,-10.3760,2.1973,-1.4648
66554.0000,-0.2935,0.9160,0.3501,-9.8877,1.7090,-1.5259
66555.0000,-0.2935,0.9199,0.3491,-9.7046,1.5869,-1.6479
66556.0000,-0.2935,0.9248,0.3477,-9.7656,1.5259,-1.7090
66557.0000,-0.2915,0.9287,0.3496,-9.7656,1.3428,-2.1362
66558.0000,-0.2881,0.9287,0.3491,-10.0708,1.5259,-2.2583
66559.0000,-0.2920,0.9321,0.3501,-10.2539,1.8311,-2.5635
66560.0000,-0.2974,0.9297,0.3491,-10.6812,2.1362,-2.8687
66561.0000,-0.3037,0.9268,0.3545,-11.0474,2.2583,-2.9297
66562.0000,-0.3062,0.9238,0.3599,-11.1084,2.2583,-2.9907
66563.0000,-0.3091,0.9175,0.3647,-11.2305,2.0752,-2.6855
66564.0000,-0.3105,0.9131,0.3662,-11.0474,1.7700,-2.2583
66565.0000,-0.3086,0.9111,0.3711,-10.7422,1.6479,-1.8921
66566.0000,-0.3086,0.9038,0.3691,-10.3149,1.3428,-1.4648
66567.0000,-0.3052,0.9038,0.3696,-9.8877,0.9766,-1.2817
66568.0000,-0.3037,0.9106,0.3735,-9.2163,0.9766,-1.1597
66569.0000,-0.2998,0.9170,0.3716,-9.0332,0.9155,-1.1597
66570.0000,-0.3018,0.9180,0.3682,-8.9111,0.8545,-1.3428
66571.0000,-0.3022,0.9214,0.3618,-8.9111,0.9155,-1.4648
66572.0000,-0.3052,0.9297,0.3599,-9.1553,1.0376,-1.7090
66573.0000,-0.3091,0.9336,0.3628,-9.6436,1.0376,-1.7090
66574.0000,-0.3125,0.9385,0.3550,-10.3149,0.7935,-1.7700
66575.0000,-0.3091,0.9429,0.3555,-11.3525,0.4883,-1.3428
66576.0000,-0.3096,0.9424,0.3618,-12.3291,0.1831,-0.9155
66577.0000,-0.3081,0.9419,0.3638,-13.3057,0.0000,-0.4883
66578.0000,-0.3047,0.9424,0.3647,-14.5874,-0.1221,-0.2441
66579.0000,-0.3037,0.9453,0.3647,-15.6860,-0.2441,-0.3052
66580.0000,-0.3037,0.9429,0.3657,-17.0898,-0.4272,-0.3662
66581.0000,-0.2998,0.9395,0.3652,-18.1885,-0.5493,-0.2441
66582.0000,-0.2969,0.9414,0.3638,-19.1040,-0.5493,-0.1831
66583.0000,-0.2988,0.9473,0.3516,-20.7520,-0.5493,-0.3662
66584.0000,-0.3042,0.9497,0.3433,-21.9116,-0.7935,-0.5493
66585.0000,-0.3066,0.9644,0.3398,-23.3765,-1.2817,-0.7324
66586.0000,-0.3140,0.9956,0.3379,-26.0010,-1.7090,-1.1597
66587.0000,-0.3179,1.0244,0.3311,-29.2969,-2.5024,-1.5259
66588.0000,-0.3193,1.0571,0.3257,-33.7524,-3.5400,-1.6479
66589.0000,-0.3174,1.0771,0.3335,-41.5039,-5.4321,-1.8921
66590.0000,-0.3105,1.0806,0.3242,-48.1567,-6.7749,-2.2583
66591.0000,-0.3027,1.0767,0.3149,-54.8706,-8.1177,-2.8076
66592.0000,-0.2891,1.0713,0.3096,-63.9648,-9.0332,-3.9062
66593.0000,-0.2812,1.0732,0.3027,-70.9839,-9.0942,-4.8218
66594.0000,-0.2744,1.0684,0.3062,-77.8809,-8.9722,-5.9204
66595.0000,-0.2700,1.0645,0.3066,-87.4634,-8.4839,-7.2632
66596.0000,-0.2642,1.0566,0.3101,-94.6045,-8.0566,-8.1177
66597.0000,-0.2617,1.0376,0.3198,-101.6846,-7.6294,-8.9722
66598.0000,-0.2544,0.9995,0.3325,-110.5347,-7.3242,-9.4604
66599.0000,-0.2500,0.9780,0.3477,-116.8213,-7.0801,-10.0708
66600.0000,-0.2510,0.9565,0.3555,-123.0469,-6.8359,-10.5591
66601.0000,-0.2422,0.9214,0.3711,-130.7983,-6.1646,-11.2915
66602.0000,-0.2441,0.9023,0.3872,-136.4746,-5.5542,-12.0850
66603.0000,-0.2559,0.8633,0.4082,-141.5405,-4.9438,-13.1836
66604.0000,-0.2739,0.7842,0.4487,-146.0571,-4.6387,-14.4653
66605.0000,-0.2817,0.7363,0.4863,-147.4609,-4.6387,-15.0757
66606.0000,-0.2910,0.6938,0.5234,-147.4609,-4.8218,-15.1978
66607.0000,-0.3096,0.6411,0.5776,-145.5078,-5.3101,-14.6484
66608.0000,-0.3184,0.6084,0.6226,-142.8833,-6.3477,-13.3667
66609.0000,-0.3203,0.5879,0.6558,-139.8315,-7.6904,-12.0239
66610.0000,-0.3174,0.5776,0.6826,-136.1084,-9.4604,-10.4370
66611.0000,-0.3052,0.5703,0.7007,-133.6060,-10.3760,-9.7046
66612.0000,-0.2910,0.5757,0.7148,-131.7139,-10.7422,-9.4604
66613.0000,-0.2803,0.5747,0.7422,-130.1270,-10.2539,-9.5825
66614.0000,-0.2764,0.5513,0.7622,-128.8452,-9.5215,-9.8877
66615.0000,-0.2812,0.5005,0.7876,-126.4648,-9.0332,-10.4370
66616.0000,-0.2983,0.4351,0.8418,-121.8872,-9.2163,-11.2305
66617.0000,-0.2988,0.3857,0.8950,-115.5396,-10.1929,-12.7563
66618.0000,-0.2769,0.3779,0.9038,-109.4971,-9.4604,-13.7329
66619.0000,-0.2798,0.3823,0.9399,-101.8677,-7.7515,-14.2212
66620.0000,-0.2891,0.3828,0.9673,-97.1069,-7.5073,-13.7329
66621.0000,-0.2974,0.3877,0.9829,-92.7124,-7.6904,-12.9395
66622.0000,-0.2964,0.3804,0.9946,-88.0737,-7.6294,-11.9019
66623.0000,-0.2979,0.3491,1.0039,-84.6558,-7.3853,-11.3525
66624.0000,-0.2886,0.3101,1.0308,-80.2612,-6.9580,-11.2305
66625.0000,-0.2886,0.2729,1.0645,-73.1812,-5.3101,-11.8408
66626.0000,-0.2959,0.2559,1.0923,-67.0776,-3.8452,-12.2070
66627.0000,-0.3091,0.2476,1.1104,-60.4858,-3.2349,-12.0239
66628.0000,-0.3203,0.2383,1.1240,-51.6968,-3.4180,-11.5356
66629.0000,-0.3271,0.2422,1.1230,-45.2881,-3.6011,-11.2305
66630.0000,-0.3345,0.2534,1.1240,-39.1846,-3.7842,-10.8032
66631.0000,-0.3301,0.2744,1.1133,-32.4097,-4.3335,-10.0708
66632.0000,-0.3281,0.2847,1.0991,-28.1982,-4.4556,-9.2163
66633.0000,-0.3252,0.2852,1.0928,-24.3530,-4.5166,-8.2397
66634.0000,-0.3262,0.2930,1.0771,-19.8364,-4.2725,-6.5918
66635.0000,-0.3223,0.2993,1.0654,-16.9067,-4.3335,-5.3711
66636.0000,-0.3120,0.3066,1.0542,-14.3433,-4.3335,-4.2725
66637.0000,-0.3008,0.3267,1.0459,-11.9019,-3.9673,-3.7231
66638.0000,-0.2979,0.3394,1.0391,-10.8643,-3.6621,-3.7842
66639.0000,-0.2920,0.3413,1.0352,-10.1929,-3.0518,-4.2114
66640.0000,-0.2886,0.3413,1.0312,-9.4604,-1.5869,-5.0659
66641.0000,-0.2954,0.3428,1.0283,-8.7891,-0.3052,-5.3101
66642.0000,-0.3047,0.3354,1.0293,-7.9956,0.6714,-5.0049
66643.0000,-0.3110,0.3228,1.0288,-6.6528,0.9155,-4.2725
66644.0000,-0.3140,0.3228,1.0298,-5.2490,0.8545,-3.7231
66645.0000,-0.3140,0.3320,1.0254,-3.8452,0.7935,-3.2349
66646.0000,-0.3086,0.3481,1.0220,-2.4414,0.7935,-2.8076
66647.0000,-0.3086,0.3594,1.0171,-1.7700,0.6714,-2.6855
66648.0000,-0.3071,0.3696,1.0107,-1.5259,1.0986,-2.8687
66649.0000,-0.3052,0.3784,1.0083,-1.7090,1.7090,-3.6011
66650.0000,-0.3086,0.3784,1.0044,-1.9531,2.3193,-3.9062
66651.0000,-0.3169,0.3770,1.0034,-2.2583,2.5635,-4.3945
66652.0000,-0.3291,0.3716,1.0015,-2.2583,2.7466,-4.3335
66653.0000,-0.3296,0.3696,1.0029,-2.1973,2.4414,-3.9673
