timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
78606.0000,-0.3208,0.7168,0.7417,-0.2441,-0.3052,1.5259
78607.0000,-0.3159,0.7178,0.7373,0.5493,-0.9766,1.5259
78608.0000,-0.3081,0.7217,0.7314,1.4038,-1.5869,1.2207
78609.0000,-0.3032,0.7280,0.7300,2.1973,-1.7090,0.8545
78610.0000,-0.2998,0.7344,0.7310,2.6855,-1.6479,0.5493
78611.0000,-0.3013,0.7383,0.7246,2.8687,-1.8921,-0.2441
78612.0000,-0.3032,0.7363,0.7251,2.9907,-1.9531,-0.6714
78613.0000,-0.3018,0.7388,0.7241,2.9907,-2.0752,-1.1597
78614.0000,-0.3062,0.7397,0.7222,3.3569,-2.3804,-0.9766
78615.0000,-0.3052,0.7397,0.7192,3.4790,-2.6245,-0.8545
78616.0000,-0.3032,0.7368,0.7173,3.7231,-2.9297,-0.4883
78617.0000,-0.2993,0.7407,0.7188,4.0894,-3.2349,-0.1221
78618.0000,-0.2959,0.7432,0.7144,4.5166,-3.3569,0.2441
78619.0000,-0.2876,0.7446,0.7124,5.0049,-3.2349,0.2441
78620.0000,-0.2861,0.7437,0.7134,5.3101,-3.1128,0.1831
78621.0000,-0.2886,0.7466,0.7124,5.7373,-2.9297,-0.1831
78622.0000,-0.2891,0.7485,0.7085,6.1035,-2.6245,-0.7324
78623.0000,-0.2925,0.7451,0.7085,6.6528,-2.5024,-1.3428
78624.0000,-0.2969,0.7480,0.7075,7.0190,-2.4414,-1.7090
78625.0000,-0.3013,0.7573,0.7046,7.3853,-2.4414,-2.2583
78626.0000,-0.2993,0.7607,0.7026,7.5073,-2.7466,-2.4414
78627.0000,-0.2988,0.7612,0.7031,7.4463,-2.9907,-2.1973
78628.0000,-0.2983,0.7563,0.6953,7.6294,-3.2959,-2.2583
78629.0000,-0.2939,0.7563,0.6968,7.8125,-3.5400,-2.0142
78630.0000,-0.2935,0.7559,0.6958,8.1787,-3.6621,-2.0142
78631.0000,-0.2930,0.7598,0.6895,8.4839,-3.8452,-2.0142
78632.0000,-0.2891,0.7593,0.6880,8.8501,-3.8452,-2.0752
78633.0000,-0.2881,0.7651,0.6860,8.9722,-3.7231,-2.3804
78634.0000,-0.2876,0.7676,0.6865,8.9722,-3.6011,-2.7466
78635.0000,-0.2920,0.7666,0.6846,8.9722,-3.2959,-3.1738
78636.0000,-0.2959,0.7705,0.6875,8.8501,-3.4180,-3.6011
78637.0000,-0.2954,0.7700,0.6851,8.7280,-3.4180,-4.0283
78638.0000,-0.2979,0.7734,0.6821,8.6670,-3.4790,-4.2114
78639.0000,-0.2998,0.7769,0.6831,8.5449,-3.8452,-4.0894
78640.0000,-0.2974,0.7764,0.6836,8.2397,-4.2114,-3.7842
78641.0000,-0.2988,0.7759,0.6821,7.9956,-4.4556,-3.6621
78642.0000,-0.2964,0.7734,0.6807,7.9346,-4.4556,-3.4180
78643.0000,-0.2959,0.7734,0.6763,7.6904,-4.5166,-3.6011
