timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
75690.0000,-0.2246,0.7910,0.6973,7.4463,-0.8545,-4.6387
75691.0000,-0.2227,0.7896,0.6943,7.5073,-0.8545,-4.3335
75692.0000,-0.2236,0.7969,0.6948,7.6904,-0.9155,-4.3335
75693.0000,-0.2231,0.8032,0.6948,7.3242,-1.1597,-3.9673
75694.0000,-0.2217,0.8027,0.6953,6.9580,-1.4038,-3.6621
75695.0000,-0.2222,0.7935,0.6904,6.8359,-1.5259,-3.2959
75696.0000,-0.2231,0.7881,0.6899,6.9580,-1.7090,-3.2349
75697.0000,-0.2222,0.7900,0.6899,7.2632,-1.8921,-3.2959
75698.0000,-0.2212,0.7935,0.6914,7.4463,-2.1362,-3.2959
75699.0000,-0.2163,0.7949,0.6860,7.5073,-2.1362,-3.5400
75700.0000,-0.2134,0.7998,0.6880,7.6294,-2.1973,-3.6011
75701.0000,-0.2119,0.8042,0.6855,7.5073,-2.0752,-3.8452
75702.0000,-0.2148,0.8076,0.6841,7.2632,-2.0142,-3.8452
75703.0000,-0.2139,0.8076,0.6846,7.0190,-2.0142,-3.8452
75704.0000,-0.2109,0.8062,0.6860,6.7139,-1.9531,-3.7842
75705.0000,-0.2129,0.8052,0.6816,6.5308,-1.8311,-3.5400
75706.0000,-0.2109,0.8042,0.6831,6.2256,-1.7700,-3.4180
75707.0000,-0.2109,0.8027,0.6787,6.0425,-1.6479,-3.1738
75708.0000,-0.2100,0.8027,0.6802,6.1035,-1.5259,-2.9907
75709.0000,-0.2080,0.8032,0.6768,5.9814,-1.4038,-3.0518
75710.0000,-0.2100,0.8066,0.6807,5.7983,-1.3428,-3.3569
75711.0000,-0.2109,0.8022,0.6816,5.6763,-1.0986,-3.6621
75712.0000,-0.2119,0.8013,0.6831,5.6152,-0.9155,-4.0894
75713.0000,-0.2129,0.8018,0.6841,5.5542,-0.6714,-4.3335
75714.0000,-0.2192,0.8037,0.6816,5.7373,-0.3052,-4.3335
75715.0000,-0.2207,0.8066,0.6787,5.8594,-0.2441,-4.1504
75716.0000,-0.2222,0.8091,0.6807,5.8594,-0.3052,-4.0894
75717.0000,-0.2241,0.8101,0.6787,5.7373,-0.4883,-3.7231
75718.0000,-0.2246,0.8071,0.6807,5.8594,-0.6104,-3.2349
75719.0000,-0.2227,0.8086,0.6768,5.7983,-0.7324,-2.9297
75720.0000,-0.2217,0.8057,0.6758,5.7983,-0.7935,-2.6245
75721.0000,-0.2241,0.8042,0.6772,5.9204,-0.8545,-2.3804
75722.0000,-0.2222,0.8032,0.6763,5.9814,-1.0376,-2.3193
75723.0000,-0.2256,0.8022,0.6792,6.3477,-1.2817,-2.3804
75724.0000,-0.2251,0.8003,0.6792,6.5308,-1.4648,-2.6245
75725.0000,-0.2231,0.7979,0.6802,6.6528,-1.5259,-2.7466
75726.0000,-0.2197,0.7959,0.6821,7.2021,-1.7700,-3.2349
75727.0000,-0.2192,0.7964,0.6816,7.6294,-1.7700,-3.3569
75728.0000,-0.2183,0.7949,0.6831,8.3008,-1.7090,-3.2959
75729.0000,-0.2246,0.7939,0.6831,8.6670,-1.7700,-3.5400
75730.0000,-0.2231,0.7900,0.6890,9.2163,-1.8921,-3.4180
75731.0000,-0.2246,0.7817,0.6860,10.6201,-1.8921,-3.5400
75732.0000,-0.2256,0.7803,0.6929,11.7188,-1.9531,-3.7231
75733.0000,-0.2280,0.7778,0.6938,13.0005,-1.9531,-3.8452
75734.0000,-0.2305,0.7690,0.6948,14.7095,-2.3193,-3.9062
75735.0000,-0.2275,0.7632,0.6938,16.0522,-2.7466,-4.2725
75736.0000,-0.2251,0.7637,0.6914,17.7002,-2.8687,-4.5166
75737.0000,-0.2207,0.7705,0.6880,19.9585,-3.1128,-5.1880
75738.0000,-0.2217,0.7686,0.6875,21.6064,-2.9907,-5.4321
75739.0000,-0.2231,0.7637,0.6841,23.2544,-3.1128,-5.9204
75740.0000,-0.2314,0.7578,0.6909,25.8179,-3.3569,-5.9814
75741.0000,-0.2397,0.7505,0.6929,28.0762,-3.8452,-5.8594
75742.0000,-0.2554,0.7480,0.6914,30.7617,-4.6997,-5.3101
75743.0000,-0.2603,0.7466,0.6899,34.6680,-6.4697,-3.9062
75744.0000,-0.2568,0.7534,0.6841,37.5977,-7.9346,-2.8687
75745.0000,-0.2505,0.7607,0.6782,40.1611,-9.3384,-2.3193
75746.0000,-0.2427,0.7715,0.6655,42.9688,-10.6812,-2.1973
75747.0000,-0.2383,0.7705,0.6626,44.9219,-11.4136,-2.8687
75748.0000,-0.2441,0.7568,0.6689,46.9360,-11.9629,-3.8452
75749.0000,-0.2617,0.7295,0.6763,51.0254,-12.8174,-5.6152
75750.0000,-0.2759,0.7065,0.6821,55.2368,-13.7329,-7.1411
75751.0000,-0.2876,0.6880,0.6772,60.3027,-15.2588,-8.5449
75752.0000,-0.2827,0.6851,0.6567,67.7490,-17.9443,-9.5215
75753.0000,-0.2583,0.7075,0.6362,73.3643,-19.7754,-9.8267
75754.0000,-0.2354,0.7310,0.6182,78.3081,-20.7520,-9.5215
75755.0000,-0.2188,0.7344,0.6050,84.1675,-21.4233,-9.0332
75756.0000,-0.2256,0.7134,0.5903,88.7451,-21.7285,-8.9722
75757.0000,-0.2354,0.6909,0.5801,93.9941,-22.4609,-8.9722
75758.0000,-0.2393,0.6846,0.5522,101.6846,-23.6206,-10.4980
75759.0000,-0.2319,0.7026,0.5259,107.3608,-24.5972,-12.0239
75760.0000,-0.2236,0.7310,0.5020,112.0605,-25.3906,-14.0381
75761.0000,-0.2026,0.7656,0.4658,116.6992,-25.8179,-16.9067
75762.0000,-0.1909,0.7773,0.4404,119.3237,-25.8179,-19.1650
75763.0000,-0.1846,0.7812,0.4165,121.7651,-25.5127,-21.4844
75764.0000,-0.1797,0.7905,0.3779,124.8779,-24.4141,-24.6582
75765.0000,-0.1816,0.8057,0.3555,127.0142,-23.4375,-27.0386
75766.0000,-0.1919,0.8208,0.3354,128.8452,-22.3999,-29.1138
75767.0000,-0.2075,0.8208,0.3037,130.9204,-21.6064,-30.8838
75768.0000,-0.2173,0.8276,0.2754,132.3853,-21.4233,-31.9214
75769.0000,-0.2310,0.8398,0.2466,133.6060,-21.1792,-32.7148
75770.0000,-0.2549,0.8643,0.2104,134.8267,-21.0571,-33.8745
75771.0000,-0.2700,0.8892,0.1870,134.8267,-21.1792,-35.1562
75772.0000,-0.2798,0.9121,0.1631,134.5215,-21.4844,-35.8887
75773.0000,-0.2803,0.9458,0.1294,132.8735,-21.5454,-36.8652
75774.0000,-0.2764,0.9902,0.1030,130.2490,-21.3013,-37.5366
75775.0000,-0.2695,1.0493,0.0757,126.0376,-20.2026,-37.4756
75776.0000,-0.2666,1.1035,0.0474,117.8589,-18.3105,-35.4614
75777.0000,-0.2646,1.1016,0.0278,111.0840,-17.0288,-32.8369
75778.0000,-0.2666,1.0718,0.0176,104.6753,-15.5029,-30.0293
