timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
412805.0000,0.1816,0.9609,0.4033,-12.8174,-5.7983,-11.9019
412806.0000,0.1641,0.9443,0.4009,-11.5356,-2.8687,-11.1084
412807.0000,0.1401,0.9399,0.4038,-9.9487,-0.6714,-10.3760
412808.0000,0.1084,0.9424,0.3994,-8.1177,0.6714,-8.6670
412809.0000,0.0981,0.9478,0.3945,-7.0190,0.5493,-7.0801
412810.0000,0.0986,0.9448,0.3916,-5.6763,0.0000,-5.0659
412811.0000,0.1025,0.9429,0.3877,-4.6997,-0.3662,-4.2114
412812.0000,0.1084,0.9526,0.3843,-3.7842,-0.2441,-4.0283
412813.0000,0.1089,0.9546,0.3867,-2.3804,0.3662,-4.5776
412814.0000,0.1040,0.9458,0.3813,-1.4038,0.7935,-5.3101
412815.0000,0.0962,0.9443,0.3745,-0.6714,1.0986,-6.1035
412816.0000,0.0928,0.9517,0.3687,0.3052,1.1597,-6.7139
412817.0000,0.1001,0.9673,0.3691,0.7935,1.3428,-6.7749
412818.0000,0.1152,0.9810,0.3652,0.9766,1.8311,-6.1646
412819.0000,0.1357,0.9844,0.3535,0.9155,3.3569,-4.6997
412820.0000,0.1436,0.9756,0.3462,0.6104,4.9438,-3.4790
412821.0000,0.1528,0.9668,0.3389,0.7935,7.2021,-2.2583
412822.0000,0.1597,0.9653,0.3311,1.5869,10.3760,-0.3052
412823.0000,0.1582,0.9731,0.3315,2.0752,12.7563,1.0986
412824.0000,0.1562,0.9751,0.3320,2.6245,15.0146,2.7466
412825.0000,0.1587,0.9775,0.3286,2.9907,17.9443,4.6997
412826.0000,0.1650,0.9883,0.3286,2.9907,20.3857,5.9204
412827.0000,0.1763,0.9971,0.3296,2.9297,23.1323,7.0801
412828.0000,0.1919,1.0112,0.3359,2.2583,26.8555,8.8501
412829.0000,0.1973,1.0142,0.3379,1.4648,29.9683,10.1929
412830.0000,0.2026,1.0093,0.3335,0.7324,33.1421,11.4136
412831.0000,0.2021,0.9990,0.3325,0.1221,37.5366,12.3291
412832.0000,0.2031,0.9956,0.3379,-0.1831,40.9546,12.8174
412833.0000,0.2109,1.0034,0.3389,-0.6104,44.3726,13.0005
412834.0000,0.2266,1.0034,0.3433,-1.7090,49.4995,13.7939
412835.0000,0.2344,0.9922,0.3398,-2.5024,53.6499,14.4043
412836.0000,0.2383,0.9868,0.3379,-2.9297,58.1665,15.1978
412837.0000,0.2490,0.9912,0.3428,-3.7842,64.4531,16.2964
412838.0000,0.2798,0.9912,0.3462,-3.6621,70.1294,17.5171
412839.0000,0.3198,0.9839,0.3374,-3.3569,77.1484,19.5312
412840.0000,0.3545,0.9678,0.3218,-3.6621,88.2568,23.3765
412841.0000,0.3696,0.9448,0.3125,-2.9907,97.8394,27.0386
412842.0000,0.3716,0.9375,0.3013,-1.5259,107.9712,30.5786
412843.0000,0.3599,0.9399,0.2949,0.8545,121.3379,35.0342
412844.0000,0.3525,0.9624,0.2881,2.6855,130.6763,38.2080
412845.0000,0.3608,0.9907,0.2817,4.8828,140.0757,41.3818
