timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
430762.0000,-0.1401,0.9175,0.5688,7.0801,28.5034,12.1460
430763.0000,-0.1309,0.9253,0.5669,7.1411,26.6113,12.5122
430764.0000,-0.1372,0.9072,0.5537,7.5684,23.6816,12.8784
430765.0000,-0.1494,0.8911,0.5356,8.4839,21.1182,12.7563
430766.0000,-0.1631,0.8848,0.5269,10.3149,16.7236,11.8408
430767.0000,-0.1587,0.8867,0.5210,12.0239,13.2446,10.8643
430768.0000,-0.1426,0.8872,0.5161,13.3057,10.1318,9.3994
430769.0000,-0.1167,0.8999,0.5073,14.2822,7.1411,7.3242
430770.0000,-0.0972,0.9263,0.5107,14.1602,5.9204,5.9814
430771.0000,-0.0825,0.9497,0.5107,13.6719,5.1880,5.0049
430772.0000,-0.0737,0.9556,0.5171,12.6343,4.3335,4.6387
430773.0000,-0.0781,0.9409,0.5078,12.3291,3.7842,4.9438
430774.0000,-0.0889,0.9302,0.5005,12.4512,2.5635,5.2490
430775.0000,-0.1045,0.9375,0.4985,13.0005,0.0610,5.0659
430776.0000,-0.1143,0.9463,0.4956,13.3057,-2.1973,4.5166
430777.0000,-0.1177,0.9453,0.4917,13.4277,-4.6387,3.8452
430778.0000,-0.0908,0.9478,0.4893,13.0615,-7.2632,2.6855
430779.0000,-0.0723,0.9570,0.4858,12.3291,-8.2397,2.0142
430780.0000,-0.0640,0.9731,0.4932,10.8032,-8.7891,1.8311
430781.0000,-0.0581,0.9785,0.5000,8.4839,-9.0332,1.8311
430782.0000,-0.0679,0.9741,0.4995,6.5918,-9.2163,1.7700
430783.0000,-0.0830,0.9575,0.5034,5.3101,-9.8267,1.4648
430784.0000,-0.0864,0.9277,0.5029,4.5776,-11.2305,1.0986
430785.0000,-0.0820,0.9175,0.4961,4.5776,-12.5122,0.7324
430786.0000,-0.0791,0.9155,0.4932,4.8828,-13.3667,0.3662
430787.0000,-0.0791,0.9277,0.4951,5.2490,-14.6484,-0.0610
430788.0000,-0.0776,0.9390,0.4946,4.9438,-15.8081,-0.6104
430789.0000,-0.0840,0.9448,0.4976,4.4556,-16.7847,-1.2817
430790.0000,-0.0815,0.9375,0.4937,3.7842,-18.5547,-1.7700
430791.0000,-0.0767,0.9341,0.4897,3.0518,-19.7144,-1.8921
430792.0000,-0.0674,0.9341,0.4912,2.5024,-20.9961,-1.5869
430793.0000,-0.0571,0.9375,0.4980,1.8311,-22.4609,-1.2817
430794.0000,-0.0557,0.9385,0.4990,1.2817,-23.3154,-1.2817
430795.0000,-0.0581,0.9390,0.5024,0.7935,-24.1089,-1.6479
430796.0000,-0.0674,0.9385,0.5088,0.3662,-25.3296,-2.9297
430797.0000,-0.0723,0.9307,0.5156,0.3052,-26.6113,-3.7231
430798.0000,-0.0693,0.9282,0.5127,0.4883,-28.0762,-4.5776
430799.0000,-0.0649,0.9336,0.5205,0.7935,-29.7852,-5.6763
430800.0000,-0.0605,0.9409,0.5264,0.8545,-31.0669,-6.5918
430801.0000,-0.0513,0.9360,0.5288,0.8545,-32.2266,-7.0801
430802.0000,-0.0420,0.9233,0.5229,1.1597,-33.3252,-7.3242
430803.0000,-0.0459,0.9077,0.5205,1.8311,-33.9966,-7.6294
430804.0000,-0.0591,0.9009,0.5229,2.6855,-34.8511,-8.1787
430805.0000,-0.0815,0.8979,0.5205,4.0283,-36.7432,-8.7280
430806.0000,-0.0908,0.9053,0.5215,5.0049,-38.8794,-9.4604
430807.0000,-0.0957,0.9224,0.5259,5.9814,-41.1987,-10.4370
430808.0000,-0.1030,0.9336,0.5249,6.5308,-44.7998,-11.3525
430809.0000,-0.1069,0.9341,0.5176,6.4697,-48.0347,-12.0239
430810.0000,-0.1045,0.9380,0.5171,6.2866,-51.4526,-12.6343
430811.0000,-0.0933,0.9414,0.5142,5.8594,-56.0913,-13.6719
430812.0000,-0.0859,0.9365,0.5054,5.6152,-59.3262,-14.1602
430813.0000,-0.0840,0.9321,0.4990,5.4932,-62.6221,-14.5874
430814.0000,-0.0996,0.9287,0.4922,5.5542,-67.5659,-15.5640
430815.0000,-0.1196,0.9292,0.4873,5.9204,-72.0825,-16.7236
430816.0000,-0.1289,0.9341,0.4839,6.3477,-77.5146,-17.7612
430817.0000,-0.1152,0.9561,0.4775,6.1646,-85.2051,-19.4702
430818.0000,-0.0913,0.9722,0.4790,5.5542,-90.7593,-20.8130
430819.0000,-0.0693,0.9727,0.4712,4.6387,-95.3369,-22.2168
430820.0000,-0.0596,0.9634,0.4653,3.6011,-100.6470,-24.0479
430821.0000,-0.0669,0.9590,0.4590,2.8076,-104.6143,-25.9399
430822.0000,-0.0752,0.9526,0.4541,2.4414,-108.9478,-27.7100
430823.0000,-0.0703,0.9453,0.4434,2.2583,-115.2344,-29.7241
430824.0000,-0.0503,0.9517,0.4292,1.9531,-119.9951,-30.7617
430825.0000,-0.0371,0.9673,0.4268,1.3428,-124.0234,-31.9214
430826.0000,-0.0464,0.9873,0.4253,0.3052,-128.9673,-33.5083
430827.0000,-0.0552,0.9932,0.4199,-0.7935,-133.0566,-34.7290
430828.0000,-0.0620,0.9917,0.4087,-2.2583,-137.6953,-36.1328
430829.0000,-0.0645,0.9824,0.3926,-4.0894,-143.9209,-38.0249
430830.0000,-0.0693,0.9741,0.3848,-5.0659,-148.3765,-39.7339
430831.0000,-0.0713,0.9780,0.3843,-5.7373,-152.9541,-41.6260
430832.0000,-0.0757,0.9966,0.3867,-7.0801,-159.3628,-44.3115
430833.0000,-0.0679,1.0039,0.3813,-8.1787,-164.3677,-46.0205
430834.0000,-0.0435,1.0063,0.3750,-9.4604,-169.0063,-47.6074
430835.0000,-0.0078,0.9980,0.3652,-11.4746,-174.0723,-48.9502
430836.0000,0.0161,0.9883,0.3594,-12.7563,-177.0630,-49.4995
430837.0000,0.0332,0.9780,0.3623,-13.7939,-179.1992,-49.8047
430838.0000,0.0498,0.9663,0.3643,-15.0757,-181.2744,-50.2930
430839.0000,0.0654,0.9634,0.3804,-15.6860,-182.6172,-50.5371
430840.0000,0.1011,0.9565,0.3892,-16.1743,-183.5938,-50.4150
430841.0000,0.1631,0.9268,0.3916,-15.9912,-183.0444,-49.5605
430842.0000,0.2026,0.8936,0.3945,-14.8926,-180.8472,-48.5840
430843.0000,0.2236,0.8726,0.3984,-13.1226,-177.2461,-47.7905
430844.0000,0.2051,0.8706,0.4189,-9.7656,-171.8140,-47.7905
430845.0000,0.1685,0.8770,0.4272,-7.1411,-168.5791,-48.4009
430846.0000,0.1245,0.8916,0.4312,-4.3945,-166.3818,-49.2554
430847.0000,0.0850,0.9351,0.4390,-2.2583,-166.3208,-50.7812
430848.0000,0.0884,0.9697,0.4478,-1.8921,-167.4194,-51.2085
430849.0000,0.1138,0.9907,0.4414,-1.9531,-168.3960,-50.9644
430850.0000,0.1309,0.9863,0.4243,-3.1738,-168.5181,-49.6826
430851.0000,0.1313,0.9912,0.4175,-4.3335,-168.1519,-48.0347
430852.0000,0.1123,0.9980,0.4209,-5.4932,-168.0298,-46.3257
430853.0000,0.0732,1.0098,0.4209,-7.6294,-169.2505,-44.6777
430854.0000,0.0459,1.0122,0.4150,-8.9722,-171.1426,-44.0674
430855.0000,0.0522,1.0098,0.4023,-10.1929,-174.3164,-43.2739
430856.0000,0.1016,1.0127,0.3975,-13.4888,-178.2837,-41.9922
430857.0000,0.1387,1.0073,0.3970,-15.5640,-179.4434,-41.2598
430858.0000,0.1548,0.9902,0.3926,-16.9678,-179.1382,-40.4663
430859.0000,0.1509,0.9629,0.3872,-18.0054,-178.5889,-39.6118
430860.0000,0.1426,0.9634,0.3809,-19.1650,-179.2603,-38.6353
430861.0000,0.1514,0.9766,0.3809,-19.8975,-180.0537,-37.7808
430862.0000,0.1797,0.9854,0.3882,-20.7520,-181.2134,-36.7432
430863.0000,0.2041,0.9810,0.3843,-21.9116,-181.3965,-36.2549
430864.0000,0.2476,0.9590,0.3726,-23.3154,-180.0537,-35.6445
430865.0000,0.2705,0.9434,0.3711,-23.9258,-177.9785,-35.1562
430866.0000,0.2720,0.9292,0.3755,-24.4751,-175.2319,-35.1562
430867.0000,0.2573,0.9292,0.3813,-24.9023,-172.3022,-35.0342
430868.0000,0.2500,0.9341,0.3823,-24.7803,-171.0815,-34.8511
430869.0000,0.2573,0.9375,0.3867,-25.1465,-170.5322,-34.6069
430870.0000,0.2764,0.9321,0.3843,-25.3906,-169.4336,-34.3628
430871.0000,0.2837,0.9287,0.3770,-25.7568,-167.8467,-34.0576
430872.0000,0.2817,0.9292,0.3784,-26.1230,-165.8936,-34.3018
430873.0000,0.2627,0.9312,0.3906,-26.1230,-163.6353,-35.3394
430874.0000,0.2529,0.9370,0.3955,-26.0010,-162.9028,-36.4990
430875.0000,0.2432,0.9321,0.3877,-25.6958,-162.6587,-37.0483
430876.0000,0.2095,0.9248,0.3799,-25.3296,-162.8418,-37.7197
430877.0000,0.1870,0.9390,0.3848,-25.3906,-164.1235,-38.1470
430878.0000,0.1782,0.9629,0.3877,-25.8789,-166.3208,-38.5132
430879.0000,0.2222,1.0015,0.3809,-26.8555,-169.8608,-39.4897
430880.0000,0.2915,1.0161,0.3818,-28.3813,-170.8984,-40.3442
430881.0000,0.3667,1.0068,0.3833,-29.6021,-169.0674,-41.3818
430882.0000,0.4092,0.9907,0.3828,-31.3110,-163.3911,-42.6025
430883.0000,0.4053,0.9692,0.3926,-32.1045,-158.0811,-44.0063
430884.0000,0.3906,0.9497,0.4004,-31.9824,-153.3203,-45.7153
430885.0000,0.3838,0.9336,0.4048,-30.7617,-147.8882,-48.2788
430886.0000,0.4087,0.9185,0.4038,-29.0527,-143.7378,-50.2319
430887.0000,0.4355,0.9111,0.3970,-27.2217,-138.2446,-51.5137
430888.0000,0.4512,0.9141,0.3994,-24.7192,-128.9062,-52.2461
430889.0000,0.4316,0.9229,0.3965,-23.3154,-121.4600,-52.1851
430890.0000,0.4004,0.9404,0.4019,-22.2168,-114.5020,-51.7578
430891.0000,0.3564,0.9360,0.4058,-20.6299,-106.2622,-50.1709
430892.0000,0.3320,0.9219,0.4072,-19.2261,-101.2573,-48.4009
430893.0000,0.3130,0.9111,0.4028,-17.5781,-96.6187,-46.3257
430894.0000,0.3091,0.9219,0.4053,-15.5640,-90.6982,-43.1519
430895.0000,0.3071,0.9336,0.4038,-14.3433,-86.1816,-41.0156
430896.0000,0.3115,0.9468,0.4062,-13.3667,-81.5430,-38.8184
430897.0000,0.3164,0.9502,0.4067,-11.9019,-75.1343,-35.3394
430898.0000,0.3047,0.9429,0.4053,-11.6577,-70.4346,-32.5317
430899.0000,0.2783,0.9453,0.4009,-11.5967,-66.4673,-29.5410
